,"China, Taiwan Province of",Bhutan,Syrian Arab Republic,Israel,Australia & New Zealand,Australia,Iraq,Czechia,Pakistan,Slovakia,Nepal,Kenya,Libya,Yemen,Republic of Moldova,Italy,Serbia,USSR,Germany,Turkmenistan,Tajikistan,Portugal,Albania,Uzbekistan,China,Serbia and Montenegro,Armenia,Morocco,Slovenia,Chile,Malta,Argentina,Spain,Kyrgyzstan,India,Cyprus,Austria,Ecuador,Japan,Poland,Canada,Turkey,Jordan,Afghanistan,Switzerland,Egypt,The former Yugoslav Republic of Macedonia,Georgia,Greece,Czechoslovakia,France,Zimbabwe,New Zealand,Bosnia and Herzegovina,Hungary,Lebanon,Russian Federation,Cameroon,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Romania,United States of America,South Africa,Mexico,Ukraine,"China, mainland",Azerbaijan,Madagascar,Algeria,Peru,Croatia,Bulgaria,Occupied Palestinian Territory
1978,4178.0,,12320.0,610.0,2942.0,2390.0,-1.0,,2987.0,,-1.0,2.0,-1.0,,,13500.0,,60000.0,-1.0,,,1899.0,-1.0,,4178.0,,,,,1530.0,-1.0,-1.0,20200.0,,2700.0,214.0,-1.0,-1.0,-1.0,-1.0,330.0,44245.0,139.0,7050.0,-1.0,2098.0,,,6500.0,-1.0,13509.0,15.0,552.0,,-1.0,3000.0,,-1.0,19320.0,-1.0,14000.0,,-1.0,11290.0,4000.0,1058.0,,-1.0,,65.0,7300.0,56.0,,7486.0,-1.0
1979,4256.0,,12365.0,580.0,2930.0,2360.0,-1.0,,3100.0,,-1.0,2.0,-1.0,1863.0,,13000.0,,33000.0,-1.0,,,1989.0,-1.0,,4256.0,,,,,1600.0,-1.0,-1.0,19500.0,,2400.0,227.0,-1.0,-1.0,-1.0,-1.0,380.0,43575.0,99.0,6810.0,-1.0,2050.0,,,6300.0,-1.0,13200.0,30.0,570.0,,-1.0,3000.0,,-1.0,19620.0,-1.0,14000.0,,-1.0,10040.0,4500.0,674.0,,-1.0,,70.0,8700.0,56.0,,7692.0,-1.0
1980,4431.0,,12732.0,640.0,2951.0,2370.0,-1.0,,3218.0,,-1.0,2.0,-1.0,1951.0,,13000.0,,85000.0,-1.0,,,2073.0,-1.0,,4431.0,,,,,1480.0,-1.0,4350.0,19300.0,,2000.0,234.0,-1.0,-1.0,-1.0,-1.0,460.0,44075.0,18.0,6820.0,-1.0,2017.0,,,6300.0,-1.0,13000.0,20.0,581.0,,-1.0,3000.0,,-1.0,20000.0,-1.0,14000.0,,-1.0,10040.0,4500.0,1286.0,,-1.0,,85.0,7700.0,53.0,,7321.0,-1.0
1981,4333.0,,13159.0,680.0,2861.0,2350.0,-1.0,,3508.0,,-1.0,2.0,-1.0,1774.0,,12800.0,,86000.0,-1.0,,,2146.0,-1.0,,4333.0,,,,,1430.0,-1.0,4398.0,19600.0,,2000.0,234.0,-1.0,-1.0,-1.0,-1.0,391.0,44000.0,17.0,6680.0,-1.0,2000.0,,,6200.0,-1.0,12471.0,25.0,511.0,,-1.0,3200.0,,-1.0,11000.0,-1.0,14000.0,,-1.0,9430.0,4700.0,1339.0,,-1.0,,96.0,12000.0,53.0,,7183.0,-1.0
1982,4299.0,,13475.0,880.0,2901.0,2330.0,-1.0,,3770.0,,-1.0,2.0,-1.0,1835.0,,12700.0,,40000.0,-1.0,,,2273.0,-1.0,,4299.0,,,,,1490.0,-1.0,4200.0,19900.0,,1700.0,234.0,-1.0,-1.0,-1.0,-1.0,550.0,43750.0,21.0,6410.0,-1.0,2100.0,,,6500.0,-1.0,12500.0,20.0,571.0,,-1.0,3250.0,,-1.0,11200.0,-1.0,13800.0,,-1.0,9100.0,3600.0,1538.0,,-1.0,,104.0,11000.0,51.0,,7034.0,-1.0
1983,4404.0,,12800.0,870.0,2928.0,2260.0,-1.0,,4167.0,,-1.0,2.0,-1.0,1835.0,,13714.0,,50000.0,-1.0,,,2273.0,-1.0,,4404.0,,,,,1530.0,-1.0,4270.0,21300.0,,1900.0,241.0,-1.0,-1.0,-1.0,-1.0,430.0,49500.0,20.0,6170.0,-1.0,2200.0,,,6500.0,-1.0,12500.0,15.0,668.0,,-1.0,3330.0,,-1.0,11800.0,-1.0,14200.0,,-1.0,8820.0,4000.0,1324.0,,-1.0,,110.0,10000.0,52.0,,6516.0,-1.0
1984,4335.0,,13700.0,930.0,3000.0,2330.0,-1.0,,4600.0,,-1.0,2.0,-1.0,1843.0,,13892.0,,38000.0,-1.0,,,2336.0,-1.0,,4335.0,,,,,1580.0,-1.0,4290.0,19200.0,,1700.0,268.0,-1.0,-1.0,-1.0,-1.0,460.0,50000.0,59.0,5920.0,-1.0,2100.0,,,6600.0,-1.0,12596.0,10.0,670.0,,-1.0,3400.0,,-1.0,15000.0,-1.0,15200.0,,-1.0,8460.0,4000.0,761.0,,-1.0,,125.0,12000.0,52.0,,6145.0,-1.0
1985,4438.0,,10100.0,830.0,3130.0,2380.0,7100.0,,4900.0,,-1.0,2.0,3000.0,1897.0,,14470.0,,45000.0,850.0,,,2467.0,530.0,,4438.0,,,12300.0,,1650.0,-1.0,4250.0,20000.0,,1600.0,201.0,2070.0,63.0,-1.0,-1.0,450.0,47250.0,100.0,5750.0,700.0,2100.0,,,7425.0,5150.0,12692.0,20.0,750.0,,11000.0,3450.0,,88.0,15000.0,6400.0,16504.0,,8000.0,8093.0,3300.0,623.0,,-1.0,,125.0,13000.0,45.0,,5911.0,-1.0
1986,5080.0,,9900.0,860.0,2978.0,2200.0,6600.0,,5300.0,,-1.0,2.0,3000.0,1958.0,,13711.0,,46000.0,820.0,,,700.0,530.0,,5080.0,,,12300.0,,1810.0,-1.0,4250.0,20400.0,,1500.0,201.0,2080.0,63.0,-1.0,-1.0,470.0,46100.0,238.0,5610.0,690.0,2940.0,,,7270.0,5220.0,12871.0,12.0,778.0,,8000.0,3480.0,,88.0,11000.0,6400.0,18407.0,,8000.0,7930.0,5000.0,438.0,,-1.0,,100.0,9300.0,43.0,,5399.0,-1.0
1987,5487.0,,9900.0,820.0,3076.0,2300.0,5600.0,,5500.0,,-1.0,2.0,3000.0,2019.0,,14134.0,,51000.0,800.0,,,718.0,530.0,,5487.0,,,12300.0,,1880.0,-1.0,3840.0,21400.0,,1600.0,201.0,2090.0,63.0,-1.0,-1.0,570.0,46735.0,221.0,4830.0,700.0,2940.0,,,7195.0,5220.0,13359.0,15.0,776.0,,7000.0,3500.0,,88.0,11000.0,6400.0,16881.0,,8000.0,7770.0,5000.0,411.0,,-1.0,,100.0,10500.0,47.0,,5581.0,-1.0
1988,7884.0,,10900.0,880.0,3342.0,2510.0,5800.0,,6100.0,,-1.0,2.0,3000.0,2155.0,,13624.0,,50000.0,755.0,,,700.0,530.0,,7884.0,,,13100.0,,1950.0,-1.0,3435.0,21900.0,,1500.0,201.0,2090.0,63.0,-1.0,-1.0,490.0,47365.0,217.0,5050.0,720.0,2520.0,,,7120.0,5140.0,13292.0,15.0,832.0,,7000.0,3500.0,,88.0,11000.0,6460.0,18722.0,,8000.0,7770.0,5000.0,436.0,,-1.0,,100.0,10200.0,43.0,,5891.0,-1.0
1989,7895.0,,9600.0,880.0,3577.0,2720.0,6500.0,,6300.0,,-1.0,2.0,3000.0,2368.0,,13892.0,,50000.0,725.0,,,700.0,530.0,,7895.0,,,13400.0,,1980.0,-1.0,3460.0,22800.0,,1700.0,201.0,2100.0,63.0,-1.0,-1.0,54.0,48670.0,241.0,5060.0,750.0,2520.0,,,7030.0,5120.0,13500.0,16.0,857.0,,12000.0,3600.0,,88.0,12000.0,6510.0,11344.0,,8000.0,7580.0,5200.0,298.0,,-1.0,,105.0,14300.0,43.0,,5598.0,-1.0
1990,7970.0,-1.0,10100.0,824.0,3804.0,2950.0,4700.0,,6400.0,,80.0,2.0,3144.0,2397.0,,14042.0,,49422.0,685.0,,,600.0,388.0,,7970.0,,,13500.0,,1990.0,-1.0,3450.0,22800.0,,2000.0,190.0,131.0,68.0,-1.0,-1.0,390.0,49595.0,242.0,5115.0,795.0,2662.0,,,6370.0,5170.0,13759.0,25.0,854.0,,10000.0,3700.0,,90.0,12000.0,6550.0,11877.0,,7900.0,7420.0,4200.0,328.0,,-1.0,,110.0,14010.0,44.0,,5492.0,-1.0
1991,8357.0,-1.0,7624.0,839.0,3710.0,2850.0,4200.0,,8198.0,,101.0,2.0,3323.0,2464.0,,14328.0,,48000.0,100.0,,,670.0,400.0,,8357.0,,,13900.0,,2005.0,-1.0,3500.0,23900.0,,2100.0,200.0,138.0,65.0,-1.0,-1.0,120.0,51195.0,260.0,4494.0,655.0,2670.0,,,5810.0,5350.0,14096.0,20.0,860.0,,10900.0,3845.0,,91.0,15000.0,6170.0,12274.0,,7700.0,7580.0,4800.0,394.0,,-1.0,,105.0,12012.0,40.0,,6033.0,-1.0
1992,8508.0,-1.0,10800.0,850.0,3684.0,2870.0,4022.0,,9075.0,,90.0,2.0,2977.0,2577.0,500.0,13309.0,,,100.0,3000.0,7700.0,700.0,546.0,12400.0,10508.0,4652.0,5800.0,13500.0,33.0,2000.0,-1.0,3600.0,24100.0,7000.0,2200.0,210.0,151.0,66.0,-1.0,-1.0,247.0,51925.0,307.0,4992.0,650.0,2923.0,1360.0,3000.0,5580.0,21422.0,14161.0,16.0,814.0,-1.0,10100.0,4973.0,17000.0,92.0,13646.0,,18631.0,5000.0,7500.0,7904.0,4813.0,589.0,26000.0,2000.0,2800.0,110.0,12290.0,41.0,315.0,6846.0,-1.0
1993,9131.0,-1.0,8000.0,810.0,3824.0,3020.0,4300.0,1783.0,11050.0,2110.0,87.0,2.0,2906.0,3536.0,500.0,13335.0,,,100.0,2000.0,8000.0,710.0,607.0,14500.0,11131.0,3718.0,5600.0,14300.0,31.0,2010.0,-1.0,3700.0,23900.0,4500.0,2300.0,200.0,153.0,67.0,-1.0,-1.0,244.0,53365.0,310.0,5100.0,660.0,3000.0,1150.0,1500.0,5340.0,,14448.0,16.0,804.0,150.0,12100.0,5000.0,17000.0,92.0,15000.0,,19805.0,4500.0,7300.0,8420.0,4879.0,544.0,26000.0,2000.0,2400.0,115.0,12560.0,45.0,300.0,6537.0,-1.0
1994,9079.0,-1.0,8300.0,720.0,4124.0,3280.0,4334.0,1552.0,11264.0,2060.0,56.0,2.0,2834.0,3538.0,750.0,13824.0,,,100.0,2500.0,8100.0,701.0,613.0,13500.0,12079.0,4104.0,6200.0,14500.0,39.0,1950.0,-1.0,3900.0,23400.0,5200.0,2400.0,320.0,153.0,68.0,-1.0,-1.0,229.0,55375.0,690.0,5061.0,935.0,2920.0,1050.0,3500.0,4600.0,,14793.0,16.0,844.0,152.0,10400.0,5100.0,16000.0,94.0,16000.0,,23000.0,4500.0,7100.0,8615.0,4717.0,606.0,15500.0,3000.0,3000.0,110.0,13170.0,41.0,206.0,6001.0,572.0
1995,9397.0,-1.0,8600.0,730.0,4141.0,3310.0,4372.0,3150.0,11596.0,2030.0,60.0,2.0,2861.0,3538.0,1000.0,14187.0,,,100.0,1500.0,9000.0,637.0,409.0,12000.0,13397.0,2188.0,6000.0,13700.0,30.0,2040.0,-1.0,3900.0,22500.0,3500.0,2516.0,320.0,253.0,95.0,-1.0,-1.0,239.0,57355.0,790.0,5150.0,655.0,2956.0,975.0,4500.0,4700.0,,15569.0,13.0,831.0,159.0,10600.0,5200.0,16000.0,94.0,17000.0,,28000.0,4000.0,6464.0,8575.0,5500.0,582.0,18600.0,4000.0,3200.0,120.0,13040.0,50.0,315.0,4947.0,585.0
1996,9619.0,-1.0,8800.0,730.0,4065.0,3330.0,4277.0,3100.0,11906.0,2075.0,62.0,2.0,2802.0,3538.0,2100.0,14410.0,,,100.0,1000.0,8900.0,638.0,258.0,12000.0,13619.0,5050.0,5700.0,13800.0,33.0,2130.0,-1.0,3000.0,23300.0,3400.0,2725.0,310.0,271.0,107.0,-1.0,-1.0,276.0,58360.0,860.0,5169.0,667.0,3067.0,872.0,5000.0,4600.0,,16004.0,16.0,735.0,162.0,9000.0,5282.0,17000.0,95.0,17000.0,,26925.0,4000.0,6028.0,8730.0,5200.0,495.0,19000.0,4000.0,3000.0,122.0,13460.0,46.0,320.0,5785.0,553.0
1997,9441.0,-1.0,9000.0,720.0,4220.0,3370.0,4351.0,3000.0,12075.0,2120.0,65.0,2.0,2928.0,3538.0,3169.0,14787.0,,,100.0,4000.0,6000.0,652.0,340.0,12000.0,13441.0,4200.0,4200.0,13800.0,40.0,2333.0,-1.0,3859.0,24474.0,4000.0,2804.0,250.0,363.0,65.0,-1.0,-1.0,200.0,61175.0,746.0,5203.0,250.0,3080.0,928.0,2000.0,5000.0,,16057.0,16.0,850.0,180.0,15900.0,5127.0,16700.0,95.0,10400.0,,27316.0,3000.0,5811.0,8660.0,5800.0,488.0,19300.0,4000.0,2857.0,130.0,13770.0,52.0,330.0,5540.0,598.0
1998,9354.0,-1.0,12409.0,735.0,3774.0,2924.0,4350.0,2960.0,12179.0,2040.0,62.0,2.0,3050.0,3538.0,2871.0,14969.0,,,100.0,1800.0,6400.0,655.0,400.0,8200.0,13854.0,966.0,3600.0,13600.0,40.0,2285.0,9.0,3298.0,25018.0,5400.0,2920.0,250.0,363.0,60.0,-1.0,-1.0,210.0,61000.0,779.0,5244.0,521.0,3199.0,833.0,1500.0,5100.0,,15977.0,13.0,850.0,200.0,6700.0,5100.0,16800.0,97.0,10000.0,,27746.0,1500.0,5487.0,8650.0,5003.0,375.0,12000.0,4500.0,1360.0,129.0,13680.0,45.0,335.0,5618.0,591.0
1999,8823.0,-1.0,12399.0,728.0,4059.0,3359.0,4400.0,2870.0,12489.0,1650.0,67.0,2.0,3200.0,3542.0,2500.0,15150.0,,,100.0,1500.0,7500.0,657.0,400.0,8500.0,13823.0,2000.0,3786.0,13927.0,40.0,2406.0,7.0,2813.0,24777.0,5200.0,3281.0,260.0,433.0,70.0,17300.0,1900.0,178.0,62300.0,779.0,5303.0,514.0,3350.0,400.0,1200.0,5500.0,,15881.0,16.0,700.0,210.0,9100.0,5500.0,17000.0,97.0,9700.0,,28035.0,1500.0,5490.0,8248.0,5628.0,402.0,12000.0,5000.0,1334.0,142.0,13950.0,34.0,400.0,5785.0,318.0
2000,9100.0,-1.0,12420.0,1100.0,3859.0,3100.0,4639.0,2770.0,12909.0,1500.0,73.0,8.0,3300.0,3585.0,2119.0,15340.0,,,100.0,1500.0,9000.0,628.0,403.0,17000.0,16100.0,1716.0,3300.0,13921.0,43.0,2455.0,7.0,2200.0,23487.0,7200.0,3470.0,220.0,440.0,71.0,17400.0,1665.0,160.0,53650.0,784.0,5363.0,519.0,4960.0,300.0,1350.0,5500.0,,15894.0,13.0,759.0,203.0,9400.0,5475.0,18000.0,100.0,9720.0,,29024.0,1800.0,4389.0,8248.0,4873.0,396.0,11600.0,7000.0,1260.0,132.0,13390.0,40.0,388.0,5606.0,680.0
2001,8845.0,-1.0,12500.0,1410.0,4443.0,3746.0,4555.0,2560.0,13015.0,1150.0,72.0,10.0,3354.0,3516.0,2222.0,15343.0,,,100.0,1700.0,6900.0,612.0,665.0,19000.0,16845.0,2101.0,3243.0,13700.0,43.0,2480.0,7.0,2150.0,20787.0,8000.0,3520.0,225.0,440.0,65.0,17400.0,2520.0,208.0,54625.0,784.0,5200.0,530.0,5138.0,400.0,1300.0,4700.0,,15742.0,20.0,697.0,141.0,3750.0,5781.0,19000.0,99.0,9000.0,,30620.0,1900.0,3632.0,7863.0,6000.0,412.0,11600.0,8000.0,1258.0,133.0,13530.0,45.0,192.0,4942.0,563.0
2002,8881.0,-1.0,12612.0,1392.0,3636.0,3000.0,4000.0,2310.0,13758.0,1120.0,73.0,10.0,3400.0,3528.0,2219.0,15314.0,,,100.0,1700.0,8000.0,550.0,632.0,23000.0,17881.0,1865.0,3200.0,12500.0,31.0,2350.0,7.0,2200.0,21061.0,9067.0,3625.0,230.0,385.0,68.0,17900.0,2167.0,200.0,55650.0,784.0,6014.0,558.0,6218.0,350.0,600.0,5700.0,,14815.0,20.0,636.0,200.0,4914.0,5797.0,20000.0,103.0,9000.0,,32000.0,1994.0,3919.0,7017.0,4883.0,440.0,10500.0,9000.0,1354.0,135.0,14660.0,45.0,283.0,4607.0,567.0
2003,8725.0,-1.0,12900.0,2334.0,3690.0,3100.0,4192.0,2250.0,28389.0,1100.0,78.0,10.0,3500.0,3540.0,1968.0,15633.0,,,53.0,1700.0,8300.0,550.0,532.0,19000.0,18225.0,3500.0,3400.0,12580.0,31.0,2355.0,6.0,2249.0,20686.0,9200.0,3749.0,217.0,385.0,70.0,18200.0,1655.0,210.0,56750.0,775.0,7007.0,471.0,6747.0,250.0,1500.0,5600.0,,15402.0,20.0,590.0,211.0,6208.0,6058.0,20500.0,104.0,10575.0,,32500.0,1904.0,3809.0,7220.0,4231.0,390.0,10200.0,9500.0,1457.0,137.0,16330.0,50.0,307.0,8461.0,476.0
2004,7957.0,,13100.0,2300.0,2953.0,2363.0,4100.0,2435.0,28972.0,1130.0,84.0,10.0,3500.0,633.0,1903.0,15551.0,,,53.0,2000.0,8000.0,566.0,350.0,26000.0,17957.0,4151.0,5100.0,12490.0,31.0,2400.0,4.0,2275.0,19858.0,7400.0,3889.0,202.0,443.0,75.0,17300.0,1720.0,200.0,57500.0,775.0,5200.0,592.0,7484.0,550.0,500.0,5731.0,,15257.0,20.0,590.0,300.0,5798.0,6300.0,23400.0,105.0,9400.0,,45931.0,1812.0,3468.0,7017.0,7000.0,327.0,10000.0,10000.0,1490.0,138.0,19375.0,55.0,311.0,8151.0,417.0
