,Slovakia,USSR,Poland,Belarus,Denmark,Cameroon,Kyrgyzstan,Georgia,Greece,Azerbaijan,France,Republic of Moldova,Italy,Slovenia,Hungary,Turkey,Tajikistan,Portugal,Tunisia,Iran (Islamic Republic of),Uzbekistan,China,United States of America,Armenia,"China, mainland",Chile,Cyprus,Mongolia,Spain,Croatia,Bulgaria,Ukraine,Romania
2003,,,14172.0,12851.0,,10132.0,6875.0,18279.0,21600.0,11169.0,15293.0,9837.0,12229.0,29063.0,12212.0,13031.0,13199.0,9506.0,9999.0,7464.0,9202.0,15940.0,30342.0,,15940.0,,3448.0,10169.0,5819.0,14013.0,1250.0,2368.0,
2004,,,13798.0,12243.0,11667.0,10020.0,7229.0,18102.0,31650.0,3055.0,25062.0,9506.0,21236.0,30000.0,8468.0,8906.0,12453.0,8019.0,9963.0,8472.0,9139.0,16326.0,29600.0,,16326.0,,4598.0,10392.0,13074.0,13045.0,1887.0,6667.0,32000.0
2005,,,11603.0,11622.0,11667.0,9920.0,7870.0,18214.0,24019.0,15353.0,16877.0,9175.0,12972.0,30313.0,7417.0,13600.0,12420.0,6530.0,9909.0,9184.0,9010.0,16625.0,21862.0,,16625.0,,4556.0,10276.0,11319.0,10225.0,902.0,4333.0,10833.0
2006,,,11767.0,10929.0,11667.0,10000.0,7563.0,18077.0,23473.0,14169.0,20599.0,8841.0,20393.0,22813.0,7556.0,16825.0,12379.0,8349.0,9864.0,9231.0,8968.0,16471.0,32476.0,,16471.0,1163.0,3478.0,10158.0,12444.0,10133.0,1383.0,3333.0,20851.0
2007,,,11194.0,9795.0,8333.0,10221.0,7204.0,17667.0,22960.0,13735.0,18419.0,8504.0,17733.0,26744.0,8977.0,12214.0,12338.0,8322.0,9819.0,9494.0,8922.0,16667.0,29003.0,36964.0,16667.0,2299.0,4706.0,10039.0,9602.0,9952.0,242.0,3333.0,30000.0
2008,,,10968.0,9406.0,7169.0,10500.0,6737.0,18700.0,28750.0,12859.0,15383.0,8159.0,15741.0,12093.0,9515.0,19415.0,12301.0,8333.0,9775.0,10101.0,8891.0,17579.0,25259.0,43982.0,17579.0,3913.0,4750.0,9688.0,15787.0,6867.0,286.0,6667.0,12000.0
2009,10000.0,,11472.0,9045.0,9477.0,9727.0,6464.0,18167.0,25000.0,13712.0,25120.0,7500.0,15115.0,45385.0,6970.0,11873.0,12274.0,8942.0,9730.0,10500.0,8879.0,17143.0,36713.0,46496.0,17143.0,5101.0,14194.0,9811.0,7079.0,6791.0,1054.0,2500.0,10000.0
2010,10000.0,,7410.0,7500.0,9574.0,10000.0,6560.0,18420.0,32500.0,12980.0,24179.0,7379.0,16147.0,17368.0,8944.0,13875.0,12500.0,8550.0,9685.0,10026.0,8462.0,18330.0,21644.0,41667.0,18330.0,3602.0,10000.0,9830.0,10930.0,13538.0,468.0,10000.0,28000.0
2011,10000.0,,8894.0,8532.0,9318.0,10682.0,6491.0,18460.0,30000.0,14165.0,17890.0,6973.0,18291.0,14576.0,9574.0,10001.0,12500.0,9074.0,9640.0,9256.0,10400.0,20000.0,30282.0,41538.0,20000.0,6893.0,8367.0,9899.0,12504.0,7515.0,347.0,10000.0,36429.0
2012,,,11457.0,7647.0,9062.0,12097.0,6423.0,18312.0,25759.0,12464.0,23343.0,6000.0,14697.0,15806.0,9167.0,15612.0,12500.0,7726.0,9596.0,9368.0,9200.0,20000.0,30249.0,41538.0,20000.0,7252.0,14000.0,9810.0,10355.0,1580.0,4539.0,5000.0,5000.0
2013,,,12811.0,8211.0,8806.0,11160.0,6354.0,18308.0,30000.0,12570.0,17309.0,6667.0,15764.0,13692.0,5000.0,7819.0,12500.0,8619.0,9551.0,9257.0,10333.0,20000.0,33624.0,38462.0,20000.0,10904.0,11351.0,9722.0,11092.0,6128.0,3284.0,5000.0,6707.0
2014,,,13748.0,7647.0,8550.0,10908.0,6286.0,18303.0,24118.0,11821.0,22128.0,6667.0,10462.0,9571.0,4077.0,6418.0,12500.0,8980.0,9506.0,9146.0,11333.0,19785.0,26900.0,38462.0,19785.0,,24118.0,9633.0,9964.0,3428.0,3938.0,3333.0,4743.0
