,Ukraine,Bolivia (Plurinational State of),Peru,Belarus,Croatia,Serbia,India,Armenia,Syrian Arab Republic,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,Pakistan,Yugoslav SFR,Belgium,Netherlands,Greece,New Zealand,Guyana,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Slovenia,Morocco,Republic of Moldova,Kyrgyzstan,Cyprus,Argentina,Luxembourg,Georgia,Germany,Austria,Czechoslovakia,Sweden,Switzerland,Mexico,USSR,Romania,Azerbaijan,Spain,Jordan,Bosnia and Herzegovina,China,Tunisia,Uzbekistan,South Africa,Latvia,Albania,Portugal,Slovakia,Lebanon,Czechia,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Israel,Suriname,Australia,France,Lithuania,Poland,"China, mainland",Russian Federation,Turkey,Norway,Italy,Belgium-Luxembourg
1971,-1.0,16667.0,61753.0,-1.0,-1.0,-1.0,26667.0,-1.0,8244.0,46000.0,-1.0,50854.0,-1.0,28940.0,-1.0,-1.0,-1.0,-1.0,54968.0,56420.0,-1.0,121841.0,56784.0,60689.0,58824.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28486.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28205.0,-1.0,-1.0,91818.0,20000.0,-1.0,-1.0,-1.0,-1.0,28000.0,-1.0,-1.0,80808.0,-1.0,44137.0,-1.0,-1.0,28333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56803.0,81808.0,-1.0,-1.0,-1.0,-1.0,47361.0,-1.0,74426.0,154667.0
1972,-1.0,16667.0,60112.0,-1.0,-1.0,-1.0,26667.0,-1.0,19523.0,45000.0,-1.0,50727.0,-1.0,41797.0,-1.0,-1.0,-1.0,-1.0,46145.0,46275.0,-1.0,107429.0,63717.0,40928.0,59420.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42729.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20333.0,-1.0,-1.0,80556.0,20000.0,-1.0,-1.0,-1.0,-1.0,38882.0,-1.0,-1.0,81347.0,-1.0,61121.0,-1.0,-1.0,28333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64769.0,74822.0,-1.0,-1.0,-1.0,-1.0,54931.0,-1.0,64543.0,62333.0
1973,-1.0,16667.0,59050.0,-1.0,-1.0,-1.0,26667.0,-1.0,19099.0,38500.0,-1.0,50898.0,-1.0,60741.0,-1.0,-1.0,-1.0,-1.0,58611.0,55098.0,-1.0,109850.0,63708.0,66840.0,60000.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,36157.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31000.0,-1.0,-1.0,67843.0,25000.0,-1.0,-1.0,-1.0,-1.0,37824.0,-1.0,-1.0,52973.0,-1.0,73042.0,-1.0,-1.0,25833.0,-1.0,-1.0,-1.0,-1.0,66667.0,-1.0,64244.0,74352.0,-1.0,-1.0,-1.0,-1.0,54156.0,-1.0,58553.0,80000.0
1974,-1.0,16667.0,58587.0,-1.0,-1.0,-1.0,26667.0,-1.0,8818.0,44091.0,-1.0,50760.0,-1.0,64158.0,-1.0,-1.0,-1.0,-1.0,50459.0,54845.0,-1.0,101932.0,58776.0,60580.0,59722.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,21690.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25854.0,-1.0,-1.0,72500.0,40000.0,-1.0,-1.0,-1.0,-1.0,37545.0,-1.0,-1.0,50655.0,-1.0,117486.0,-1.0,-1.0,31632.0,-1.0,-1.0,-1.0,-1.0,66667.0,-1.0,59019.0,76004.0,-1.0,-1.0,-1.0,-1.0,54472.0,-1.0,47119.0,154000.0
1975,-1.0,16250.0,57104.0,-1.0,-1.0,-1.0,26667.0,-1.0,11606.0,35500.0,-1.0,50709.0,-1.0,46528.0,-1.0,-1.0,-1.0,-1.0,61856.0,50714.0,-1.0,126165.0,72193.0,64609.0,61644.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,28915.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29750.0,-1.0,-1.0,63238.0,12857.0,-1.0,-1.0,-1.0,-1.0,36385.0,-1.0,-1.0,51426.0,-1.0,66667.0,-1.0,-1.0,30368.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,73887.0,53576.0,-1.0,-1.0,-1.0,-1.0,57630.0,-1.0,65655.0,94000.0
1976,-1.0,16250.0,52985.0,-1.0,-1.0,-1.0,26667.0,-1.0,12961.0,39091.0,-1.0,50709.0,-1.0,59375.0,-1.0,-1.0,-1.0,-1.0,59393.0,51009.0,-1.0,106813.0,69877.0,74407.0,63514.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,19210.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30500.0,-1.0,-1.0,71376.0,21750.0,-1.0,-1.0,-1.0,-1.0,37091.0,-1.0,-1.0,72123.0,-1.0,71429.0,-1.0,-1.0,29419.0,-1.0,-1.0,-1.0,-1.0,75000.0,-1.0,71390.0,81585.0,-1.0,-1.0,-1.0,-1.0,65219.0,-1.0,53163.0,106000.0
1977,-1.0,16250.0,46615.0,-1.0,-1.0,-1.0,26667.0,-1.0,25764.0,36250.0,-1.0,50800.0,-1.0,57597.0,-1.0,-1.0,-1.0,-1.0,53039.0,36355.0,-1.0,76060.0,50659.0,64942.0,65333.0,-1.0,10132.0,-1.0,-1.0,-1.0,-1.0,29321.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34857.0,-1.0,-1.0,46491.0,20000.0,-1.0,-1.0,-1.0,-1.0,37571.0,-1.0,-1.0,39776.0,-1.0,76190.0,-1.0,-1.0,27688.0,-1.0,-1.0,-1.0,-1.0,66667.0,-1.0,51845.0,34517.0,-1.0,-1.0,-1.0,-1.0,68267.0,-1.0,44759.0,79333.0
1978,-1.0,16667.0,44615.0,-1.0,-1.0,-1.0,23077.0,-1.0,23226.0,45000.0,-1.0,50650.0,-1.0,55789.0,-1.0,-1.0,-1.0,-1.0,51280.0,45273.0,-1.0,85248.0,57066.0,70877.0,68421.0,-1.0,10040.0,-1.0,-1.0,-1.0,-1.0,29813.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31351.0,-1.0,-1.0,60968.0,20000.0,-1.0,-1.0,-1.0,-1.0,41143.0,-1.0,-1.0,35045.0,-1.0,80952.0,-1.0,-1.0,32222.0,-1.0,-1.0,-1.0,-1.0,75000.0,-1.0,58104.0,57614.0,-1.0,-1.0,-1.0,-1.0,68252.0,-1.0,32793.0,70967.0
1979,-1.0,16176.0,43231.0,-1.0,-1.0,-1.0,23077.0,-1.0,19970.0,44286.0,-1.0,50787.0,-1.0,61702.0,-1.0,-1.0,-1.0,-1.0,45951.0,46429.0,-1.0,82276.0,54595.0,84455.0,67123.0,-1.0,11154.0,-1.0,-1.0,-1.0,-1.0,40593.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38667.0,-1.0,-1.0,61445.0,27222.0,-1.0,-1.0,-1.0,-1.0,27600.0,-1.0,-1.0,41774.0,-1.0,81818.0,-1.0,-1.0,30350.0,-1.0,-1.0,-1.0,-1.0,75000.0,-1.0,55344.0,76667.0,-1.0,-1.0,-1.0,-1.0,68148.0,-1.0,54877.0,101447.0
1980,-1.0,15556.0,24000.0,-1.0,-1.0,-1.0,16667.0,-1.0,16217.0,44375.0,-1.0,50661.0,-1.0,54317.0,18478.0,-1.0,-1.0,-1.0,43415.0,45000.0,-1.0,69378.0,41887.0,81893.0,69737.0,-1.0,12056.0,-1.0,-1.0,-1.0,-1.0,31418.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34906.0,31667.0,-1.0,-1.0,59478.0,20000.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,-1.0,38144.0,-1.0,82609.0,-1.0,-1.0,29137.0,-1.0,-1.0,-1.0,-1.0,90909.0,-1.0,41489.0,62611.0,-1.0,-1.0,-1.0,-1.0,69854.0,-1.0,42679.0,74740.0
1981,-1.0,17857.0,28650.0,-1.0,-1.0,-1.0,20000.0,-1.0,16889.0,35000.0,-1.0,45460.0,-1.0,47059.0,21000.0,-1.0,-1.0,-1.0,68058.0,58516.0,-1.0,87587.0,55197.0,75498.0,72727.0,-1.0,10904.0,-1.0,-1.0,-1.0,-1.0,25337.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30926.0,39000.0,-1.0,-1.0,53786.0,10000.0,-1.0,-1.0,-1.0,-1.0,39909.0,-1.0,-1.0,37062.0,-1.0,83333.0,-1.0,-1.0,27488.0,-1.0,-1.0,-1.0,-1.0,92593.0,-1.0,54840.0,52606.0,-1.0,-1.0,-1.0,-1.0,69429.0,-1.0,48214.0,44187.0
1982,-1.0,23860.0,30000.0,-1.0,-1.0,-1.0,20000.0,-1.0,30133.0,45333.0,-1.0,45400.0,-1.0,58779.0,21818.0,-1.0,-1.0,-1.0,57750.0,45549.0,-1.0,56712.0,46079.0,78362.0,74359.0,-1.0,10006.0,-1.0,-1.0,-1.0,-1.0,36723.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29630.0,42857.0,-1.0,-1.0,50278.0,10000.0,-1.0,-1.0,-1.0,-1.0,44385.0,-1.0,-1.0,44309.0,-1.0,98000.0,-1.0,-1.0,27609.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,46161.0,64842.0,-1.0,-1.0,-1.0,-1.0,76364.0,-1.0,51619.0,122786.0
1983,-1.0,17535.0,30369.0,-1.0,-1.0,-1.0,23077.0,-1.0,20732.0,36250.0,-1.0,45486.0,-1.0,92692.0,25862.0,-1.0,-1.0,-1.0,52894.0,45000.0,-1.0,75082.0,37841.0,91475.0,75000.0,-1.0,13096.0,-1.0,-1.0,-1.0,-1.0,38554.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64444.0,48333.0,-1.0,-1.0,49396.0,19000.0,-1.0,-1.0,-1.0,-1.0,42632.0,-1.0,-1.0,43181.0,-1.0,96154.0,-1.0,-1.0,29167.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,36711.0,56114.0,-1.0,-1.0,-1.0,-1.0,78571.0,-1.0,58867.0,98588.0
1984,-1.0,13682.0,33596.0,-1.0,-1.0,-1.0,23077.0,-1.0,19663.0,45000.0,-1.0,45267.0,-1.0,57915.0,28346.0,-1.0,-1.0,-1.0,59673.0,45714.0,-1.0,81115.0,31963.0,91577.0,77500.0,-1.0,9715.0,-1.0,-1.0,-1.0,-1.0,26506.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52000.0,42857.0,-1.0,-1.0,48323.0,4615.0,-1.0,-1.0,-1.0,-1.0,42429.0,-1.0,-1.0,40219.0,-1.0,98182.0,-1.0,-1.0,30192.0,-1.0,-1.0,-1.0,-1.0,88889.0,-1.0,29888.0,66892.0,-1.0,-1.0,-1.0,-1.0,73258.0,-1.0,68975.0,111324.0
1985,-1.0,14136.0,35714.0,-1.0,-1.0,-1.0,23077.0,-1.0,61419.0,57687.0,56459.0,45737.0,-1.0,88593.0,34109.0,37921.0,-1.0,36000.0,40504.0,48295.0,-1.0,84112.0,34246.0,66446.0,81250.0,-1.0,12713.0,-1.0,30000.0,-1.0,-1.0,29940.0,60909.0,-1.0,-1.0,51186.0,74813.0,26302.0,54545.0,100407.0,51667.0,44643.0,45385.0,-1.0,36009.0,8636.0,-1.0,-1.0,-1.0,-1.0,40226.0,-1.0,17647.0,40563.0,-1.0,98276.0,-1.0,-1.0,31786.0,31054.0,-1.0,-1.0,-1.0,100000.0,-1.0,32168.0,53053.0,-1.0,21749.0,-1.0,-1.0,90171.0,60018.0,67932.0,97063.0
1986,-1.0,15565.0,33866.0,-1.0,-1.0,-1.0,8800.0,-1.0,48140.0,45951.0,49180.0,45148.0,-1.0,63258.0,35000.0,34880.0,-1.0,58000.0,46081.0,47368.0,-1.0,92385.0,34141.0,68046.0,81395.0,-1.0,14031.0,-1.0,33333.0,-1.0,-1.0,35928.0,35227.0,-1.0,-1.0,52233.0,81066.0,25580.0,59364.0,94980.0,13500.0,48750.0,43474.0,-1.0,28914.0,30000.0,-1.0,-1.0,-1.0,-1.0,36857.0,-1.0,42424.0,30721.0,-1.0,100000.0,-1.0,-1.0,31148.0,26554.0,-1.0,-1.0,-1.0,100000.0,-1.0,32098.0,49091.0,-1.0,26077.0,-1.0,-1.0,94384.0,54551.0,54937.0,172833.0
1987,-1.0,16000.0,33618.0,-1.0,-1.0,-1.0,8137.0,-1.0,40213.0,42706.0,57011.0,45416.0,-1.0,70833.0,34968.0,41484.0,-1.0,56000.0,49671.0,48246.0,-1.0,93679.0,33230.0,103393.0,84884.0,-1.0,13332.0,-1.0,36667.0,-1.0,-1.0,23952.0,26136.0,-1.0,-1.0,53231.0,67489.0,23903.0,37545.0,92391.0,20000.0,36486.0,41056.0,-1.0,29870.0,25000.0,-1.0,-1.0,-1.0,-1.0,40143.0,-1.0,30303.0,24502.0,-1.0,104688.0,-1.0,-1.0,20161.0,30782.0,-1.0,-1.0,-1.0,90000.0,-1.0,30636.0,54118.0,-1.0,12000.0,-1.0,-1.0,78776.0,54830.0,63143.0,150000.0
1988,-1.0,16667.0,35000.0,-1.0,-1.0,-1.0,16000.0,-1.0,60625.0,20000.0,57377.0,45515.0,-1.0,67647.0,33314.0,43172.0,-1.0,34000.0,46811.0,46332.0,-1.0,79625.0,32236.0,87773.0,85227.0,-1.0,13286.0,-1.0,40000.0,-1.0,-1.0,38235.0,40000.0,-1.0,-1.0,50588.0,56748.0,27034.0,47500.0,73025.0,35500.0,38571.0,44000.0,-1.0,18491.0,33333.0,-1.0,-1.0,-1.0,-1.0,36220.0,-1.0,30303.0,14925.0,-1.0,104348.0,-1.0,-1.0,34032.0,32095.0,-1.0,-1.0,-1.0,100000.0,-1.0,29850.0,43000.0,-1.0,27992.0,-1.0,-1.0,86301.0,58049.0,56718.0,117143.0
1989,-1.0,16182.0,33290.0,-1.0,-1.0,-1.0,26515.0,-1.0,50962.0,40820.0,57377.0,59809.0,-1.0,50523.0,33583.0,48148.0,-1.0,10000.0,43235.0,50000.0,-1.0,90721.0,28889.0,88742.0,91953.0,-1.0,15376.0,-1.0,52000.0,-1.0,-1.0,20588.0,48333.0,-1.0,-1.0,49634.0,87643.0,34374.0,3333.0,65757.0,13158.0,40588.0,44389.0,-1.0,27071.0,28718.0,-1.0,-1.0,-1.0,-1.0,31520.0,-1.0,42424.0,34834.0,-1.0,106849.0,-1.0,-1.0,42496.0,32220.0,-1.0,-1.0,-1.0,93333.0,-1.0,25201.0,60118.0,-1.0,21547.0,-1.0,-1.0,83997.0,41956.0,53769.0,65714.0
1990,-1.0,16071.0,31049.0,-1.0,-1.0,-1.0,24615.0,-1.0,35273.0,18142.0,52715.0,37751.0,-1.0,52787.0,34503.0,44767.0,-1.0,15000.0,55632.0,60000.0,-1.0,78722.0,31982.0,71411.0,92747.0,-1.0,10090.0,-1.0,38333.0,-1.0,-1.0,26866.0,51115.0,-1.0,-1.0,50828.0,24090.0,24221.0,2958.0,66215.0,20000.0,38571.0,38908.0,-1.0,22408.0,26981.0,-1.0,-1.0,45455.0,-1.0,26000.0,-1.0,41322.0,37500.0,-1.0,110526.0,-1.0,-1.0,46128.0,29096.0,-1.0,-1.0,-1.0,100000.0,-1.0,27372.0,49953.0,-1.0,14606.0,-1.0,-1.0,87126.0,55901.0,43366.0,79231.0
1991,-1.0,17036.0,32283.0,-1.0,-1.0,-1.0,26429.0,-1.0,36071.0,25757.0,42397.0,41733.0,-1.0,47385.0,35700.0,41766.0,-1.0,10000.0,33682.0,79220.0,-1.0,58174.0,41618.0,74066.0,87046.0,-1.0,12090.0,-1.0,45000.0,-1.0,-1.0,34286.0,45503.0,-1.0,-1.0,75715.0,25742.0,26468.0,5689.0,37260.0,51000.0,35429.0,35059.0,-1.0,29240.0,20132.0,-1.0,-1.0,45833.0,-1.0,36460.0,-1.0,39878.0,46338.0,-1.0,134327.0,-1.0,-1.0,48658.0,29994.0,-1.0,-1.0,-1.0,61594.0,-1.0,36417.0,34010.0,-1.0,21121.0,-1.0,-1.0,89998.0,69100.0,40376.0,58667.0
1992,15213.0,15536.0,34892.0,-1.0,47180.0,-1.0,26272.0,-1.0,65334.0,55693.0,54018.0,24937.0,80162.0,44868.0,36756.0,-1.0,-1.0,16000.0,52181.0,42647.0,-1.0,73112.0,33414.0,100921.0,79783.0,45402.0,15699.0,683333.0,116667.0,32500.0,20000.0,22857.0,45879.0,-1.0,42500.0,297755.0,30863.0,36168.0,3333.0,88658.0,-1.0,-1.0,43976.0,-1.0,34574.0,20625.0,27861.0,-1.0,44444.0,36000.0,36385.0,-1.0,39793.0,44718.0,-1.0,143541.0,-1.0,-1.0,42623.0,35271.0,-1.0,27500.0,15809.0,65278.0,-1.0,31740.0,50064.0,-1.0,29149.0,-1.0,31300.0,90116.0,49257.0,54015.0,136667.0
1993,23018.0,18070.0,37857.0,-1.0,43750.0,-1.0,26667.0,-1.0,59672.0,38860.0,60000.0,27472.0,65643.0,49300.0,37438.0,-1.0,-1.0,26000.0,49214.0,53114.0,-1.0,32204.0,36213.0,80969.0,88281.0,45302.0,18726.0,576000.0,157143.0,35000.0,18462.0,50000.0,46256.0,-1.0,46667.0,252280.0,34480.0,-1.0,3333.0,62668.0,-1.0,-1.0,65679.0,-1.0,31141.0,30000.0,20000.0,-1.0,44828.0,35687.0,37533.0,-1.0,36916.0,36906.0,34848.0,144444.0,75148.0,-1.0,51447.0,21810.0,-1.0,20000.0,25781.0,93750.0,-1.0,33178.0,48001.0,-1.0,33294.0,-1.0,31294.0,87128.0,47255.0,54265.0,176364.0
1994,20000.0,18966.0,46053.0,-1.0,40858.0,-1.0,26250.0,-1.0,49760.0,19280.0,49160.0,53222.0,68878.0,36957.0,35244.0,-1.0,-1.0,6000.0,53246.0,54745.0,-1.0,53714.0,43671.0,93749.0,86667.0,44606.0,11239.0,697846.0,28571.0,33333.0,20000.0,46667.0,46633.0,-1.0,48333.0,196789.0,28914.0,-1.0,3333.0,50250.0,49897.0,-1.0,44841.0,-1.0,25071.0,39595.0,18039.0,-1.0,45161.0,37768.0,34952.0,-1.0,32609.0,32209.0,46084.0,150000.0,73724.0,-1.0,56250.0,49269.0,-1.0,28571.0,15346.0,80462.0,-1.0,41694.0,53015.0,-1.0,29743.0,-1.0,24792.0,86566.0,45191.0,57019.0,97273.0
