,Ukraine,Democratic People's Republic of Korea,India,Austria,Serbia and Montenegro,Croatia,Czechoslovakia,Saudi Arabia,Sweden,Germany,USSR,Romania,Netherlands,Syrian Arab Republic,Bosnia and Herzegovina,China,Pakistan,Japan,Portugal,Yugoslav SFR,Republic of Korea,Cyprus,Chile,Hungary,Spain,Bulgaria,Bangladesh,France,Poland,"China, mainland",Russian Federation,Czechia,Italy,Turkey
1977,-1.0,2300.0,-1,-1.0,-1.0,-1.0,1520.0,-1,-1.0,-1.0,52100.0,27400.0,-1.0,194.0,-1.0,90000.0,-1,300.0,-1.0,8640.0,646.0,-1,4000.0,17664.0,603.0,4822.0,-1,200.0,14073.0,90000.0,-1.0,-1.0,96.0,9100.0
1978,-1.0,2300.0,-1,-1.0,-1.0,-1.0,1556.0,-1,-1.0,-1.0,42400.0,27200.0,-1.0,41.0,-1.0,88550.0,-1,200.0,-1.0,7680.0,650.0,-1,3500.0,11019.0,1090.0,3970.0,-1,2500.0,14115.0,88550.0,-1.0,-1.0,47.0,8500.0
1979,-1.0,2300.0,-1,-1.0,-1.0,-1.0,1897.0,-1,-1.0,-1.0,35200.0,29700.0,-1.0,18.0,-1.0,89950.0,-1,200.0,-1.0,5600.0,650.0,-1,3500.0,14559.0,976.0,5427.0,-1,3400.0,2803.0,89950.0,-1.0,-1.0,20.0,11000.0
1980,-1.0,2500.0,-1,-1.0,-1.0,-1.0,1620.0,-1,-1.0,-1.0,33300.0,26100.0,-1.0,0.0,-1.0,76000.0,-1,100.0,-1.0,4320.0,900.0,-1,3600.0,11148.0,356.0,2822.0,-1,5400.0,4267.0,76000.0,-1.0,-1.0,10.0,14000.0
1981,-1.0,3000.0,-1,-1.0,-1.0,-1.0,413.0,-1,-1.0,-1.0,26000.0,22800.0,-1.0,-1.0,-1.0,50000.0,-1,100.0,-1.0,4640.0,1000.0,-1,3600.0,9491.0,720.0,3758.0,-1,6600.0,4965.0,50000.0,-1.0,-1.0,10.0,12000.0
1982,-1.0,3500.0,-1,-1.0,-1.0,-1.0,620.0,-1,-1.0,-1.0,30000.0,22500.0,-1.0,-1.0,-1.0,36000.0,-1,50.0,-1.0,5280.0,1000.0,-1,3600.0,8250.0,1241.0,3432.0,-1,4700.0,3999.0,36000.0,-1.0,-1.0,-1.0,9800.0
1983,-1.0,4000.0,-1,-1.0,-1.0,-1.0,645.0,-1,-1.0,-1.0,41000.0,28300.0,-1.0,-1.0,-1.0,28900.0,-1,50.0,-1.0,6400.0,1000.0,-1,3700.0,9379.0,343.0,4423.0,-1,6400.0,2876.0,28900.0,-1.0,-1.0,-1.0,8220.0
1984,-1.0,5000.0,-1,-1.0,-1.0,-1.0,795.0,-1,-1.0,-1.0,41000.0,33450.0,-1.0,-1.0,-1.0,33000.0,-1,24.0,-1.0,5920.0,950.0,-1,3800.0,10698.0,1042.0,3750.0,-1,2700.0,1902.0,33000.0,-1.0,-1.0,-1.0,8875.0
1985,-1.0,6000.0,-1,-1.0,-1.0,-1.0,942.0,-1,-1.0,-1.0,31000.0,29564.0,-1.0,-1.0,-1.0,54884.0,-1,14.0,-1.0,7680.0,900.0,-1,3800.0,11185.0,1771.0,2214.0,-1,800.0,2053.0,54884.0,-1.0,-1.0,-1.0,4350.0
1986,-1.0,7500.0,-1,-1.0,-1.0,-1.0,664.0,-1,-1.0,-1.0,24000.0,24000.0,-1.0,-1.0,-1.0,54993.0,-1,15.0,-1.0,9280.0,700.0,-1,3800.0,12043.0,5955.0,3582.0,-1,2100.0,2498.0,54993.0,-1.0,-1.0,-1.0,4500.0
1987,-1.0,8000.0,-1,-1.0,-1.0,-1.0,694.0,-1,-1.0,-1.0,21000.0,35800.0,-1.0,-1.0,-1.0,65000.0,-1,17.0,-1.0,4800.0,482.0,-1,4000.0,13219.0,1981.0,1368.0,-1,2500.0,3555.0,65000.0,-1.0,-1.0,-1.0,5100.0
1988,-1.0,8500.0,-1,-1.0,-1.0,-1.0,73.0,-1,-1.0,-1.0,24000.0,26300.0,-1.0,-1.0,-1.0,68000.0,-1,20.0,-1.0,808.0,846.0,-1,4000.0,8035.0,529.0,604.0,-1,2400.0,2984.0,68000.0,-1.0,-1.0,-1.0,4950.0
1989,-1.0,8800.0,-1,-1.0,-1.0,-1.0,0.0,-1,-1.0,-1.0,24000.0,27800.0,-1.0,-1.0,-1.0,26302.0,-1,20.0,-1.0,2288.0,587.0,-1,4000.0,4290.0,632.0,472.0,-1,200.0,2483.0,26302.0,-1.0,-1.0,-1.0,6000.0
1990,-1.0,9500.0,-1,0.0,-1.0,-1.0,0.0,-1,-1.0,-1.0,16000.0,13840.0,-1.0,0.0,-1.0,31100.0,-1,20.0,-1.0,1573.0,505.0,-1,4000.0,1709.0,767.0,389.0,-1,200.0,794.0,31100.0,-1.0,-1.0,-1.0,3600.0
1991,-1.0,10000.0,-1,0.0,-1.0,-1.0,0.0,-1,-1.0,-1.0,14000.0,11200.0,-1.0,0.0,-1.0,17982.0,-1,0.0,-1.0,1550.0,682.0,-1,4000.0,1400.0,583.0,395.0,-1,200.0,50.0,17982.0,-1.0,-1.0,-1.0,4400.0
1992,4598.0,10800.0,-1,9.0,657.0,40.0,0.0,-1,-1.0,-1.0,-1.0,7400.0,-1.0,0.0,0.0,24364.0,-1,0.0,-1.0,-1.0,600.0,-1,4000.0,400.0,7215.0,0.0,-1,200.0,26.0,24364.0,11600.0,-1.0,-1.0,4409.0
1993,3000.0,10500.0,-1,4.0,180.0,16.0,-1.0,-1,-1.0,-1.0,-1.0,1440.0,-1.0,-1.0,-1.0,27254.0,-1,0.0,-1.0,-1.0,600.0,-1,4000.0,100.0,4037.0,27.0,-1,200.0,187.0,27254.0,7700.0,-1.0,-1.0,4350.0
1994,2000.0,12000.0,-1,3.0,769.0,20.0,-1.0,-1,-1.0,-1.0,-1.0,1080.0,-1.0,-1.0,-1.0,22003.0,-1,0.0,-1.0,-1.0,365.0,-1,4000.0,690.0,1818.0,0.0,-1,200.0,361.0,22003.0,3400.0,-1.0,-1.0,2800.0
1995,1000.0,11000.0,-1,1200.0,615.0,0.0,-1.0,-1,-1.0,-1.0,-1.0,1416.0,-1.0,-1.0,-1.0,22400.0,-1,0.0,-1.0,-1.0,421.0,-1,4000.0,690.0,8218.0,10.0,-1,2.0,224.0,22400.0,4300.0,-1.0,-1.0,2350.0
1996,1000.0,11000.0,-1,0.0,629.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,13000.0,-1.0,-1.0,-1.0,20620.0,-1,0.0,-1.0,-1.0,407.0,-1,4000.0,2017.0,5582.0,0.0,-1,0.0,112.0,20620.0,4000.0,-1.0,-1.0,3500.0
1997,1000.0,11000.0,-1,0.0,457.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,9600.0,10000.0,-1.0,-1.0,19225.0,-1,0.0,-1.0,-1.0,448.0,-1,4000.0,2086.0,9980.0,21.0,-1,260.0,150.0,19225.0,3000.0,-1.0,-1.0,2300.0
1998,1000.0,12000.0,-1,0.0,200.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,11100.0,6300.0,-1.0,-1.0,16896.0,-1,0.0,-1.0,-1.0,267.0,-1,4000.0,1989.0,22527.0,3.0,-1,400.0,50.0,16896.0,2200.0,-1.0,-1.0,1000.0
1999,1000.0,12000.0,-1,0.0,200.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,7300.0,9800.0,-1.0,-1.0,13000.0,-1,1.0,-1.0,-1.0,326.0,-1,4000.0,350.0,17160.0,-1.0,-1,370.0,50.0,13000.0,4100.0,-1.0,507.0,777.0
2000,2000.0,12500.0,-1,0.0,30.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,1400.0,4700.0,-1.0,-1.0,17000.0,-1,1.0,-1.0,-1.0,263.0,-1,4048.0,129.0,7047.0,-1.0,-1,370.0,50.0,17000.0,7100.0,-1.0,437.0,1244.0
2001,1000.0,12500.0,-1,0.0,20.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,2800.0,5100.0,-1.0,-1.0,20186.0,-1,1.0,-1.0,-1.0,235.0,-1,4095.0,150.0,3146.0,-1.0,-1,260.0,50.0,20186.0,5400.0,-1.0,221.0,1000.0
2002,1000.0,12800.0,-1,0.0,21.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,5600.0,14300.0,-1.0,-1.0,30104.0,-1,1.0,-1.0,-1.0,224.0,-1,4180.0,120.0,4271.0,-1.0,-1,360.0,50.0,30104.0,2900.0,-1.0,1281.0,900.0
2003,1000.0,12800.0,-1,2500.0,22.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,3200.0,10900.0,-1.0,-1.0,26000.0,-1,1.0,-1.0,-1.0,26.0,-1,4290.0,600.0,2152.0,-1.0,-1,700.0,50.0,26000.0,1800.0,-1.0,2986.0,800.0
2004,1000.0,13000.0,-1,2500.0,23.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,1900.0,2000.0,-1.0,-1.0,36000.0,-1,1.0,-1.0,-1.0,32.0,-1,4350.0,600.0,2960.0,-1.0,-1,6800.0,50.0,36000.0,1500.0,-1.0,1281.0,600.0
2005,1000.0,13000.0,-1,1900.0,44.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,4700.0,1500.0,-1.0,-1.0,41348.0,-1,1.0,-1.0,-1.0,100.0,-1,4385.0,500.0,1806.0,-1.0,-1,7100.0,50.0,41348.0,1500.0,-1.0,1200.0,55.0
2006,1000.0,13000.0,-1,3700.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,2400.0,1500.0,-1.0,-1.0,82912.0,-1,1.0,-1.0,-1.0,32.0,-1,4385.0,500.0,31.0,-1.0,-1,2500.0,57.0,82912.0,1500.0,-1.0,1200.0,60.0
2007,1000.0,13000.0,-1,2500.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,3000.0,1000.0,-1.0,-1.0,47861.0,-1,1.0,-1.0,-1.0,23.0,-1,4385.0,500.0,22.0,-1.0,-1,1000.0,65.0,47861.0,1500.0,-1.0,1200.0,38.0
2008,1000.0,13690.0,-1,1900.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,3483.0,2000.0,-1.0,-1.0,30104.0,-1,1.0,-1.0,-1.0,18.0,-1,4385.0,500.0,22.0,-1.0,-1,1000.0,73.0,30104.0,1500.0,-1.0,800.0,21.0
2009,1000.0,14000.0,-1,2500.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,3729.0,6500.0,-1.0,-1.0,12358.0,-1,1.0,-1.0,-1.0,10.0,-1,4385.0,500.0,22.0,-1.0,-1,1000.0,72.0,12358.0,1500.0,-1.0,700.0,4.0
2010,995.0,14000.0,-1,3321.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,3860.0,6000.0,-1.0,-1.0,10863.0,-1,1.0,-1.0,-1.0,17.0,-1,4385.0,501.0,1.0,-1.0,-1,1708.0,71.0,10863.0,1435.0,-1.0,834.0,10.0
2011,777.0,14000.0,-1,3139.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,3727.0,6100.0,-1.0,-1.0,15802.0,-1,1.0,-1.0,-1.0,17.0,-1,4385.0,535.0,1.0,-1.0,-1,2037.0,70.0,15802.0,1406.0,557.0,400.0,20.0
2012,806.0,14000.0,-1,3300.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,3595.0,10189.0,-1.0,-1.0,14500.0,-1,1.0,-1.0,-1.0,17.0,-1,4334.0,560.0,1.0,-1.0,-1,1843.0,70.0,14500.0,1559.0,393.0,1097.0,27.0
2013,803.0,14000.0,-1,2100.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,3462.0,10273.0,-1.0,-1.0,17700.0,-1,1.0,-1.0,-1.0,20.0,-1,4250.0,546.0,12.0,-1.0,-1,1922.0,69.0,17700.0,1553.0,900.0,1700.0,26.0
2014,801.0,14286.0,-1,3900.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,3436.0,13065.0,-1.0,-1.0,19568.0,-1,1.0,-1.0,-1.0,20.0,-1,4235.0,532.0,20.0,-1.0,-1,2001.0,68.0,19568.0,1547.0,663.0,1700.0,25.0
