,"China, Taiwan Province of",Jamaica,Japan,Poland,Argentina,Turkey,Peru,China,United States of America,Egypt,Mexico,Morocco,French Polynesia,France,Philippines,Côte d'Ivoire,Polynesia,Venezuela (Bolivarian Republic of),Iraq,Barbados
1980,111191.0,46667.0,78500.0,,82469.0,72222.0,55162.0,111191.0,54645.0,,54569.0,,94000.0,59353.0,,,94000.0,45913.0,54367.0,
1981,107680.0,49036.0,80250.0,,92566.0,73684.0,52661.0,107680.0,59745.0,,48340.0,,110625.0,66258.0,,,110625.0,48247.0,61594.0,56667.0
1982,112764.0,48050.0,80672.0,,85347.0,72222.0,47616.0,112764.0,70609.0,,58146.0,,108125.0,69202.0,,,108125.0,46197.0,63838.0,56556.0
1983,114370.0,48678.0,82000.0,,84328.0,72222.0,48559.0,114370.0,66933.0,,53113.0,,92000.0,61387.0,,,92000.0,44381.0,59051.0,53300.0
1984,117632.0,49891.0,83277.0,,82722.0,64706.0,54424.0,117632.0,68925.0,,57547.0,,104444.0,65445.0,,,104444.0,44220.0,60075.0,54857.0
1985,123605.0,53232.0,78908.0,,87500.0,71429.0,44256.0,123605.0,70885.0,,62167.0,,102857.0,69162.0,,,102857.0,43851.0,55124.0,56667.0
1986,125249.0,53922.0,83445.0,,85714.0,70000.0,45602.0,125249.0,71686.0,,54196.0,,109091.0,68950.0,,,109091.0,38393.0,57543.0,51125.0
1987,125990.0,74050.0,81148.0,,86047.0,70000.0,44163.0,125990.0,68634.0,,58706.0,,115000.0,72688.0,,,115000.0,41015.0,54480.0,60667.0
1988,116898.0,49816.0,76860.0,,88372.0,70000.0,43644.0,116898.0,60590.0,,47386.0,,110000.0,71084.0,,,110000.0,38636.0,55299.0,57700.0
1989,121228.0,54204.0,80084.0,,83721.0,66667.0,48008.0,121228.0,78302.0,,52646.0,50000.0,117000.0,63242.0,,,117000.0,37400.0,46739.0,57889.0
1990,123612.0,56102.0,76525.0,81944.0,88228.0,72770.0,51947.0,123612.0,72530.0,70000.0,56524.0,50000.0,108000.0,52864.0,31105.0,,108000.0,34279.0,65549.0,55750.0
1991,124632.0,65095.0,72920.0,82895.0,87500.0,72084.0,53379.0,124632.0,74338.0,70000.0,60582.0,50000.0,127000.0,72119.0,30627.0,,127000.0,34049.0,57484.0,55400.0
1992,124522.0,72563.0,76697.0,64000.0,86667.0,69860.0,54517.0,124522.0,68053.0,72727.0,61091.0,50000.0,108306.0,71164.0,32500.0,,108306.0,34566.0,70370.0,60882.0
1993,121518.0,82020.0,71238.0,86842.0,86957.0,64744.0,53837.0,121518.0,68459.0,71429.0,70242.0,50000.0,100000.0,74081.0,32459.0,,100000.0,34308.0,71429.0,57692.0
1994,124377.0,86987.0,73627.0,80784.0,87234.0,70370.0,50377.0,124377.0,75052.0,72727.0,52838.0,50000.0,94000.0,91543.0,34540.0,,94000.0,34437.0,71014.0,57647.0
1995,126515.0,89847.0,76190.0,79487.0,87500.0,70588.0,50251.0,126515.0,68237.0,70000.0,54242.0,71429.0,100000.0,94738.0,34131.0,,100000.0,34419.0,70714.0,64503.0
1996,123765.0,84830.0,77413.0,83824.0,87755.0,70313.0,61081.0,123765.0,76019.0,70000.0,75713.0,75862.0,101979.0,92448.0,33758.0,,101979.0,36154.0,70370.0,60714.0
1997,129298.0,79238.0,76364.0,79724.0,86448.0,71296.0,46631.0,129298.0,74214.0,60000.0,81552.0,113636.0,102340.0,99094.0,33062.0,,102340.0,37633.0,66429.0,53161.0
1998,124235.0,83992.0,72380.0,55556.0,86132.0,71784.0,25747.0,124235.0,76301.0,60000.0,66999.0,142105.0,102608.0,98057.0,31888.0,,102608.0,54953.0,63333.0,55865.0
1999,130016.0,87992.0,69585.0,85294.0,88000.0,72727.0,23078.0,130016.0,78403.0,66667.0,94186.0,175000.0,102771.0,105902.0,33506.0,,102771.0,52492.0,55744.0,55513.0
2000,129514.0,91748.0,73533.0,88571.0,85032.0,73214.0,24260.0,129514.0,87425.0,60000.0,86768.0,169953.0,103141.0,105549.0,34243.0,27242.0,103141.0,52051.0,41379.0,53165.0
2001,129035.0,103524.0,73753.0,85294.0,84052.0,70690.0,27700.0,129035.0,82434.0,60000.0,96029.0,181818.0,102523.0,109974.0,35044.0,37862.0,102523.0,62053.0,47714.0,53125.0
2002,131519.0,101779.0,72862.0,98000.0,80909.0,72881.0,27730.0,131519.0,87604.0,66667.0,95876.0,194815.0,102257.0,112839.0,36128.0,38654.0,102257.0,61943.0,40000.0,54545.0
2003,126001.0,113392.0,71698.0,87864.0,80357.0,73239.0,27157.0,126001.0,86360.0,66667.0,95918.0,200000.0,101946.0,105279.0,81931.0,29075.0,101946.0,89852.0,46476.0,54706.0
2004,129000.0,112916.0,69060.0,86276.0,81964.0,72973.0,27692.0,129000.0,92457.0,66667.0,95918.0,181818.0,101774.0,115158.0,75883.0,30042.0,101774.0,96795.0,40000.0,54857.0
2005,117897.0,111978.0,70699.0,89237.0,81831.0,73198.0,27143.0,117897.0,87509.0,60000.0,94898.0,183333.0,101164.0,117362.0,76191.0,31042.0,101164.0,97134.0,46879.0,55000.0
2006,130872.0,113724.0,67729.0,71518.0,82727.0,72516.0,29333.0,130872.0,88796.0,66667.0,95918.0,191304.0,100200.0,118003.0,76746.0,32067.0,100200.0,101386.0,48090.0,55263.0
2007,115492.0,115144.0,69460.0,88827.0,81259.0,73388.0,29250.0,115492.0,81932.0,71429.0,96040.0,216669.0,98974.0,104157.0,77843.0,33083.0,98974.0,94311.0,45385.0,56410.0
2008,111095.0,117624.0,72404.0,85203.0,80638.0,73323.0,29651.0,111095.0,85352.0,66667.0,96154.0,223808.0,106667.0,108258.0,80775.0,31523.0,106667.0,94612.0,54167.0,48939.0
2009,112319.0,108253.0,71067.0,89138.0,80073.0,72685.0,29080.0,112319.0,83919.0,72222.0,95575.0,231707.0,95340.0,119910.0,80576.0,31795.0,95340.0,95000.0,61380.0,46336.0
2010,117678.0,107682.0,65739.0,107279.0,79501.0,86115.0,27996.0,117678.0,81136.0,71429.0,98442.0,255468.0,92686.0,92390.0,80685.0,31686.0,92686.0,100456.0,75606.0,44152.0
2011,120934.0,114246.0,66252.0,94424.0,78923.0,87634.0,26424.0,120934.0,82271.0,66667.0,100475.0,200086.0,75000.0,117273.0,81341.0,31697.0,75000.0,104497.0,59888.0,42281.0
2012,120347.0,110521.0,67308.0,85232.0,77869.0,87762.0,27004.0,120347.0,87405.0,67196.0,99314.0,236757.0,88082.0,118160.0,82565.0,32498.0,88082.0,107917.0,62406.0,11300.0
2013,120363.0,104019.0,68948.0,108417.0,77810.0,86580.0,26807.0,120363.0,88453.0,69368.0,99935.0,251252.0,92993.0,115470.0,86809.0,32479.0,92993.0,118416.0,62311.0,40035.0
2014,120569.0,105537.0,70447.0,94842.0,77529.0,85773.0,26609.0,120569.0,85396.0,70190.0,100556.0,263283.0,94276.0,115230.0,85263.0,31962.0,94276.0,124151.0,69525.0,50000.0
