,Fiji,Philippines,Sri Lanka,United Republic of Tanzania,Samoa,Ethiopia,Kenya,Guyana,Costa Rica,Zambia,Uganda,Benin,Uzbekistan,Brazil,Cambodia,Niger,Honduras,Zimbabwe,Kyrgyzstan,Malawi,India,Saint Lucia,Ecuador,Indonesia,Ethiopia PDR,"China, Macao SAR",Melanesia,Malaysia,Mexico,Tajikistan,Polynesia,Viet Nam,Bolivia (Plurinational State of),Thailand,Peru,Ghana,Brunei Darussalam,Guatemala,"China, mainland",Madagascar,Côte d'Ivoire,Rwanda,Cameroon,China
1993,882.0,35372.0,5647.0,,4615.0,4000.0,5921.0,,40000.0,9167.0,6923.0,2391.0,6824.0,17932.0,56268.0,4000.0,5157.0,8824.0,7137.0,6667.0,2680.0,6250.0,,8091.0,,14988.0,882.0,19768.0,5699.0,,4615.0,14552.0,6500.0,42969.0,,,4067.0,5992.0,10909.0,4035.0,12514.0,,2904.0,10940.0
1994,882.0,34297.0,5749.0,,4615.0,4000.0,6117.0,,40000.0,9200.0,7037.0,2417.0,6831.0,16614.0,58824.0,4000.0,5000.0,8889.0,7312.0,6923.0,2686.0,7273.0,,7655.0,,15000.0,882.0,15583.0,7349.0,,4615.0,17800.0,6512.0,37500.0,,,4000.0,6017.0,11818.0,4651.0,12267.0,,2940.0,11844.0
1995,879.0,33223.0,5928.0,,4615.0,4000.0,6277.0,,44444.0,9231.0,7083.0,2443.0,6839.0,18061.0,62500.0,4000.0,5000.0,6000.0,7486.0,7333.0,3140.0,6575.0,,8245.0,,15075.0,879.0,15260.0,20998.0,,4615.0,17286.0,6364.0,35714.0,,,4039.0,6061.0,11698.0,4700.0,12020.0,,2976.0,11728.0
1996,875.0,32149.0,6283.0,,4615.0,4000.0,6399.0,,44444.0,9167.0,6923.0,2469.0,6848.0,19388.0,60000.0,4000.0,4997.0,8846.0,7659.0,8125.0,3109.0,7840.0,,6802.0,,15000.0,875.0,16397.0,8066.0,,4615.0,18267.0,6500.0,33654.0,,6000.0,4000.0,6122.0,11667.0,4698.0,11773.0,,3012.0,11694.0
1997,880.0,31074.0,6389.0,3333.0,4682.0,4000.0,6480.0,5000.0,44444.0,9231.0,7172.0,2495.0,6858.0,18571.0,66667.0,4000.0,5005.0,8889.0,7833.0,8000.0,3111.0,7692.0,,6172.0,,15207.0,880.0,17666.0,5996.0,,4682.0,33163.0,6667.0,28409.0,,6104.0,4037.0,6212.0,12420.0,3750.0,11526.0,,3049.0,12443.0
1998,882.0,30000.0,6349.0,3333.0,4724.0,4000.0,6667.0,4973.0,38769.0,9286.0,7037.0,2521.0,6870.0,20626.0,65625.0,4000.0,5006.0,8095.0,8005.0,8125.0,3132.0,7576.0,,8082.0,,15238.0,882.0,16673.0,8172.0,19018.0,4724.0,22344.0,6793.0,24038.0,,6061.0,4000.0,6145.0,13600.0,4048.0,11279.0,,3086.0,13614.0
1999,889.0,28926.0,6118.0,3333.0,4778.0,4000.0,6518.0,4971.0,54231.0,9000.0,7143.0,2547.0,6884.0,20827.0,67692.0,4000.0,5005.0,8101.0,8177.0,8000.0,3167.0,7576.0,22500.0,7747.0,,15307.0,889.0,17580.0,16687.0,19128.0,4778.0,22898.0,6839.0,31250.0,,6202.0,4054.0,6154.0,15000.0,3990.0,11032.0,,3123.0,15003.0
2000,886.0,27851.0,5928.0,3333.0,4794.0,4000.0,6000.0,5000.0,19326.0,9096.0,7241.0,2573.0,6900.0,23855.0,67692.0,4000.0,5004.0,7500.0,8349.0,7857.0,3010.0,7576.0,22424.0,6909.0,,15000.0,886.0,19192.0,14245.0,19237.0,4794.0,34228.0,6878.0,34067.0,,6250.0,4167.0,6169.0,14000.0,3905.0,10785.0,45455.0,3161.0,14009.0
2001,889.0,26777.0,6003.0,3353.0,4667.0,4000.0,6599.0,5000.0,19398.0,9355.0,7773.0,2599.0,6850.0,24177.0,65714.0,3983.0,5000.0,8013.0,8520.0,7577.0,2991.0,7609.0,20500.0,6840.0,,15480.0,889.0,21234.0,14425.0,19346.0,4667.0,32971.0,6930.0,41583.0,,6344.0,4000.0,6190.0,14231.0,3988.0,10538.0,44444.0,3199.0,14241.0
2002,889.0,25470.0,6211.0,3214.0,5333.0,4000.0,6659.0,5000.0,19379.0,9375.0,7962.0,2625.0,6885.0,24646.0,65192.0,3982.0,4999.0,7500.0,8690.0,7508.0,2831.0,7500.0,21053.0,6937.0,,15652.0,889.0,17647.0,14541.0,19455.0,5333.0,32191.0,6291.0,41791.0,,6667.0,4021.0,6202.0,15185.0,4028.0,10291.0,45161.0,3238.0,15189.0
2003,889.0,24503.0,5947.0,3333.0,5333.0,4000.0,6941.0,5000.0,80000.0,9394.0,8163.0,2645.0,6910.0,26220.0,65062.0,4000.0,5000.0,8102.0,8847.0,7426.0,2963.0,7609.0,21000.0,6288.0,,15793.0,889.0,15217.0,16202.0,19531.0,5333.0,29144.0,5637.0,40232.0,30784.0,6905.0,4014.0,6208.0,15357.0,4010.0,10013.0,44444.0,3272.0,15361.0
