,Austria,USSR,Poland,Norway,Belgium-Luxembourg,Estonia,Belgium,Latvia,Czechoslovakia,France,Czechia,Lithuania,Germany,Turkey,Yugoslav SFR,Sweden,Finland,Greece,Slovenia,United Kingdom,Malta,Canada,Denmark,Spain,Croatia,Netherlands
1974,6600.0,24420.0,86912.0,39.0,2590.0,,,,543.0,29850.0,,,53974.0,39000.0,2000.0,16000.0,2405.0,78.0,,6300.0,2.0,84000.0,1831.0,240.0,,0.0
1975,6300.0,21645.0,93164.0,50.0,2071.0,,,,277.0,28950.0,,,44284.0,35000.0,2000.0,14000.0,2275.0,72.0,,5040.0,4.0,84800.0,1610.0,439.0,,0.0
1976,6600.0,16465.0,100100.0,31.0,1749.0,,,,270.0,25875.0,,,41361.0,33000.0,1000.0,14000.0,3146.0,54.0,,4272.0,2.0,68000.0,1409.0,631.0,,0.0
1977,6100.0,18315.0,102991.0,70.0,1419.0,,,,212.0,24495.0,,,36796.0,32000.0,1000.0,15000.0,3068.0,54.0,,3082.0,2.0,66000.0,1059.0,200.0,,0.0
1978,6500.0,19055.0,122359.0,45.0,1358.0,,,,116.0,24660.0,,,31851.0,31000.0,1000.0,13000.0,1989.0,54.0,,2812.0,4.0,65000.0,696.0,403.0,,0.0
1979,5800.0,12025.0,117884.0,60.0,1390.0,,,,106.0,22950.0,,,28207.0,28000.0,700.0,12000.0,1573.0,30.0,,2413.0,4.0,63000.0,581.0,467.0,,0.0
1980,5800.0,19055.0,140901.0,41.0,1400.0,,,,110.0,22200.0,,,24672.0,25000.0,600.0,12000.0,1625.0,36.0,,1980.0,4.0,60000.0,579.0,456.0,,0.0
1981,6100.0,18500.0,148698.0,50.0,1473.0,,,,105.0,21450.0,,,35150.0,23000.0,600.0,13000.0,1378.0,30.0,,1800.0,4.0,58000.0,506.0,721.0,,0.0
1982,5900.0,22200.0,146188.0,65.0,1140.0,,,,329.0,17250.0,,,22048.0,17000.0,600.0,13000.0,1690.0,30.0,,1440.0,4.0,55000.0,412.0,605.0,,0.0
1983,5400.0,19980.0,136562.0,65.0,1330.0,,,,154.0,17745.0,,,21154.0,16000.0,600.0,13000.0,1690.0,42.0,,1440.0,4.0,51000.0,486.0,811.0,,0.0
1984,5000.0,23495.0,147338.0,0.0,1330.0,,,,155.0,18000.0,,,20347.0,14000.0,500.0,15000.0,1196.0,30.0,,1260.0,4.0,48000.0,520.0,1048.0,,0.0
1985,5000.0,22015.0,169094.0,0.0,950.0,,,,174.0,15150.0,,,19211.0,14000.0,500.0,11000.0,1521.0,42.0,,1260.0,4.0,42000.0,390.0,1399.0,,0.0
1986,4786.0,22200.0,170360.0,0.0,844.0,,,,147.0,13425.0,,,15393.0,12000.0,400.0,10000.0,1235.0,19.0,,1260.0,4.0,43000.0,390.0,1622.0,,0.0
1987,4400.0,23310.0,189482.0,0.0,660.0,,,,115.0,12030.0,,,13071.0,8000.0,400.0,10000.0,1300.0,20.0,,900.0,5.0,42000.0,390.0,2115.0,,0.0
1988,4500.0,18500.0,185943.0,0.0,570.0,,,,125.0,11745.0,,,12276.0,6000.0,400.0,10000.0,1365.0,28.0,,866.0,5.0,41500.0,390.0,1680.0,,0.0
1989,4500.0,16650.0,187074.0,0.0,380.0,,,,69.0,10633.0,,,9578.0,5000.0,400.0,7000.0,1651.0,45.0,,756.0,5.0,39000.0,486.0,2085.0,,0.0
1990,4500.0,14800.0,196770.0,0.0,570.0,,,,114.0,9718.0,,,9481.0,5000.0,400.0,7000.0,1521.0,36.0,,666.0,0.0,47800.0,413.0,2272.0,,0.0
1991,4000.0,14800.0,201649.0,0.0,760.0,,,,203.0,9110.0,,,9064.0,5000.0,350.0,8000.0,1612.0,24.0,,1000.0,0.0,33000.0,417.0,2238.0,,0.0
1992,4000.0,,200889.0,0.0,817.0,2500.0,,2500.0,203.0,8710.0,,1600.0,8246.0,3800.0,,8000.0,1729.0,24.0,38.0,1000.0,0.0,36000.0,417.0,1574.0,49.0,0.0
1993,4000.0,,209424.0,0.0,817.0,3000.0,,1500.0,,8180.0,465.0,2200.0,7280.0,3600.0,,5000.0,1326.0,36.0,35.0,1000.0,0.0,35000.0,0.0,1070.0,55.0,0.0
1994,2270.0,,218537.0,0.0,665.0,3000.0,,1800.0,,7890.0,445.0,5000.0,7700.0,3200.0,,5000.0,1391.0,38.0,34.0,400.0,0.0,37000.0,0.0,3708.0,59.0,0.0
1995,2369.0,,202063.0,0.0,665.0,3800.0,,2800.0,,8309.0,537.0,5000.0,8017.0,3400.0,,6000.0,1794.0,36.0,34.0,400.0,0.0,33500.0,0.0,4755.0,103.0,0.0
1996,2079.0,,228708.0,0.0,950.0,5700.0,,4500.0,,8562.0,384.0,7000.0,8202.0,2800.0,,5000.0,2106.0,36.0,40.0,400.0,0.0,35500.0,0.0,5251.0,80.0,0.0
1997,1896.0,,233287.0,0.0,1041.0,6000.0,,7000.0,,7926.0,264.0,5500.0,6750.0,2100.0,,4000.0,2106.0,35.0,40.0,700.0,0.0,31500.0,0.0,5691.0,120.0,0.0
1998,2066.0,,221391.0,0.0,904.0,4000.0,,3254.0,,7590.0,347.0,7000.0,7153.0,1900.0,,6000.0,2327.0,34.0,41.0,1000.0,0.0,31000.0,0.0,4909.0,192.0,0.0
1999,1759.0,,236425.0,0.0,760.0,3500.0,,1896.0,,8160.0,350.0,2600.0,5479.0,1700.0,,7200.0,2171.0,35.0,48.0,1000.0,0.0,30500.0,0.0,4955.0,120.0,0.0
2000,1567.0,,235397.0,0.0,,1700.0,760.0,3507.0,,7843.0,292.0,2500.0,5091.0,1600.0,,7300.0,2106.0,35.0,50.0,1000.0,0.0,31800.0,0.0,4902.0,360.0,0.0
2001,1550.0,,218360.0,0.0,,1351.0,760.0,2880.0,,8120.0,500.0,2350.0,4939.0,1800.0,,6300.0,2054.0,35.0,50.0,1000.0,0.0,31800.0,0.0,5309.0,480.0,0.0
2002,1738.0,,232588.0,0.0,,1358.0,750.0,2116.0,,8859.0,500.0,2700.0,6268.0,1300.0,,7100.0,2054.0,35.0,48.0,1000.0,0.0,28000.0,0.0,5309.0,600.0,0.0
2003,1590.0,,233733.0,0.0,,960.0,750.0,4700.0,,9423.0,1000.0,2900.0,4755.0,1000.0,,5300.0,2106.0,34.0,48.0,1000.0,0.0,27000.0,0.0,5928.0,480.0,0.0
2004,1581.0,,229832.0,0.0,,800.0,750.0,5100.0,,8481.0,1000.0,4000.0,4970.0,900.0,,5300.0,2119.0,34.0,46.0,1000.0,0.0,28000.0,0.0,1913.0,1101.0,0.0
2005,2491.0,,246995.0,0.0,,800.0,700.0,5000.0,,8516.0,1000.0,5000.0,4760.0,600.0,,4900.0,2444.0,30.0,46.0,1000.0,0.0,28000.0,0.0,2853.0,52.0,0.0
2006,1515.0,,240826.0,0.0,,800.0,700.0,3900.0,,9610.0,254.0,5200.0,4162.0,600.0,,5000.0,1976.0,29.0,47.0,1000.0,0.0,23000.0,0.0,2159.0,171.0,0.0
2007,1398.0,,231042.0,0.0,,800.0,700.0,3000.0,,8237.0,266.0,1800.0,3857.0,600.0,,5000.0,1677.0,30.0,50.0,1000.0,0.0,20000.0,0.0,2160.0,89.0,0.0
2008,1417.0,,201653.0,0.0,,800.0,680.0,3300.0,,8133.0,190.0,2900.0,3795.0,500.0,,5700.0,1950.0,39.0,48.0,1000.0,0.0,15000.0,1508.0,1883.0,191.0,0.0
2009,1685.0,,158738.0,0.0,,800.0,700.0,3500.0,,6975.0,193.0,3400.0,2213.0,300.0,,5700.0,2522.0,60.0,45.0,1000.0,0.0,15000.0,1885.0,1505.0,164.0,0.0
2010,1477.0,,178368.0,0.0,,800.0,700.0,4100.0,,8850.0,240.0,4100.0,2268.0,200.0,,5700.0,2782.0,78.0,45.0,1000.0,0.0,13000.0,650.0,1410.0,182.0,0.0
2011,1408.0,,190512.0,0.0,,800.0,700.0,3400.0,,9241.0,335.0,3800.0,4466.0,200.0,,4500.0,2717.0,114.0,50.0,1000.0,0.0,13000.0,1027.0,585.0,176.0,0.0
2012,1333.0,,161979.0,0.0,,800.0,3500.0,4400.0,,8195.0,333.0,4100.0,2436.0,200.0,,4500.0,2769.0,126.0,50.0,1000.0,0.0,10000.0,1152.0,1134.0,167.0,0.0
2013,1302.0,,140930.0,0.0,,800.0,4500.0,5400.0,,8106.0,317.0,4000.0,1974.0,200.0,,4500.0,3107.0,168.0,65.0,1000.0,0.0,10000.0,1049.0,1200.0,272.0,0.0
2014,1302.0,,140930.0,0.0,,800.0,4500.0,5400.0,,8106.0,317.0,4000.0,1974.0,200.0,,4500.0,3107.0,168.0,65.0,1000.0,0.0,10000.0,1049.0,1200.0,272.0,0.0
