,Ukraine,Germany,Serbia,Bolivia (Plurinational State of),Austria,Belarus,Croatia,Poland,USSR,Armenia,Slovakia,Azerbaijan,Bosnia and Herzegovina,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Albania,Yugoslav SFR,Uzbekistan,Peru,Chile,Hungary,Spain,Kazakhstan,Bulgaria,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Portugal,Republic of Moldova,Slovenia,Czechoslovakia,Russian Federation,Czechia,Italy,Turkey
1995,65105.0,219501.0,-1.0,16119.0,50090.0,11200.0,37100.0,41489.0,-1.0,-1.0,21503.0,-1.0,15000.0,-1.0,121375.0,41406.0,35640.0,42874.0,-1.0,34440.0,-1.0,-1.0,31733.0,59207.0,-1.0,46775.0,99248.0,58182.0,29204.0,14500.0,16667.0,189634.0,-1.0,19464.0,31056.0,50459.0,76456.0
1996,66393.0,224290.0,-1.0,16212.0,40350.0,11458.0,34077.0,39312.0,-1.0,-1.0,28373.0,-1.0,24257.0,-1.0,63946.0,35577.0,49678.0,43617.0,-1.0,37549.0,-1.0,-1.0,47698.0,58420.0,-1.0,40000.0,71603.0,56322.0,32553.0,15114.0,81905.0,151923.0,-1.0,32143.0,34135.0,48000.0,89192.0
1997,66680.0,105885.0,-1.0,16308.0,41570.0,11000.0,29861.0,40352.0,-1.0,-1.0,27003.0,-1.0,34264.0,22978.0,86263.0,28009.0,67851.0,44360.0,-1.0,34994.0,-1.0,-1.0,50010.0,57633.0,-1.0,36909.0,81710.0,59205.0,29487.0,15000.0,23747.0,78605.0,-1.0,36036.0,33959.0,46154.0,97561.0
1998,75333.0,154035.0,-1.0,16212.0,51140.0,16438.0,39357.0,40803.0,-1.0,-1.0,26540.0,61818.0,34062.0,10843.0,55420.0,42933.0,86251.0,45103.0,-1.0,35000.0,-1.0,-1.0,28292.0,56846.0,-1.0,26703.0,96767.0,53969.0,31998.0,14516.0,32002.0,107093.0,-1.0,23009.0,30596.0,44286.0,75373.0
1999,66167.0,195000.0,-1.0,16119.0,45280.0,13692.0,38423.0,37128.0,-1.0,-1.0,26857.0,70476.0,23211.0,68165.0,73014.0,38578.0,102700.0,45846.0,-1.0,30000.0,-1.0,-1.0,53215.0,56059.0,-1.0,44000.0,71966.0,53127.0,33849.0,14513.0,17925.0,96047.0,-1.0,24561.0,33903.0,56859.0,94790.0
2000,70271.0,238298.0,-1.0,16029.0,50690.0,25397.0,33949.0,35506.0,-1.0,-1.0,27400.0,78571.0,20958.0,66313.0,93934.0,32930.0,99457.0,46589.0,-1.0,40000.0,-1.0,-1.0,48410.0,55271.0,50000.0,21839.0,79088.0,62067.0,31059.0,14513.0,21538.0,139722.0,-1.0,34483.0,32026.0,66667.0,76518.0
2001,50180.0,220018.0,-1.0,16119.0,56300.0,30769.0,33294.0,44965.0,-1.0,-1.0,22545.0,74545.0,20771.0,66174.0,51424.0,34181.0,85111.0,47332.0,-1.0,33333.0,-1.0,-1.0,32009.0,54484.0,45013.0,17143.0,88200.0,57885.0,29531.0,14489.0,45745.0,79028.0,-1.0,27966.0,50647.0,52413.0,81900.0
2002,68047.0,167536.0,-1.0,16212.0,37380.0,46308.0,32845.0,44396.0,-1.0,-1.0,22440.0,57391.0,19422.0,58640.0,52362.0,29091.0,105700.0,48112.0,-1.0,47500.0,-1.0,-1.0,35980.0,53975.0,45151.0,23728.0,18611.0,57500.0,28069.0,14493.0,37613.0,120862.0,-1.0,28226.0,34531.0,52315.0,64579.0
2003,69952.0,80281.0,-1.0,16471.0,51380.0,31818.0,32387.0,50595.0,-1.0,-1.0,31240.0,74318.0,20583.0,45834.0,61122.0,41584.0,118400.0,49444.0,-1.0,66667.0,52792.0,-1.0,30542.0,54874.0,45360.0,9649.0,68640.0,50000.0,25568.0,14515.0,43140.0,137759.0,-1.0,32258.0,29732.0,42455.0,88864.0
2004,85817.0,83786.0,-1.0,16606.0,49600.0,40536.0,29894.0,51601.0,-1.0,-1.0,19600.0,53201.0,22069.0,82103.0,45959.0,52314.0,101402.0,50000.0,-1.0,70000.0,52353.0,-1.0,48414.0,55000.0,50000.0,13158.0,64612.0,33156.0,22460.0,14557.0,37024.0,90345.0,-1.0,37567.0,32162.0,37576.0,82803.0
2005,88252.0,58142.0,-1.0,16818.0,43110.0,46586.0,31462.0,40615.0,-1.0,-1.0,17280.0,88485.0,21562.0,56364.0,93949.0,50291.0,90639.0,50000.0,-1.0,68750.0,55364.0,59701.0,28805.0,51667.0,45023.0,13756.0,81800.0,42113.0,25548.0,14609.0,45304.0,72931.0,-1.0,38983.0,28566.0,41916.0,81557.0
2006,46863.0,88394.0,23003.0,16976.0,48660.0,77426.0,31037.0,53247.0,-1.0,-1.0,18178.0,74346.0,20705.0,59212.0,41924.0,53637.0,108111.0,50370.0,-1.0,69130.0,56250.0,68992.0,57907.0,50000.0,40000.0,10301.0,79486.0,42500.0,-1.0,14444.0,50605.0,84828.0,-1.0,21034.0,48784.0,40000.0,69907.0
2007,66305.0,83935.0,24973.0,17045.0,58130.0,49303.0,26456.0,28605.0,-1.0,48657.0,16244.0,68263.0,21038.0,65000.0,37459.0,58617.0,104537.0,52000.0,-1.0,68750.0,54937.0,83908.0,37478.0,50000.0,33333.0,7285.0,81668.0,51176.0,-1.0,14894.0,46611.0,140000.0,-1.0,43103.0,47406.0,45418.0,92778.0
2008,64279.0,43791.0,25642.0,17054.0,48400.0,72342.0,27771.0,55750.0,-1.0,51547.0,18750.0,70349.0,20717.0,70968.0,69104.0,67938.0,80000.0,53789.0,-1.0,83333.0,55455.0,81609.0,52134.0,46667.0,44328.0,9108.0,69153.0,79746.0,-1.0,14855.0,52915.0,85000.0,-1.0,52286.0,37652.0,50000.0,93654.0
2009,57900.0,92777.0,27724.0,12732.0,51640.0,87121.0,23452.0,53356.0,-1.0,48467.0,21067.0,74794.0,20016.0,116639.0,66831.0,66800.0,89286.0,55485.0,-1.0,84375.0,53333.0,96471.0,58240.0,50000.0,50000.0,14600.0,113248.0,79401.0,-1.0,14844.0,71781.0,293750.0,-1.0,54286.0,38251.0,50000.0,95825.0
2010,77250.0,62809.0,23651.0,12486.0,47603.0,80089.0,21072.0,44592.0,-1.0,20648.0,21052.0,58525.0,19755.0,37339.0,56818.0,65195.0,55000.0,57692.0,-1.0,90909.0,55561.0,87805.0,38320.0,50000.0,25000.0,10421.0,59863.0,77327.0,-1.0,14847.0,38553.0,240714.0,-1.0,47143.0,26250.0,49450.0,97871.0
2011,86450.0,78088.0,25885.0,12429.0,46600.0,22478.0,31273.0,51512.0,-1.0,38568.0,20989.0,61151.0,20827.0,78061.0,40059.0,60438.0,60613.0,56667.0,-1.0,90262.0,56029.0,93902.0,46112.0,46667.0,50000.0,15331.0,72137.0,75738.0,-1.0,14904.0,60374.0,276429.0,-1.0,55143.0,43463.0,46541.0,91745.0
2012,85970.0,56784.0,28294.0,14429.0,45660.0,16521.0,20618.0,51997.0,-1.0,61105.0,29574.0,71581.0,21404.0,37446.0,16273.0,60216.0,56154.0,56667.0,-1.0,90474.0,56267.0,119048.0,40317.0,45833.0,50000.0,26388.0,25602.0,68813.0,-1.0,14962.0,27105.0,157333.0,-1.0,52371.0,23373.0,47082.0,97530.0
2013,98916.0,59042.0,100607.0,12559.0,44633.0,24612.0,37843.0,55908.0,-1.0,48428.0,35484.0,75157.0,21250.0,85982.0,73832.0,60256.0,82222.0,56667.0,-1.0,100148.0,57896.0,92537.0,50329.0,47060.0,50000.0,48550.0,86435.0,64816.0,-1.0,15020.0,10683.0,673750.0,-1.0,57143.0,35511.0,46941.0,82808.0
2014,92832.0,79959.0,67124.0,12785.0,37333.0,24292.0,39522.0,55050.0,-1.0,48573.0,11296.0,74424.0,21096.0,35257.0,51647.0,60776.0,63529.0,56667.0,-1.0,101358.0,58930.0,88235.0,67629.0,-1.0,66667.0,39415.0,90085.0,64011.0,-1.0,15077.0,17014.0,676250.0,-1.0,55000.0,35056.0,46801.0,84125.0
