,Slovakia,United States of America,Romania,USSR,Norway,Australia,The former Yugoslav Republic of Macedonia,Belgium,Luxembourg,Czechia,Republic of Moldova,Italy,Morocco,Germany,Latvia,Finland,Serbia and Montenegro,Australia & New Zealand,Serbia,Slovenia,Chile,Montenegro,Canada,Belgium-Luxembourg,Spain,Kyrgyzstan,New Zealand,Austria,Poland,Belarus,Denmark,Switzerland,Estonia,Greece,Czechoslovakia,Bosnia and Herzegovina,France,Zimbabwe,Croatia,Hungary,Russian Federation,Bulgaria,Yugoslav SFR,Ghana,Mexico,Sweden,Azerbaijan,Ireland,United Kingdom,Lithuania,Portugal,Netherlands,Ukraine
1971,,3380.0,-1.0,16000.0,436.0,282.0,,,,,,,-1.0,-1.0,,19.0,,611.0,,,,,1800.0,-1.0,-1.0,,329.0,-1.0,5805.0,,-1.0,-1.0,,,-1.0,,1100.0,-1.0,,-1.0,,4493.0,,,-1.0,-1.0,,,3000.0,,,-1.0,
1972,,2970.0,-1.0,16000.0,436.0,258.0,,,,,,,-1.0,-1.0,,165.0,,573.0,,,,,1800.0,-1.0,-1.0,,315.0,-1.0,5850.0,,-1.0,-1.0,,,-1.0,,1108.0,-1.0,,-1.0,,4565.0,,,-1.0,-1.0,,,3200.0,,,-1.0,
1973,,2720.0,-1.0,20000.0,453.0,254.0,,,,,,,-1.0,-1.0,,168.0,,522.0,,,,,1800.0,-1.0,-1.0,,268.0,-1.0,6007.0,,-1.0,-1.0,,,-1.0,,1165.0,-1.0,,-1.0,,4490.0,,,-1.0,-1.0,,,3000.0,,,-1.0,
1974,,2730.0,-1.0,16000.0,412.0,227.0,,,,,,,-1.0,-1.0,,142.0,,476.0,,,,,2000.0,-1.0,-1.0,,249.0,-1.0,6169.0,,-1.0,-1.0,,,-1.0,,1193.0,-1.0,,-1.0,,4118.0,,,-1.0,-1.0,,20.0,3900.0,,,-1.0,
1975,,2650.0,-1.0,20000.0,411.0,203.0,,,,,,,-1.0,-1.0,,149.0,,408.0,,,,,2300.0,-1.0,-1.0,,205.0,-1.0,6879.0,,-1.0,-1.0,,,-1.0,,1275.0,-1.0,,-1.0,,3467.0,,,-1.0,-1.0,,20.0,3100.0,,,-1.0,
1976,,2510.0,-1.0,18000.0,392.0,173.0,,,,,,,-1.0,-1.0,,160.0,,346.0,,,,,2300.0,-1.0,-1.0,,173.0,-1.0,7899.0,,-1.0,-1.0,,,-1.0,,1304.0,-1.0,,-1.0,,3087.0,,,-1.0,-1.0,,20.0,3000.0,,,-1.0,
1977,,2430.0,-1.0,18000.0,392.0,149.0,,,,,,,-1.0,-1.0,,137.0,,305.0,,,,,2200.0,-1.0,-1.0,,156.0,-1.0,7533.0,,-1.0,-1.0,,,-1.0,,1282.0,-1.0,,-1.0,,3053.0,,,-1.0,-1.0,,20.0,3100.0,,,-1.0,
1978,,2360.0,-1.0,18000.0,381.0,142.0,,,,,,,-1.0,-1.0,,103.0,,320.0,,,,,2200.0,-1.0,-1.0,,178.0,-1.0,8000.0,,-1.0,-1.0,,,-1.0,,1212.0,-1.0,,-1.0,,3189.0,,,-1.0,-1.0,,20.0,3600.0,,,-1.0,
1979,,2400.0,-1.0,18000.0,390.0,144.0,,,,,,,-1.0,-1.0,,94.0,,369.0,,,,,2300.0,-1.0,-1.0,,225.0,-1.0,8000.0,,-1.0,-1.0,,,-1.0,,1200.0,-1.0,,-1.0,,4568.0,,,-1.0,-1.0,,20.0,3300.0,,,-1.0,
1980,,2720.0,-1.0,18000.0,401.0,144.0,,,,,,,-1.0,-1.0,,99.0,,454.0,,,,,2200.0,-1.0,-1.0,,310.0,-1.0,9001.0,,-1.0,-1.0,,,-1.0,,1200.0,-1.0,,-1.0,,3322.0,,,-1.0,-1.0,,20.0,3700.0,,,-1.0,
1981,,2720.0,-1.0,20000.0,490.0,160.0,,,,,,,-1.0,-1.0,,120.0,,551.0,,,,,1800.0,-1.0,-1.0,,391.0,-1.0,8900.0,,-1.0,-1.0,,,-1.0,,1185.0,-1.0,,-1.0,,3182.0,,,-1.0,-1.0,,20.0,3700.0,,,-1.0,
1982,,2920.0,-1.0,18000.0,485.0,153.0,,,,,,,-1.0,-1.0,,88.0,,651.0,,,,,2700.0,-1.0,-1.0,,498.0,-1.0,8900.0,,-1.0,-1.0,,,-1.0,,1200.0,-1.0,,-1.0,,3111.0,,,-1.0,-1.0,,100.0,4000.0,,,-1.0,
1983,,2820.0,-1.0,20000.0,488.0,168.0,,,,,,,-1.0,-1.0,,92.0,,681.0,,,,,2600.0,-1.0,-1.0,,513.0,-1.0,8900.0,,-1.0,-1.0,,,-1.0,,1200.0,-1.0,,-1.0,,3194.0,,,-1.0,-1.0,,100.0,3600.0,,,-1.0,
1984,,2870.0,-1.0,20000.0,554.0,141.0,,,,,,,-1.0,-1.0,,72.0,,673.0,,,,,2550.0,-1.0,-1.0,,532.0,-1.0,8900.0,,-1.0,-1.0,,,-1.0,,1326.0,-1.0,,-1.0,,3135.0,,,-1.0,-1.0,,100.0,4000.0,,,-1.0,
1985,,3010.0,-1.0,21000.0,505.0,142.0,,,,,,285.0,16.0,5200.0,,75.0,,693.0,,,,,2500.0,80.0,250.0,,551.0,-1.0,9098.0,,40.0,74.0,,,410.0,,1357.0,-1.0,,6750.0,,2917.0,7000.0,,-1.0,-1.0,,100.0,3800.0,,,55.0,
1986,,3260.0,-1.0,22000.0,520.0,119.0,,,,,,285.0,16.0,5200.0,,99.0,,636.0,,,,,2100.0,80.0,250.0,,517.0,-1.0,10100.0,,40.0,75.0,,,470.0,,1259.0,-1.0,,6750.0,,2719.0,7000.0,,2.0,-1.0,,100.0,3700.0,,,55.0,
1987,,3620.0,-1.0,25000.0,540.0,134.0,,,,,,285.0,16.0,5200.0,,101.0,,621.0,,,,,3500.0,80.0,250.0,,487.0,-1.0,10100.0,,40.0,76.0,,,300.0,,1257.0,-1.0,,6750.0,,2537.0,8400.0,,2.0,-1.0,,100.0,3700.0,,,55.0,
1988,,3760.0,-1.0,24000.0,549.0,149.0,,,,,,285.0,16.0,5200.0,,98.0,,537.0,,,,,3217.0,80.0,250.0,,388.0,-1.0,10100.0,,40.0,78.0,,,300.0,,1258.0,-1.0,,6750.0,,2343.0,11050.0,,4.0,-1.0,,100.0,3700.0,,,55.0,
1989,,3880.0,-1.0,24000.0,559.0,166.0,,,,,,285.0,16.0,5200.0,,112.0,,506.0,,,,,3433.0,80.0,250.0,,340.0,-1.0,10100.0,,40.0,80.0,,,300.0,,1259.0,-1.0,,6750.0,,2084.0,13578.0,,4.0,100.0,,100.0,3750.0,,,55.0,
1990,,4450.0,-1.0,13000.0,570.0,165.0,,,,,,255.0,16.0,5191.0,,115.0,,450.0,,,0.0,,3455.0,85.0,247.0,,285.0,-1.0,10762.0,,41.0,81.0,,-1.0,300.0,,1299.0,-1.0,,5339.0,,1844.0,14442.0,,2.0,101.0,,100.0,3900.0,,0.0,56.0,
1991,,4210.0,-1.0,11000.0,200.0,137.0,,,,,,269.0,16.0,4570.0,,117.0,,387.0,,,4662.0,,3446.0,81.0,34.0,,250.0,-1.0,11006.0,,34.0,82.0,,-1.0,300.0,,1305.0,50.0,,6188.0,,1902.0,14778.0,,3.0,105.0,,100.0,3491.0,,0.0,37.0,
1992,,4210.0,1000.0,,261.0,151.0,-1.0,,,,250.0,234.0,16.0,6245.0,-1.0,130.0,9883.0,371.0,,60.0,4661.0,,3414.0,100.0,33.0,450.0,220.0,-1.0,10171.0,,34.0,87.0,98.0,,300.0,1100.0,1339.0,48.0,105.0,6300.0,10000.0,2057.0,,,4.0,98.0,200.0,100.0,3404.0,-1.0,0.0,48.0,1600.0
1993,82.0,4070.0,594.0,,262.0,166.0,-1.0,,,314.0,400.0,232.0,16.0,5811.0,-1.0,125.0,9800.0,390.0,,54.0,4660.0,,3385.0,121.0,33.0,420.0,224.0,-1.0,9977.0,,33.0,100.0,93.0,,,1000.0,1358.0,48.0,200.0,5800.0,11500.0,1200.0,,,4.0,100.0,200.0,83.0,3441.0,-1.0,0.0,47.0,1600.0
1994,67.0,4310.0,1500.0,,267.0,201.0,-1.0,,,332.0,400.0,200.0,16.0,5285.0,-1.0,130.0,9910.0,400.0,,58.0,4659.0,,3407.0,109.0,33.0,500.0,199.0,-1.0,10320.0,,32.0,100.0,96.0,,,900.0,1286.0,49.0,170.0,2700.0,11700.0,1214.0,,,15.0,100.0,250.0,106.0,3415.0,-1.0,0.0,43.0,1500.0
1995,38.0,4490.0,707.0,,287.0,167.0,-1.0,,,320.0,300.0,209.0,16.0,5153.0,-1.0,130.0,10834.0,367.0,,15.0,4658.0,,3190.0,143.0,53.0,440.0,200.0,-1.0,12140.0,,33.0,101.0,150.0,,,875.0,1261.0,44.0,202.0,3024.0,12000.0,1227.0,,,45.0,100.0,250.0,89.0,2700.0,-1.0,0.0,50.0,3000.0
1996,80.0,4510.0,429.0,,189.0,173.0,-1.0,,,318.0,400.0,221.0,16.0,5220.0,-1.0,277.0,12140.0,381.0,,14.0,4657.0,,3495.0,78.0,90.0,500.0,208.0,-1.0,12470.0,,42.0,98.0,99.0,,,800.0,1282.0,55.0,199.0,2900.0,12500.0,1200.0,,-1.0,111.0,100.0,200.0,118.0,2700.0,-1.0,0.0,47.0,3000.0
1997,85.0,5340.0,376.0,,204.0,181.0,-1.0,,,334.0,300.0,190.0,16.0,5300.0,-1.0,311.0,11548.0,331.0,,16.0,4656.0,,3452.0,58.0,150.0,600.0,150.0,-1.0,12676.0,-1.0,28.0,107.0,125.0,,,600.0,1318.0,50.0,256.0,2700.0,12500.0,1200.0,,-1.0,163.0,100.0,200.0,105.0,2400.0,-1.0,0.0,60.0,3000.0
1998,85.0,5406.0,197.0,,206.0,215.0,-1.0,,,338.0,300.0,139.0,16.0,5800.0,-1.0,340.0,11403.0,465.0,,11.0,4655.0,,3474.0,64.0,300.0,500.0,250.0,-1.0,12775.0,-1.0,25.0,126.0,130.0,,,400.0,1327.0,50.0,281.0,2900.0,12600.0,1283.0,,-1.0,163.0,100.0,200.0,105.0,2400.0,-1.0,0.0,50.0,5200.0
1999,82.0,6232.0,166.0,,210.0,230.0,-1.0,,,309.0,200.0,153.0,16.0,5900.0,-1.0,307.0,12500.0,480.0,,15.0,4654.0,,3007.0,72.0,500.0,500.0,250.0,-1.0,12609.0,-1.0,29.0,131.0,146.0,,,250.0,1309.0,55.0,318.0,3300.0,17000.0,1200.0,,-1.0,202.0,117.0,200.0,116.0,2100.0,-1.0,0.0,44.0,5200.0
2000,80.0,6293.0,151.0,,227.0,221.0,-1.0,20.0,-1.0,317.0,200.0,165.0,16.0,5510.0,-1.0,300.0,13537.0,475.0,,18.0,4654.0,,2958.0,,625.0,600.0,254.0,-1.0,12587.0,,28.0,143.0,145.0,,,500.0,1461.0,44.0,313.0,2900.0,20000.0,1000.0,,,173.0,100.0,300.0,50.0,1800.0,-1.0,0.0,43.0,5100.0
2001,80.0,6192.0,250.0,,256.0,223.0,-1.0,20.0,-1.0,215.0,190.0,179.0,16.0,4516.0,-1.0,335.0,14000.0,501.0,,16.0,4653.0,,3000.0,,800.0,600.0,278.0,-1.0,12916.0,,30.0,143.0,419.0,,,745.0,1423.0,50.0,299.0,1950.0,30000.0,773.0,,,175.0,81.0,300.0,65.0,1440.0,-1.0,,40.0,5000.0
2002,68.0,6192.0,58.0,,276.0,224.0,10.0,30.0,-1.0,20.0,215.0,167.0,16.0,4842.0,-1.0,380.0,15338.0,526.0,,0.0,4652.0,,3363.0,,1125.0,571.0,302.0,-1.0,13417.0,,35.0,150.0,517.0,,,590.0,1442.0,50.0,283.0,1444.0,33000.0,969.0,,,206.0,130.0,400.0,44.0,1260.0,-1.0,,45.0,5000.0
2003,61.0,6192.0,98.0,,277.0,231.0,10.0,29.0,-1.0,16.0,279.0,172.0,16.0,3259.0,-1.0,400.0,16421.0,531.0,,0.0,4696.0,,3345.0,,1137.0,600.0,300.0,100.0,13253.0,,27.0,153.0,457.0,,,427.0,1473.0,50.0,278.0,1400.0,33000.0,1109.0,,,290.0,130.0,900.0,44.0,1260.0,434.0,,31.0,5000.0
2004,57.0,6515.0,100.0,,275.0,217.0,10.0,28.0,-1.0,29.0,300.0,181.0,16.0,3216.0,-1.0,409.0,15995.0,527.0,,0.0,4663.0,,3173.0,,1200.0,600.0,310.0,100.0,14200.0,,27.0,152.0,382.0,,,335.0,1337.0,50.0,280.0,1200.0,33000.0,1048.0,,,282.0,122.0,900.0,44.0,1295.0,427.0,,32.0,5000.0
2005,60.0,6840.0,100.0,,282.0,216.0,10.0,30.0,-1.0,25.0,300.0,178.0,16.0,1100.0,-1.0,418.0,16500.0,493.0,,0.0,4532.0,,3100.0,,1400.0,600.0,276.0,100.0,17200.0,,30.0,158.0,400.0,,,673.0,1303.0,50.0,278.0,1700.0,34000.0,2000.0,,,428.0,139.0,1400.0,44.0,1430.0,452.0,,36.0,2500.0
2006,58.0,6718.0,100.0,,300.0,215.0,10.0,114.0,-1.0,35.0,190.0,200.0,16.0,1121.0,135.0,423.0,,467.0,15024.0,0.0,4819.0,-1.0,2829.0,,1343.0,600.0,252.0,149.0,17025.0,,26.0,154.0,312.0,,,916.0,1267.0,50.0,274.0,1500.0,34000.0,2087.0,,,586.0,146.0,2800.0,45.0,1466.0,790.0,,40.0,6300.0
2007,49.0,6515.0,100.0,,364.0,215.0,10.0,49.0,-1.0,27.0,225.0,239.0,16.0,1121.0,106.0,424.0,,445.0,14496.0,0.0,4714.0,160.0,2711.0,,2000.0,600.0,229.0,174.0,20604.0,,24.0,154.0,210.0,,,973.0,1230.0,50.0,280.0,1357.0,34000.0,1372.0,,,775.0,150.0,2200.0,22.0,1571.0,1141.0,,45.0,6300.0
2008,52.0,5099.0,4.0,,392.0,218.0,10.0,36.0,-1.0,29.0,213.0,300.0,17.0,1120.0,104.0,459.0,,418.0,14680.0,0.0,4643.0,160.0,2404.0,,2200.0,600.0,200.0,156.0,19971.0,,22.0,134.0,220.0,,,928.0,1195.0,50.0,286.0,1120.0,26400.0,1034.0,,,882.0,200.0,2500.0,16.0,1701.0,981.0,,55.0,6500.0
2009,33.0,5500.0,26.0,,407.0,217.0,10.0,42.0,-1.0,30.0,256.0,283.0,18.0,1123.0,216.0,440.0,,332.0,14957.0,0.0,4559.0,160.0,2403.0,,1098.0,600.0,115.0,156.0,20223.0,,19.0,179.0,219.0,,,1031.0,723.0,50.0,294.0,1068.0,26000.0,1200.0,,,851.0,210.0,2600.0,13.0,1757.0,968.0,,45.0,6300.0
2010,17.0,10158.0,15.0,,289.0,235.0,1.0,72.0,1.0,23.0,269.0,287.0,19.0,1127.0,200.0,440.0,,418.0,15171.0,0.0,4453.0,160.0,2392.0,,1025.0,600.0,183.0,177.0,29556.0,,26.0,176.0,266.0,,,1114.0,671.0,50.0,288.0,672.0,26100.0,1699.0,,,894.0,140.0,2500.0,12.0,1770.0,1012.0,,124.0,5100.0
2011,17.0,10036.0,17.0,,301.0,269.0,12.0,79.0,1.0,22.0,255.0,293.0,20.0,1118.0,200.0,400.0,,412.0,15354.0,0.0,4453.0,160.0,2454.0,,1047.0,600.0,143.0,177.0,27063.0,,22.0,177.0,245.0,,,1220.0,662.0,49.0,290.0,621.0,28400.0,1634.0,,,1325.0,123.0,2600.0,11.0,1721.0,1100.0,,114.0,5100.0
2012,11.0,7042.0,20.0,,314.0,253.0,14.0,100.0,1.0,23.0,248.0,264.0,20.0,1030.0,180.0,395.0,,385.0,11996.0,0.0,4473.0,160.0,2240.0,,1444.0,600.0,132.0,177.0,28423.0,,22.0,182.0,238.0,,,1240.0,685.0,50.0,291.0,650.0,26000.0,1369.0,,,1170.0,140.0,2600.0,11.0,1616.0,1300.0,,112.0,5000.0
2013,11.0,7527.0,27.0,,364.0,230.0,22.0,100.0,1.0,24.0,242.0,320.0,20.0,1070.0,157.0,408.0,,357.0,12025.0,-1.0,3448.0,160.0,1938.0,,1346.0,600.0,127.0,177.0,28823.0,,18.0,210.0,289.0,,,1261.0,680.0,50.0,292.0,560.0,16000.0,1333.0,,,1960.0,140.0,2500.0,10.0,1548.0,1400.0,,128.0,5100.0
2014,9.0,7912.0,20.0,,371.0,226.0,22.0,100.0,1.0,25.0,732.0,351.0,20.0,1103.0,138.0,408.0,,341.0,11041.0,0.0,3408.0,160.0,1959.0,,1485.0,600.0,115.0,176.0,28272.0,,18.0,206.0,292.0,,,1415.0,680.0,50.0,293.0,540.0,16600.0,1191.0,,,2342.0,130.0,2700.0,10.0,1462.0,1600.0,,146.0,4900.0
