,USSR,Australia & New Zealand,Australia,Pakistan,Uruguay,Kenya,Romania,Lebanon,Yemen,Albania,Paraguay,Serbia,Slovenia,Hungary,Argentina,Colombia,Spain,India,Ecuador,Swaziland,Madagascar,Republic of Moldova,Canada,Russian Federation,Switzerland,Belgium-Luxembourg,Estonia,The former Yugoslav Republic of Macedonia,Greece,Tajikistan,France,Republic of Korea,Egypt,New Zealand,Montenegro,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",Cyprus,Peru,Lithuania,Portugal,Netherlands,Slovakia,Bhutan,Turkmenistan,Norway,Iraq,Czechia,United Republic of Tanzania,Belgium,Nepal,Luxembourg,Libya,Poland,Italy,Germany,Croatia,Sweden,Uzbekistan,China,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Denmark,Zimbabwe,Syrian Arab Republic,Algeria,"China, Taiwan Province of",Israel,Japan,Belarus,Afghanistan,Austria,Grenada,United Kingdom,Azerbaijan,Bosnia and Herzegovina,Turkey,Cameroon,Tunisia,Occupied Palestinian Territory,Georgia,Latvia,Bolivia (Plurinational State of),Czechoslovakia,South Africa,Bulgaria,Ukraine
1971,220000.0,3704.0,3340.0,2200.0,-1.0,-1.0,-1.0,511.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,6500.0,5000.0,420.0,-1.0,900.0,,1879.0,,1800.0,600.0,,,600.0,,23448.0,666.0,420.0,364.0,,,9085.0,-1.0,9300.0,,53840.0,130000.0,401.0,950.0,,1940.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,12200.0,-1.0,,-1.0,,131903.0,,,-1.0,172.0,2500.0,-1.0,,1709.0,3300.0,1903.0,900.0,16200.0,,5950.0,-1.0,-1.0,4000.0,,,16363.0,-1.0,2200.0,-1.0,,,150.0,-1.0,2200.0,33031.0,
1972,256000.0,3702.0,3330.0,2300.0,-1.0,-1.0,-1.0,526.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,8200.0,4500.0,400.0,-1.0,950.0,,1540.0,,1680.0,600.0,,,600.0,,16118.0,639.0,420.0,372.0,,,9466.0,-1.0,9300.0,,52850.0,120000.0,375.0,1072.0,,1830.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,12000.0,-1.0,,-1.0,,122017.0,,,-1.0,440.0,2000.0,-1.0,,2194.0,2800.0,2017.0,900.0,16400.0,,6110.0,-1.0,-1.0,4000.0,,,16260.0,-1.0,2200.0,-1.0,,,150.0,-1.0,2400.0,32904.0,
1973,270000.0,3695.0,3320.0,2300.0,-1.0,-1.0,-1.0,454.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,11000.0,4700.0,380.0,-1.0,1080.0,,1760.0,,1700.0,600.0,,,600.0,,16364.0,853.0,420.0,375.0,,,10113.0,-1.0,9300.0,,51520.0,110000.0,348.0,1170.0,,1700.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,11800.0,-1.0,,-1.0,,111616.0,,,-1.0,18.0,1685.0,-1.0,,2287.0,2500.0,1616.0,1000.0,16400.0,,6230.0,-1.0,-1.0,4500.0,,,16700.0,-1.0,2250.0,-1.0,,,150.0,-1.0,2000.0,31524.0,
1974,278000.0,3606.0,3230.0,2300.0,-1.0,-1.0,-1.0,716.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,10100.0,5000.0,360.0,-1.0,1160.0,,1200.0,,1650.0,600.0,,,600.0,,17128.0,987.0,420.0,376.0,,,12282.0,-1.0,9400.0,,50420.0,140000.0,334.0,1223.0,,1623.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,13400.0,-1.0,,-1.0,,141968.0,,,-1.0,113.0,1690.0,-1.0,,2523.0,2800.0,1968.0,1100.0,16300.0,,6340.0,-1.0,-1.0,4500.0,,,16385.0,-1.0,2390.0,-1.0,,,300.0,-1.0,2300.0,30387.0,
1975,230000.0,3469.0,3090.0,2350.0,-1.0,-1.0,-1.0,550.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,10500.0,5500.0,360.0,-1.0,1145.0,,1970.0,,1750.0,600.0,,,600.0,,17255.0,1167.0,420.0,379.0,,,10963.0,-1.0,9400.0,,49370.0,130000.0,334.0,1194.0,,1513.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,13000.0,-1.0,,-1.0,,132115.0,,,-1.0,279.0,2250.0,-1.0,30.0,2653.0,5000.0,2115.0,1100.0,16300.0,,6350.0,-1.0,-1.0,2500.0,,,16325.0,-1.0,2720.0,-1.0,,,150.0,-1.0,2500.0,26827.0,
1976,210000.0,3279.0,2900.0,2427.0,-1.0,-1.0,-1.0,550.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,10700.0,6000.0,350.0,-1.0,1390.0,,1200.0,,2100.0,600.0,,,600.0,,17485.0,1538.0,803.0,379.0,,,10530.0,-1.0,9400.0,,47510.0,145000.0,334.0,1162.0,,1560.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,11600.0,-1.0,,-1.0,,147061.0,,,-1.0,145.0,2200.0,-1.0,60.0,2844.0,3800.0,2061.0,630.0,16000.0,,6350.0,-1.0,-1.0,3000.0,,,16850.0,-1.0,3000.0,-1.0,,,150.0,-1.0,2500.0,24558.0,
1977,240000.0,3086.0,2760.0,2583.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,11400.0,6200.0,300.0,-1.0,1790.0,,1350.0,,2050.0,600.0,,,600.0,,17703.0,1151.0,957.0,326.0,,,12324.0,-1.0,9400.0,,47830.0,150000.0,334.0,1088.0,,1556.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,11400.0,-1.0,,-1.0,,151987.0,,,-1.0,170.0,2550.0,-1.0,90.0,3216.0,4100.0,1987.0,790.0,15600.0,,6370.0,-1.0,-1.0,3500.0,,,16625.0,-1.0,3120.0,-1.0,,,150.0,-1.0,2500.0,22715.0,
1978,245000.0,3071.0,2730.0,2644.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,12000.0,6500.0,100.0,-1.0,1680.0,,1220.0,,2200.0,600.0,,,600.0,,18083.0,1200.0,1139.0,341.0,,,9361.0,-1.0,9500.0,,47230.0,135000.0,194.0,1040.0,,1596.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,10600.0,-1.0,,-1.0,,137073.0,,,-1.0,650.0,2850.0,-1.0,130.0,3325.0,4400.0,2073.0,1010.0,15500.0,,6320.0,-1.0,-1.0,3400.0,,,16935.0,-1.0,3220.0,-1.0,,,650.0,-1.0,2500.0,21789.0,
1979,145000.0,3069.0,2720.0,2728.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,12560.0,6700.0,36.0,-1.0,1695.0,,1450.0,,3100.0,600.0,,,600.0,,18000.0,1700.0,1255.0,349.0,,,9373.0,-1.0,9500.0,,47310.0,95000.0,194.0,964.0,,1641.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,10800.0,-1.0,,-1.0,,97132.0,,,-1.0,180.0,2858.0,-1.0,110.0,3751.0,4000.0,2132.0,950.0,15800.0,,6110.0,-1.0,-1.0,3600.0,,,17000.0,-1.0,3450.0,-1.0,,,650.0,-1.0,2600.0,20452.0,
1980,291000.0,2977.0,2620.0,3384.0,-1.0,-1.0,-1.0,550.0,-1.0,-1.0,-1.0,,,-1.0,14700.0,-1.0,13100.0,7000.0,45.0,-1.0,1400.0,,1780.0,,1850.0,600.0,,,600.0,,18000.0,2300.0,1943.0,357.0,,,12565.0,-1.0,9500.0,,45120.0,105000.0,207.0,952.0,,1736.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,10700.0,-1.0,,-1.0,,107251.0,,,-1.0,12.0,3700.0,-1.0,100.0,3971.0,5400.0,2251.0,828.0,15900.0,,6120.0,-1.0,-1.0,3500.0,,,16438.0,-1.0,3480.0,-1.0,,,380.0,-1.0,2600.0,19395.0,
1981,281000.0,2435.0,1970.0,3384.0,-1.0,-1.0,-1.0,530.0,-1.0,-1.0,-1.0,,,-1.0,14346.0,-1.0,13400.0,7000.0,59.0,-1.0,247.0,,1448.0,,960.0,600.0,,,600.0,,26502.0,2919.0,1976.0,465.0,,,13167.0,-1.0,9600.0,,43460.0,110000.0,221.0,871.0,,1817.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,10800.0,-1.0,,-1.0,,112363.0,,,-1.0,12.0,4700.0,-1.0,110.0,4227.0,6800.0,2363.0,910.0,16000.0,,5990.0,-1.0,-1.0,2000.0,,,16313.0,-1.0,3500.0,-1.0,,,410.0,-1.0,2600.0,18132.0,
1982,240000.0,3176.0,2630.0,3573.0,-1.0,-1.0,-1.0,520.0,-1.0,-1.0,-1.0,,,-1.0,13100.0,-1.0,15000.0,7000.0,70.0,-1.0,265.0,,1660.0,,2000.0,500.0,,,600.0,,26000.0,3460.0,2100.0,546.0,,,13048.0,-1.0,9600.0,,44350.0,140000.0,227.0,825.0,,1915.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,2450.0,-1.0,10800.0,-1.0,,-1.0,,142578.0,,,-1.0,31.0,5500.0,-1.0,80.0,4436.0,6500.0,2578.0,1000.0,16200.0,,5750.0,-1.0,-1.0,2500.0,,,16088.0,-1.0,3600.0,-1.0,,,460.0,-1.0,2900.0,17208.0,
1983,237000.0,3088.0,2690.0,3870.0,-1.0,-1.0,-1.0,520.0,-1.0,-1.0,-1.0,,,-1.0,13050.0,-1.0,14450.0,7500.0,68.0,-1.0,285.0,,1490.0,,930.0,400.0,,,700.0,,25000.0,3683.0,2500.0,398.0,,,13235.0,-1.0,10000.0,,45450.0,140000.0,227.0,788.0,,1967.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,2950.0,-1.0,11673.0,-1.0,,-1.0,,142440.0,,,-1.0,35.0,6400.0,-1.0,60.0,4500.0,7500.0,2440.0,1070.0,16400.0,,5530.0,-1.0,-1.0,2500.0,,,16025.0,-1.0,3700.0,-1.0,,,475.0,-1.0,2900.0,16112.0,
1984,227000.0,3088.0,2750.0,4100.0,-1.0,-1.0,-1.0,550.0,-1.0,-1.0,-1.0,,,-1.0,13250.0,-1.0,15000.0,8800.0,121.0,-1.0,305.0,,1300.0,,1170.0,400.0,,,700.0,,24723.0,3854.0,2520.0,338.0,,,14283.0,-1.0,11500.0,,46090.0,165000.0,234.0,793.0,,2016.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,2970.0,-1.0,11813.0,-1.0,,-1.0,,168237.0,,,-1.0,46.0,7200.0,-1.0,45.0,4800.0,7100.0,3237.0,1170.0,16500.0,,5310.0,-1.0,-1.0,2500.0,,,16150.0,-1.0,4400.0,-1.0,,,485.0,-1.0,2900.0,14930.0,
1985,266000.0,3300.0,2950.0,4100.0,300.0,-1.0,93000.0,600.0,-1.0,6000.0,350.0,,,27000.0,11650.0,-1.0,19000.0,10000.0,124.0,-1.0,320.0,,1510.0,,1270.0,300.0,,,2000.0,,25600.0,4029.0,2940.0,350.0,,,12568.0,175000.0,12280.0,,47550.0,260000.0,174.0,873.0,,2127.0,900.0,,-1.0,,3200.0,4600.0,,-1.0,,-1.0,,3050.0,49800.0,11518.0,71730.0,,850.0,,263560.0,,,6500.0,45.0,7880.0,170.0,50.0,6000.0,7000.0,3560.0,1200.0,16800.0,,5160.0,12000.0,150.0,2300.0,,,16535.0,-1.0,4500.0,-1.0,,,485.0,19100.0,2900.0,13441.0,
1986,254000.0,3402.0,3060.0,4200.0,300.0,-1.0,91000.0,650.0,-1.0,6000.0,350.0,,,29000.0,11700.0,-1.0,19300.0,8250.0,153.0,-1.0,350.0,,1490.0,,1260.0,300.0,,,1960.0,,24600.0,3992.0,3360.0,342.0,,,13022.0,175000.0,13850.0,,48600.0,340000.0,174.0,943.0,,2314.0,900.0,,-1.0,,2600.0,4600.0,,-1.0,,-1.0,,3450.0,38500.0,11155.0,58360.0,,850.0,,344543.0,,,6500.0,430.0,8445.0,170.0,40.0,6200.0,7000.0,4543.0,1250.0,16900.0,,5030.0,12000.0,150.0,2900.0,,,16210.0,-1.0,3500.0,-1.0,,,498.0,19000.0,2900.0,12434.0,
1987,246000.0,3255.0,2900.0,4300.0,300.0,-1.0,91000.0,700.0,-1.0,6000.0,350.0,,,30000.0,11190.0,-1.0,20600.0,14339.0,124.0,-1.0,370.0,,1590.0,,520.0,300.0,,,1600.0,,25000.0,3678.0,3360.0,355.0,,,11800.0,179000.0,12789.0,,50540.0,345000.0,174.0,938.0,,2545.0,900.0,,-1.0,,2600.0,4600.0,,-1.0,,-1.0,,3850.0,9100.0,11108.0,58930.0,,850.0,,351387.0,,,6500.0,790.0,9050.0,170.0,40.0,6300.0,7000.0,6387.0,1400.0,17100.0,,4330.0,12000.0,150.0,2900.0,,,16285.0,-1.0,4400.0,-1.0,,,507.0,19000.0,2900.0,11771.0,
1988,243000.0,3480.0,3150.0,4300.0,500.0,-1.0,91000.0,750.0,-1.0,6000.0,350.0,,,28000.0,7300.0,-1.0,21400.0,14590.0,1050.0,-1.0,370.0,,960.0,,770.0,300.0,,,1450.0,,22800.0,3294.0,3365.0,330.0,,,9848.0,179000.0,15274.0,,52450.0,460000.0,180.0,955.0,,2725.0,600.0,,-1.0,,2600.0,4600.0,,-1.0,,-1.0,,4250.0,26300.0,9988.0,70700.0,,850.0,,468177.0,,,7000.0,810.0,8985.0,170.0,40.0,6800.0,7000.0,8177.0,1430.0,17300.0,,4530.0,12000.0,150.0,2300.0,,,17338.0,50.0,2000.0,-1.0,,,555.0,18900.0,3000.0,10717.0,
1989,280000.0,3823.0,3520.0,4394.0,500.0,-1.0,91000.0,800.0,-1.0,6000.0,350.0,,,27000.0,7200.0,-1.0,21500.0,14707.0,1120.0,-1.0,380.0,,947.0,,475.0,300.0,,,1200.0,,22100.0,3255.0,3365.0,303.0,,,9745.0,178500.0,15305.0,,51920.0,540000.0,180.0,158.0,,2741.0,600.0,,-1.0,,2600.0,4600.0,,-1.0,,-1.0,,4550.0,26600.0,9940.0,53480.0,,100.0,,547908.0,,,6000.0,788.0,8435.0,145.0,38.0,7200.0,7000.0,7908.0,1400.0,18000.0,,4540.0,12000.0,150.0,2383.0,,,17348.0,50.0,2500.0,-1.0,,,570.0,18800.0,3100.0,10227.0,
1990,290000.0,4024.0,3700.0,4600.0,513.0,-1.0,90000.0,810.0,-1.0,4388.0,353.0,,,26000.0,9000.0,-1.0,21100.0,12500.0,1840.0,-1.0,400.0,,817.0,,395.0,200.0,,,990.0,,19550.0,3191.0,3434.0,324.0,,,9270.0,176200.0,16104.0,,53380.0,540000.0,190.0,1200.0,,2791.0,600.0,,-1.0,,2526.0,4851.0,,-1.0,,1000.0,,4750.0,21000.0,10129.0,54940.0,,100.0,,547942.0,,,6500.0,774.0,8490.0,141.0,39.0,7500.0,7350.0,7942.0,1656.0,18700.0,,4589.0,5400.0,134.0,2315.0,,,17580.0,32.0,2700.0,-1.0,,,600.0,18700.0,3105.0,10261.0,
1991,260000.0,4320.0,4020.0,5202.0,519.0,-1.0,87000.0,1797.0,-1.0,2500.0,372.0,,,19800.0,11000.0,-1.0,21300.0,13000.0,1890.0,-1.0,380.0,,1053.0,,390.0,200.0,,,945.0,,20750.0,3024.0,3338.0,300.0,,,14582.0,172500.0,16195.0,,52770.0,585000.0,200.0,1240.0,,2841.0,600.0,,-1.0,,300.0,4000.0,,-1.0,,1060.0,,4800.0,23400.0,10282.0,4900.0,,100.0,,592833.0,,,6600.0,852.0,8530.0,108.0,35.0,7900.0,6980.0,7833.0,1628.0,18900.0,,4192.0,5374.0,155.0,2320.0,,,17670.0,65.0,3000.0,-1.0,,,605.0,18600.0,3576.0,11166.0,
1992,,4289.0,3980.0,5527.0,600.0,854.0,85000.0,1950.0,-1.0,1397.0,360.0,,3000.0,17700.0,14000.0,-1.0,21100.0,13500.0,1870.0,-1.0,400.0,12000.0,1051.0,43000.0,700.0,300.0,822.0,2802.0,920.0,6100.0,20950.0,2933.0,3399.0,309.0,,1100.0,14379.0,,18177.0,6000.0,52770.0,670000.0,200.0,1250.0,600.0,2941.0,700.0,,-1.0,2500.0,241.0,3500.0,,-1.0,,1200.0,,4860.0,28600.0,10616.0,4900.0,10800.0,100.0,14000.0,677798.0,123900.0,3000.0,7000.0,498.0,8910.0,108.0,35.0,8000.0,6630.0,7798.0,1770.0,19200.0,9000.0,4019.0,5405.0,160.0,2297.0,2300.0,30000.0,17850.0,62.0,3500.0,-1.0,6000.0,3000.0,590.0,18500.0,3313.0,12132.0,79000.0
1993,,4483.0,4180.0,6093.0,603.0,834.0,83000.0,2000.0,-1.0,1601.0,354.0,,2500.0,32100.0,16000.0,-1.0,21300.0,13800.0,1950.0,250.0,410.0,13000.0,931.0,47000.0,320.0,200.0,783.0,2750.0,900.0,6300.0,21350.0,2877.0,3150.0,303.0,,1200.0,14272.0,,17244.0,6000.0,53150.0,740000.0,190.0,1340.0,650.0,2741.0,600.0,6730.0,-1.0,2500.0,386.0,3000.0,2000.0,-1.0,,1150.0,,5100.0,29900.0,10931.0,4900.0,11000.0,100.0,14000.0,747524.0,124900.0,2900.0,7400.0,460.0,9210.0,116.0,45.0,4000.0,6740.0,7524.0,1650.0,19300.0,10000.0,4500.0,5317.0,160.0,2166.0,1900.0,16000.0,18090.0,65.0,4200.0,-1.0,5000.0,3000.0,610.0,,3693.0,12326.0,52000.0
1994,,4642.0,4300.0,6236.0,682.0,700.0,80000.0,2100.0,-1.0,1966.0,358.0,,2100.0,17000.0,20300.0,-1.0,21200.0,14000.0,3700.0,316.0,400.0,13000.0,1070.0,55000.0,260.0,200.0,807.0,2652.0,700.0,6400.0,21650.0,2670.0,3000.0,342.0,,1400.0,14649.0,,18500.0,6000.0,53460.0,850000.0,170.0,895.0,300.0,2360.0,600.0,6600.0,-1.0,2000.0,273.0,2871.0,2300.0,-1.0,,760.0,,5400.0,30000.0,11535.0,4900.0,11300.0,100.0,13000.0,857069.0,125200.0,3200.0,7400.0,320.0,10213.0,103.0,50.0,4123.0,6730.0,7069.0,1660.0,19400.0,9000.0,4018.0,5248.0,165.0,2181.0,2000.0,15000.0,18168.0,70.0,4600.0,3065.0,5000.0,3000.0,620.0,,4200.0,12369.0,57500.0
1995,,4329.0,3993.0,6305.0,586.0,650.0,102280.0,2150.0,-1.0,2198.0,330.0,,2500.0,24000.0,19200.0,-1.0,20300.0,14099.0,3200.0,373.0,397.0,12000.0,947.0,50000.0,340.0,200.0,800.0,4000.0,700.0,7100.0,21650.0,2693.0,2744.0,336.0,,1200.0,15570.0,,16000.0,6000.0,53215.0,879000.0,175.0,922.0,200.0,2353.0,600.0,6470.0,-1.0,2000.0,393.0,2800.0,2100.0,-1.0,,800.0,,5550.0,30600.0,11985.0,4900.0,10591.0,141.0,13000.0,885353.0,125000.0,3100.0,6800.0,325.0,10928.0,87.0,48.0,3000.0,6520.0,6353.0,1790.0,17200.0,10000.0,4012.0,5124.0,170.0,2000.0,1800.0,15638.0,18437.0,69.0,3600.0,2746.0,5500.0,4000.0,655.0,,4133.0,12134.0,60000.0
