,Bhutan,India,El Salvador,Peru,"China, Taiwan Province of",Mozambique,Ethiopia PDR,Nepal,Malaysia,Cuba,USSR,Brazil,China,Egypt,Myanmar,Ethiopia,Indonesia,Pakistan,Japan,Mali,Zimbabwe,Bangladesh,Uzbekistan,Viet Nam,Thailand,Chile,Spain,South Africa,Democratic Republic of the Congo,Iran (Islamic Republic of),Guatemala,Central African Republic,"China, mainland",Madagascar,Angola,Nigeria,Cameroon,Cambodia,Russian Federation
1982,35000.0,11807.0,11875.0,15411.0,18000.0,6667.0,3302.0,12079.0,-1.0,10002.0,25000.0,10305.0,21545.0,25000.0,9692.0,-1.0,12954.0,6714.0,-1.0,7143.0,6667.0,15297.0,-1.0,22021.0,9953.0,10000.0,-1.0,10909.0,2206.0,5500.0,9792.0,1892.0,21545.0,7347.0,10000.0,5000.0,5556.0,6364.0,-1.0
1983,35000.0,12439.0,12083.0,15922.0,-1.0,6667.0,5122.0,12842.0,-1.0,10001.0,25000.0,10859.0,22467.0,25000.0,10868.0,-1.0,10054.0,6973.0,-1.0,7143.0,6667.0,16187.0,-1.0,19594.0,11256.0,10000.0,-1.0,10909.0,2941.0,6471.0,9720.0,1842.0,22467.0,7635.0,10000.0,5000.0,5556.0,5000.0,-1.0
1984,35000.0,11862.0,13171.0,16093.0,-1.0,6667.0,1744.0,10584.0,-1.0,10000.0,25000.0,9546.0,23281.0,25000.0,10550.0,-1.0,8120.0,7044.0,-1.0,7143.0,6667.0,13670.0,-1.0,22050.0,11435.0,10000.0,-1.0,10909.0,3623.0,7857.0,9889.0,1750.0,23281.0,7838.0,10000.0,5500.0,5556.0,6299.0,-1.0
1985,35000.0,14620.0,16939.0,16111.0,-1.0,6667.0,3023.0,12178.0,-1.0,9996.0,25000.0,9785.0,20766.0,25000.0,10360.0,-1.0,11771.0,7029.0,-1.0,7143.0,6667.0,14852.0,-1.0,21361.0,11511.0,10000.0,-1.0,10909.0,2985.0,9615.0,10000.0,1800.0,20766.0,8000.0,10000.0,6000.0,5556.0,16190.0,-1.0
1986,33333.0,13773.0,16442.0,16111.0,-1.0,6667.0,3185.0,12948.0,-1.0,9944.0,25000.0,9846.0,20580.0,25000.0,10998.0,-1.0,8431.0,7231.0,-1.0,6667.0,6667.0,14811.0,-1.0,20920.0,11331.0,10000.0,-1.0,10909.0,3676.0,11053.0,10000.0,1756.0,20580.0,8000.0,10000.0,7000.0,5556.0,14667.0,-1.0
1987,34667.0,12160.0,16440.0,15789.0,-1.0,6667.0,4624.0,11820.0,-1.0,10000.0,22500.0,10090.0,20919.0,25000.0,11227.0,-1.0,9237.0,6158.0,-1.0,6667.0,6667.0,15813.0,-1.0,17997.0,10958.0,10000.0,-1.0,10909.0,4412.0,11818.0,10000.0,1756.0,20919.0,8000.0,10000.0,8400.0,5628.0,15185.0,-1.0
1988,33333.0,14608.0,16667.0,15789.0,-1.0,6667.0,5161.0,10934.0,-1.0,10000.0,21429.0,11353.0,19495.0,25000.0,11358.0,-1.0,8348.0,6091.0,-1.0,6667.0,6667.0,17035.0,-1.0,21499.0,12789.0,10000.0,-1.0,10909.0,5522.0,8000.0,10000.0,1714.0,19495.0,8000.0,10000.0,8500.0,5622.0,12069.0,-1.0
1989,35000.0,15593.0,10000.0,15789.0,-1.0,6667.0,5161.0,13003.0,-1.0,9978.0,20455.0,10179.0,23077.0,25000.0,10897.0,-1.0,9951.0,6264.0,-1.0,6667.0,6667.0,15171.0,-1.0,23694.0,12718.0,10000.0,-1.0,10909.0,5580.0,8000.0,11481.0,1738.0,23077.0,8000.0,10000.0,8600.0,5676.0,10606.0,-1.0
1990,32990.0,15635.0,10000.0,15789.0,-1.0,5351.0,4922.0,12347.0,-1.0,10000.0,21798.0,9154.0,24200.0,25000.0,10773.0,-1.0,9679.0,6327.0,-1.0,6993.0,6609.0,15238.0,-1.0,20265.0,13270.0,9951.0,-1.0,9097.0,5830.0,6250.0,10733.0,1756.0,24200.0,7341.0,9575.0,7859.0,5699.0,10000.0,-1.0
1991,39509.0,16104.0,10000.0,18000.0,-1.0,6038.0,4652.0,11429.0,24863.0,12056.0,-1.0,9022.0,19025.0,25000.0,9540.0,-1.0,9701.0,6317.0,-1.0,7067.0,6682.0,16432.0,-1.0,24095.0,13747.0,9690.0,-1.0,9890.0,6099.0,3704.0,10313.0,1818.0,19025.0,7927.0,8787.0,8800.0,5789.0,9286.0,-1.0
1992,39430.0,15960.0,10000.0,16471.0,-1.0,6000.0,3606.0,12667.0,25011.0,14230.0,-1.0,12140.0,22347.0,24000.0,8317.0,-1.0,12589.0,6373.0,-1.0,6286.0,6667.0,16258.0,159375.0,22155.0,13965.0,9696.0,-1.0,9850.0,6295.0,4336.0,10303.0,1814.0,22347.0,7974.0,8929.0,8900.0,5476.0,7916.0,22500.0
1993,39351.0,16386.0,10000.0,16667.0,-1.0,6667.0,-1.0,11111.0,25158.0,16622.0,-1.0,15484.0,24526.0,25000.0,8162.0,5064.0,11313.0,6421.0,-1.0,5536.0,6660.0,16879.0,155192.0,16250.0,15038.0,9701.0,-1.0,9810.0,6503.0,5000.0,10294.0,1824.0,24526.0,8158.0,8967.0,9000.0,5417.0,9825.0,21429.0
1994,39271.0,16895.0,10000.0,19444.0,-1.0,6364.0,-1.0,12222.0,25305.0,19220.0,-1.0,15729.0,20286.0,25000.0,8882.0,5333.0,12031.0,6611.0,-1.0,6667.0,6645.0,17134.0,114783.0,19394.0,15491.0,9706.0,-1.0,9770.0,6811.0,-1.0,10000.0,1832.0,20286.0,7953.0,8889.0,9633.0,5349.0,10556.0,21294.0
1995,39192.0,16393.0,9750.0,18163.0,-1.0,6667.0,-1.0,12994.0,25452.0,22000.0,-1.0,15777.0,25331.0,24750.0,9238.0,5039.0,9024.0,6563.0,-1.0,6500.0,6667.0,16104.0,83846.0,19733.0,15044.0,9711.0,-1.0,9730.0,7035.0,-1.0,10000.0,1840.0,25331.0,7900.0,8750.0,9856.0,5275.0,10404.0,19988.0
1996,39113.0,18869.0,11417.0,20000.0,-1.0,6429.0,-1.0,13408.0,25599.0,24919.0,-1.0,13406.0,24830.0,23529.0,9087.0,4990.0,8088.0,6573.0,-1.0,6979.0,6610.0,17373.0,77000.0,18750.0,15092.0,9717.0,-1.0,9690.0,6995.0,-1.0,10000.0,1864.0,24830.0,7949.0,8889.0,10076.0,5263.0,5294.0,21155.0
1997,39033.0,18100.0,11147.0,20160.0,-1.0,6347.0,-1.0,12727.0,25746.0,27925.0,-1.0,13770.0,26543.0,23333.0,9095.0,4938.0,9194.0,6653.0,-1.0,6500.0,6593.0,18289.0,85000.0,19224.0,15373.0,9722.0,-1.0,9873.0,6900.0,-1.0,10000.0,1853.0,26543.0,7811.0,9000.0,10293.0,5112.0,11944.0,21248.0
1998,38954.0,17222.0,11167.0,15526.0,-1.0,6761.0,-1.0,12674.0,25893.0,30956.0,-1.0,14926.0,26755.0,23158.0,9708.0,4883.0,23622.0,6750.0,-1.0,6371.0,6576.0,16980.0,100000.0,21791.0,16826.0,9727.0,-1.0,9826.0,6579.0,-1.0,10000.0,1859.0,26755.0,7774.0,8849.0,10507.0,5027.0,10813.0,21509.0
1999,38875.0,18359.0,7297.0,18125.0,-1.0,6806.0,-1.0,13015.0,26040.0,33950.0,-1.0,14424.0,25385.0,23158.0,8953.0,4824.0,32524.0,6754.0,-1.0,6289.0,6560.0,17413.0,105000.0,22927.0,17281.0,9732.0,-1.0,10000.0,6969.0,-1.0,10000.0,1866.0,25385.0,7736.0,8750.0,10717.0,4940.0,10115.0,21429.0
2000,38795.0,18497.0,7568.0,17000.0,-1.0,5500.0,-1.0,10440.0,26187.0,36854.0,-1.0,14936.0,24875.0,23158.0,9078.0,5000.0,30143.0,6964.0,-1.0,6217.0,6667.0,18301.0,100000.0,20545.0,14508.0,9737.0,-1.0,10000.0,7117.0,-1.0,10000.0,1870.0,24875.0,7895.0,10000.0,10925.0,4851.0,8654.0,21429.0
2001,38716.0,20024.0,7895.0,16667.0,-1.0,5556.0,-1.0,14520.0,26334.0,39625.0,-1.0,12451.0,20441.0,23619.0,9469.0,4671.0,28780.0,6869.0,-1.0,6156.0,6537.0,18786.0,105000.0,18718.0,14634.0,9900.0,-1.0,9652.0,7265.0,-1.0,10000.0,1881.0,20441.0,7616.0,9202.0,11129.0,4763.0,12273.0,20909.0
2002,38637.0,19746.0,8294.0,18000.0,-1.0,5469.0,-1.0,14494.0,26481.0,42235.0,-1.0,14737.0,28700.0,23696.0,9496.0,4577.0,25936.0,7114.0,-1.0,6105.0,6525.0,18305.0,100000.0,20816.0,13598.0,9893.0,-1.0,9515.0,7668.0,-1.0,10000.0,1872.0,28700.0,7532.0,9224.0,11330.0,4675.0,14654.0,21026.0
2003,38653.0,19860.0,8301.0,16667.0,-1.0,5492.0,-1.0,14375.0,26907.0,44690.0,-1.0,14012.0,24390.0,23837.0,9046.0,4461.0,13639.0,6987.0,-1.0,6168.0,6520.0,19439.0,100000.0,26042.0,15336.0,10000.0,-1.0,9330.0,7500.0,-1.0,10000.0,1900.0,24390.0,7422.0,9193.0,11539.0,4594.0,12706.0,20870.0
2004,38745.0,20054.0,8441.0,16800.0,-1.0,5455.0,-1.0,14326.0,27650.0,46991.0,-1.0,14692.0,27188.0,24025.0,8729.0,4323.0,13209.0,6157.0,-1.0,6132.0,6518.0,18667.0,100000.0,30213.0,14730.0,10000.0,-1.0,9101.0,7556.0,-1.0,9557.0,1911.0,27188.0,7286.0,8639.0,11756.0,4520.0,20230.0,21700.0
2005,38755.0,21652.0,8306.0,16538.0,-1.0,5500.0,-1.0,14500.0,28469.0,49134.0,-1.0,15669.0,26774.0,24311.0,8464.0,4182.0,13211.0,6162.0,-1.0,6102.0,6513.0,20765.0,100000.0,22500.0,13388.0,10000.0,-1.0,8868.0,7603.0,-1.0,9349.0,1921.0,26774.0,7144.0,8408.0,11969.0,4450.0,16070.0,22652.0
2006,38889.0,21677.0,9259.0,16429.0,-1.0,5469.0,-1.0,14280.0,29288.0,51140.0,-1.0,15391.0,27899.0,25386.0,9448.0,4037.0,15357.0,6415.0,-1.0,6063.0,6719.0,21051.0,100000.0,16825.0,14204.0,9684.0,-1.0,8634.0,7692.0,-1.0,9117.0,1915.0,27899.0,6997.0,8184.0,12178.0,4383.0,12673.0,27322.0
2007,39127.0,20959.0,8342.0,16667.0,-1.0,5500.0,-1.0,14340.0,30108.0,53030.0,-1.0,15168.0,29641.0,25061.0,9000.0,3890.0,15667.0,6344.0,-1.0,6035.0,6454.0,19002.0,100000.0,21966.0,14561.0,9572.0,-1.0,8405.0,7706.0,-1.0,8645.0,1926.0,29641.0,6846.0,7701.0,12383.0,4321.0,7007.0,29526.0
2008,39293.0,20771.0,8122.0,15625.0,-1.0,5484.0,-1.0,14657.0,30927.0,54831.0,-1.0,13244.0,32176.0,24957.0,9946.0,3742.0,15185.0,6240.0,-1.0,6006.0,6395.0,20134.0,100000.0,22941.0,17452.0,9452.0,-1.0,8185.0,7781.0,-1.0,8345.0,1926.0,32176.0,6692.0,7593.0,12581.0,4264.0,7456.0,35414.0
2009,39443.0,23122.0,7887.0,15766.0,-1.0,5500.0,-1.0,15121.0,31746.0,56567.0,-1.0,14835.0,31875.0,24781.0,10131.0,3592.0,15000.0,6221.0,-1.0,5973.0,6334.0,22133.0,101586.0,26475.0,16471.0,9326.0,-1.0,7979.0,7767.0,-1.0,7851.0,1927.0,31875.0,6534.0,7480.0,12774.0,4213.0,13775.0,36462.0
2010,39578.0,22296.0,7872.0,15689.0,-1.0,5441.0,-1.0,16000.0,32565.0,58260.0,-1.0,12642.0,36481.0,25882.0,10385.0,3444.0,15146.0,6207.0,-1.0,5769.0,6274.0,22111.0,103722.0,33033.0,16967.0,9196.0,-1.0,7792.0,7820.0,-1.0,7606.0,1800.0,36481.0,6375.0,6500.0,12960.0,4170.0,4394.0,37398.0
2011,39695.0,23301.0,7748.0,15541.0,-1.0,5493.0,-1.0,13655.0,33107.0,59932.0,-1.0,13752.0,38933.0,23333.0,10933.0,3298.0,15587.0,6193.0,-1.0,5714.0,6217.0,21454.0,105719.0,21554.0,16383.0,9062.0,-1.0,7626.0,7874.0,-1.0,7388.0,1998.0,38933.0,6214.0,7380.0,13138.0,4135.0,9155.0,38636.0
2012,40000.0,22830.0,7600.0,14737.0,-1.0,5429.0,-1.0,13685.0,34205.0,61111.0,-1.0,12739.0,38724.0,24000.0,10539.0,2825.0,14764.0,6181.0,-1.0,5791.0,5952.0,19060.0,108108.0,24248.0,14957.0,8636.0,-1.0,7043.0,7928.0,-1.0,6875.0,2160.0,38724.0,5700.0,7517.0,13900.0,3600.0,10496.0,38636.0
2013,39744.0,22800.0,7497.0,14737.0,-1.0,5429.0,-1.0,13717.0,34525.0,63784.0,-1.0,14258.0,35789.0,25000.0,11147.0,2825.0,14608.0,6174.0,-1.0,5684.0,5952.0,20382.0,110526.0,33951.0,14408.0,8391.0,-1.0,7500.0,7982.0,-1.0,6875.0,2240.0,35789.0,5588.0,7250.0,13900.0,3922.0,10432.0,38636.0
2014,39869.0,25002.0,7398.0,15036.0,-1.0,5337.0,-1.0,13119.0,31607.0,62222.0,-1.0,14041.0,37371.0,24619.0,11605.0,2891.0,14452.0,6160.0,-1.0,5696.0,6063.0,20224.0,108108.0,38189.0,14123.0,8604.0,-1.0,7350.0,8036.0,-1.0,7000.0,2143.0,37371.0,5691.0,7097.0,13536.0,4072.0,10466.0,37879.0
