,"China, Taiwan Province of",Cuba,Indonesia,Bhutan,Russian Federation,Angola,Ethiopia PDR,Egypt,Pakistan,Malaysia,Thailand,Japan,Ethiopia,Nigeria,Democratic Republic of the Congo,Bangladesh,Mali,Zimbabwe,USSR,Nepal,Cameroon,Iran (Islamic Republic of),Peru,Brazil,Cambodia,Mozambique,Guatemala,Viet Nam,"China, mainland",El Salvador,Chile,Madagascar,Uzbekistan,Spain,South Africa,Central African Republic,Myanmar,China,India
1971,15760.0,10000.0,15697.0,33333.0,,8000.0,,32182.0,6708.0,,9438.0,,,,7886.0,11141.0,6761.0,6667.0,22980.0,9669.0,,7222.0,16843.0,10152.0,6364.0,9500.0,12787.0,15851.0,11515.0,18621.0,,8880.0,,,10000.0,3938.0,7019.0,11556.0,10262.0
1972,19336.0,10000.0,12442.0,33333.0,,7333.0,,27083.0,6869.0,,9901.0,,,,10810.0,13320.0,6146.0,6667.0,23438.0,10036.0,,5172.0,16926.0,9998.0,9808.0,6667.0,13600.0,16000.0,11347.0,18621.0,,10313.0,,,10909.0,3568.0,8224.0,11381.0,10213.0
1973,18260.0,10000.0,18901.0,33333.0,,11000.0,,26087.0,6721.0,,11353.0,,,,8558.0,12499.0,5397.0,6667.0,23921.0,10191.0,,5000.0,14268.0,10494.0,10000.0,7500.0,12814.0,15000.0,11160.0,18621.0,,3951.0,,,10909.0,2952.0,8566.0,11172.0,11045.0
1974,15127.0,10002.0,22222.0,33333.0,,11000.0,,25641.0,7113.0,,10110.0,,,,4654.0,12351.0,7175.0,6667.0,24094.0,12116.0,,5000.0,13708.0,9101.0,10000.0,7500.0,11200.0,18333.0,10976.0,18621.0,,2587.0,,,10909.0,2806.0,8595.0,10980.0,9838.0
1975,16018.0,9999.0,22469.0,33333.0,,10000.0,,29000.0,6815.0,,11173.0,,,,5365.0,15301.0,7152.0,6667.0,22625.0,12531.0,,5000.0,15787.0,10291.0,10000.0,6667.0,10100.0,19919.0,11768.0,18621.0,,2620.0,,,10909.0,2778.0,8556.0,11771.0,10629.0
1976,16364.0,10000.0,17198.0,33333.0,,10000.0,,29000.0,6982.0,,12881.0,,,,1796.0,13347.0,5014.0,6667.0,27000.0,12059.0,5000.0,5000.0,15056.0,9830.0,10000.0,6667.0,10231.0,19866.0,11128.0,9628.0,,2785.0,,,10909.0,3333.0,8829.0,11130.0,10897.0
1977,15714.0,9999.0,11038.0,35000.0,,10000.0,,25227.0,7050.0,,10139.0,,,,1115.0,13175.0,6850.0,6667.0,26000.0,13636.0,5000.0,5000.0,15000.0,10477.0,10000.0,6667.0,8300.0,16695.0,11428.0,9857.0,,3125.0,,,10909.0,3750.0,8240.0,11429.0,10453.0
1978,12386.0,10002.0,11126.0,35000.0,,10000.0,0.0,25000.0,7572.0,,12198.0,,,,1116.0,13967.0,7163.0,6667.0,25853.0,13950.0,4444.0,5556.0,15000.0,11156.0,10000.0,6667.0,9091.0,17367.0,13201.0,16944.0,10000.0,6364.0,,,10909.0,4282.0,9599.0,13201.0,11174.0
1979,14815.0,10000.0,11967.0,35000.0,,10000.0,0.0,25000.0,7116.0,,10714.0,,,,965.0,14158.0,7429.0,6667.0,26583.0,13947.0,5000.0,5385.0,15000.0,11142.0,10000.0,6667.0,9371.0,17804.0,15083.0,11000.0,10000.0,5274.0,,,10909.0,4040.0,10109.0,15083.0,10935.0
1980,8571.0,10000.0,13142.0,35000.0,,10000.0,3333.0,24444.0,6641.0,,12999.0,,,,1301.0,14039.0,6200.0,6667.0,29083.0,11845.0,5294.0,5500.0,17600.0,10815.0,6667.0,6667.0,9516.0,16944.0,17540.0,11667.0,10000.0,5274.0,,,10909.0,1284.0,10305.0,17540.0,10654.0
1981,14286.0,10001.0,13059.0,35000.0,,10000.0,3333.0,22857.0,6570.0,,11159.0,,,5300.0,1343.0,14691.0,6667.0,6667.0,25000.0,11410.0,5556.0,5500.0,14938.0,10479.0,8571.0,6667.0,9800.0,19619.0,20588.0,11667.0,10000.0,7279.0,,,10909.0,1622.0,10825.0,20588.0,12206.0
1982,18000.0,10002.0,12954.0,35000.0,,10000.0,3302.0,25000.0,6714.0,,9953.0,,,5000.0,2206.0,15297.0,7143.0,6667.0,25000.0,12079.0,5556.0,5500.0,15411.0,10305.0,6364.0,6667.0,9792.0,22021.0,21545.0,11875.0,10000.0,7347.0,,,10909.0,1892.0,9692.0,21545.0,11807.0
1983,,10001.0,10054.0,35000.0,,10000.0,5122.0,25000.0,6973.0,,11256.0,,,5000.0,2941.0,16187.0,7143.0,6667.0,25000.0,12842.0,5556.0,6471.0,15922.0,10859.0,5000.0,6667.0,9720.0,19594.0,22467.0,12083.0,10000.0,7635.0,,,10909.0,1842.0,10868.0,22467.0,12439.0
1984,,10000.0,8120.0,35000.0,,10000.0,1744.0,25000.0,7044.0,,11435.0,,,5500.0,3623.0,13670.0,7143.0,6667.0,25000.0,10584.0,5556.0,7857.0,16093.0,9546.0,6299.0,6667.0,9889.0,22050.0,23281.0,13171.0,10000.0,7838.0,,,10909.0,1750.0,10550.0,23281.0,11862.0
1985,,9996.0,11771.0,35000.0,,10000.0,3023.0,25000.0,7029.0,,11511.0,,,6000.0,2985.0,14852.0,7143.0,6667.0,25000.0,12178.0,5556.0,9615.0,16111.0,9785.0,16190.0,6667.0,10000.0,21361.0,20766.0,16939.0,10000.0,8000.0,,,10909.0,1800.0,10360.0,20766.0,14620.0
1986,,9944.0,8431.0,33333.0,,10000.0,3185.0,25000.0,7231.0,,11331.0,,,7000.0,3676.0,14811.0,6667.0,6667.0,25000.0,12948.0,5556.0,11053.0,16111.0,9846.0,14667.0,6667.0,10000.0,20920.0,20580.0,16442.0,10000.0,8000.0,,,10909.0,1756.0,10998.0,20580.0,13773.0
1987,,10000.0,9237.0,34667.0,,10000.0,4624.0,25000.0,6158.0,,10958.0,,,8400.0,4412.0,15813.0,6667.0,6667.0,22500.0,11820.0,5628.0,11818.0,15789.0,10090.0,15185.0,6667.0,10000.0,17997.0,20919.0,16440.0,10000.0,8000.0,,,10909.0,1756.0,11227.0,20919.0,12160.0
1988,,10000.0,8348.0,33333.0,,10000.0,5161.0,25000.0,6091.0,,12789.0,,,8500.0,5522.0,17035.0,6667.0,6667.0,21429.0,10934.0,5622.0,8000.0,15789.0,11353.0,12069.0,6667.0,10000.0,21499.0,19495.0,16667.0,10000.0,8000.0,,,10909.0,1714.0,11358.0,19495.0,14608.0
1989,,9978.0,9951.0,35000.0,,10000.0,5161.0,25000.0,6264.0,,12718.0,,,8600.0,5580.0,15171.0,6667.0,6667.0,20455.0,13003.0,5676.0,8000.0,15789.0,10179.0,10606.0,6667.0,11481.0,23694.0,23077.0,10000.0,10000.0,8000.0,,,10909.0,1738.0,10897.0,23077.0,15593.0
1990,,10000.0,9679.0,32990.0,,9575.0,4922.0,25000.0,6327.0,,13270.0,,,7859.0,5830.0,15238.0,6993.0,6609.0,21798.0,12347.0,5699.0,6250.0,15789.0,9154.0,10000.0,5351.0,10733.0,20265.0,24200.0,10000.0,9951.0,7341.0,,,9097.0,1756.0,10773.0,24200.0,15635.0
1991,,12056.0,9701.0,39509.0,,8787.0,4652.0,25000.0,6317.0,24863.0,13747.0,,,8800.0,6099.0,16432.0,7067.0,6682.0,,11429.0,5789.0,3704.0,18000.0,9022.0,9286.0,6038.0,10313.0,24095.0,19025.0,10000.0,9690.0,7927.0,,,9890.0,1818.0,9540.0,19025.0,16104.0
1992,,14230.0,12589.0,39430.0,22500.0,8929.0,3606.0,24000.0,6373.0,25011.0,13965.0,,,8900.0,6295.0,16258.0,6286.0,6667.0,,12667.0,5476.0,4336.0,16471.0,12140.0,7916.0,6000.0,10303.0,22155.0,22347.0,10000.0,9696.0,7974.0,159375.0,,9850.0,1814.0,8317.0,22347.0,15960.0
1993,,16622.0,11313.0,39351.0,21429.0,8967.0,,25000.0,6421.0,25158.0,15038.0,,5064.0,9000.0,6503.0,16879.0,5536.0,6660.0,,11111.0,5417.0,5000.0,16667.0,15484.0,9825.0,6667.0,10294.0,16250.0,24526.0,10000.0,9701.0,8158.0,155192.0,,9810.0,1824.0,8162.0,24526.0,16386.0
1994,,19220.0,12031.0,39271.0,21294.0,8889.0,,25000.0,6611.0,25305.0,15491.0,,5333.0,9633.0,6811.0,17134.0,6667.0,6645.0,,12222.0,5349.0,,19444.0,15729.0,10556.0,6364.0,10000.0,19394.0,20286.0,10000.0,9706.0,7953.0,114783.0,,9770.0,1832.0,8882.0,20286.0,16895.0
1995,,22000.0,9024.0,39192.0,19988.0,8750.0,,24750.0,6563.0,25452.0,15044.0,,5039.0,9856.0,7035.0,16104.0,6500.0,6667.0,,12994.0,5275.0,,18163.0,15777.0,10404.0,6667.0,10000.0,19733.0,25331.0,9750.0,9711.0,7900.0,83846.0,,9730.0,1840.0,9238.0,25331.0,16393.0
1996,,24919.0,8088.0,39113.0,21155.0,8889.0,,23529.0,6573.0,25599.0,15092.0,,4990.0,10076.0,6995.0,17373.0,6979.0,6610.0,,13408.0,5263.0,,20000.0,13406.0,5294.0,6429.0,10000.0,18750.0,24830.0,11417.0,9717.0,7949.0,77000.0,,9690.0,1864.0,9087.0,24830.0,18869.0
1997,,27925.0,9194.0,39033.0,21248.0,9000.0,,23333.0,6653.0,25746.0,15373.0,,4938.0,10293.0,6900.0,18289.0,6500.0,6593.0,,12727.0,5112.0,,20160.0,13770.0,11944.0,6347.0,10000.0,19224.0,26543.0,11147.0,9722.0,7811.0,85000.0,,9873.0,1853.0,9095.0,26543.0,18100.0
1998,,30956.0,23622.0,38954.0,21509.0,8849.0,,23158.0,6750.0,25893.0,16826.0,,4883.0,10507.0,6579.0,16980.0,6371.0,6576.0,,12674.0,5027.0,,15526.0,14926.0,10813.0,6761.0,10000.0,21791.0,26755.0,11167.0,9727.0,7774.0,100000.0,,9826.0,1859.0,9708.0,26755.0,17222.0
1999,,33950.0,32524.0,38875.0,21429.0,8750.0,,23158.0,6754.0,26040.0,17281.0,,4824.0,10717.0,6969.0,17413.0,6289.0,6560.0,,13015.0,4940.0,,18125.0,14424.0,10115.0,6806.0,10000.0,22927.0,25385.0,7297.0,9732.0,7736.0,105000.0,,10000.0,1866.0,8953.0,25385.0,18359.0
2000,,36854.0,30143.0,38795.0,21429.0,10000.0,,23158.0,6964.0,26187.0,14508.0,,5000.0,10925.0,7117.0,18301.0,6217.0,6667.0,,10440.0,4851.0,,17000.0,14936.0,8654.0,5500.0,10000.0,20545.0,24875.0,7568.0,9737.0,7895.0,100000.0,,10000.0,1870.0,9078.0,24875.0,18497.0
2001,,39625.0,28780.0,38716.0,20909.0,9202.0,,23619.0,6869.0,26334.0,14634.0,,4671.0,11129.0,7265.0,18786.0,6156.0,6537.0,,14520.0,4763.0,,16667.0,12451.0,12273.0,5556.0,10000.0,18718.0,20441.0,7895.0,9900.0,7616.0,105000.0,,9652.0,1881.0,9469.0,20441.0,20024.0
2002,,42235.0,25936.0,38637.0,21026.0,9224.0,,23696.0,7114.0,26481.0,13598.0,,4577.0,11330.0,7668.0,18305.0,6105.0,6525.0,,14494.0,4675.0,,18000.0,14737.0,14654.0,5469.0,10000.0,20816.0,28700.0,8294.0,9893.0,7532.0,100000.0,,9515.0,1872.0,9496.0,28700.0,19746.0
2003,,44690.0,13639.0,38653.0,20870.0,9193.0,,23837.0,6987.0,26907.0,15336.0,,4461.0,11539.0,7500.0,19439.0,6168.0,6520.0,,14375.0,4594.0,,16667.0,14012.0,12706.0,5492.0,10000.0,26042.0,24390.0,8301.0,10000.0,7422.0,100000.0,,9330.0,1900.0,9046.0,24390.0,19860.0
2004,,46991.0,13209.0,38745.0,21700.0,8639.0,,24025.0,6157.0,27650.0,14730.0,,4323.0,11756.0,7556.0,18667.0,6132.0,6518.0,,14326.0,4520.0,,16800.0,14692.0,20230.0,5455.0,9557.0,30213.0,27188.0,8441.0,10000.0,7286.0,100000.0,,9101.0,1911.0,8729.0,27188.0,20054.0
2005,,49134.0,13211.0,38755.0,22652.0,8408.0,,24311.0,6162.0,28469.0,13388.0,,4182.0,11969.0,7603.0,20765.0,6102.0,6513.0,,14500.0,4450.0,,16538.0,15669.0,16070.0,5500.0,9349.0,22500.0,26774.0,8306.0,10000.0,7144.0,100000.0,,8868.0,1921.0,8464.0,26774.0,21652.0
2006,,51140.0,15357.0,38889.0,27322.0,8184.0,,25386.0,6415.0,29288.0,14204.0,,4037.0,12178.0,7692.0,21051.0,6063.0,6719.0,,14280.0,4383.0,,16429.0,15391.0,12673.0,5469.0,9117.0,16825.0,27899.0,9259.0,9684.0,6997.0,100000.0,,8634.0,1915.0,9448.0,27899.0,21677.0
2007,,53030.0,15667.0,39127.0,29526.0,7701.0,,25061.0,6344.0,30108.0,14561.0,,3890.0,12383.0,7706.0,19002.0,6035.0,6454.0,,14340.0,4321.0,,16667.0,15168.0,7007.0,5500.0,8645.0,21966.0,29641.0,8342.0,9572.0,6846.0,100000.0,,8405.0,1926.0,9000.0,29641.0,20959.0
2008,,54831.0,15185.0,39293.0,35414.0,7593.0,,24957.0,6240.0,30927.0,17452.0,,3742.0,12581.0,7781.0,20134.0,6006.0,6395.0,,14657.0,4264.0,,15625.0,13244.0,7456.0,5484.0,8345.0,22941.0,32176.0,8122.0,9452.0,6692.0,100000.0,,8185.0,1926.0,9946.0,32176.0,20771.0
2009,,56567.0,15000.0,39443.0,36462.0,7480.0,,24781.0,6221.0,31746.0,16471.0,,3592.0,12774.0,7767.0,22133.0,5973.0,6334.0,,15121.0,4213.0,,15766.0,14835.0,13775.0,5500.0,7851.0,26475.0,31875.0,7887.0,9326.0,6534.0,101586.0,,7979.0,1927.0,10131.0,31875.0,23122.0
2010,,58260.0,15146.0,39578.0,37398.0,6500.0,,25882.0,6207.0,32565.0,16967.0,,3444.0,12960.0,7820.0,22111.0,5769.0,6274.0,,16000.0,4170.0,,15689.0,12642.0,4394.0,5441.0,7606.0,33033.0,36481.0,7872.0,9196.0,6375.0,103722.0,,7792.0,1800.0,10385.0,36481.0,22296.0
2011,,59932.0,15587.0,39695.0,38636.0,7380.0,,23333.0,6193.0,33107.0,16383.0,,3298.0,13138.0,7874.0,21454.0,5714.0,6217.0,,13655.0,4135.0,,15541.0,13752.0,9155.0,5493.0,7388.0,21554.0,38933.0,7748.0,9062.0,6214.0,105719.0,,7626.0,1998.0,10933.0,38933.0,23301.0
2012,,61111.0,14764.0,40000.0,38636.0,7517.0,,24000.0,6181.0,34205.0,14957.0,,2825.0,13900.0,7928.0,19060.0,5791.0,5952.0,,13685.0,3600.0,,14737.0,12739.0,10496.0,5429.0,6875.0,24248.0,38724.0,7600.0,8636.0,5700.0,108108.0,,7043.0,2160.0,10539.0,38724.0,22830.0
2013,,63784.0,14608.0,39744.0,38636.0,7250.0,,25000.0,6174.0,34525.0,14408.0,,2825.0,13900.0,7982.0,20382.0,5684.0,5952.0,,13717.0,3922.0,,14737.0,14258.0,10432.0,5429.0,6875.0,33951.0,35789.0,7497.0,8391.0,5588.0,110526.0,,7500.0,2240.0,11147.0,35789.0,22800.0
2014,,62222.0,14452.0,39869.0,37879.0,7097.0,,24619.0,6160.0,31607.0,14123.0,,2891.0,13536.0,8036.0,20224.0,5696.0,6063.0,,13119.0,4072.0,,15036.0,14041.0,10466.0,5337.0,7000.0,38189.0,37371.0,7398.0,8604.0,5691.0,108108.0,,7350.0,2143.0,11605.0,37371.0,25002.0
