,Slovakia,Eritrea,USSR,Australia & New Zealand,Australia,Iraq,The former Yugoslav Republic of Macedonia,Ethiopia,Czechia,Republic of Moldova,Italy,Morocco,Germany,Latvia,Albania,Occupied Palestinian Territory,Serbia and Montenegro,Serbia,Slovenia,Malta,Spain,Lebanon,Cyprus,Austria,Israel,Poland,Turkey,Belarus,Ethiopia PDR,Egypt,Greece,Czechoslovakia,Bosnia and Herzegovina,Croatia,Hungary,Jordan,Russian Federation,Syrian Arab Republic,Tunisia,Yugoslav SFR,Mexico,Sweden,Algeria,Lithuania,Bulgaria,Ukraine
1971,,,13979.0,3597.0,3597.0,9554.0,,,,,9027.0,9909.0,10196.0,,4091.0,,,,,30795.0,8038.0,7280.0,7595.0,19429.0,10031.0,9706.0,10118.0,,5714.0,23810.0,10793.0,14490.0,,,5279.0,7442.0,,8249.0,,27982.0,,19766.0,4223.0,,5435.0,
1972,,,11739.0,10833.0,10833.0,7760.0,,,,,9540.0,8392.0,8144.0,,3788.0,,,,,32447.0,7773.0,7725.0,6075.0,21662.0,24472.0,8621.0,9075.0,,6053.0,23810.0,11541.0,11224.0,,,2150.0,9509.0,,9669.0,,27292.0,,19300.0,3904.0,,5536.0,
1973,,,13297.0,22500.0,22500.0,6260.0,,,,,9199.0,6378.0,7433.0,,3538.0,,,,,30926.0,7547.0,9126.0,506.0,19678.0,9744.0,10000.0,8371.0,,6250.0,23810.0,11645.0,13097.0,,,2168.0,2887.0,,2457.0,,28667.0,,15972.0,3029.0,,7751.0,
1974,,,14286.0,28768.0,28768.0,6202.0,,,,,9610.0,8404.0,11070.0,,4000.0,,,,,25234.0,7429.0,7276.0,6329.0,19840.0,9113.0,10000.0,8282.0,,5000.0,23810.0,13272.0,10052.0,,,2528.0,8726.0,,7554.0,,30203.0,,21534.0,4068.0,,7313.0,
1975,,,7784.0,29168.0,29168.0,10000.0,,,,,9093.0,7791.0,9549.0,,3529.0,,,,,26641.0,7413.0,7143.0,6860.0,,11538.0,7325.0,8951.0,,4286.0,23810.0,13698.0,9812.0,,,3120.0,4636.0,,6305.0,,30844.0,,16480.0,4855.0,,5766.0,
1976,,,14634.0,23476.0,23476.0,7874.0,,,,,9121.0,4673.0,7339.0,,4000.0,,,,,30056.0,6546.0,8571.0,7537.0,,8525.0,8600.0,9335.0,,5270.0,23810.0,13377.0,7620.0,,,3492.0,3888.0,,7624.0,,30818.0,,22316.0,6040.0,,8508.0,
1977,,,13914.0,26546.0,26546.0,5261.0,,,,,8974.0,944.0,10191.0,,5068.0,,,,,28511.0,8184.0,7143.0,7337.0,,10625.0,7263.0,8795.0,,5305.0,23810.0,10570.0,8786.0,,,4829.0,4431.0,,7079.0,,28324.0,,22026.0,5133.0,,9271.0,
1978,,,9375.0,25466.0,25466.0,8000.0,,,,,9818.0,1000.0,10118.0,,4667.0,,,,,27074.0,9273.0,6000.0,10237.0,,17500.0,5732.0,7818.0,,6613.0,20000.0,12383.0,7909.0,,,7719.0,7134.0,,6448.0,,27004.0,,22267.0,4170.0,,9481.0,
1979,,,9253.0,19958.0,19958.0,8667.0,,,,,9802.0,3935.0,12439.0,,4730.0,,,,,28328.0,9078.0,7500.0,9600.0,,9787.0,6863.0,8176.0,,9266.0,20000.0,9403.0,8071.0,,,2515.0,2562.0,,5828.0,,29188.0,,22046.0,2272.0,,3705.0,
1980,,,11122.0,17358.0,17358.0,8667.0,,,,,10147.0,5600.0,8902.0,,4730.0,,,,,30810.0,9416.0,6667.0,9194.0,,10949.0,6624.0,7889.0,,10099.0,20000.0,13883.0,7408.0,,,10195.0,7672.0,,8686.0,,27523.0,150968.0,22143.0,2520.0,,7685.0,
1981,,,7051.0,20123.0,20123.0,8667.0,,,,,10056.0,5909.0,10357.0,,6000.0,,,,,27577.0,5714.0,6667.0,9365.0,,10273.0,7985.0,8673.0,,8362.0,20000.0,13919.0,8750.0,,,5619.0,7586.0,,7246.0,,33333.0,153122.0,28000.0,2997.0,,7936.0,
1982,,,11252.0,9262.0,9262.0,8125.0,,,,,10016.0,5631.0,11381.0,,6000.0,,,,,28298.0,6498.0,7037.0,8777.0,,10250.0,9500.0,8454.0,,6619.0,20000.0,12121.0,8020.0,,,4594.0,7603.0,,7254.0,5000.0,32000.0,170278.0,28037.0,2714.0,,7981.0,
1983,,,15449.0,24700.0,24700.0,8125.0,,,,,9777.0,6134.0,9879.0,,6034.0,,,,,25918.0,6262.0,6897.0,7454.0,,10600.0,8675.0,7983.0,,10447.0,20000.0,11783.0,6678.0,,,4152.0,8108.0,,8141.0,5000.0,29645.0,140173.0,28029.0,3387.0,,4011.0,
1984,,,13333.0,32050.0,32050.0,8000.0,,,,,10727.0,3592.0,11027.0,,5965.0,,,,,26667.0,8971.0,7667.0,7919.0,,12729.0,9576.0,7478.0,,8446.0,20000.0,13193.0,8614.0,,,6115.0,6302.0,,7083.0,5000.0,26785.0,,28034.0,1382.0,,8730.0,
1985,,,14860.0,30831.0,30831.0,8333.0,,,,,10600.0,5834.0,11643.0,,5965.0,,,,,26667.0,8935.0,8387.0,10334.0,,5160.0,10096.0,8177.0,,5541.0,20000.0,13538.0,9199.0,,,6514.0,6462.0,,6184.0,5000.0,28504.0,112756.0,28015.0,2572.0,,6594.0,
1986,,,12759.0,14592.0,14592.0,8387.0,,,,,10270.0,7824.0,11212.0,,6316.0,,,,,26667.0,7571.0,8615.0,8815.0,,4947.0,10612.0,8054.0,,6375.0,20000.0,14120.0,5996.0,,,7860.0,9183.0,,6805.0,5000.0,28688.0,139458.0,26357.0,2628.0,,3538.0,
1987,,,12456.0,4660.0,4660.0,8667.0,,,,,10742.0,4941.0,11038.0,,5500.0,,,,,26667.0,8522.0,9118.0,9081.0,,5250.0,10458.0,8100.0,,7534.0,20000.0,13913.0,7209.0,,,7921.0,9226.0,,5803.0,5000.0,27089.0,121555.0,22921.0,3463.0,,9326.0,
1988,,,12130.0,3658.0,3658.0,8710.0,,,,,7765.0,6224.0,10399.0,,5323.0,,,,,26667.0,8646.0,9722.0,9610.0,,5750.0,10368.0,7788.0,,7059.0,20536.0,13953.0,6991.0,,,9375.0,15213.0,,6978.0,5000.0,26272.0,168181.0,29061.0,1158.0,,8776.0,
1989,,,12813.0,7655.0,7655.0,8750.0,,,,,7446.0,5815.0,9459.0,,6129.0,,,,,27500.0,7166.0,10526.0,6624.0,,5000.0,9623.0,7398.0,,6993.0,21053.0,15000.0,6627.0,,,5500.0,9377.0,,2489.0,5000.0,26311.0,130761.0,24474.0,4059.0,,7451.0,
1990,,,13000.0,5802.0,5802.0,8824.0,,,,,8148.0,5886.0,10959.0,,4483.0,,,,,27143.0,7981.0,11139.0,7078.0,,4335.0,11644.0,6912.0,,10888.0,21552.0,11052.0,6834.0,,,12319.0,9214.0,,4186.0,5000.0,24531.0,176484.0,26125.0,4378.0,,8591.0,
1991,,,10473.0,8638.0,8638.0,8000.0,,,,,9482.0,7025.0,9667.0,,4231.0,,,,,27471.0,6351.0,11885.0,3688.0,,5000.0,12500.0,6876.0,,12384.0,21667.0,12000.0,6953.0,,,26564.0,6312.0,,6037.0,4916.0,26526.0,136722.0,28015.0,5579.0,,6107.0,
1992,,,,6972.0,6972.0,8529.0,23600.0,,,10013.0,10550.0,2558.0,9500.0,10833.0,4464.0,,31179.0,,36535.0,28000.0,4492.0,12906.0,8472.0,,,6250.0,6501.0,,7190.0,21951.0,12000.0,6623.0,15380.0,24397.0,19000.0,28175.0,14791.0,6989.0,5285.0,,126553.0,27358.0,6680.0,7554.0,,17449.0
1993,6826.0,4167.0,,11111.0,11111.0,8571.0,17019.0,6267.0,9572.0,18167.0,10733.0,1480.0,9000.0,13200.0,3333.0,,25556.0,,,27480.0,9710.0,13095.0,8271.0,,,10000.0,6953.0,,,22581.0,12361.0,,17143.0,30595.0,10380.0,10168.0,12012.0,7361.0,5000.0,,133012.0,24832.0,3759.0,20000.0,,16753.0
1994,6951.0,5000.0,,5217.0,5217.0,8362.0,16515.0,5584.0,8000.0,11667.0,11058.0,6191.0,7500.0,16000.0,3342.0,,28803.0,,,27428.0,5638.0,11876.0,13649.0,,,8333.0,6358.0,,,21667.0,12037.0,,19167.0,33860.0,18000.0,12525.0,14199.0,4608.0,6219.0,,146595.0,26500.0,2686.0,19020.0,,17632.0
1995,7070.0,5000.0,,11765.0,11765.0,8286.0,25187.0,7432.0,7692.0,10157.0,9391.0,4283.0,,26667.0,3304.0,,33131.0,,,27359.0,4101.0,11584.0,13760.0,,,10667.0,5992.0,,,21774.0,12993.0,,22000.0,33333.0,,8485.0,8459.0,7449.0,6781.0,,135817.0,7664.0,2389.0,19020.0,,17721.0
1996,7171.0,5000.0,,10500.0,10500.0,8140.0,22943.0,10522.0,8020.0,7080.0,9846.0,6796.0,,25000.0,3229.0,7100.0,30593.0,,,27270.0,5962.0,11787.0,8026.0,,,11333.0,6194.0,,,22400.0,13980.0,,22338.0,31800.0,,10409.0,11438.0,6371.0,7347.0,,147902.0,,7261.0,22500.0,,12418.0
1997,7349.0,4444.0,,8250.0,8250.0,8286.0,22579.0,11637.0,8063.0,14087.0,10197.0,5596.0,,18000.0,3164.0,6265.0,34547.0,,,27158.0,5517.0,11765.0,9342.0,,,10667.0,6578.0,,,23077.0,14850.0,,30321.0,31848.0,,8650.0,14915.0,5283.0,7921.0,,129533.0,,1059.0,17760.0,,43226.0
1998,10000.0,5455.0,,8293.0,8293.0,8333.0,23184.0,9677.0,8078.0,13857.0,10207.0,4696.0,,16667.0,2759.0,6414.0,33831.0,,,27037.0,6370.0,11860.0,9167.0,,,11667.0,6017.0,,,22963.0,15730.0,,37811.0,31857.0,,5922.0,7366.0,7529.0,8505.0,,113507.0,,6056.0,14889.0,,9440.0
1999,7379.0,5000.0,,8548.0,8548.0,7585.0,27769.0,8272.0,7750.0,10169.0,10240.0,2673.0,,4667.0,2700.0,2480.0,34684.0,,,26953.0,4795.0,11888.0,8472.0,,,11667.0,5653.0,,,23529.0,16862.0,,38000.0,33333.0,,14946.0,8799.0,3872.0,9103.0,,129330.0,,6113.0,11714.0,,12097.0
2000,7312.0,4890.0,,6154.0,6154.0,6250.0,23491.0,9720.0,8333.0,6667.0,10000.0,1307.0,,12000.0,2742.0,10280.0,25754.0,,,25908.0,7979.0,11932.0,9167.0,,,10000.0,6013.0,,,23611.0,18333.0,,27500.0,33333.0,,7352.0,14318.0,5374.0,9717.0,,121397.0,,3778.0,16000.0,,17963.0
2001,8333.0,4846.0,,7000.0,7000.0,6801.0,18750.0,8716.0,8241.0,10769.0,9857.0,3760.0,,16667.0,2700.0,7425.0,33656.0,,,26070.0,5754.0,11889.0,9296.0,,,9524.0,5352.0,,,23686.0,17254.0,,25208.0,32857.0,,12937.0,22941.0,7427.0,10349.0,,124269.0,,4667.0,11351.0,10000.0,22954.0
2002,10000.0,4860.0,,7500.0,7500.0,6389.0,21212.0,11056.0,8281.0,7647.0,10443.0,6296.0,,12903.0,2905.0,10869.0,33665.0,,,26143.0,7794.0,11932.0,6389.0,,,10231.0,5573.0,,,23761.0,17500.0,,32652.0,31726.0,,12784.0,20667.0,7275.0,11002.0,,128046.0,,6750.0,14286.0,13077.0,20047.0
2003,5000.0,4852.0,,7947.0,7947.0,6682.0,25000.0,9518.0,8387.0,6471.0,10631.0,3859.0,,13333.0,2959.0,10469.0,30993.0,,,26260.0,8770.0,11494.0,8356.0,19983.0,,12845.0,4874.0,21354.0,,23730.0,16129.0,,29844.0,31645.0,18571.0,7725.0,17045.0,7842.0,11696.0,,114976.0,,6000.0,19091.0,13889.0,16015.0
2004,5000.0,4890.0,,8627.0,8627.0,6573.0,15294.0,9546.0,8390.0,10000.0,10823.0,4104.0,,20000.0,3002.0,8109.0,38162.0,,,26435.0,8926.0,10526.0,5976.0,19987.0,,15857.0,13035.0,25790.0,,23766.0,17925.0,,28966.0,31531.0,18591.0,9588.0,15400.0,7886.0,12434.0,,121111.0,,6000.0,14286.0,14811.0,17479.0
2005,6276.0,4286.0,,1993.0,1993.0,5882.0,12258.0,11121.0,7857.0,10000.0,11126.0,3713.0,,20000.0,3029.0,9000.0,36992.0,,,26623.0,3127.0,10286.0,7765.0,20000.0,,14390.0,13167.0,22764.0,,23121.0,24025.0,,26837.0,31435.0,18182.0,11383.0,15016.0,7347.0,13202.0,,135385.0,,3023.0,17308.0,11742.0,16379.0
2006,5254.0,4560.0,,2000.0,2000.0,6242.0,13333.0,11821.0,8000.0,8114.0,11806.0,5439.0,,10000.0,3103.0,7840.0,,36537.0,,25714.0,8290.0,10161.0,7174.0,20010.0,,10901.0,13319.0,16587.0,,23489.0,18478.0,,35230.0,32000.0,17778.0,8024.0,16962.0,8886.0,14006.0,,124483.0,,5388.0,7895.0,16808.0,15488.0
2007,6579.0,6135.0,,2000.0,2000.0,6116.0,16660.0,14708.0,8333.0,4741.0,11429.0,2000.0,,10000.0,2667.0,7863.0,,27714.0,,27083.0,9236.0,10370.0,7553.0,20000.0,,11501.0,12902.0,22470.0,,23906.0,14373.0,,13738.0,32857.0,18519.0,7616.0,15906.0,7929.0,14848.0,,136027.0,,5714.0,17368.0,11466.0,13858.0
2008,7000.0,218.0,,3288.0,3288.0,6048.0,16632.0,12604.0,8636.0,10000.0,11216.0,3926.0,,10000.0,2969.0,5392.0,,34345.0,,28000.0,10472.0,10526.0,6519.0,20000.0,,16714.0,10372.0,28517.0,,24000.0,12436.0,,25306.0,30726.0,13889.0,6566.0,18391.0,3679.0,15735.0,,106677.0,,5133.0,17778.0,16189.0,19663.0
2009,10000.0,6345.0,,1665.0,1665.0,5313.0,16226.0,15039.0,8801.0,12500.0,11333.0,5224.0,,9000.0,3041.0,5000.0,,35623.0,,27583.0,8664.0,13000.0,7103.0,19994.0,,16959.0,12763.0,28107.0,,25000.0,12436.0,,27315.0,30100.0,9615.0,6664.0,16953.0,8779.0,16669.0,,153757.0,,5004.0,16667.0,11479.0,18496.0
2010,5876.0,5447.0,,4118.0,4118.0,6207.0,15910.0,15334.0,8949.0,10234.0,11324.0,5413.0,,16667.0,3214.0,6638.0,,37597.0,,27663.0,11498.0,12007.0,7625.0,20000.0,,17156.0,12732.0,20860.0,,26000.0,14360.0,,34085.0,29444.0,9692.0,7389.0,10753.0,6633.0,15833.0,,133707.0,,4939.0,14762.0,10000.0,11779.0
2011,6309.0,5552.0,,3721.0,3721.0,6573.0,15595.0,16989.0,9091.0,10537.0,11427.0,6509.0,,25000.0,3250.0,7016.0,,33326.0,,28235.0,8066.0,12000.0,7616.0,20007.0,,14410.0,13101.0,26256.0,,27106.0,15359.0,,25194.0,24286.0,,13387.0,17621.0,10738.0,19493.0,,143821.0,,4945.0,16000.0,16593.0,15117.0
2012,6525.0,7667.0,,4722.0,4722.0,7500.0,15280.0,15853.0,10000.0,4565.0,11415.0,5859.0,,16667.0,3281.0,6878.0,,27397.0,,27273.0,5995.0,16000.0,7567.0,20000.0,,14400.0,10550.0,25423.0,,28571.0,16549.0,,20760.0,,4444.0,6533.0,13184.0,8720.0,22609.0,,149608.0,,4952.0,15238.0,15314.0,18982.0
2013,9929.0,7742.0,,4218.0,4218.0,7308.0,14964.0,18728.0,10000.0,18671.0,11494.0,40000.0,,13636.0,3281.0,6825.0,,33902.0,,29000.0,11385.0,16337.0,7517.0,20000.0,,15238.0,12691.0,21777.0,,28571.0,17339.0,,17749.0,,9354.0,6322.0,12380.0,9142.0,22609.0,,143922.0,,4958.0,22857.0,16800.0,15752.0
2014,5520.0,6015.0,,4852.0,4852.0,6992.0,14649.0,18369.0,9460.0,14141.0,11573.0,37381.0,,10000.0,3195.0,6772.0,,32946.0,,28244.0,8770.0,16166.0,7468.0,20000.0,,16959.0,11924.0,28671.0,,28407.0,15786.0,,20454.0,,9215.0,6650.0,16603.0,8601.0,22153.0,,120231.0,,4965.0,21500.0,16087.0,21826.0
