,Luxembourg,Eritrea,Chad,Czechoslovakia,Myanmar,Morocco,USSR,Armenia,Romania,Italy,Bosnia and Herzegovina,Russian Federation,Ethiopia,Tunisia,Spain,Sierra Leone,Republic of Korea,Togo,Hungary,New Zealand,Bulgaria,Australia & New Zealand,Argentina,Mongolia,Thailand,Poland,Senegal,Oman,Czechia,Ethiopia PDR
2002,0.0,786.0,7500.0,-1.0,800.0,670.0,-1.0,0.0,458.0,4500.0,0.0,3600.0,69390.0,939.0,3000.0,129.0,55.0,15.0,0.0,60.0,1626.0,60.0,242.0,0.0,840.0,314.0,60.0,78.0,810.0,-1.0
2003,0.0,755.0,7509.0,-1.0,800.0,490.0,-1.0,590.0,590.0,4500.0,0.0,2000.0,73311.0,900.0,4082.0,132.0,56.0,7.0,0.0,68.0,458.0,68.0,242.0,0.0,900.0,228.0,70.0,59.0,846.0,-1.0
2004,0.0,754.0,9070.0,-1.0,800.0,700.0,-1.0,600.0,53.0,4500.0,0.0,3000.0,79202.0,807.0,4181.0,174.0,87.0,8.0,0.0,43.0,198.0,43.0,242.0,0.0,1050.0,235.0,65.0,76.0,828.0,-1.0
2005,0.0,672.0,9011.0,-1.0,900.0,610.0,-1.0,550.0,45.0,4500.0,0.0,2000.0,55313.0,715.0,5209.0,180.0,84.0,4.0,0.0,30.0,39.0,30.0,242.0,0.0,3000.0,250.0,44.0,66.0,810.0,-1.0
2006,0.0,619.0,10000.0,-1.0,900.0,580.0,-1.0,540.0,82.0,2500.0,0.0,2000.0,60944.0,681.0,4695.0,240.0,104.0,4.0,0.0,57.0,72.0,57.0,248.0,50.0,2220.0,528.0,60.0,65.0,1527.0,-1.0
2007,2.0,687.0,8325.0,-1.0,740.0,720.0,-1.0,700.0,90.0,2900.0,0.0,2000.0,74823.0,461.0,4509.0,300.0,73.0,3.0,0.0,55.0,37.0,55.0,248.0,50.0,2220.0,350.0,203.0,62.0,1142.0,-1.0
2008,6.0,1022.0,8500.0,-1.0,660.0,580.0,-1.0,640.0,81.0,4500.0,0.0,600.0,64717.0,363.0,5408.0,317.0,71.0,7.0,0.0,55.0,36.0,55.0,253.0,50.0,2400.0,465.0,124.0,47.0,1140.0,-1.0
2009,10.0,1075.0,27702.0,-1.0,660.0,850.0,-1.0,1100.0,90.0,4500.0,0.0,500.0,69030.0,346.0,5755.0,306.0,140.0,7.0,0.0,50.0,40.0,50.0,286.0,50.0,2550.0,2940.0,49.0,46.0,1096.0,-1.0
2010,16.0,1099.0,7616.0,-1.0,560.0,320.0,-1.0,900.0,582.0,4500.0,0.0,500.0,68278.0,358.0,6179.0,337.0,173.0,5.0,0.0,43.0,41.0,43.0,286.0,50.0,2448.0,910.0,73.0,48.0,993.0,-1.0
2011,13.0,1100.0,10564.0,-1.0,580.0,240.0,-1.0,900.0,957.0,4500.0,0.0,500.0,68257.0,360.0,7831.0,330.0,211.0,17.0,0.0,52.0,202.0,52.0,407.0,80.0,2490.0,616.0,54.0,48.0,1333.0,-1.0
2012,6.0,1125.0,11603.0,-1.0,580.0,250.0,-1.0,900.0,682.0,7300.0,0.0,500.0,75413.0,360.0,6748.0,339.0,198.0,22.0,0.0,38.0,393.0,38.0,308.0,400.0,2550.0,1598.0,73.0,48.0,998.0,-1.0
2013,6.0,918.0,13333.0,-1.0,600.0,409.0,-1.0,1400.0,618.0,7900.0,0.0,500.0,75402.0,362.0,6605.0,359.0,206.0,22.0,0.0,43.0,23.0,43.0,308.0,100.0,2746.0,1563.0,99.0,48.0,765.0,-1.0
2014,6.0,918.0,13333.0,-1.0,600.0,409.0,-1.0,1400.0,618.0,7900.0,0.0,500.0,75402.0,362.0,6605.0,359.0,206.0,22.0,0.0,43.0,23.0,43.0,308.0,100.0,2746.0,1563.0,99.0,48.0,2000.0,-1.0
