,Ecuador,Cabo Verde,Madagascar,Romania,USSR,Paraguay,Angola,Ethiopia PDR,Pakistan,United Republic of Tanzania,Burundi,Thailand,Mexico,Indonesia,Ethiopia,Kenya,Libya,Viet Nam,Bangladesh,Hungary,Republic of Korea,Uganda,Russian Federation,Syrian Arab Republic,Benin,Yugoslav SFR,Peru,China,Cambodia,Mozambique,Sudan (former),Morocco,"China, mainland",Argentina,South Sudan,South Africa,Bulgaria,Brazil,India
1971,409.0,1.0,75.0,282.0,3180.0,387.0,120.0,200.0,255.0,250.0,1.0,130.0,168.0,127.0,,125.0,3.0,60.0,5.0,0.0,22.0,40.0,,0.0,10.0,1.0,1.0,1750.0,4.0,60.0,622.0,3.0,1750.0,26.0,,120.0,3.0,5651.0,4264.0
1972,734.0,1.0,77.0,278.0,3090.0,385.0,120.0,200.0,255.0,180.0,1.0,140.0,168.0,96.0,,125.0,3.0,60.0,5.0,0.0,26.0,40.0,,3.0,10.0,1.0,1.0,1700.0,4.0,40.0,636.0,3.0,1700.0,15.0,,120.0,1.0,7440.0,5466.0
1973,703.0,1.0,105.0,308.0,2955.0,471.0,120.0,250.0,260.0,150.0,1.0,98.0,165.0,110.0,,125.0,0.0,60.0,4.0,0.0,52.0,38.0,,2.0,10.0,5.0,1.0,1700.0,4.0,20.0,713.0,3.0,1700.0,29.0,,120.0,0.0,9612.0,5903.0
1974,52.0,1.0,45.0,297.0,3150.0,360.0,120.0,325.0,166.0,150.0,0.0,115.0,166.0,85.0,,124.0,0.0,60.0,4.0,0.0,39.0,24.0,,3.0,10.0,1.0,1.0,1700.0,4.0,25.0,775.0,3.0,1700.0,12.0,,120.0,0.0,5981.0,3749.0
1975,268.0,1.0,75.0,257.0,2745.0,421.0,120.0,250.0,229.0,140.0,0.0,139.0,166.0,17.0,,125.0,0.0,60.0,5.0,0.0,40.0,24.0,,1.0,10.0,0.0,0.0,1650.0,4.0,45.0,235.0,3.0,1650.0,4.0,,120.0,0.0,4002.0,4958.0
1976,152.0,1.0,68.0,188.0,2715.0,436.0,120.0,250.0,260.0,135.0,0.0,119.0,165.0,29.0,,129.0,0.0,60.0,6.0,0.0,13.0,24.0,,1.0,10.0,0.0,0.0,1700.0,4.0,13.0,352.0,3.0,1700.0,0.0,,120.0,0.0,3815.0,3797.0
1977,148.0,1.0,75.0,185.0,2280.0,397.0,120.0,275.0,690.0,110.0,0.0,135.0,133.0,15.0,,131.0,0.0,60.0,6.0,0.0,7.0,24.0,,1.0,10.0,0.0,0.0,1900.0,6.0,13.0,400.0,3.0,1900.0,0.0,,120.0,0.0,5255.0,4469.0
1978,161.0,1.0,75.0,177.0,2760.0,443.0,120.0,275.0,347.0,105.0,0.0,155.0,125.0,12.0,,135.0,0.0,60.0,5.0,0.0,5.0,24.0,,1.0,10.0,0.0,0.0,1900.0,10.0,13.0,400.0,4.0,1900.0,0.0,,120.0,0.0,5622.0,4405.0
1979,107.0,1.0,75.0,188.0,2775.0,466.0,120.0,300.0,352.0,100.0,0.0,131.0,60.0,10.0,,138.0,0.0,60.0,7.0,0.0,1.0,24.0,,0.0,10.0,0.0,4.0,2000.0,16.0,13.0,400.0,4.0,2000.0,0.0,,120.0,0.0,6608.0,4975.0
1980,216.0,2.0,75.0,245.0,2085.0,278.0,120.0,300.0,337.0,100.0,0.0,137.0,7.0,10.0,,138.0,0.0,60.0,7.0,0.0,1.0,24.0,,0.0,10.0,1.0,5.0,2000.0,20.0,13.0,400.0,4.0,2000.0,0.0,,120.0,0.0,6710.0,5575.0
1981,208.0,1.0,75.0,284.0,2235.0,540.0,120.0,300.0,472.0,100.0,0.0,137.0,9.0,10.0,,143.0,0.0,60.0,7.0,0.0,1.0,24.0,,0.0,10.0,4.0,8.0,2000.0,24.0,13.0,400.0,4.0,2000.0,0.0,,120.0,0.0,6927.0,5802.0
1982,216.0,2.0,75.0,302.0,2130.0,540.0,120.0,300.0,448.0,100.0,0.0,133.0,96.0,7.0,,146.0,0.0,60.0,7.0,0.0,1.0,25.0,,0.0,10.0,9.0,6.0,2150.0,34.0,13.0,400.0,4.0,2150.0,0.0,,120.0,0.0,4052.0,6234.0
1983,232.0,1.0,81.0,291.0,2055.0,554.0,120.0,300.0,398.0,100.0,0.0,133.0,30.0,14.0,,149.0,0.0,60.0,7.0,0.0,1.0,25.0,,0.0,10.0,10.0,6.0,2070.0,40.0,13.0,400.0,5.0,2070.0,0.0,,120.0,0.0,6194.0,6706.0
1984,96.0,1.0,87.0,293.0,2010.0,412.0,120.0,300.0,402.0,100.0,0.0,133.0,30.0,70.0,,149.0,0.0,60.0,7.0,0.0,1.0,25.0,,0.0,10.0,10.0,6.0,2330.0,40.0,16.0,400.0,5.0,2330.0,0.0,,120.0,0.0,7453.0,6366.0
1985,128.0,1.0,90.0,335.0,1980.0,382.0,120.0,300.0,227.0,100.0,0.0,138.0,43.0,24.0,,149.0,0.0,68.0,8.0,0.0,1.0,30.0,,0.0,10.0,9.0,0.0,2550.0,44.0,30.0,440.0,5.0,2550.0,0.0,,120.0,0.0,6843.0,5776.0
1986,112.0,1.0,92.0,290.0,1950.0,338.0,120.0,300.0,9.0,100.0,0.0,131.0,43.0,32.0,,191.0,0.0,68.0,7.0,0.0,0.0,30.0,,0.0,10.0,4.0,0.0,2670.0,44.0,45.0,460.0,5.0,2670.0,0.0,,120.0,0.0,3944.0,4795.0
1987,112.0,1.0,93.0,368.0,1785.0,402.0,125.0,300.0,197.0,100.0,0.0,189.0,43.0,29.0,,195.0,0.0,75.0,8.0,0.0,0.0,30.0,,0.0,10.0,2.0,0.0,2700.0,44.0,60.0,464.0,5.0,2700.0,0.0,,120.0,0.0,5674.0,6313.0
1988,112.0,1.0,96.0,395.0,1275.0,386.0,130.0,325.0,235.0,100.0,0.0,146.0,16.0,45.0,,198.0,0.0,75.0,7.0,0.0,0.0,30.0,,0.0,10.0,2.0,0.0,2700.0,48.0,90.0,480.0,7.0,2700.0,0.0,,120.0,0.0,4101.0,7022.0
1989,128.0,1.0,99.0,83.0,1020.0,352.0,125.0,354.0,227.0,105.0,0.0,136.0,16.0,54.0,,201.0,0.0,75.0,6.0,0.0,0.0,31.0,,0.0,12.0,0.0,0.0,2750.0,52.0,160.0,500.0,8.0,2750.0,0.0,,122.0,0.0,4405.0,8100.0
1990,128.0,1.0,123.0,15.0,501.0,316.0,140.0,338.0,46.0,121.0,0.0,139.0,16.0,49.0,,204.0,0.0,78.0,4.0,0.0,0.0,37.0,,0.0,14.0,1.0,0.0,2800.0,56.0,185.0,520.0,3.0,2800.0,0.0,,130.0,0.0,3685.0,7118.0
1991,96.0,1.0,99.0,16.0,501.0,240.0,158.0,343.0,117.0,111.0,0.0,148.0,16.0,42.0,,195.0,0.0,80.0,5.0,0.0,0.0,25.0,,0.0,12.0,1.0,0.0,2400.0,54.0,260.0,540.0,5.0,2400.0,0.0,,123.0,0.0,2979.0,6597.0
1992,216.0,1.0,102.0,6.0,,233.0,135.0,343.0,32.0,85.0,0.0,150.0,16.0,42.0,,216.0,0.0,81.0,4.0,0.0,0.0,30.0,1162.0,0.0,14.0,,0.0,2700.0,60.0,360.0,480.0,5.0,2700.0,0.0,,103.0,0.0,2455.0,6850.0
1993,128.0,1.0,86.0,2.0,,239.0,130.0,,150.0,75.0,0.0,36.0,18.0,19.0,79.0,174.0,0.0,83.0,4.0,0.0,0.0,30.0,1005.0,0.0,16.0,,0.0,2470.0,56.0,500.0,360.0,4.0,2470.0,0.0,,96.0,0.0,1673.0,7790.0
1994,141.0,1.0,96.0,1.0,,240.0,135.0,,171.0,85.0,0.0,36.0,30.0,83.0,81.0,190.0,0.0,90.0,4.0,0.0,0.0,31.0,451.0,0.0,20.0,,0.0,1900.0,50.0,520.0,268.0,3.0,1900.0,0.0,,110.0,0.0,1157.0,7890.0
1995,82.0,1.0,104.0,8.0,,222.0,138.0,,95.0,103.0,0.0,34.0,30.0,86.0,99.0,204.0,0.0,87.0,4.0,0.0,0.0,32.0,200.0,0.0,25.0,,0.0,2000.0,58.0,580.0,136.0,3.0,2000.0,0.0,,130.0,0.0,1938.0,7400.0
1996,80.0,1.0,105.0,0.0,,225.0,155.0,,106.0,40.0,0.0,36.0,53.0,70.0,78.0,201.0,0.0,90.0,6.0,0.0,0.0,33.0,200.0,0.0,27.0,,0.0,2200.0,58.0,600.0,68.0,3.0,2200.0,0.0,,103.0,0.0,2298.0,6414.0
1997,80.0,1.0,104.0,2.0,,249.0,150.0,,119.0,50.0,0.0,39.0,46.0,150.0,80.0,210.0,0.0,93.0,7.0,0.0,0.0,37.0,200.0,0.0,27.0,,0.0,2090.0,60.0,655.0,80.0,4.0,2090.0,0.0,,113.0,0.0,2046.0,6825.0
1998,80.0,1.0,107.0,0.0,,121.0,130.0,,65.0,50.0,0.0,39.0,30.0,124.0,74.0,229.0,0.0,90.0,6.0,0.0,0.0,41.0,200.0,0.0,27.0,,0.0,2700.0,61.0,700.0,80.0,4.0,2700.0,0.0,,117.0,0.0,1698.0,7817.0
1999,80.0,1.0,105.0,0.0,,197.0,135.0,,32.0,50.0,0.0,39.0,29.0,102.0,82.0,234.0,0.0,95.0,6.0,0.0,0.0,43.0,200.0,0.0,25.0,,0.0,2900.0,52.0,850.0,80.0,4.0,2900.0,0.0,,113.0,0.0,3217.0,10797.0
2000,80.0,1.0,105.0,0.0,,207.0,142.0,,40.0,50.0,0.0,40.0,30.0,171.0,109.0,269.0,0.0,96.0,6.0,0.0,0.0,45.0,200.0,0.0,27.0,,0.0,2700.0,52.0,1000.0,80.0,4.0,2700.0,0.0,,121.0,0.0,2574.0,7167.0
2001,80.0,1.0,83.0,0.0,,115.0,139.0,,29.0,50.0,0.0,41.0,32.0,77.0,84.0,269.0,0.0,98.0,6.0,0.0,0.0,46.0,200.0,0.0,31.0,,0.0,2700.0,53.0,1150.0,80.0,3.0,2700.0,0.0,,125.0,0.0,2042.0,5830.0
2002,80.0,1.0,87.0,0.0,,160.0,141.0,,59.0,50.0,0.0,41.0,32.0,72.0,103.0,284.0,0.0,105.0,6.0,0.0,0.0,30.0,200.0,0.0,30.0,,0.0,2670.0,53.0,1250.0,82.0,4.0,2670.0,0.0,,128.0,0.0,2017.0,7172.0
2003,20.0,1.0,90.0,0.0,,180.0,143.0,,51.0,60.0,0.0,39.0,32.0,72.0,139.0,309.0,0.0,113.0,6.0,0.0,0.0,30.0,50.0,6.0,30.0,,0.0,2600.0,56.0,1300.0,84.0,4.0,2600.0,0.0,,134.0,0.0,2641.0,7430.0
2004,22.0,1.0,89.0,0.0,,200.0,151.0,,31.0,50.0,0.0,42.0,24.0,73.0,150.0,195.0,0.0,119.0,6.0,0.0,0.0,30.0,10.0,0.0,25.0,,0.0,2400.0,72.0,1350.0,80.0,4.0,2400.0,0.0,,138.0,0.0,3631.0,8642.0
2005,22.0,1.0,108.0,0.0,,200.0,141.0,,76.0,50.0,0.0,40.0,16.0,74.0,153.0,195.0,0.0,105.0,7.0,0.0,0.0,30.0,82.0,0.0,18.0,,0.0,2300.0,56.0,1359.0,80.0,4.0,2300.0,0.0,,134.0,0.0,2405.0,6390.0
2006,32.0,1.0,113.0,0.0,,200.0,135.0,,54.0,50.0,0.0,40.0,4.0,74.0,145.0,195.0,0.0,105.0,7.0,0.0,0.0,30.0,77.0,7.0,11.0,,0.0,2100.0,57.0,1500.0,80.0,4.0,2100.0,0.0,,130.0,0.0,2498.0,7870.0
2007,32.0,1.0,115.0,0.0,,220.0,147.0,,123.0,60.0,0.0,41.0,1.0,72.0,170.0,195.0,0.0,105.0,5.0,0.0,0.0,30.0,33.0,5.0,11.0,,0.0,2200.0,57.0,1571.0,80.0,4.0,2200.0,0.0,,137.0,0.0,2455.0,8662.0
2008,32.0,1.0,109.0,0.0,,220.0,230.0,,20.0,60.0,0.0,41.0,0.0,72.0,199.0,195.0,0.0,105.0,5.0,0.0,0.0,30.0,64.0,6.0,10.0,,0.0,2000.0,67.0,1815.0,80.0,5.0,2000.0,0.0,,143.0,0.0,2489.0,7349.0
2009,32.0,1.0,103.0,0.0,,100.0,150.0,,51.0,60.0,0.0,40.0,0.0,56.0,170.0,195.0,0.0,120.0,4.0,0.0,0.0,30.0,35.0,7.0,9.0,,0.0,1900.0,74.0,1850.0,80.0,5.0,1900.0,0.0,,117.0,0.0,2358.0,8847.0
2010,32.0,1.0,111.0,0.0,,100.0,160.0,,55.0,60.0,0.0,41.0,0.0,80.0,170.0,195.0,0.0,120.0,4.0,0.0,0.0,30.0,29.0,7.0,9.0,,0.0,1900.0,56.0,1850.0,80.0,4.0,1900.0,0.0,,120.0,0.0,3165.0,14710.0
2011,32.0,1.0,113.0,0.0,,120.0,160.0,,61.0,60.0,0.0,10.0,0.0,64.0,175.0,195.0,0.0,120.0,5.0,0.0,0.0,30.0,23.0,7.0,10.0,,0.0,1200.0,56.0,1850.0,80.0,4.0,1200.0,0.0,,123.0,0.0,1769.0,11480.0
2012,32.0,1.0,113.0,0.0,,160.0,160.0,,57.0,60.0,0.0,6.0,2.0,48.0,175.0,195.0,0.0,120.0,5.0,0.0,0.0,30.0,48.0,7.0,10.0,,0.0,570.0,58.0,1830.0,,4.0,570.0,0.0,80.0,128.0,0.0,1260.0,10960.0
2013,32.0,1.0,113.0,0.0,,160.0,159.0,,60.0,60.0,0.0,2.0,2.0,48.0,137.0,195.0,0.0,120.0,6.0,0.0,0.0,30.0,50.0,7.0,9.0,,0.0,460.0,57.0,1840.0,,4.0,460.0,0.0,80.0,157.0,0.0,1005.0,10400.0
2014,32.0,1.0,113.0,0.0,,160.0,159.0,,60.0,60.0,0.0,2.0,2.0,48.0,137.0,195.0,0.0,120.0,6.0,0.0,0.0,30.0,0.0,7.0,9.0,,0.0,460.0,57.0,1840.0,,4.0,460.0,0.0,80.0,157.0,0.0,1005.0,10400.0
