,Slovakia,United States of America,Romania,USSR,Norway,Australia,The former Yugoslav Republic of Macedonia,Belgium,Luxembourg,Czechia,Republic of Moldova,Italy,Morocco,Germany,Latvia,Finland,Serbia and Montenegro,Australia & New Zealand,Serbia,Slovenia,Chile,Montenegro,Canada,Belgium-Luxembourg,Spain,Kyrgyzstan,New Zealand,Austria,Poland,Belarus,Denmark,Switzerland,Estonia,Greece,Czechoslovakia,Bosnia and Herzegovina,France,Zimbabwe,Croatia,Hungary,Russian Federation,Bulgaria,Yugoslav SFR,Ghana,Mexico,Sweden,Azerbaijan,Ireland,United Kingdom,Lithuania,Portugal,Netherlands,Ukraine
1971,,12837.0,-1.0,70000.0,2712.0,1537.0,,,,,,194.0,20.0,22111.0,,200.0,,3353.0,,,,,5816.0,150.0,,,1816.0,-1.0,11329.0,,622.0,-1.0,,-1.0,500.0,,5900.0,-1.0,,11948.0,,14411.0,18000.0,,-1.0,-1.0,,,15139.0,,,3204.0,
1972,,11230.0,-1.0,73000.0,2485.0,1464.0,,,,,,195.0,20.0,22054.0,,640.0,,3059.0,,,,,5973.0,200.0,,,1595.0,-1.0,12144.0,,626.0,-1.0,,-1.0,1132.0,,6500.0,-1.0,,15214.0,,12045.0,15804.0,,-1.0,-1.0,,,17578.0,,,2400.0,
1973,,11980.0,-1.0,107000.0,2926.0,1628.0,,,,,,203.0,50.0,22829.0,,470.0,,3720.0,,,,,5917.0,350.0,,,2092.0,-1.0,19133.0,,801.0,-1.0,,-1.0,1066.0,,7040.0,-1.0,,20591.0,,11937.0,16669.0,,-1.0,-1.0,,,15647.0,,,3000.0,
1974,,12356.0,-1.0,73000.0,2392.0,1131.0,,,,,,213.0,,20400.0,,400.0,,2942.0,,,,,6200.0,450.0,,,1811.0,-1.0,17939.0,,467.0,-1.0,,-1.0,1066.0,,6580.0,-1.0,,14614.0,,8537.0,12053.0,,-1.0,-1.0,,100.0,23800.0,,,2300.0,
1975,,13190.0,-1.0,103000.0,2777.0,1345.0,,,,,,172.0,50.0,23378.0,,300.0,,2882.0,,,,,6874.0,550.0,,,1537.0,-1.0,24951.0,,636.0,-1.0,,-1.0,1209.0,,7265.0,-1.0,,23698.0,,9016.0,16010.0,,-1.0,-1.0,,100.0,19100.0,,,2200.0,
1976,,11763.0,-1.0,94000.0,2122.0,759.0,,,,,,179.0,50.0,18427.0,,540.0,,2030.0,,,,,6648.0,500.0,,,1271.0,-1.0,18457.0,,320.0,-1.0,,-1.0,1257.0,,5176.0,-1.0,,11442.0,,8403.0,14823.0,,-1.0,-1.0,,100.0,15800.0,,,500.0,
1977,,12687.0,-1.0,90000.0,3192.0,664.0,,,,,,310.0,50.0,18295.0,,400.0,,1932.0,,,,,7485.0,350.0,,,1268.0,-1.0,20632.0,,377.0,-1.0,,-1.0,1257.0,,4966.0,-1.0,,14869.0,,9195.0,12700.0,,-1.0,-1.0,,100.0,18200.0,,,600.0,
1978,,11402.0,-1.0,88000.0,2755.0,643.0,,,,,,990.0,50.0,22194.0,,300.0,,2000.0,,,,,7394.0,300.0,,,1357.0,-1.0,24087.0,,196.0,-1.0,,-1.0,1208.0,,6980.0,-1.0,,16490.0,,8733.0,13173.0,,-1.0,-1.0,,100.0,21700.0,,,1000.0,
1979,,11660.0,-1.0,93000.0,3044.0,523.0,,,,,,1210.0,50.0,22457.0,,330.0,,1758.0,,,,,7563.0,250.0,,,1235.0,-1.0,24650.0,,224.0,-1.0,,-1.0,1326.0,,6900.0,-1.0,,17579.0,,7207.0,13200.0,,-1.0,-1.0,,100.0,20400.0,,,600.0,
1980,,12000.0,-1.0,90000.0,3127.0,656.0,,,,,,1320.0,50.0,20603.0,,390.0,,1951.0,,,,,8942.0,250.0,,,1295.0,-1.0,19507.0,,217.0,-1.0,,-1.0,682.0,,6900.0,-1.0,,18530.0,,5857.0,18300.0,,-1.0,-1.0,,100.0,22300.0,,,700.0,
1981,,13400.0,-1.0,114000.0,2836.0,602.0,,,,,,1775.0,50.0,18955.0,,320.0,,2113.0,,,,,9065.0,280.0,,,1511.0,-1.0,24924.0,,187.0,-1.0,,-1.0,818.0,,6600.0,-1.0,,19238.0,,8145.0,17800.0,,-1.0,-1.0,,100.0,21700.0,,,700.0,
1982,,15456.0,-1.0,90000.0,3754.0,604.0,,,,,,1998.0,50.0,23855.0,,270.0,,3024.0,,,,,12856.0,350.0,,,2420.0,-1.0,29854.0,,273.0,-1.0,,-1.0,826.0,,7100.0,-1.0,,18042.0,,8243.0,22800.0,,-1.0,-1.0,,1000.0,24100.0,,,700.0,
1983,,15608.0,-1.0,100000.0,3428.0,584.0,,,,,,1989.0,50.0,24651.0,,280.0,,2984.0,,,,,15484.0,350.0,,,2400.0,-1.0,29304.0,,225.0,-1.0,,-1.0,1086.0,,6600.0,-1.0,,21572.0,,5711.0,24449.0,,-1.0,-1.0,,1000.0,21800.0,,,700.0,
1984,,15075.0,-1.0,110000.0,4013.0,431.0,,,,,,1099.0,50.0,26586.0,,300.0,,2931.0,,,,,14999.0,350.0,1000.0,,2500.0,-1.0,29550.0,,210.0,-1.0,,-1.0,881.0,,7000.0,-1.0,,21448.0,,6891.0,24778.0,,-1.0,-1.0,,1000.0,24400.0,,,600.0,
1985,,14285.0,-1.0,117000.0,3442.0,547.0,,,,,,1941.0,50.0,26371.0,,100.0,,3147.0,,,,,15263.0,400.0,1000.0,,2600.0,-1.0,37916.0,,239.0,778.0,,-1.0,1433.0,,6300.0,-1.0,,26338.0,,5604.0,28311.0,,-1.0,-1.0,,1000.0,22607.0,,100.0,300.0,
1986,,13140.0,-1.0,125000.0,3595.0,360.0,,,,,,1899.0,50.0,25000.0,,200.0,,2760.0,,,,,13110.0,400.0,1000.0,,2400.0,-1.0,32198.0,,200.0,775.0,,-1.0,1757.0,,5800.0,-1.0,,25992.0,,6817.0,27666.0,,6.0,-1.0,,500.0,23450.0,,100.0,400.0,
1987,,22226.0,-1.0,138000.0,3181.0,481.0,,,,,,1982.0,50.0,25000.0,,100.0,,2781.0,,,,,22894.0,400.0,1000.0,,2300.0,-1.0,17131.0,,173.0,770.0,,-1.0,997.0,,6100.0,-1.0,,18360.0,,5376.0,36000.0,,4.0,-1.0,,500.0,24033.0,,100.0,300.0,
1988,,21797.0,-1.0,142000.0,4111.0,517.0,,,,,,1970.0,70.0,28000.0,,100.0,,2317.0,,,,,21494.0,450.0,1000.0,,1800.0,-1.0,43421.0,,180.0,765.0,,-1.0,1000.0,,6700.0,-1.0,,24381.0,,4101.0,53072.0,,5.0,-1.0,,500.0,23948.0,,100.0,400.0,
1989,,25710.0,-1.0,145000.0,4014.0,519.0,,,,,,2000.0,70.0,30000.0,,200.0,,2019.0,,,,,21746.0,450.0,1000.0,,1500.0,-1.0,43922.0,,200.0,765.0,,-1.0,1100.0,,6268.0,-1.0,,24916.0,,3781.0,61140.0,,5.0,100.0,,500.0,22903.0,,100.0,300.0,
1990,,23650.0,-1.0,80000.0,4100.0,572.0,,,,,,1300.0,57.0,27241.0,,170.0,,1772.0,,,,,14213.0,450.0,1076.0,,1200.0,-1.0,28457.0,,275.0,761.0,,-1.0,1000.0,,6402.0,-1.0,,27208.0,,4165.0,61181.0,,2.0,92.0,,600.0,19180.0,,128.0,300.0,
1991,,23000.0,-1.0,65000.0,1565.0,444.0,,,,,,1873.0,100.0,22904.0,,208.0,,1598.0,,,,,13159.0,450.0,129.0,,1154.0,-1.0,31650.0,,99.0,545.0,,-1.0,955.0,,6109.0,100.0,,26228.0,,3654.0,46000.0,,3.0,100.0,,800.0,19549.0,,50.0,300.0,
1992,,27000.0,1500.0,,1802.0,482.0,-1.0,,,,500.0,1675.0,111.0,31500.0,-1.0,258.0,44193.0,1682.0,,284.0,,,15179.0,600.0,129.0,1600.0,1200.0,-1.0,28148.0,,96.0,968.0,456.0,0.0,900.0,3288.0,9025.0,90.0,235.0,22681.0,70900.0,4344.0,,,12.0,98.0,900.0,600.0,19100.0,-1.0,51.0,400.0,9595.0
1993,236.0,27800.0,1200.0,,1769.0,537.0,-1.0,,,698.0,1000.0,1387.0,119.0,29500.0,-1.0,184.0,35000.0,1537.0,,227.0,,,15970.0,600.0,129.0,460.0,1000.0,-1.0,32457.0,,93.0,982.0,314.0,0.0,,3000.0,8802.0,90.0,424.0,18116.0,81400.0,1000.0,,,11.0,100.0,800.0,500.0,18700.0,-1.0,53.0,400.0,11388.0
1994,183.0,31200.0,2300.0,,1757.0,500.0,-1.0,,,789.0,500.0,1400.0,130.0,27000.0,-1.0,200.0,44000.0,1300.0,,291.0,,,18903.0,500.0,129.0,200.0,800.0,-1.0,30228.0,,89.0,853.0,330.0,100.0,,2700.0,8588.0,90.0,606.0,18116.0,82800.0,2209.0,,,73.0,100.0,800.0,600.0,17400.0,-1.0,54.0,400.0,7038.0
1995,100.0,32200.0,902.0,,1885.0,399.0,-1.0,,,687.0,487.0,1500.0,136.0,27000.0,-1.0,300.0,53084.0,1099.0,,100.0,,,20000.0,600.0,214.0,50.0,700.0,-1.0,40420.0,,87.0,860.0,606.0,48.0,,2567.0,7467.0,80.0,592.0,18000.0,85000.0,2569.0,,,391.0,100.0,800.0,400.0,10500.0,-1.0,56.0,500.0,8053.0
1996,200.0,25150.0,2150.0,,1142.0,370.0,-1.0,,,824.0,500.0,1600.0,144.0,26193.0,-1.0,323.0,62658.0,1065.0,,80.0,,,15077.0,300.0,343.0,100.0,695.0,-1.0,35760.0,,100.0,938.0,195.0,52.0,,2400.0,7541.0,100.0,707.0,19855.0,90000.0,1500.0,,-1.0,1024.0,100.0,700.0,600.0,12200.0,-1.0,57.0,500.0,8314.0
1997,212.0,35880.0,389.0,,1101.0,361.0,-1.0,,,756.0,500.0,1400.0,150.0,27141.0,-1.0,265.0,45020.0,861.0,,67.0,,,17173.0,200.0,567.0,1000.0,500.0,-1.0,40347.0,-1.0,70.0,974.0,182.0,55.0,,1800.0,6833.0,91.0,873.0,18135.0,94000.0,2500.0,,-1.0,1197.0,100.0,800.0,500.0,9500.0,-1.0,59.0,600.0,6986.0
1998,213.0,34970.0,2298.0,,868.0,568.0,-1.0,,,741.0,800.0,1063.0,161.0,29900.0,-1.0,265.0,56010.0,1768.0,,80.0,,,15451.0,200.0,1200.0,500.0,1200.0,-1.0,44845.0,-1.0,100.0,1000.0,116.0,57.0,,1200.0,7116.0,80.0,1020.0,19834.0,95000.0,2805.0,,-1.0,1625.0,100.0,500.0,500.0,12800.0,-1.0,60.0,300.0,18652.0
1999,202.0,49351.0,4287.0,,1243.0,600.0,-1.0,,,700.0,300.0,1166.0,170.0,35500.0,-1.0,383.0,60000.0,1800.0,,120.0,,,15650.0,200.0,2000.0,700.0,1200.0,-1.0,43195.0,-1.0,80.0,1017.0,101.0,59.0,,1000.0,7020.0,100.0,1152.0,22277.0,120000.0,3000.0,,-1.0,1396.0,118.0,600.0,500.0,11000.0,-1.0,62.0,400.0,13786.0
2000,200.0,51256.0,2390.0,,1456.0,582.0,-1.0,200.0,-1.0,727.0,300.0,1336.0,180.0,33700.0,-1.0,457.0,56059.0,1682.0,,180.0,,,16247.0,,2500.0,1700.0,1100.0,-1.0,39727.0,,73.0,1043.0,90.0,60.0,,2000.0,8743.0,80.0,959.0,19804.0,130000.0,3000.0,,,1138.0,100.0,1000.0,230.0,9800.0,-1.0,63.0,400.0,19723.0
2001,180.0,51982.0,3990.0,,1401.0,593.0,-1.0,200.0,-1.0,488.0,846.0,1455.0,186.0,29200.0,-1.0,418.0,77781.0,1293.0,,120.0,,,11658.0,,3200.0,1900.0,700.0,-1.0,44818.0,,70.0,1372.0,368.0,60.0,,3372.0,8549.0,91.0,893.0,13306.0,140000.0,3147.0,,,1133.0,100.0,1100.0,220.0,7700.0,-1.0,65.0,400.0,19137.0
2002,172.0,51710.0,1000.0,,1363.0,604.0,50.0,200.0,-1.0,39.0,1714.0,1380.0,194.0,29700.0,-1.0,539.0,94366.0,1004.0,,0.0,,,14880.0,,4500.0,1800.0,400.0,-1.0,44874.0,,60.0,1222.0,535.0,60.0,,2500.0,7971.0,92.0,916.0,9847.0,165000.0,3938.0,,,2046.0,191.0,2300.0,104.0,7300.0,-1.0,66.0,500.0,18100.0
2003,171.0,62142.0,2000.0,,1376.0,588.0,67.0,180.0,-1.0,30.0,1814.0,1391.0,200.0,20000.0,-1.0,540.0,79471.0,978.0,,0.0,,,14236.0,,5268.0,1700.0,390.0,1200.0,42941.0,,51.0,1110.0,401.0,60.0,,1719.0,6830.0,92.0,771.0,9258.0,150000.0,4083.0,,,2249.0,191.0,4800.0,100.0,8500.0,623.0,68.0,400.0,19700.0
2004,190.0,71941.0,1200.0,,1664.0,574.0,69.0,230.0,-1.0,33.0,1500.0,1657.0,207.0,20034.0,-1.0,378.0,91725.0,1016.0,,0.0,,,13828.0,,6000.0,2000.0,442.0,1100.0,56800.0,,62.0,1442.0,317.0,59.0,,1700.0,6875.0,92.0,800.0,8470.0,170000.0,5606.0,,,3045.0,190.0,10000.0,100.0,10000.0,515.0,234.0,400.0,25300.0
2005,180.0,82826.0,2200.0,,1719.0,580.0,67.0,275.0,-1.0,28.0,1000.0,1421.0,213.0,7000.0,-1.0,608.0,84331.0,1027.0,,0.0,5300.0,,14152.0,,7000.0,1700.0,448.0,1200.0,60000.0,,65.0,1285.0,300.0,58.0,,3936.0,5742.0,93.0,866.0,6724.0,175000.0,3900.0,,,5044.0,236.0,10000.0,113.0,12200.0,583.0,304.0,450.0,20500.0
2006,160.0,74843.0,2200.0,,1700.0,584.0,72.0,400.0,-1.0,65.0,814.0,1700.0,217.0,7196.0,144.0,524.0,,1010.0,79680.0,0.0,4500.0,-1.0,12442.0,,7500.0,2200.0,426.0,910.0,52539.0,,69.0,1392.0,253.0,58.0,,6452.0,6274.0,93.0,889.0,11900.0,175000.0,5766.0,,,9351.0,274.0,13700.0,120.0,12220.0,976.0,500.0,520.0,27200.0
2007,19.0,64773.0,2200.0,,2292.0,593.0,75.0,700.0,-1.0,23.0,622.0,1647.0,230.0,6191.0,109.0,436.0,,986.0,76991.0,0.0,4350.0,500.0,11517.0,,10000.0,2100.0,393.0,1321.0,56391.0,,70.0,1434.0,210.0,57.0,,8032.0,5716.0,94.0,897.0,6166.0,175000.0,3711.0,,,11477.0,300.0,8000.0,58.0,14800.0,1531.0,700.0,590.0,24600.0
2008,14.0,28667.0,17.0,,2592.0,609.0,76.0,700.0,-1.0,50.0,813.0,1700.0,243.0,5334.0,143.0,534.0,,959.0,84299.0,0.0,4000.0,500.0,11825.0,,12000.0,2200.0,350.0,1139.0,81552.0,,70.0,1390.0,256.0,57.0,,7483.0,6219.0,94.0,921.0,6304.0,137000.0,3540.0,,,14726.0,400.0,9500.0,42.0,15500.0,1691.0,900.0,770.0,26100.0
2009,6.0,55883.0,48.0,,3414.0,620.0,86.0,500.0,-1.0,43.0,794.0,1956.0,255.0,5068.0,228.0,567.0,,770.0,86961.0,0.0,3700.0,500.0,12672.0,,12000.0,2400.0,150.0,1112.0,81778.0,,65.0,2213.0,213.0,57.0,,8487.0,4342.0,94.0,949.0,4967.0,140000.0,3510.0,,,13559.0,430.0,10000.0,32.0,15300.0,1794.0,1500.0,680.0,27700.0
2010,2.0,88020.0,31.0,,2144.0,680.0,9.0,1155.0,1.0,30.0,714.0,1990.0,266.0,5212.0,180.0,529.0,,871.0,83870.0,1.0,3500.0,500.0,11864.0,,9226.0,2300.0,192.0,1168.0,92864.0,,95.0,1966.0,282.0,57.0,,7937.0,3590.0,95.0,934.0,3184.0,125000.0,6109.0,,,14343.0,450.0,11000.0,29.0,17000.0,1499.0,1931.0,1493.0,25700.0
2011,4.0,109502.0,47.0,,1955.0,797.0,82.0,850.0,1.0,29.0,623.0,2211.0,280.0,4778.0,353.0,696.0,,971.0,89602.0,2.0,3500.0,500.0,12273.0,,9552.0,2500.0,174.0,1209.0,117995.0,,73.0,2158.0,160.0,58.0,,9459.0,3722.0,95.0,941.0,2267.0,140000.0,7650.0,,,21468.0,465.0,11500.0,30.0,15546.0,1600.0,2500.0,1233.0,28100.0
2012,5.0,84300.0,152.0,,2235.0,752.0,121.0,1200.0,1.0,29.0,350.0,1794.0,289.0,4666.0,149.0,651.0,,907.0,70320.0,2.0,3200.0,500.0,11989.0,,12931.0,2600.0,155.0,821.0,127055.0,,73.0,2259.0,193.0,65.0,,7016.0,3317.0,100.0,948.0,2000.0,133000.0,4850.0,,,17009.0,520.0,11800.0,29.0,15578.0,2100.0,3304.0,1108.0,30300.0
2013,6.0,83280.0,123.0,,2056.0,691.0,178.0,1000.0,1.0,29.0,422.0,2021.0,286.0,5086.0,147.0,737.0,,835.0,68458.0,-1.0,2800.0,500.0,9691.0,,11703.0,2700.0,144.0,896.0,121040.0,,97.0,2582.0,147.0,70.0,,9075.0,3976.0,100.0,955.0,1450.0,143000.0,5491.0,,,30411.0,540.0,12000.0,30.0,14569.0,2300.0,4742.0,1180.0,29510.0
2014,21.0,103510.0,86.0,,2540.0,696.0,144.0,1400.0,1.0,29.0,1479.0,2465.0,292.0,5563.0,110.0,775.0,,822.0,61715.0,2.0,2600.0,500.0,12078.0,,14307.0,2700.0,125.0,948.0,125859.0,,94.0,2920.0,137.0,72.0,,10613.0,4380.0,96.0,962.0,1580.0,144000.0,4569.0,,,35627.0,550.0,12000.0,29.0,17765.0,2500.0,3471.0,460.0,30800.0
