,USSR,Romania,Syrian Arab Republic,Australia & New Zealand,Australia,Iraq,The former Yugoslav Republic of Macedonia,Belgium,Uruguay,South Africa,Italy,Morocco,Lebanon,Croatia,Latvia,Slovenia,Albania,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Serbia,Jordan,Chile,Argentina,Spain,Kyrgyzstan,New Zealand,Cyprus,Switzerland,Israel,Japan,Republic of Moldova,Turkey,Belarus,Belgium-Luxembourg,Georgia,Mexico,Azerbaijan,France,Ukraine,Tunisia,Bosnia and Herzegovina,Hungary,Russian Federation,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Peru,Greece,China,"China, mainland",Yemen,Algeria,Kazakhstan,Lithuania,Portugal,Brazil
1988,27778.0,49123.0,131250.0,133279.0,141250.0,64063.0,,,63158.0,62125.0,105376.0,72727.0,157143.0,,,,51064.0,,,,,,50000.0,,69153.0,88900.0,,132075.0,66667.0,76923.0,714800.0,,,87024.0,,50000.0,,117267.0,,111395.0,,86667.0,,62180.0,,501647.0,55985.0,58339.0,69307.0,85234.0,105249.0,42857.0,42857.0,46471.0,,,,100000.0,26311.0
1989,29444.0,70175.0,73077.0,154865.0,146000.0,65625.0,,,65263.0,54875.0,95050.0,77273.0,166667.0,,,,66667.0,,,,,,15500.0,,70508.0,92767.0,,156250.0,40000.0,57692.0,638800.0,,,83958.0,,50000.0,,100596.0,,126222.0,,83333.0,,57000.0,,630777.0,55446.0,75085.0,48799.0,86883.0,108295.0,40000.0,40000.0,68250.0,,,,110000.0,26154.0
1990,28103.0,66979.0,82540.0,145179.0,78750.0,64179.0,,,78049.0,55375.0,94340.0,98696.0,175000.0,,,,66667.0,,,,,,22143.0,,73563.0,89853.0,,156250.0,50000.0,99697.0,725000.0,,,87778.0,,35781.0,,127767.0,,145031.0,,85575.0,,73494.0,,591623.0,57400.0,65558.0,55573.0,78866.0,105895.0,42857.0,42857.0,67683.0,,,,98000.0,25959.0
1991,10243.0,56818.0,88530.0,131111.0,145000.0,58194.0,,,163534.0,54902.0,92632.0,102083.0,181008.0,,,,25000.0,,,,,,27143.0,,82196.0,94636.0,,130000.0,46667.0,44252.0,583333.0,,,86026.0,,79425.0,,97710.0,,72209.0,,83333.0,,50254.0,,481309.0,61400.0,61389.0,59061.0,79650.0,76190.0,45455.0,45455.0,64146.0,,,,66000.0,25696.0
1992,,50000.0,94469.0,139338.0,166000.0,58124.0,97063.0,,164322.0,54762.0,106484.0,100000.0,182563.0,46341.0,,34737.0,19324.0,80000.0,,55479.0,,,34298.0,,82251.0,92589.0,75000.0,136777.0,50000.0,105692.0,640000.0,,50000.0,88564.0,,71429.0,,93436.0,,146928.0,,82500.0,,47759.0,25000.0,285714.0,58942.0,,65338.0,81129.0,73743.0,53333.0,53333.0,64146.0,,60000.0,,80000.0,25637.0
1993,,45028.0,111111.0,146126.0,179333.0,58055.0,90690.0,,165110.0,54688.0,97742.0,85385.0,187500.0,56106.0,,22432.0,18553.0,79920.0,,77968.0,,,42107.0,,82306.0,84130.0,50000.0,136419.0,50000.0,71298.0,600000.0,,50000.0,81821.0,,80000.0,,62031.0,,88533.0,,83333.0,,49030.0,22667.0,237063.0,59811.0,,70239.0,81975.0,97988.0,60606.0,60606.0,64023.0,,55871.0,,65887.0,27649.0
1994,,38889.0,96220.0,136364.0,,57985.0,88636.0,,165898.0,54709.0,105673.0,100000.0,192308.0,51324.0,,64308.0,17814.0,80635.0,42083.0,66715.0,,,51333.0,,82361.0,77229.0,51667.0,136364.0,80000.0,86123.0,600000.0,,50000.0,86617.0,,57143.0,,74216.0,,125882.0,,83871.0,,55814.0,15000.0,247051.0,60755.0,,66265.0,81470.0,96585.0,71515.0,71515.0,47816.0,,55441.0,,100000.0,31445.0
1995,,29412.0,83266.0,135930.0,,57915.0,71489.0,,166686.0,55400.0,68916.0,83333.0,195460.0,52141.0,,46667.0,17119.0,81305.0,147143.0,55594.0,,,61538.0,,82416.0,69925.0,45000.0,135930.0,66667.0,67937.0,583333.0,,28700.0,73958.0,,59465.0,,66853.0,,153585.0,,83333.0,,49236.0,20000.0,225764.0,60606.0,,77220.0,75041.0,112315.0,75000.0,75000.0,45333.0,,55044.0,,105000.0,31387.0
1996,,40628.0,95446.0,133333.0,,58157.0,87595.0,,167474.0,55268.0,87500.0,86333.0,199013.0,50631.0,,44005.0,16485.0,83390.0,61176.0,65493.0,,,,,82472.0,79364.0,40000.0,133333.0,62500.0,72240.0,565217.0,,105000.0,86735.0,,56778.0,,53251.0,,163423.0,,83333.0,,49259.0,25000.0,208891.0,60000.0,,75721.0,86265.0,112054.0,57813.0,57813.0,42178.0,45923.0,54546.0,,95000.0,31387.0
1997,,53333.0,101538.0,133280.0,,58189.0,93200.0,,168262.0,55781.0,96402.0,87500.0,,50352.0,11667.0,,15926.0,82982.0,51538.0,65640.0,,,,,82278.0,77778.0,26667.0,133280.0,61538.0,100000.0,545455.0,,75000.0,95000.0,,52555.0,,83254.0,,133605.0,,84615.0,,49312.0,25000.0,183333.0,60000.0,,72916.0,87187.0,117311.0,66667.0,66667.0,41584.0,50380.0,50000.0,,90000.0,31387.0
1998,,70000.0,112469.0,130769.0,,63636.0,93920.0,,164396.0,56309.0,99199.0,105357.0,,50200.0,20000.0,,15490.0,84000.0,46154.0,66549.0,,,,,82395.0,73158.0,33333.0,130769.0,53846.0,130500.0,625000.0,,52000.0,85725.0,,60000.0,71675.0,98506.0,121176.0,143176.0,,83929.0,,51111.0,27641.0,196667.0,60000.0,,71558.0,68556.0,76187.0,78750.0,78750.0,41455.0,41440.0,66667.0,,90000.0,32143.0
1999,,78891.0,122155.0,131819.0,,58560.0,95678.0,,138830.0,56876.0,143906.0,106552.0,,52632.0,10000.0,,15570.0,80000.0,52143.0,67167.0,,,,,83333.0,71429.0,53333.0,131819.0,61538.0,210200.0,625000.0,,64750.0,85012.0,,41227.0,70172.0,88270.0,80714.0,147905.0,,83333.0,,49230.0,25000.0,160000.0,60000.0,,70000.0,91154.0,196098.0,80000.0,80000.0,40833.0,36577.0,69231.0,10000.0,120000.0,32143.0
2000,,72708.0,137417.0,128571.0,,57813.0,97371.0,26667.0,129032.0,58707.0,69667.0,69310.0,,52941.0,10000.0,,16694.0,80000.0,49231.0,67824.0,,,,,82357.0,85842.0,50000.0,128571.0,61538.0,998000.0,625000.0,,46667.0,100575.0,,,73857.0,93143.0,98000.0,159862.0,97500.0,79365.0,,48789.0,33333.0,166667.0,61538.0,,69483.0,102914.0,321450.0,70833.0,70833.0,47364.0,35571.0,50000.0,20000.0,110000.0,30667.0
2001,,73478.0,140000.0,130039.0,,58065.0,99004.0,27214.0,152583.0,59667.0,111892.0,80323.0,,54545.0,10000.0,,18265.0,88000.0,47333.0,68522.0,,,,,82237.0,99023.0,80000.0,130039.0,53846.0,984286.0,792865.0,,65000.0,98808.0,,,69535.0,90625.0,95200.0,155034.0,84444.0,75000.0,,48311.0,33333.0,133333.0,60870.0,,69410.0,94899.0,329278.0,69231.0,69231.0,50405.0,40649.0,40000.0,30000.0,105000.0,30667.0
2002,,73663.0,127027.0,129329.0,,56667.0,101160.0,27525.0,158333.0,53727.0,87536.0,93667.0,,51822.0,18605.0,,20055.0,83333.0,40526.0,67225.0,,,,,81250.0,114238.0,72581.0,129329.0,53846.0,712500.0,841784.0,,67500.0,102746.0,,,68483.0,112958.0,77692.0,158278.0,93750.0,75000.0,,40000.0,28938.0,150000.0,60000.0,,69588.0,89516.0,320353.0,67692.0,67692.0,50802.0,37565.0,56667.0,15000.0,105000.0,45000.0
2003,,74545.0,120059.0,128624.0,,50000.0,100739.0,27840.0,175320.0,50333.0,74638.0,96452.0,,53846.0,19423.0,,22130.0,74286.0,37000.0,83700.0,,,,,82255.0,140208.0,50000.0,128624.0,50000.0,884286.0,612500.0,76049.0,63333.0,104862.0,10000.0,,68250.0,93858.0,79256.0,97950.0,93000.0,74510.0,,25000.0,52500.0,95090.0,54756.0,,69829.0,89265.0,311750.0,66667.0,66667.0,51211.0,46530.0,52419.0,20179.0,70000.0,53644.0
2004,,80000.0,111429.0,127946.0,,56470.0,101995.0,27920.0,200000.0,44333.0,88116.0,121875.0,,52632.0,25373.0,,31250.0,70000.0,50000.0,72243.0,,,,,81925.0,129573.0,66667.0,127946.0,59231.0,860000.0,700000.0,90000.0,50000.0,76190.0,6684.0,,63300.0,77120.0,61640.0,191608.0,57778.0,72727.0,,45496.0,56231.0,41200.0,55732.0,,67733.0,80291.0,378227.0,60357.0,60357.0,52087.0,41327.0,50000.0,16205.0,76667.0,54261.0
2005,,82830.0,126316.0,127427.0,,56679.0,104420.0,28423.0,205531.0,39143.0,86849.0,88529.0,,56857.0,18142.0,,35000.0,67273.0,51111.0,71440.0,,,,13488.0,82697.0,137014.0,50000.0,127427.0,55385.0,513750.0,621875.0,74524.0,36069.0,95877.0,13117.0,,61810.0,62651.0,85112.0,177538.0,85556.0,69903.0,51143.0,41912.0,56364.0,74353.0,55904.0,,67723.0,77564.0,365068.0,62333.0,62333.0,53203.0,47783.0,51690.0,24214.0,76667.0,50140.0
2006,,80265.0,125000.0,126775.0,,60000.0,105772.0,28571.0,203531.0,40667.0,103544.0,86957.0,,50637.0,30233.0,,30000.0,83796.0,52593.0,,,69313.0,,12972.0,82540.0,95188.0,63333.0,126775.0,62500.0,962857.0,715625.0,75000.0,26391.0,102129.0,13416.0,,61111.0,103045.0,96994.0,174947.0,64444.0,70213.0,50068.0,67327.0,56000.0,30380.0,56867.0,,67273.0,77266.0,328839.0,53125.0,53125.0,54675.0,53742.0,50000.0,20000.0,83333.0,49189.0
2007,,81874.0,130395.0,126124.0,,56795.0,106722.0,30000.0,145908.0,45753.0,86056.0,93791.0,,38800.0,17292.0,,31256.0,83333.0,59780.0,,71264.0,67220.0,,12107.0,84375.0,97880.0,60000.0,126124.0,61667.0,934286.0,621875.0,73975.0,27820.0,94261.0,30083.0,,60000.0,88068.0,85684.0,129737.0,58889.0,69767.0,50162.0,39000.0,82000.0,20968.0,57143.0,,67308.0,77192.0,310802.0,52941.0,52941.0,56765.0,38742.0,51571.0,17917.0,79929.0,47500.0
2008,,84157.0,116216.0,125476.0,,56575.0,107677.0,30000.0,107132.0,49714.0,131818.0,86849.0,,48062.0,22982.0,,30000.0,100000.0,35500.0,,49517.0,67791.0,,12953.0,84185.0,87809.0,63333.0,125476.0,87500.0,1043333.0,725000.0,72116.0,36568.0,95395.0,30000.0,,60000.0,101303.0,87744.0,,88889.0,48077.0,50389.0,74286.0,66667.0,20000.0,57294.0,,70369.0,71609.0,328000.0,53158.0,53158.0,57284.0,42635.0,51150.0,22754.0,64754.0,45939.0
2009,,86440.0,114775.0,124831.0,,56368.0,108643.0,29412.0,151051.0,47000.0,99231.0,99267.0,,50813.0,25833.0,,97211.0,100000.0,32000.0,,51326.0,68459.0,,12929.0,84239.0,115170.0,66667.0,124831.0,170000.0,1228000.0,582000.0,70205.0,49247.0,98247.0,15000.0,,62857.0,89169.0,83005.0,,90000.0,73529.0,50962.0,72063.0,100000.0,24440.0,57909.0,,83991.0,76625.0,328570.0,52500.0,52500.0,57611.0,60196.0,42857.0,16000.0,88353.0,46209.0
2010,,88723.0,74674.0,124187.0,,56158.0,118833.0,30158.0,168258.0,41600.0,122549.0,95671.0,,50445.0,5424.0,,128345.0,106349.0,40613.0,,26021.0,64429.0,,14417.0,84477.0,97914.0,63333.0,124187.0,233333.0,901429.0,5215501.0,68241.0,57887.0,118328.0,20000.0,,50000.0,80724.0,71558.0,,106667.0,78333.0,49870.0,115897.0,64000.0,13424.0,57713.0,,94730.0,77584.0,318823.0,50261.0,50261.0,57513.0,61236.0,40000.0,8929.0,86650.0,46124.0
2011,,91006.0,81548.0,123545.0,,55947.0,118667.0,29412.0,315021.0,42257.0,131759.0,83470.0,,50522.0,17222.0,,158440.0,116604.0,41799.0,,44124.0,69775.0,,14724.0,84710.0,97800.0,70000.0,123545.0,216667.0,1043333.0,7886925.0,66227.0,49853.0,121764.0,23333.0,,69231.0,74166.0,74483.0,,110000.0,80760.0,58050.0,65765.0,80000.0,23941.0,57678.0,,118384.0,77349.0,311062.0,43254.0,43254.0,54749.0,64958.0,50000.0,5000.0,85000.0,48750.0
2012,,93289.0,75783.0,120000.0,,55263.0,103083.0,32353.0,231008.0,40755.0,156221.0,135254.0,,50599.0,18774.0,,50933.0,135114.0,43242.0,,60125.0,54805.0,,16393.0,85938.0,58232.0,73333.0,120000.0,216667.0,1228000.0,20755556.0,60938.0,47219.0,126465.0,15000.0,,69231.0,82932.0,83354.0,,116667.0,88235.0,43218.0,47059.0,94000.0,32989.0,66002.0,,120037.0,84624.0,272489.0,39121.0,39121.0,53884.0,35624.0,55000.0,5000.0,85000.0,47248.0
2013,,95572.0,73598.0,121972.0,,55553.0,105950.0,34286.0,165317.0,46167.0,136010.0,132739.0,264463.0,50677.0,11299.0,47520.0,483333.0,128042.0,42821.0,,61207.0,92234.0,,17065.0,85109.0,84292.0,76667.0,121972.0,220000.0,1048333.0,5330189.0,61594.0,35672.0,243508.0,15000.0,,65625.0,87416.0,83903.0,,107778.0,88235.0,39257.0,73780.0,100000.0,46406.0,61410.0,,96201.0,95113.0,308142.0,36022.0,36022.0,53113.0,38334.0,40000.0,3333.0,75000.0,50238.0
2014,,97855.0,70675.0,122286.0,,55672.0,98261.0,33383.0,168963.0,56800.0,100081.0,132476.0,268574.0,50754.0,30000.0,47844.0,511250.0,128424.0,42399.0,,71320.0,81601.0,,16502.0,85101.0,87294.0,76667.0,122286.0,157500.0,1058333.0,4844444.0,61783.0,18668.0,198672.0,15000.0,,66667.0,64224.0,80891.0,,94250.0,97222.0,66167.0,60000.0,108000.0,61233.0,59514.0,,91074.0,102775.0,327538.0,33284.0,33284.0,52506.0,61335.0,70000.0,6850.0,79559.0,51351.0
