,Indonesia,Bhutan,Trinidad and Tobago,Dominica,Sri Lanka,Togo,Melanesia,United Republic of Tanzania,Malaysia,Grenada,Nepal,Ethiopia,Kenya,Ethiopia PDR,Lao People's Democratic Republic,Papua New Guinea,Saint Vincent and the Grenadines,Guatemala,Madagascar,Saint Lucia,Malawi,India,Honduras
1989,4823.0,6111.0,3514.0,15000.0,2056.0,,4286.0,2400.0,4333.0,4762.0,3008.0,,3333.0,2857.0,2833.0,4286.0,2733.0,2629.0,3333.0,3000.0,3125.0,835.0,5333.0
1990,4794.0,6301.0,2599.0,20000.0,2419.0,,3000.0,3543.0,4346.0,4833.0,2312.0,,2951.0,2528.0,2731.0,3000.0,3364.0,2629.0,3333.0,2308.0,2761.0,809.0,4913.0
1991,4569.0,6622.0,3150.0,20000.0,2795.0,,2667.0,3903.0,6516.0,4167.0,2963.0,,3373.0,0.0,3357.0,2667.0,3097.0,2825.0,3294.0,3386.0,12903.0,809.0,4795.0
1992,5001.0,6933.0,3212.0,20000.0,3072.0,2857.0,2778.0,3901.0,6718.0,4762.0,3205.0,,3338.0,0.0,3374.0,2778.0,3024.0,2891.0,3366.0,3385.0,12591.0,953.0,4583.0
1993,5795.0,6849.0,3273.0,20000.0,3019.0,2500.0,2667.0,3899.0,4357.0,5000.0,3333.0,2911.0,3571.0,,3435.0,2667.0,3050.0,2815.0,3441.0,3433.0,12279.0,1075.0,4625.0
1994,5143.0,6857.0,3334.0,20000.0,3183.0,2874.0,2982.0,3897.0,4345.0,4790.0,3451.0,2947.0,3488.0,,3571.0,2982.0,3059.0,3099.0,3521.0,3461.0,11966.0,1066.0,4286.0
1995,4931.0,6716.0,3395.0,20000.0,3242.0,3108.0,3077.0,3895.0,7646.0,4993.0,3564.0,2985.0,3581.0,,3410.0,3077.0,3000.0,3234.0,3606.0,3571.0,11654.0,1153.0,4403.0
1996,4740.0,6452.0,3457.0,20000.0,3374.0,3321.0,2800.0,3892.0,7973.0,5213.0,3614.0,3046.0,3672.0,,3333.0,2800.0,3050.0,4451.0,3697.0,3504.0,11342.0,1273.0,4459.0
1997,4851.0,6140.0,3518.0,20000.0,3385.0,3333.0,3040.0,3890.0,4286.0,4542.0,3636.0,3090.0,3757.0,,3395.0,3040.0,3081.0,4378.0,3796.0,3520.0,11030.0,1241.0,4490.0
1998,4651.0,5769.0,3492.0,20000.0,3449.0,4000.0,2500.0,3888.0,4286.0,4545.0,3604.0,3134.0,3837.0,,3405.0,2500.0,3289.0,3588.0,3902.0,3535.0,10717.0,1059.0,4444.0
1999,4373.0,5319.0,3498.0,20000.0,3470.0,5200.0,3000.0,3886.0,9011.0,4900.0,3613.0,3177.0,3908.0,,3420.0,3000.0,2949.0,3505.0,4017.0,3548.0,10405.0,1262.0,4571.0
2000,5258.0,4762.0,3600.0,20000.0,3514.0,6667.0,2500.0,3883.0,9331.0,4884.0,3603.0,3333.0,3889.0,,3436.0,2500.0,3148.0,3645.0,4140.0,3561.0,10093.0,1569.0,4600.0
2001,5002.0,4054.0,3684.0,20262.0,3328.0,6581.0,3333.0,3881.0,9658.0,4898.0,5699.0,3261.0,3333.0,,3472.0,3333.0,3196.0,3648.0,3333.0,3572.0,9780.0,1659.0,4800.0
2002,4668.0,5000.0,3718.0,20000.0,3792.0,6956.0,5658.0,3879.0,10004.0,4896.0,5700.0,3282.0,4005.0,,3474.0,5658.0,3077.0,3654.0,4561.0,3583.0,9468.0,1740.0,4667.0
2003,4426.0,4706.0,3797.0,25000.0,4271.0,6615.0,5000.0,3899.0,10528.0,4909.0,5727.0,3303.0,4137.0,,3562.0,5000.0,3571.0,3648.0,4906.0,3596.0,9178.0,1747.0,4624.0
2004,4393.0,4716.0,3875.0,21111.0,3623.0,6295.0,4625.0,3942.0,10924.0,4893.0,5603.0,3326.0,4291.0,,3522.0,4625.0,3750.0,3650.0,5306.0,3611.0,8909.0,1775.0,4628.0
2005,4393.0,5042.0,4021.0,20000.0,3685.0,6797.0,4471.0,3985.0,11648.0,4839.0,5913.0,3347.0,4451.0,,3649.0,4471.0,3636.0,3649.0,5710.0,3625.0,8640.0,1858.0,4636.0
2006,2990.0,8606.0,4110.0,25000.0,2749.0,7143.0,5333.0,4028.0,12665.0,4854.0,5780.0,3350.0,4615.0,,3559.0,5333.0,3605.0,3757.0,6114.0,3640.0,8372.0,1635.0,4667.0
2007,3199.0,6257.0,4204.0,25000.0,2703.0,8571.0,5000.0,4071.0,4366.0,4892.0,5799.0,3333.0,4782.0,,3531.0,5000.0,3636.0,3604.0,6515.0,3750.0,8696.0,1666.0,4661.0
2008,3798.0,6000.0,4212.0,20770.0,3030.0,8571.0,5000.0,4114.0,4345.0,4870.0,5898.0,3333.0,4950.0,,3526.0,5000.0,3488.0,3797.0,6912.0,3750.0,8463.0,1680.0,4660.0
2009,1619.0,5512.0,4167.0,19953.0,3310.0,8424.0,4000.0,4157.0,8574.0,4910.0,5939.0,3540.0,5116.0,,3538.0,4000.0,3600.0,3839.0,7302.0,3686.0,8438.0,1743.0,4668.0
2010,1338.0,6023.0,4560.0,16667.0,3725.0,8571.0,3200.0,4334.0,34488.0,4913.0,4446.0,3846.0,5278.0,,3550.0,3200.0,5573.0,3626.0,7681.0,3688.0,7639.0,1811.0,4677.0
2011,1628.0,3770.0,5686.0,16667.0,3742.0,8656.0,4000.0,4469.0,116563.0,4909.0,4384.0,3846.0,5435.0,,3562.0,4000.0,4777.0,4077.0,8049.0,3680.0,6875.0,1777.0,4687.0
2012,1885.0,3126.0,5728.0,16667.0,3642.0,8421.0,4800.0,4667.0,38421.0,4906.0,5166.0,3875.0,6250.0,,3574.0,4800.0,4893.0,5403.0,9375.0,3698.0,5283.0,1964.0,4696.0
2013,2009.0,1926.0,5559.0,15714.0,3669.0,8881.0,4924.0,4645.0,23714.0,4912.0,5332.0,3875.0,6250.0,,3585.0,4924.0,4783.0,5474.0,9375.0,3715.0,6187.0,1727.0,4706.0
2014,2072.0,3571.0,5689.0,17519.0,3482.0,9555.0,4410.0,3706.0,15714.0,4919.0,4543.0,3852.0,5779.0,,3597.0,4410.0,4888.0,5542.0,8666.0,3733.0,6222.0,2258.0,4715.0
