,Austria,USSR,Japan,Poland,Syrian Arab Republic,Turkey,Czechia,Czechoslovakia,France,Republic of Korea,Romania,Italy,Hungary,Germany,Russian Federation,Bulgaria,Yugoslav SFR,Sweden,China,Serbia and Montenegro,Democratic People's Republic of Korea,"China, mainland",Chile,Spain,Croatia,Portugal,Netherlands,Ukraine
1999,,,5714.0,7143.0,,14496.0,,,17130.0,20375.0,58635.0,46514.0,20468.0,,4100.0,,,,11484.0,7905.0,6857.0,11484.0,9524.0,13323.0,,,81667.0,5000.0
2000,,,5714.0,7143.0,,14088.0,,,17130.0,18786.0,28000.0,56026.0,22241.0,,4176.0,,,,17526.0,4110.0,6944.0,17526.0,9525.0,13387.0,,,58750.0,6667.0
2001,,,5714.0,7143.0,,14286.0,,,16883.0,18077.0,46667.0,55250.0,22059.0,,3600.0,,,,16411.0,4000.0,6944.0,16411.0,9523.0,36709.0,,,51000.0,5000.0
2002,,,5714.0,7143.0,,13636.0,,,17308.0,18667.0,56000.0,43277.0,20000.0,,4143.0,,,,20341.0,4265.0,6919.0,20341.0,9500.0,67366.0,,,68095.0,5000.0
2003,62500.0,,5714.0,7143.0,,12308.0,,,17500.0,18571.0,26667.0,34802.0,20000.0,,4500.0,,,,26000.0,4300.0,6919.0,26000.0,9533.0,29847.0,,,72667.0,5000.0
2004,62500.0,,5714.0,7143.0,,16000.0,,,17436.0,18824.0,15833.0,43277.0,20000.0,,3750.0,,,,17910.0,4560.0,6842.0,17910.0,9560.0,43275.0,,,100000.0,5000.0
2005,63333.0,,5714.0,7143.0,,8462.0,,,17750.0,18182.0,22381.0,48000.0,16667.0,,3750.0,,,,37589.0,4486.0,6842.0,37589.0,9533.0,24672.0,,,100000.0,5000.0
2006,61667.0,,5714.0,6852.0,,9231.0,,,16667.0,18824.0,16000.0,48000.0,16667.0,,3750.0,,,,43409.0,,6842.0,43409.0,9533.0,62000.0,,,100000.0,5000.0
2007,62500.0,,5714.0,6844.0,,6786.0,,,16667.0,17692.0,18750.0,48000.0,16667.0,,3750.0,,,,26888.0,,6842.0,26888.0,9533.0,22000.0,,,100000.0,5000.0
2008,63333.0,,5714.0,6951.0,,7000.0,,,16667.0,16364.0,19224.0,40000.0,16667.0,,3750.0,,,,25512.0,,6845.0,25512.0,9533.0,22000.0,,,66667.0,5000.0
2009,62500.0,,5714.0,6921.0,,5714.0,,,16667.0,16667.0,15121.0,40000.0,16667.0,,3750.0,,,,20946.0,,6667.0,20946.0,9533.0,22000.0,,,72222.0,5000.0
2010,61500.0,,5714.0,6892.0,,5000.0,,,16794.0,16939.0,11215.0,44780.0,16130.0,,3854.0,,,,21300.0,,7000.0,21300.0,9533.0,5000.0,,,60000.0,4868.0
2011,61309.0,,5714.0,6863.0,,4711.0,18629.0,,16790.0,17100.0,10685.0,40000.0,15310.0,,3841.0,,,,27723.0,,7000.0,27723.0,9533.0,5000.0,,,67778.0,4858.0
2012,66000.0,,5714.0,6833.0,,3861.0,18451.0,,16540.0,17124.0,10776.0,48618.0,14541.0,,3763.0,,,,27462.0,,7000.0,27462.0,9499.0,10000.0,,,79976.0,4940.0
2013,35000.0,,5714.0,6804.0,,2850.0,45000.0,,16558.0,17018.0,10868.0,53235.0,14051.0,,3754.0,,,,27655.0,,7000.0,27655.0,9444.0,10909.0,,,80008.0,4928.0
2014,43333.0,,5714.0,6774.0,,2546.0,43614.0,,16576.0,16912.0,10959.0,76233.0,13561.0,,3745.0,,,,27909.0,,6965.0,27909.0,9472.0,20000.0,,,80006.0,4916.0
