,"China, Taiwan Province of",Japan,Bhutan,Ethiopia PDR,Egypt,Pakistan,Thailand,Nepal,Viet Nam,Bangladesh,Iran (Islamic Republic of),Peru,Brazil,Cambodia,"China, mainland",El Salvador,Uzbekistan,Côte d'Ivoire,Zimbabwe,Cameroon,Myanmar,China,India
1997,0.0,0.0,87.0,,900.0,27.0,3800.0,11000.0,11600.0,577493.0,-1.0,188.0,429.0,1950.0,111000.0,-1.0,2000.0,,3028.0,190.0,43300.0,111000.0,906000.0
1998,0.0,0.0,87.0,,950.0,23.0,2894.0,12265.0,6700.0,477939.0,-1.0,114.0,687.0,1021.0,63000.0,-1.0,2000.0,,3081.0,190.0,34012.0,63000.0,848300.0
1999,0.0,0.0,87.0,,950.0,22.0,2900.0,11675.0,4100.0,407928.0,-1.0,160.0,1070.0,261.0,44000.0,-1.0,2000.0,,3134.0,190.0,37298.0,44000.0,847000.0
2000,0.0,0.0,87.0,,950.0,21.0,2976.0,14535.0,5500.0,448335.0,-1.0,210.0,1117.0,208.0,34000.0,-1.0,2000.0,-1.0,3150.0,190.0,36600.0,34000.0,827900.0
2001,0.0,0.0,87.0,,1100.0,20.0,2962.0,11289.0,7800.0,456680.0,-1.0,60.0,954.0,198.0,34700.0,-1.0,2000.0,-1.0,3195.0,190.0,43948.0,34700.0,873100.0
2002,0.0,0.0,88.0,,920.0,21.0,3400.0,11697.0,9800.0,436661.0,-1.0,100.0,987.0,434.0,37400.0,-1.0,2000.0,-1.0,3210.0,190.0,49400.0,37400.0,864500.0
2003,0.0,0.0,88.0,,860.0,18.0,2807.0,11851.0,4800.0,407920.0,-1.0,120.0,1047.0,442.0,28000.0,-1.0,2000.0,-1.0,3222.0,190.0,44500.0,28000.0,849000.0
2004,0.0,0.0,87.0,,1080.0,18.0,2609.0,11790.0,4700.0,390526.0,-1.0,125.0,1513.0,435.0,21760.0,-1.0,2000.0,-1.0,3232.0,190.0,30800.0,21760.0,773900.0
2005,0.0,0.0,88.0,,990.0,20.0,2601.0,12180.0,5600.0,402000.0,-1.0,130.0,4168.0,514.0,21050.0,-1.0,2000.0,-1.0,3150.0,190.0,20600.0,21050.0,759800.0
2006,0.0,0.0,90.0,,850.0,19.0,1912.0,11975.0,6300.0,419000.0,-1.0,140.0,4179.0,449.0,22100.0,350.0,2000.0,-1.0,3200.0,190.0,16600.0,22100.0,791000.0
2007,0.0,0.0,88.0,,820.0,15.0,1301.0,11726.0,11700.0,440492.0,-1.0,150.0,4501.0,461.0,23400.0,70.0,2000.0,-1.0,3521.0,190.0,12500.0,23400.0,816000.0
2008,0.0,0.0,88.0,,710.0,14.0,1433.0,11590.0,3400.0,420473.0,-1.0,160.0,710.0,397.0,18200.0,35.0,2000.0,,3696.0,190.0,4000.0,18200.0,785600.0
2009,0.0,0.0,88.0,,710.0,13.0,1237.0,11678.0,2292.0,416000.0,-1.0,157.0,599.0,347.0,16800.0,17.0,1838.0,,3955.0,215.0,1161.0,16800.0,811200.0
2010,0.0,0.0,104.0,,850.0,13.0,925.0,13103.0,3768.0,416346.0,-1.0,160.0,723.0,594.0,13300.0,33.0,1791.0,,4117.0,245.0,1486.0,13300.0,767630.0
2011,0.0,0.0,87.0,,900.0,13.0,654.0,10559.0,3853.0,708723.0,-1.0,163.0,855.0,248.0,13510.0,31.0,1737.0,,4117.0,245.0,2649.0,13510.0,800000.0
2012,0.0,0.0,75.0,,1000.0,13.0,351.0,10540.0,1331.0,760427.0,-1.0,190.0,837.0,273.0,12290.0,25.0,1850.0,,4200.0,250.0,2500.0,12290.0,800000.0
2013,0.0,0.0,78.0,,1000.0,13.0,150.0,11300.0,354.0,681000.0,-1.0,190.0,396.0,274.0,11970.0,26.0,1900.0,,4200.0,255.0,433.0,11970.0,800000.0
2014,0.0,0.0,85.0,,1019.0,13.0,143.0,11350.0,254.0,665699.0,-1.0,171.0,769.0,263.0,9609.0,28.0,1850.0,,4154.0,244.0,17.0,9609.0,741000.0
