,Switzerland,Israel,Uzbekistan,Romania,Jordan,Saudi Arabia,Egypt,Mexico,Kenya,France,Zimbabwe,Costa Rica,Italy,Zambia,Lebanon,Turkey,Syrian Arab Republic,Tunisia,Cyprus,Iran (Islamic Republic of),Kazakhstan,China,United States of America,Greece,Morocco,"China, mainland",Chile,Algeria,Argentina,Peru,Spain,Lithuania,Portugal,Occupied Palestinian Territory,Malta
1988,-1.0,380.0,,-1.0,,-1.0,2520.0,85.0,-1.0,14315.0,-1.0,-1.0,48002.0,,210.0,1200.0,-1.0,1700.0,147.0,-1.0,,-1.0,4814.0,2600.0,1900.0,-1.0,1771.0,1310.0,3500.0,123.0,28500.0,,,-1.0,-1.0
1989,-1.0,420.0,,-1.0,5.0,-1.0,2940.0,67.0,-1.0,16130.0,-1.0,-1.0,47864.0,,225.0,900.0,40.0,1600.0,150.0,-1.0,,-1.0,4616.0,2700.0,1384.0,-1.0,1936.0,1170.0,3500.0,105.0,31800.0,,,-1.0,-1.0
1990,-1.0,535.0,,-1.0,0.0,-1.0,3049.0,76.0,-1.0,15068.0,7.0,-1.0,48172.0,-1.0,250.0,874.0,45.0,1500.0,150.0,800.0,,-1.0,4015.0,3202.0,1344.0,-1.0,2767.0,1170.0,3600.0,106.0,31100.0,,,-1.0,-1.0
1991,-1.0,657.0,,-1.0,0.0,-1.0,2657.0,100.0,-1.0,13184.0,10.0,-1.0,48833.0,,278.0,874.0,400.0,1500.0,145.0,799.0,,-1.0,3966.0,2500.0,1581.0,-1.0,2368.0,1110.0,3658.0,102.0,27200.0,,,-1.0,-1.0
1992,-1.0,668.0,100.0,-1.0,0.0,-1.0,2159.0,177.0,-1.0,12540.0,5.0,-1.0,49032.0,,286.0,919.0,317.0,1660.0,145.0,803.0,-1.0,3000.0,3885.0,2600.0,1965.0,3000.0,2069.0,880.0,3700.0,114.0,25600.0,-1.0,,-1.0,-1.0
1993,-1.0,700.0,93.0,-1.0,0.0,-1.0,1900.0,38.0,-1.0,12524.0,15.0,-1.0,49198.0,,280.0,966.0,343.0,1830.0,140.0,807.0,-1.0,3558.0,3720.0,2200.0,2160.0,3558.0,2580.0,630.0,3791.0,110.0,23600.0,-1.0,,-1.0,-1.0
1994,-1.0,650.0,95.0,-1.0,0.0,-1.0,2000.0,156.0,-1.0,12659.0,12.0,-1.0,51602.0,,285.0,1000.0,363.0,1900.0,165.0,811.0,-1.0,4000.0,3720.0,2300.0,2730.0,4000.0,2317.0,670.0,3800.0,124.0,21800.0,-1.0,-1.0,-1.0,-1.0
1995,-1.0,587.0,92.0,-1.0,0.0,-1.0,2948.0,227.0,-1.0,13899.0,9.0,-1.0,51273.0,,340.0,1500.0,420.0,2350.0,165.0,814.0,-1.0,4502.0,3602.0,2200.0,2230.0,4502.0,2479.0,860.0,3900.0,200.0,18400.0,-1.0,-1.0,-1.0,-1.0
1996,-1.0,544.0,100.0,-1.0,0.0,-1.0,1930.0,219.0,-1.0,13442.0,26.0,-1.0,49480.0,,465.0,1700.0,334.0,2580.0,165.0,817.0,-1.0,5000.0,3602.0,2300.0,1720.0,5000.0,2480.0,2590.0,4000.0,399.0,19100.0,-1.0,,-1.0,-1.0
1997,-1.0,500.0,90.0,-1.0,0.0,-1.0,2969.0,529.0,-1.0,13900.0,9.0,-1.0,47429.0,,200.0,2100.0,423.0,2560.0,160.0,821.0,-1.0,5278.0,3764.0,3200.0,1900.0,5278.0,2776.0,3790.0,4111.0,235.0,18472.0,-1.0,,7.0,-1.0
1998,-1.0,616.0,100.0,-1.0,0.0,-1.0,2361.0,450.0,-1.0,13600.0,17.0,-1.0,51000.0,,100.0,2300.0,421.0,2700.0,165.0,824.0,-1.0,6000.0,3930.0,3300.0,2320.0,6000.0,3055.0,5390.0,4192.0,232.0,18463.0,-1.0,,-1.0,110.0
1999,-1.0,657.0,100.0,200.0,0.0,-1.0,2399.0,530.0,-1.0,13140.0,15.0,20.0,50955.0,,100.0,2186.0,409.0,2800.0,165.0,827.0,-1.0,6500.0,3970.0,3300.0,2165.0,6500.0,3107.0,3700.0,4500.0,242.0,18817.0,-1.0,,-1.0,114.0
2000,-1.0,672.0,100.0,209.0,0.0,-1.0,4566.0,250.0,-1.0,11823.0,15.0,10.0,50283.0,,80.0,2072.0,408.0,2550.0,160.0,830.0,10.0,7500.0,3560.0,2800.0,3085.0,7500.0,3102.0,4140.0,4354.0,383.0,19656.0,-1.0,,-1.0,115.0
2001,-1.0,650.0,100.0,230.0,0.0,-1.0,3506.0,340.0,-1.0,11702.0,16.0,10.0,49324.0,,80.0,2237.0,471.0,2600.0,160.0,833.0,20.0,8000.0,3240.0,3000.0,3180.0,8000.0,3200.0,3210.0,4422.0,411.0,18708.0,-1.0,,-1.0,117.0
2002,-1.0,594.0,100.0,237.0,0.0,-1.0,3131.0,457.0,-1.0,11062.0,17.0,8.0,50524.0,,142.0,2400.0,506.0,2500.0,155.0,836.0,10.0,8999.0,3320.0,3100.0,3210.0,8999.0,3400.0,3200.0,4600.0,498.0,19289.0,-1.0,,-1.0,122.0
2003,-1.0,649.0,100.0,244.0,0.0,-1.0,5761.0,541.0,35.0,10453.0,17.0,10.0,49898.0,,142.0,2500.0,502.0,2250.0,150.0,839.0,10.0,9000.0,2910.0,2700.0,3120.0,9000.0,3700.0,2800.0,4700.0,1280.0,19094.0,-1.0,,-1.0,112.0
2004,0.0,670.0,120.0,244.0,0.0,-1.0,2806.0,376.0,20.0,10257.0,17.0,10.0,50071.0,,100.0,2492.0,510.0,2000.0,170.0,842.0,10.0,9648.0,3040.0,2594.0,3205.0,9648.0,4000.0,3316.0,4600.0,2816.0,18142.0,-1.0,,-1.0,130.0
2005,0.0,435.0,120.0,235.0,0.0,-1.0,3500.0,395.0,12.0,10179.0,19.0,15.0,50127.0,,100.0,2600.0,523.0,2080.0,175.0,810.0,10.0,10000.0,3200.0,2595.0,3650.0,10000.0,4200.0,2830.0,4664.0,4242.0,18792.0,-1.0,,-1.0,135.0
2006,1.0,477.0,130.0,219.0,0.0,0.0,6500.0,243.0,16.0,9991.0,18.0,15.0,50383.0,,60.0,2900.0,500.0,2220.0,169.0,859.0,10.0,10463.0,3520.0,2626.0,3175.0,10463.0,4300.0,1713.0,4701.0,6762.0,18097.0,10.0,,-1.0,140.0
2007,1.0,650.0,135.0,160.0,0.0,0.0,8001.0,295.0,3.0,9745.0,19.0,10.0,50120.0,,55.0,2800.0,556.0,2380.0,156.0,820.0,10.0,10703.0,3890.0,2617.0,3585.0,10703.0,4996.0,1813.0,4700.0,7779.0,17277.0,10.0,,-1.0,150.0
2008,4.0,400.0,150.0,100.0,0.0,0.0,7661.0,201.0,3.0,9486.0,20.0,8.0,49952.0,,59.0,3000.0,560.0,2300.0,111.0,885.0,20.0,9842.0,3560.0,1800.0,4130.0,9842.0,5000.0,2304.0,4637.0,7304.0,16042.0,10.0,,-1.0,160.0
2009,3.0,380.0,100.0,50.0,0.0,0.0,8401.0,134.0,5.0,8830.0,21.0,8.0,50694.0,,64.0,2900.0,618.0,2150.0,131.0,896.0,20.0,9650.0,3480.0,1800.0,4102.0,9650.0,5875.0,2724.0,4561.0,6409.0,15190.0,10.0,,-1.0,136.0
2010,3.0,16.0,100.0,43.0,0.0,,8909.0,133.0,5.0,8501.0,21.0,6.0,50321.0,,116.0,2400.0,708.0,1800.0,121.0,907.0,20.0,10000.0,2910.0,660.0,3714.0,10000.0,4651.0,3112.0,4478.0,6848.0,14726.0,10.0,,-1.0,180.0
2011,4.0,6.0,100.0,45.0,0.0,,9476.0,242.0,5.0,7822.0,22.0,6.0,49577.0,,124.0,2700.0,879.0,2300.0,131.0,950.0,20.0,11000.0,2995.0,2200.0,2769.0,11000.0,4409.0,3760.0,4393.0,7890.0,15144.0,10.0,,-1.0,175.0
2012,3.0,5.0,123.0,53.0,0.0,,17895.0,297.0,5.0,7680.0,22.0,6.0,35593.0,,60.0,2600.0,545.0,2750.0,130.0,1000.0,20.0,12000.0,2950.0,2000.0,3819.0,12000.0,2959.0,4168.0,4000.0,7893.0,15638.0,10.0,,-1.0,185.0
2013,4.0,4.0,131.0,68.0,0.0,,14923.0,171.0,5.0,7247.0,22.0,6.0,46954.0,,65.0,2750.0,545.0,2500.0,116.0,913.0,20.0,12000.0,2870.0,1800.0,3487.0,12000.0,1733.0,4472.0,4238.0,5848.0,15376.0,10.0,,7.0,170.0
2014,4.0,5.0,133.0,55.0,0.0,,12647.0,233.0,6.0,7705.0,24.0,6.0,46440.0,,66.0,2750.0,521.0,3850.0,117.0,916.0,20.0,11653.0,2950.0,1880.0,3264.0,11653.0,1683.0,4705.0,4748.0,5290.0,17428.0,10.0,,8.0,191.0
