,"China, Taiwan Province of",Romania,USSR,Norway,Paraguay,Pakistan,Ethiopia,Luxembourg,Czechia,Bangladesh,Italy,Germany,Croatia,Uzbekistan,Brazil,Serbia and Montenegro,Australia & New Zealand,Serbia,Slovenia,Chile,Argentina,Australia,Spain,Ireland,India,Austria,Japan,Poland,Canada,Turkey,Belarus,Denmark,Ethiopia PDR,The former Yugoslav Republic of Macedonia,Latvia,United Kingdom,France,Republic of Korea,Uruguay,Bosnia and Herzegovina,Hungary,Russian Federation,Yugoslav SFR,Kazakhstan,United States of America,Mexico,Ukraine,"China, mainland",Algeria,Colombia,Lithuania,Bulgaria,Netherlands,China
1999,0.0,684.0,,28.0,0.0,2291.0,204.0,,3253.0,4929.0,600.0,5000.0,129.0,150.0,120.0,63.0,5836.0,,1.0,135.0,19.0,5836.0,440.0,40.0,42000.0,518.0,2.0,43677.0,36000.0,1.0,2882.0,4966.0,,4.0,23.0,5226.0,5931.0,11.0,0.0,10.0,4675.0,9000.0,,310.0,4732.0,100.0,3000.0,262303.0,155.0,0.0,11900.0,195.0,11.0,262303.0
2000,0.0,824.0,,52.0,42.0,2062.0,250.0,0.0,3441.0,4767.0,500.0,5000.0,103.0,150.0,120.0,32.0,5328.0,,4.0,160.0,44.0,5328.0,266.0,50.0,31337.0,224.0,4.0,44323.0,27500.0,3.0,3684.0,3944.0,,4.0,25.0,5863.0,5415.0,9.0,0.0,12.0,2395.0,4500.0,,800.0,3900.0,10.0,2600.0,248317.0,145.0,0.0,8500.0,217.0,10.0,248317.0
2001,0.0,546.0,,53.0,42.0,1841.0,150.0,0.0,3130.0,4547.0,200.0,5000.0,130.0,150.0,160.0,44.0,5192.0,,24.0,8.0,11.0,5192.0,95.0,50.0,35511.0,224.0,5.0,43899.0,28000.0,6.0,4816.0,4205.0,,4.0,26.0,5616.0,5180.0,4.0,0.0,10.0,977.0,4500.0,,100.0,3800.0,10.0,2700.0,250016.0,145.0,0.0,10000.0,90.0,7.0,250016.0
2002,0.0,127.0,,36.0,42.0,2471.0,173.0,0.0,2000.0,4463.0,100.0,6000.0,155.0,120.0,170.0,32.0,4844.0,,27.0,37.0,39.0,4844.0,60.0,50.0,31808.0,176.0,5.0,42627.0,34100.0,28.0,3057.0,5330.0,,4.0,57.0,7046.0,5409.0,7.0,0.0,0.0,1665.0,7000.0,,400.0,3800.0,10.0,1200.0,252735.0,135.0,0.0,11000.0,165.0,13.0,252735.0
2003,0.0,479.0,,33.0,196.0,2702.0,260.0,0.0,1500.0,4189.0,100.0,6000.0,143.0,120.0,170.0,19.0,5508.0,,19.0,34.0,92.0,5508.0,77.0,50.0,37997.0,141.0,5.0,53822.0,37300.0,17.0,2837.0,6090.0,,4.0,80.0,7249.0,5627.0,7.0,0.0,1.0,1990.0,8000.0,,500.0,3800.0,10.0,1000.0,254506.0,141.0,0.0,16600.0,146.0,23.0,254506.0
2004,0.0,842.0,,32.0,420.0,2520.0,419.0,0.0,1500.0,3623.0,100.0,6000.0,201.0,120.0,150.0,17.0,3887.0,,23.0,87.0,84.0,3887.0,48.0,50.0,51215.0,141.0,5.0,55020.0,40000.0,7.0,7402.0,5585.0,,2.0,100.0,7705.0,6158.0,6.0,7.0,6.0,2000.0,8000.0,,1400.0,3800.0,40.0,3000.0,254748.0,145.0,0.0,18100.0,143.0,29.0,254748.0
2005,0.0,1025.0,,31.0,402.0,2555.0,250.0,0.0,1500.0,3252.0,100.0,6000.0,84.0,120.0,155.0,17.0,4207.0,,28.0,95.0,34.0,4207.0,77.0,50.0,50936.0,170.0,5.0,62385.0,38000.0,54.0,7493.0,6270.0,,4.0,500.0,7475.0,7028.0,4.0,28.0,10.0,2000.0,16000.0,,3900.0,3900.0,50.0,5700.0,209440.0,145.0,0.0,24900.0,206.0,46.0,209440.0
2006,0.0,3068.0,,30.0,385.0,2793.0,306.0,0.0,1500.0,3158.0,100.0,6000.0,131.0,120.0,160.0,,5108.0,129.0,54.0,74.0,53.0,5108.0,277.0,50.0,47530.0,194.0,5.0,79675.0,45900.0,107.0,6212.0,8960.0,,3.0,750.0,8853.0,8092.0,4.0,21.0,16.0,2000.0,20500.0,,5600.0,3900.0,30.0,12100.0,197477.0,145.0,0.0,28800.0,702.0,48.0,197477.0
2007,0.0,3574.0,,23.0,242.0,2772.0,346.0,39.0,1700.0,3504.0,100.0,6000.0,224.0,120.0,165.0,,6771.0,180.0,44.0,121.0,70.0,6771.0,152.0,100.0,40810.0,224.0,5.0,77107.0,47000.0,279.0,12115.0,8605.0,,3.0,700.0,7776.0,7106.0,6.0,28.0,9.0,2000.0,27000.0,,5400.0,3900.0,20.0,21000.0,230776.0,145.0,0.0,26700.0,1138.0,34.0,230776.0
2008,0.0,4143.0,,21.0,259.0,2122.0,212.0,49.0,1700.0,3509.0,250.0,5000.0,287.0,120.0,155.0,,6848.0,181.0,44.0,176.0,209.0,6848.0,304.0,100.0,44087.0,273.0,5.0,80997.0,60000.0,327.0,25706.0,8155.0,,15.0,700.0,7410.0,7399.0,9.0,35.0,7.0,2000.0,26000.0,,6300.0,3900.0,22.0,57500.0,254730.0,176.0,0.0,31700.0,1409.0,37.0,254730.0
2009,0.0,5272.0,,28.0,441.0,1779.0,135.0,50.0,2000.0,3632.0,500.0,7000.0,163.0,120.0,230.0,,6780.0,180.0,53.0,77.0,60.0,6780.0,305.0,100.0,39060.0,258.0,8.0,94615.0,65000.0,312.0,30569.0,8325.0,,40.0,800.0,8346.0,7319.0,9.0,35.0,6.0,2000.0,30000.0,,10700.0,3900.0,80.0,37500.0,257950.0,185.0,0.0,41600.0,2755.0,37.0,257950.0
2010,0.0,3900.0,,25.0,443.0,1876.0,452.0,50.0,3734.0,3780.0,500.0,4000.0,176.0,120.0,210.0,,8310.0,154.0,48.0,130.0,151.0,8310.0,449.0,100.0,45545.0,215.0,10.0,83015.0,60000.0,268.0,25736.0,7525.0,,35.0,900.0,9165.0,7780.0,9.0,49.0,8.0,2000.0,32000.0,,4700.0,4553.0,30.0,30000.0,257159.0,195.0,0.0,41300.0,3007.0,28.0,257159.0
2011,0.0,971.0,,26.0,455.0,1705.0,458.0,34.0,4013.0,4140.0,250.0,4000.0,99.0,120.0,230.0,,9435.0,83.0,51.0,229.0,463.0,9435.0,403.0,200.0,41230.0,223.0,10.0,72031.0,60000.0,300.0,19116.0,6455.0,,50.0,800.0,9828.0,8036.0,9.0,105.0,3.0,2000.0,36000.0,,6600.0,6975.0,30.0,28800.0,260115.0,227.0,0.0,43100.0,1749.0,30.0,260115.0
2012,0.0,2759.0,,17.0,525.0,1729.0,440.0,36.0,2700.0,3900.0,450.0,4000.0,180.0,120.0,225.0,,13087.0,97.0,61.0,286.0,358.0,13087.0,596.0,200.0,44380.0,234.0,10.0,92071.0,70000.0,311.0,35680.0,8860.0,,60.0,900.0,9295.0,7189.0,10.0,105.0,8.0,2000.0,38000.0,,7900.0,5160.0,20.0,10330.0,263180.0,234.0,0.0,42500.0,1751.0,49.0,263180.0
2013,0.0,4047.0,,20.0,560.0,1768.0,301.0,33.0,3200.0,4409.0,450.0,4400.0,231.0,120.0,235.0,,10883.0,98.0,56.0,262.0,279.0,10883.0,604.0,200.0,46520.0,211.0,9.0,95111.0,70000.0,321.0,38856.0,8305.0,,60.0,900.0,8775.0,7515.0,6.0,67.0,10.0,2000.0,40000.0,,10000.0,6675.0,0.0,14600.0,265577.0,236.0,0.0,35300.0,2473.0,43.0,265577.0
2014,0.0,4047.0,,0.0,560.0,1768.0,301.0,33.0,2500.0,4409.0,450.0,4200.0,231.0,120.0,235.0,,10883.0,98.0,56.0,262.0,279.0,10883.0,604.0,200.0,46520.0,211.0,9.0,95111.0,70000.0,321.0,36560.0,8305.0,,60.0,900.0,8775.0,7515.0,6.0,67.0,10.0,2000.0,40000.0,,10000.0,6675.0,0.0,22006.0,265577.0,121.0,0.0,35300.0,2473.0,43.0,265577.0
