,Australia & New Zealand,Jamaica,Romania,France,Venezuela (Bolivarian Republic of),Australia,Iraq,Pakistan,Philippines,Belgium,Japan,Kenya,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Germany,Sweden,Albania,China,Finland,Slovakia,"China, Hong Kong SAR",Slovenia,Congo,Canada,Colombia,Spain,Lebanon,New Zealand,Malta,Austria,Israel,Indonesia,Belgium-Luxembourg,Jordan,Denmark,Switzerland,Egypt,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,Haiti,Republic of Korea,Hungary,Turkey,Portugal,Tunisia,Iran (Islamic Republic of),Peru,United States of America,Brunei Darussalam,Mexico,Ukraine,Kuwait,"China, mainland",Singapore,Cyprus,United Arab Emirates,Lithuania,Bulgaria,Netherlands,Occupied Palestinian Territory
2001,75234.0,174953.0,68559.0,176600.0,,98156.0,40144.0,105928.0,,119167.0,129271.0,111431.0,120000.0,60000.0,47653.0,126712.0,104000.0,168661.0,,100000.0,153769.0,132742.0,70303.0,221806.0,107317.0,119780.0,65565.0,150532.0,177054.0,333333.0,47826.0,133333.0,241455.0,298393.0,20558.0,,257460.0,,95698.0,190770.0,135714.0,105000.0,123333.0,,130000.0,160715.0,194444.0,96200.0,163384.0,121697.0,191840.0,134159.0,173724.0,39925.0,126536.0,,432593.0,153704.0,,115652.0,244894.0,,105054.0,225080.0,143009.0
2002,75237.0,170556.0,69391.0,197343.0,124659.0,93460.0,34545.0,108526.0,,201842.0,127705.0,96241.0,94130.0,60000.0,47653.0,128417.0,100000.0,169294.0,,103077.0,158391.0,158056.0,94815.0,225508.0,110571.0,119565.0,54743.0,150943.0,182781.0,332143.0,47626.0,129412.0,262052.0,273571.0,21941.0,,277192.0,,113184.0,191618.0,125000.0,110000.0,117647.0,,130200.0,165548.0,182886.0,97778.0,162893.0,121412.0,192960.0,177150.0,181064.0,39931.0,107048.0,,420000.0,158333.0,,117391.0,216579.0,,38470.0,218496.0,178675.0
2003,70524.0,178433.0,70450.0,198756.0,152138.0,84615.0,39575.0,108241.0,,201316.0,127860.0,116718.0,180000.0,58333.0,49418.0,125786.0,97500.0,165569.0,,100000.0,169405.0,112432.0,71667.0,228966.0,112273.0,117841.0,83945.0,142526.0,191826.0,204724.0,47625.0,126316.0,251954.0,231250.0,33150.0,,249322.0,,129883.0,197335.0,138484.0,96667.0,116667.0,,129630.0,168610.0,156635.0,96915.0,162355.0,121363.0,239819.0,130982.0,180750.0,40129.0,125897.0,,406190.0,169355.0,172000.0,114655.0,248333.0,88000.0,86188.0,204762.0,207048.0
2004,72110.0,172164.0,84517.0,199702.0,114127.0,85737.0,38462.0,112377.0,36438.0,217282.0,121261.0,125061.0,150000.0,58333.0,47776.0,133735.0,108000.0,172445.0,,100000.0,188371.0,145517.0,144259.0,232150.0,110000.0,121500.0,70983.0,151207.0,192005.0,143333.0,48258.0,125000.0,238005.0,248081.0,31345.0,,291171.0,,101022.0,196467.0,200000.0,107143.0,118432.0,,130358.0,166108.0,152568.0,97706.0,161771.0,121333.0,184801.0,121680.0,197331.0,39943.0,117333.0,,400000.0,188333.0,185199.0,116522.0,250000.0,28571.0,67055.0,193517.0,157318.0
2005,69989.0,167066.0,51639.0,208697.0,110447.0,81250.0,43333.0,112120.0,38446.0,217591.0,125696.0,130000.0,70039.0,57143.0,48591.0,134881.0,98966.0,193786.0,,92857.0,193583.0,93939.0,69153.0,235299.0,124848.0,116967.0,63015.0,165909.0,206439.0,120000.0,48033.0,121775.0,226613.0,250846.0,33499.0,,206949.0,,138907.0,194800.0,125000.0,104972.0,115064.0,,130769.0,162846.0,146724.0,99167.0,163837.0,121152.0,223508.0,129286.0,199255.0,39939.0,149441.0,,400000.0,193548.0,189055.0,117391.0,265714.0,19091.0,135106.0,201783.0,146667.0
2006,69473.0,171971.0,68198.0,207011.0,109337.0,78560.0,54118.0,118793.0,37286.0,198182.0,128240.0,130000.0,66667.0,57143.0,51199.0,137663.0,101176.0,165222.0,,223004.0,201604.0,114167.0,84769.0,238412.0,120741.0,116124.0,58901.0,162793.0,193139.0,120000.0,47740.0,114500.0,227427.0,252050.0,34876.0,,296655.0,,137374.0,84331.0,137479.0,107239.0,113052.0,,130362.0,160867.0,185446.0,96892.0,168023.0,118750.0,186721.0,141669.0,185064.0,40052.0,133583.0,,404348.0,201575.0,192329.0,189316.0,250000.0,16667.0,62542.0,162500.0,176593.0
2007,58332.0,170042.0,74764.0,222633.0,111808.0,61566.0,64935.0,120491.0,38000.0,218043.0,130218.0,130000.0,86283.0,56250.0,51378.0,136783.0,99792.0,171407.0,,200000.0,224014.0,84821.0,93036.0,241498.0,104583.0,119565.0,71649.0,182646.0,208270.0,133333.0,47778.0,118185.0,226220.0,255612.0,35606.0,,327500.0,,139323.0,83213.0,139434.0,106975.0,106822.0,,130137.0,150790.0,199122.0,98221.0,177778.0,117241.0,174894.0,148288.0,182104.0,40000.0,131357.0,,400000.0,224000.0,201200.0,138426.0,255556.0,34615.0,102778.0,191304.0,167607.0
2008,73751.0,167425.0,69360.0,190586.0,117748.0,84499.0,69524.0,121476.0,23500.0,197561.0,130089.0,194934.0,73333.0,56250.0,56499.0,138611.0,100000.0,177075.0,,179412.0,267872.0,65470.0,104585.0,244557.0,117500.0,120000.0,53514.0,163682.0,203755.0,122838.0,48000.0,117829.0,226993.0,262222.0,36639.0,,370229.0,,137811.0,83655.0,139635.0,107460.0,107805.0,,130769.0,148744.0,216340.0,96167.0,172805.0,118462.0,179503.0,134356.0,190323.0,40000.0,137450.0,66667.0,429124.0,267891.0,196181.0,164950.0,199950.0,23333.0,109333.0,213889.0,179791.0
2009,58700.0,165659.0,73927.0,188863.0,125000.0,62913.0,82406.0,126998.0,23884.0,197273.0,127813.0,218973.0,71429.0,55556.0,53515.0,141860.0,101739.0,171481.0,,206986.0,276733.0,81739.0,82439.0,247593.0,130000.0,109778.0,76752.0,208265.0,196571.0,110000.0,48182.0,116667.0,235641.0,278667.0,38633.0,,312754.0,,135685.0,194630.0,140042.0,111780.0,104167.0,,130668.0,160667.0,130841.0,93893.0,179348.0,117037.0,191778.0,163211.0,209614.0,39621.0,106930.0,66667.0,448782.0,276756.0,200476.0,32200.0,203116.0,30000.0,108250.0,189349.0,175848.0
2010,60652.0,159678.0,80379.0,186674.0,107073.0,66956.0,79887.0,121617.0,24095.0,219176.0,121719.0,178970.0,82357.0,55556.0,55312.0,141442.0,100000.0,157297.0,,119410.0,276745.0,81207.0,83000.0,250609.0,102609.0,104771.0,68261.0,229386.0,194828.0,100359.0,46847.0,112800.0,189454.0,225000.0,31188.0,,298967.0,40000.0,138303.0,170525.0,150000.0,111389.0,147632.0,,130431.0,164289.0,147185.0,94909.0,160994.0,136047.0,190275.0,165428.0,226946.0,39325.0,121460.0,66667.0,455755.0,276764.0,198211.0,105341.0,225539.0,43478.0,60250.0,161999.0,173802.0
