,Uzbekistan,Russian Federation,United States of America,USSR,Turkey,Australia & New Zealand,Kazakhstan,China,Ethiopia PDR,Morocco,"China, mainland",Mexico,Ethiopia,Algeria,Argentina,Australia,Spain,Portugal,Occupied Palestinian Territory,India
1996,350.0,300.0,1008.0,,1.0,612.0,2500.0,210.0,,0.0,210.0,4705.0,67.0,0.0,968.0,612.0,17.0,0.0,0.0,7040.0
1997,450.0,300.0,1226.0,,1.0,1368.0,2000.0,120.0,,0.0,120.0,5159.0,112.0,0.0,1215.0,1368.0,15.0,0.0,0.0,2000.0
1998,400.0,300.0,1113.0,,1.0,1768.0,4000.0,300.0,,0.0,300.0,7600.0,105.0,0.0,689.0,1768.0,18.0,0.0,0.0,4402.0
1999,400.0,50.0,870.0,,0.0,560.0,3000.0,300.0,,0.0,300.0,4614.0,213.0,0.0,1787.0,560.0,9.0,0.0,0.0,4385.0
2000,400.0,50.0,4300.0,,1.0,144.0,3000.0,300.0,,0.0,300.0,5444.0,166.0,0.0,2628.0,144.0,2.0,0.0,0.0,4248.0
2001,360.0,10.0,5000.0,,1.0,1400.0,2400.0,300.0,,0.0,300.0,3288.0,109.0,0.0,1485.0,1400.0,6.0,0.0,0.0,4043.0
2002,550.0,100.0,5100.0,,4.0,1660.0,6000.0,300.0,,0.0,300.0,6336.0,168.0,0.0,1035.0,1660.0,13.0,0.0,0.0,3695.0
2003,820.0,15.0,4000.0,,2.0,1800.0,5000.0,300.0,,0.0,300.0,8960.0,168.0,0.0,1368.0,1800.0,10.0,0.0,0.0,3639.0
2004,560.0,15.0,2500.0,,3.0,1800.0,5000.0,300.0,,0.0,300.0,4830.0,194.0,0.0,2196.0,1800.0,4.0,0.0,0.0,3691.0
2005,300.0,10.0,3000.0,,6.0,728.0,4500.0,300.0,,0.0,300.0,3862.0,177.0,0.0,1204.0,728.0,7.0,0.0,0.0,3646.0
2006,400.0,10.0,3000.0,,25.0,244.0,4500.0,300.0,,0.0,300.0,4348.0,260.0,0.0,3398.0,244.0,4.0,0.0,0.0,3500.0
2007,500.0,10.0,3000.0,,81.0,408.0,4500.0,300.0,,0.0,300.0,3669.0,180.0,0.0,1985.0,408.0,10.0,0.0,0.0,3505.0
2008,500.0,10.0,708.0,,323.0,484.0,5500.0,300.0,,0.0,300.0,3268.0,93.0,0.0,4486.0,484.0,281.0,0.0,0.0,2946.0
2009,500.0,10.0,708.0,,202.0,312.0,6000.0,300.0,,0.0,300.0,4033.0,110.0,0.0,3317.0,312.0,321.0,0.0,0.0,2878.0
2010,500.0,10.0,529.0,,198.0,416.0,6200.0,300.0,,0.0,300.0,4096.0,163.0,0.0,4160.0,416.0,652.0,0.0,0.0,2291.0
2011,500.0,10.0,688.0,,234.0,380.0,6500.0,300.0,,0.0,300.0,7145.0,228.0,0.0,7692.0,380.0,298.0,0.0,0.0,1780.0
2012,500.0,10.0,714.0,,439.0,320.0,6800.0,300.0,,0.0,300.0,3855.0,231.0,0.0,5349.0,320.0,368.0,0.0,0.0,1500.0
2013,500.0,10.0,735.0,,665.0,377.0,7000.0,300.0,,0.0,300.0,4591.0,113.0,0.0,414.0,377.0,216.0,0.0,0.0,2110.0
2014,500.0,10.0,735.0,,665.0,377.0,7000.0,300.0,,0.0,300.0,4591.0,113.0,0.0,414.0,377.0,216.0,0.0,0.0,2110.0
