,Slovakia,USSR,Bhutan,Denmark,Sri Lanka,Mexico,Czechoslovakia,France,Czechia,Romania,Italy,Hungary,Germany,Russian Federation,"China, mainland",China,United States of America,Sweden,Nepal,Canada,Lithuania,Bulgaria,Myanmar,Ukraine
1976,,13350.0,15.0,0.0,69.0,0.0,27.0,8.0,,47.0,3.0,0.0,210.0,,0.0,0.0,204.0,7.0,1100.0,1105.0,,12.0,76.0,
1977,,13550.0,16.0,0.0,49.0,0.0,30.0,8.0,,63.0,2.0,0.0,224.0,,0.0,0.0,206.0,8.0,1350.0,1469.0,,3.0,77.0,
1978,,13400.0,16.0,0.0,45.0,0.0,71.0,7.0,,72.0,3.0,0.0,290.0,,0.0,0.0,187.0,11.0,1460.0,960.0,,2.0,81.0,
1979,,13700.0,17.0,0.0,36.0,0.0,57.0,8.0,,50.0,1.0,0.0,233.0,,0.0,0.0,168.0,11.0,1200.0,1391.0,,9.0,97.0,
1980,,13050.0,17.0,0.0,32.0,0.0,41.0,9.0,,36.0,1.0,0.0,227.0,,0.0,0.0,148.0,10.0,1240.0,1329.0,,9.0,102.0,
1981,,13100.0,17.0,0.0,28.0,0.0,54.0,3.0,,23.0,0.0,0.0,224.0,,0.0,0.0,128.0,5.0,1160.0,953.0,,9.0,115.0,
1982,,13700.0,21.0,0.0,30.0,0.0,51.0,3.0,,24.0,0.0,2.0,305.0,,0.0,0.0,134.0,4.0,1120.0,1427.0,,3.0,128.0,
1983,,13400.0,30.0,0.0,28.0,0.0,65.0,3.0,,24.0,0.0,1.0,409.0,,0.0,0.0,140.0,4.0,1120.0,2108.0,,11.0,170.0,
1984,,13250.0,29.0,0.0,22.0,0.0,55.0,3.0,,24.0,0.0,1.0,288.0,,0.0,0.0,145.0,5.0,1550.0,2061.0,,11.0,179.0,
1985,,12450.0,30.0,0.0,34.0,1.0,68.0,3.0,,24.0,0.0,1.0,274.0,,0.0,0.0,151.0,5.0,1570.0,2762.0,,3.0,164.0,
1986,,12750.0,33.0,0.0,31.0,1.0,64.0,3.0,,24.0,0.0,1.0,268.0,,0.0,0.0,100.0,5.0,1550.0,1701.0,,6.0,152.0,
1987,,12750.0,25.0,0.0,36.0,0.0,65.0,3.0,,75.0,0.0,0.0,240.0,,0.0,0.0,98.0,0.0,1520.0,2558.0,,11.0,138.0,
1988,,11250.0,24.0,0.0,19.0,0.0,80.0,3.0,,83.0,0.0,0.0,320.0,,70.0,70.0,97.0,0.0,1560.0,2999.0,,38.0,133.0,
1989,,13250.0,26.0,0.0,25.0,0.0,98.0,3.0,,90.0,0.0,2.0,300.0,,130.0,130.0,97.0,0.0,1550.0,3461.0,,15.0,124.0,
1990,,11400.0,28.0,0.0,27.0,1.0,86.0,3.0,,98.0,1.0,361.0,250.0,,150.0,150.0,94.0,0.0,1600.0,1693.0,,12.0,126.0,
1991,,11400.0,28.0,0.0,16.0,0.0,39.0,3.0,,105.0,0.0,473.0,250.0,,260.0,260.0,74.0,0.0,1600.0,1791.0,,23.0,105.0,
1992,,,30.0,0.0,22.0,0.0,39.0,8.0,,120.0,0.0,501.0,250.0,4346.0,380.0,380.0,88.0,0.0,1780.0,2853.0,50.0,15.0,102.0,0.0
1993,21.0,,32.0,0.0,23.0,0.0,,3.0,60.0,84.0,0.0,365.0,230.0,3175.0,300.0,300.0,66.0,0.0,1800.0,4854.0,50.0,11.0,108.0,0.0
1994,34.0,,34.0,0.0,17.0,0.0,,2.0,77.0,173.0,0.0,203.0,230.0,2047.0,300.0,300.0,111.0,0.0,1880.0,4007.0,50.0,8.0,120.0,0.0
1995,30.0,,34.0,0.0,17.0,0.0,,3.0,70.0,80.0,0.0,207.0,230.0,1869.0,250.0,250.0,92.0,0.0,1870.0,3587.0,50.0,6.0,135.0,0.0
1996,26.0,,33.0,0.0,8.0,0.0,,2.0,180.0,111.0,0.0,365.0,230.0,2184.0,300.0,300.0,361.0,0.0,1850.0,4383.0,50.0,5.0,137.0,0.0
1997,61.0,,33.0,0.0,7.0,0.0,,3.0,380.0,167.0,0.0,271.0,230.0,2392.0,200.0,200.0,480.0,0.0,1820.0,4248.0,50.0,5.0,156.0,500.0
1998,63.0,,35.0,0.0,6.0,0.0,,4.0,394.0,156.0,0.0,368.0,200.0,2734.0,400.0,400.0,295.0,0.0,1950.0,4199.0,50.0,10.0,220.0,500.0
1999,30.0,,30.0,0.0,6.0,0.0,,4.0,155.0,33.0,0.0,287.0,150.0,1726.0,400.0,400.0,225.0,0.0,1950.0,3185.0,50.0,8.0,312.0,500.0
2000,25.0,,42.0,0.0,4.0,0.0,,6.0,210.0,100.0,0.0,329.0,150.0,1873.0,400.0,400.0,166.0,0.0,1940.0,2487.0,50.0,9.0,395.0,500.0
2001,46.0,,48.0,0.0,5.0,0.0,,7.0,358.0,194.0,0.0,381.0,150.0,1137.0,400.0,400.0,693.0,0.0,1930.0,4340.0,50.0,15.0,426.0,1600.0
2002,125.0,,21.0,0.0,7.0,0.0,,7.0,358.0,450.0,0.0,265.0,150.0,1404.0,400.0,400.0,167.0,0.0,1970.0,5097.0,50.0,14.0,492.0,4100.0
2003,41.0,,11.0,0.0,4.0,1.0,,6.0,670.0,250.0,0.0,241.0,150.0,3444.0,400.0,400.0,355.0,0.0,1970.0,4479.0,50.0,12.0,611.0,5000.0
2004,11.0,,34.0,0.0,9.0,0.0,,5.0,410.0,39.0,0.0,287.0,150.0,2217.0,400.0,400.0,238.0,0.0,1970.0,2912.0,50.0,15.0,512.0,2500.0
2005,10.0,,32.0,0.0,7.0,0.0,,8.0,400.0,68.0,0.0,173.0,150.0,2525.0,400.0,400.0,197.0,0.0,1980.0,2007.0,50.0,48.0,535.0,1200.0
2006,17.0,,35.0,0.0,7.0,0.0,,9.0,213.0,64.0,0.0,73.0,150.0,2965.0,400.0,400.0,291.0,0.0,1940.0,2793.0,50.0,45.0,573.0,1000.0
2007,33.0,,35.0,0.0,8.0,0.0,,10.0,262.0,148.0,0.0,88.0,150.0,860.0,400.0,400.0,386.0,0.0,1900.0,2913.0,60.0,55.0,702.0,1500.0
2008,56.0,,14.0,0.0,7.0,0.0,,24.0,418.0,253.0,0.0,187.0,150.0,1200.0,400.0,400.0,250.0,0.0,1910.0,3186.0,60.0,54.0,745.0,1500.0
2009,23.0,,8.0,0.0,8.0,0.0,,46.0,268.0,134.0,0.0,277.0,150.0,1273.0,500.0,500.0,245.0,0.0,2000.0,2913.0,60.0,54.0,762.0,1300.0
2010,20.0,,7.0,0.0,5.0,1.0,,25.0,181.0,102.0,0.0,114.0,150.0,1467.0,500.0,500.0,113.0,0.0,1950.0,1913.0,70.0,56.0,779.0,600.0
2011,23.0,,7.0,0.0,4.0,0.0,,24.0,169.0,74.0,0.0,167.0,150.0,3543.0,500.0,500.0,248.0,0.0,1950.0,2033.0,120.0,53.0,790.0,600.0
2012,14.0,,3.0,0.0,5.0,0.0,,24.0,40.0,67.0,0.0,143.0,170.0,1668.0,500.0,500.0,219.0,0.0,1800.0,2232.0,120.0,54.0,806.0,500.0
2013,21.0,,5.0,0.0,5.0,0.0,,31.0,50.0,93.0,0.0,132.0,170.0,2193.0,500.0,500.0,163.0,0.0,1800.0,3035.0,100.0,56.0,616.0,500.0
2014,21.0,,5.0,0.0,5.0,0.0,,31.0,60.0,93.0,0.0,180.0,170.0,3732.0,500.0,500.0,163.0,0.0,1800.0,3035.0,100.0,56.0,616.0,0.0
