,Slovakia,Ecuador,Madagascar,Romania,Canada,Turkey,Australia & New Zealand,Denmark,Ethiopia PDR,Egypt,United Republic of Tanzania,Viet Nam,Greece,Ethiopia,Kenya,Serbia,Ukraine,Australia,Morocco,Zimbabwe,Lithuania,Hungary,Lebanon,Russian Federation,Syrian Arab Republic,Tunisia,Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Peru,China,Mexico,Malawi,"China, mainland",Cyprus,Argentina,Afghanistan,Spain,Bosnia and Herzegovina,Bulgaria,Netherlands,Guatemala,India
1987,,5778.0,5000.0,5000.0,,7342.0,9943.0,6920.0,4286.0,7988.0,,8438.0,9696.0,,5714.0,,,9943.0,10000.0,5556.0,,8411.0,12500.0,,5660.0,7440.0,7143.0,,7467.0,,6957.0,81625.0,5000.0,6957.0,15000.0,7273.0,7143.0,4258.0,,,6993.0,6709.0,4622.0
1988,,13800.0,5000.0,5500.0,,7807.0,10333.0,6667.0,5000.0,8364.0,,7692.0,9783.0,,5000.0,,,10333.0,10455.0,5556.0,,8571.0,11818.0,,5824.0,7520.0,7143.0,,7875.0,,7826.0,93264.0,5000.0,7826.0,15000.0,6452.0,6667.0,4337.0,,,14424.0,6709.0,5441.0
1989,,28200.0,5000.0,7500.0,,4451.0,11319.0,8090.0,7143.0,8655.0,,8000.0,9787.0,,5000.0,,,11319.0,10455.0,5556.0,,9091.0,12174.0,,7553.0,7600.0,7143.0,,8654.0,,7391.0,94324.0,5000.0,7391.0,15000.0,7097.0,7273.0,5051.0,,,17350.0,6835.0,3960.0
1990,,6250.0,4091.0,5000.0,,5793.0,12442.0,6485.0,6338.0,8372.0,,7692.0,9792.0,,4433.0,,,12442.0,10455.0,4918.0,,7143.0,13043.0,,9184.0,7680.0,8008.0,,8182.0,,9615.0,95376.0,4412.0,9615.0,,6373.0,7692.0,5480.0,,,14620.0,5978.0,5912.0
1991,,6600.0,3562.0,6040.0,,7617.0,15156.0,5914.0,3013.0,7500.0,,7855.0,9996.0,,6000.0,,,15156.0,10455.0,5916.0,,8000.0,17391.0,,4462.0,7760.0,2552.0,,8138.0,,8151.0,85228.0,5132.0,8151.0,,7728.0,7016.0,4500.0,,,10903.0,13344.0,4797.0
1992,,4063.0,3482.0,6034.0,,7578.0,15002.0,5000.0,1543.0,7000.0,,8000.0,9980.0,,6667.0,,7500.0,15002.0,10455.0,6061.0,,7500.0,17857.0,7000.0,4992.0,7840.0,,,9200.0,,8333.0,84643.0,5137.0,8333.0,,7813.0,7143.0,4706.0,11765.0,,15461.0,13437.0,4632.0
1993,,6200.0,3403.0,7000.0,,7609.0,9591.0,5864.0,,8250.0,,8125.0,9963.0,5837.0,5263.0,,8333.0,9591.0,10455.0,5800.0,,7703.0,17931.0,7606.0,5045.0,7920.0,,,8181.0,,8400.0,81363.0,5143.0,8400.0,,7879.0,6818.0,4097.0,8056.0,7778.0,20000.0,13530.0,4117.0
1994,,5400.0,3323.0,6818.0,,6707.0,4642.0,6000.0,,8333.0,,7692.0,9947.0,5963.0,5684.0,,8000.0,4642.0,10455.0,5726.0,,8000.0,18333.0,7400.0,6093.0,7600.0,,,9429.0,,8462.0,84478.0,5149.0,8462.0,,7801.0,6734.0,4535.0,8222.0,8981.0,16667.0,13623.0,3589.0
1995,,5000.0,3244.0,6678.0,,6944.0,6743.0,5617.0,,8333.0,,8000.0,9932.0,6250.0,6000.0,,8000.0,6743.0,10455.0,5000.0,,8993.0,18571.0,7667.0,8240.0,7754.0,,,5000.0,,8778.0,84364.0,5154.0,8778.0,,7829.0,6667.0,2428.0,9111.0,9091.0,11667.0,13716.0,3667.0
1996,,5000.0,3519.0,6810.0,,5429.0,11809.0,5037.0,,8367.0,,8000.0,9917.0,6250.0,5668.0,,8182.0,11809.0,10455.0,5673.0,,9091.0,20750.0,10000.0,6177.0,7680.0,,,7703.0,,9259.0,73121.0,5102.0,9259.0,,7854.0,6000.0,2500.0,9000.0,9172.0,16667.0,13809.0,4080.0
1997,,4000.0,3807.0,6924.0,,6176.0,12713.0,4857.0,,8400.0,5556.0,7586.0,9903.0,6250.0,5263.0,,8340.0,12713.0,10455.0,5696.0,,9028.0,18889.0,8255.0,4291.0,7753.0,,5125.0,7591.0,,9286.0,91282.0,5060.0,9286.0,,7863.0,6250.0,3209.0,8235.0,9231.0,15000.0,13902.0,4276.0
1998,,4000.0,4095.0,7222.0,,5747.0,9213.0,5609.0,,8431.0,5541.0,7500.0,9889.0,6250.0,5379.0,,8333.0,9213.0,10455.0,5730.0,,9074.0,18000.0,8000.0,7126.0,7760.0,,4815.0,7855.0,,9386.0,91429.0,5000.0,9386.0,,7884.0,5917.0,3222.0,8824.0,9444.0,10000.0,13995.0,4386.0
1999,,4800.0,4128.0,7216.0,,5610.0,9974.0,5125.0,,8462.0,5556.0,7554.0,9877.0,6250.0,5340.0,,9610.0,9974.0,10455.0,5771.0,,8934.0,17559.0,8182.0,3523.0,7751.0,,2553.0,7890.0,,9310.0,91429.0,5000.0,9310.0,,8000.0,6201.0,3247.0,9833.0,9259.0,14513.0,14088.0,4702.0
2000,,5200.0,4599.0,8000.0,,5556.0,6689.0,5394.0,,8462.0,5556.0,7442.0,9865.0,6250.0,5000.0,,11364.0,6689.0,10455.0,5820.0,,8958.0,16364.0,8333.0,5121.0,7840.0,,7917.0,7927.0,,9333.0,91429.0,5000.0,9333.0,,7576.0,6250.0,3284.0,8593.0,7500.0,12826.0,14182.0,4840.0
2001,,4800.0,5000.0,7539.0,3279.0,5238.0,7948.0,5391.0,,8462.0,5625.0,7477.0,9855.0,6250.0,5149.0,,11862.0,7948.0,10455.0,5875.0,,8945.0,16364.0,8226.0,7252.0,7840.0,,4114.0,8120.0,,10000.0,92857.0,5065.0,10000.0,,7705.0,6250.0,3956.0,8444.0,9091.0,13333.0,14275.0,4303.0
2002,,4074.0,5000.0,7675.0,5672.0,5909.0,8667.0,5471.0,,8462.0,5500.0,7457.0,9846.0,6250.0,5104.0,,12500.0,8667.0,10455.0,5934.0,8667.0,8989.0,18000.0,10000.0,7400.0,7840.0,,7143.0,8015.0,,10333.0,92857.0,5043.0,10333.0,,7612.0,6061.0,4157.0,8485.0,9688.0,13072.0,14368.0,2968.0
2003,,4074.0,5781.0,7840.0,5634.0,5721.0,4850.0,5505.0,,8462.0,5385.0,7500.0,9905.0,6250.0,5023.0,,12500.0,4850.0,10455.0,6018.0,8667.0,9091.0,18000.0,8078.0,6371.0,7840.0,,5583.0,9375.0,69798.0,10323.0,81839.0,5017.0,10323.0,,7725.0,6029.0,3646.0,7000.0,9706.0,13987.0,14649.0,5345.0
2004,2346.0,4074.0,6558.0,8439.0,7376.0,6275.0,7824.0,5637.0,,8462.0,10000.0,7364.0,10032.0,6250.0,4916.0,,12500.0,7824.0,10455.0,6125.0,8462.0,9218.0,18000.0,7092.0,4362.0,7840.0,,5131.0,5357.0,64066.0,10499.0,82193.0,5021.0,10499.0,,7600.0,6000.0,3893.0,8621.0,11429.0,14324.0,15119.0,5531.0
2005,4843.0,4333.0,7379.0,8252.0,9570.0,5758.0,13145.0,5604.0,,8462.0,5455.0,7285.0,10161.0,6250.0,4844.0,,12500.0,13145.0,10455.0,6234.0,10370.0,9286.0,18000.0,7633.0,10030.0,7840.0,,7552.0,7865.0,56472.0,10625.0,81575.0,4903.0,10625.0,,7763.0,6250.0,4466.0,8462.0,9000.0,14639.0,15589.0,5844.0
2006,5532.0,4333.0,8230.0,8824.0,7992.0,6703.0,19828.0,5882.0,,8462.0,9091.0,7157.0,10000.0,6250.0,4770.0,12727.0,12000.0,19828.0,10455.0,6342.0,8667.0,9474.0,18000.0,7175.0,6639.0,7840.0,,58375.0,8571.0,55385.0,10909.0,77598.0,5033.0,10909.0,,7612.0,6208.0,5238.0,8000.0,12609.0,14966.0,16059.0,5681.0
2007,3056.0,4246.0,9100.0,5312.0,7639.0,6514.0,17843.0,5000.0,,8462.0,5556.0,7054.0,10488.0,6250.0,4637.0,12834.0,12857.0,17843.0,10455.0,6450.0,8333.0,9483.0,18000.0,5866.0,3763.0,7840.0,,59190.0,8246.0,53333.0,11176.0,77492.0,4783.0,11176.0,,7647.0,6071.0,6218.0,8846.0,10000.0,17500.0,16530.0,7013.0
2008,4409.0,4283.0,9975.0,10360.0,7627.0,7234.0,13578.0,5882.0,,8462.0,5600.0,6954.0,10687.0,6250.0,4558.0,12882.0,12414.0,13578.0,10455.0,6555.0,7778.0,10195.0,18000.0,8304.0,3547.0,6506.0,,95282.0,8292.0,53571.0,11429.0,78181.0,6000.0,11429.0,,7934.0,6000.0,8803.0,9167.0,9020.0,15505.0,17000.0,6575.0
2009,11412.0,4395.0,10843.0,8054.0,7018.0,7948.0,20559.0,5625.0,,8549.0,5806.0,6855.0,10887.0,6250.0,4507.0,12926.0,12500.0,20559.0,10553.0,6656.0,7143.0,11237.0,18006.0,5572.0,5130.0,7658.0,,80769.0,8350.0,65435.0,11667.0,80032.0,5600.0,11667.0,,8086.0,6140.0,10417.0,8103.0,6957.0,15479.0,17470.0,6844.0
2010,3781.0,4390.0,11692.0,10811.0,7656.0,7715.0,21893.0,5537.0,,8624.0,5714.0,6760.0,11087.0,6751.0,4354.0,12964.0,12500.0,21893.0,10641.0,6753.0,7143.0,12091.0,17990.0,4974.0,6107.0,7727.0,,90498.0,8414.0,86541.0,11892.0,79840.0,5833.0,11892.0,,8213.0,6000.0,6354.0,8333.0,8644.0,15895.0,17971.0,7367.0
2011,10197.0,4386.0,12509.0,9706.0,8422.0,7034.0,18144.0,5557.0,,8691.0,9091.0,6671.0,11289.0,7094.0,4275.0,12994.0,12381.0,18144.0,10713.0,6843.0,8148.0,13152.0,17920.0,7103.0,6622.0,7780.0,,106100.0,8478.0,9431.0,12147.0,87857.0,5417.0,12147.0,,8346.0,6304.0,6503.0,8824.0,8663.0,16137.0,18609.0,7747.0
2012,5429.0,4381.0,13636.0,7890.0,8371.0,6079.0,19675.0,5600.0,,8974.0,10268.0,6308.0,12121.0,8000.0,3927.0,13194.0,12381.0,19675.0,11132.0,7273.0,5370.0,14231.0,17937.0,6457.0,6363.0,8667.0,,118248.0,9670.0,8099.0,12703.0,91461.0,5497.0,12703.0,,9063.0,6757.0,5581.0,11429.0,7826.0,16379.0,19091.0,7746.0
2013,8800.0,4377.0,13636.0,9423.0,8519.0,7067.0,20771.0,5611.0,,8815.0,10435.0,6462.0,11509.0,7887.0,4000.0,12988.0,12632.0,20771.0,10836.0,7273.0,5000.0,14231.0,17955.0,5948.0,7359.0,7818.0,,129317.0,8548.0,7094.0,12587.0,99643.0,5627.0,12587.0,,8589.0,6757.0,5561.0,10024.0,8563.0,16620.0,19091.0,7840.0
2014,10263.0,4372.0,14571.0,13307.0,8667.0,7140.0,21867.0,5623.0,,8731.0,9173.0,6464.0,11610.0,7603.0,3945.0,12857.0,12632.0,21867.0,10687.0,7051.0,3906.0,14231.0,17972.0,9076.0,4963.0,7801.0,,140386.0,8551.0,7063.0,12648.0,94822.0,5633.0,12648.0,,8413.0,6513.0,6068.0,11429.0,7935.0,16862.0,20000.0,8042.0
