,"China, Taiwan Province of",Belarus,Croatia,Japan,Belgium,United Kingdom,Denmark,Spain,Republic of Korea,Sweden,Greece,New Zealand,Bulgaria,Australia & New Zealand,Yugoslav SFR,Czechia,Argentina,Ukraine,"China, mainland",Germany,Austria,Czechoslovakia,USSR,Romania,Italy,Egypt,Bosnia and Herzegovina,China,Latvia,Slovakia,France,Chile,Hungary,Estonia,Australia,Portugal,Togo,Lithuania,Poland,Netherlands,Russian Federation,Angola,Belgium-Luxembourg,Turkey
1978,667.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,33.0,-1.0,-1.0,-1.0,230.0,1725.0,230.0,359.0,-1.0,1470.0,-1.0,98150.0,300.0,-1.0,27729.0,376000.0,38500.0,3.0,22700.0,-1,98817.0,-1.0,-1.0,71300.0,2000.0,5773.0,-1.0,-1.0,21.0,-1,-1.0,59025.0,9500.0,-1.0,-1,10063.0,1150.0
1979,1000.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,170.0,1002.0,170.0,215.0,-1.0,1410.0,-1.0,102100.0,159.0,-1.0,18834.0,314000.0,20600.0,3.0,25400.0,-1,103100.0,-1.0,-1.0,71100.0,2000.0,2718.0,-1.0,-1.0,14.0,-1,-1.0,64387.0,6300.0,-1.0,-1,9025.0,1150.0
1980,1200.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,9.0,1472.0,9.0,258.0,-1.0,1320.0,-1.0,110000.0,0.0,-1.0,23266.0,284000.0,32900.0,5.0,24920.0,-1,111200.0,-1.0,-1.0,68400.0,2000.0,3449.0,-1.0,-1.0,21.0,-1,-1.0,49413.0,6800.0,-1.0,-1,7877.0,2300.0
1981,1000.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,2555.0,0.0,227.0,-1.0,1350.0,-1.0,190000.0,-1.0,-1.0,15566.0,263000.0,16400.0,5.0,20300.0,-1,191000.0,-1.0,-1.0,45000.0,2000.0,3478.0,-1.0,-1.0,46.0,-1,-1.0,33794.0,5200.0,-1.0,-1,7592.0,2000.0
1982,1000.0,-1.0,-1.0,20.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1192.0,0.0,153.0,-1.0,1400.0,-1.0,61000.0,-1.0,-1.0,20273.0,414000.0,16800.0,110.0,14840.0,-1,62000.0,-1.0,-1.0,62900.0,2000.0,2593.0,-1.0,-1.0,51.0,-1,-1.0,22862.0,5500.0,-1.0,-1,9343.0,385.0
1983,1000.0,-1.0,-1.0,20.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1328.0,0.0,182.0,-1.0,1400.0,-1.0,134250.0,-1.0,-1.0,23817.0,471000.0,28200.0,50.0,14500.0,-1,135250.0,-1.0,-1.0,62000.0,2000.0,2364.0,-1.0,-1.0,28.0,-1,-1.0,25544.0,21000.0,-1.0,-1,7740.0,1000.0
1984,1000.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1876.0,0.0,408.0,-1.0,1400.0,-1.0,192000.0,-1.0,-1.0,27105.0,394000.0,34160.0,90.0,16000.0,-1,193000.0,-1.0,-1.0,87000.0,2000.0,3949.0,-1.0,-1.0,-1.0,-1,-1.0,28052.0,32000.0,-1.0,-1,11635.0,885.0
1985,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1748.0,0.0,379.0,-1.0,1400.0,-1.0,158485.0,-1.0,-1.0,24937.0,344000.0,30960.0,60.0,17000.0,-1,159485.0,-1.0,-1.0,100000.0,2000.0,4236.0,-1.0,-1.0,-1.0,-1,-1.0,27475.0,36000.0,-1.0,-1,12643.0,850.0
1986,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,1233.0,0.0,482.0,-1.0,1400.0,-1.0,208306.0,-1.0,-1.0,21408.0,336000.0,22000.0,16.0,18000.0,-1,209306.0,-1.0,-1.0,65000.0,2000.0,3811.0,-1.0,-1.0,-1.0,-1,-1.0,23295.0,25000.0,-1.0,-1,8580.0,600.0
1987,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1280.0,0.0,830.0,-1.0,1400.0,-1.0,320000.0,-1.0,-1.0,19233.0,425000.0,28500.0,19.0,15000.0,-1,321200.0,-1.0,-1.0,70000.0,2000.0,3174.0,-1.0,-1.0,-1.0,-1,-1.0,16933.0,32000.0,-1.0,-1,11631.0,600.0
1988,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1393.0,0.0,204.0,-1.0,1500.0,-1.0,369000.0,-1.0,-1.0,18939.0,323000.0,27700.0,30.0,18000.0,-1,370300.0,-1.0,-1.0,91000.0,2000.0,1805.0,-1.0,-1.0,-1.0,-1,-1.0,18048.0,31967.0,-1.0,-1,12613.0,600.0
1989,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,986.0,0.0,130.0,-1.0,1500.0,-1.0,242837.0,-1.0,-1.0,25108.0,345100.0,31000.0,80.0,15875.0,-1,244137.0,-1.0,-1.0,74000.0,2000.0,1826.0,-1.0,-1.0,-1.0,-1,-1.0,18642.0,31341.0,-1.0,-1,10813.0,408.0
1990,1260.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,1873.0,-1.0,9.0,-1.0,1600.0,-1.0,242000.0,-1.0,0.0,22439.0,245000.0,13000.0,50.0,12025.0,-1,243260.0,-1.0,-1.0,77000.0,2060.0,1254.0,-1.0,-1.0,0.0,-1,-1.0,16268.0,40000.0,-1.0,-1,11710.0,101.0
1991,1200.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,982.0,-1.0,8.0,-1.0,1700.0,-1.0,289000.0,-1.0,0.0,8149.0,301000.0,3760.0,100.0,16685.0,-1,290200.0,-1.0,-1.0,55000.0,1444.0,1896.0,-1.0,-1.0,0.0,-1,-1.0,4640.0,35000.0,-1.0,-1,10449.0,44.0
1992,1150.0,60700.0,7.0,0.0,-1.0,197.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,126.0,-1.0,-1.0,-1.0,1800.0,105000.0,226000.0,-1.0,0.0,8486.0,-1.0,6250.0,266.0,11320.0,-1,227150.0,1420.0,-1.0,51796.0,1519.0,0.0,450.0,-1.0,0.0,-1,3900.0,1865.0,20135.0,77940.0,-1,7830.0,45.0
1993,1000.0,56600.0,10.0,-1.0,-1.0,2748.0,-1.0,92.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,25000.0,1900.0,73000.0,187698.0,-1.0,-1.0,-1.0,-1.0,1760.0,322.0,12000.0,-1,188698.0,100.0,2800.0,65000.0,1593.0,0.0,200.0,-1.0,-1.0,-1,1700.0,1650.0,26700.0,58180.0,-1,9806.0,45.0
1994,970.0,48700.0,13.0,-1.0,-1.0,22200.0,-1.0,1967.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,27100.0,1920.0,49000.0,250315.0,-1.0,-1.0,-1.0,-1.0,1152.0,310.0,12000.0,-1,251285.0,400.0,2600.0,64000.0,1668.0,0.0,220.0,-1.0,-1.0,-1,4400.0,2940.0,34400.0,54100.0,-1,11536.0,35.0
1995,850.0,59600.0,10.0,-1.0,-1.0,12000.0,-1.0,9560.0,-1.0,-1.0,-1.0,-1.0,36.0,-1.0,-1.0,34300.0,1953.0,48200.0,352414.0,-1.0,1050.0,-1.0,-1.0,1728.0,904.0,12300.0,-1,353264.0,800.0,3326.0,70000.0,1742.0,0.0,174.0,-1.0,-1.0,-1,9400.0,5500.0,34000.0,69000.0,-1,12840.0,42.0
1996,750.0,49100.0,7.0,-1.0,-1.0,21000.0,-1.0,22218.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,18300.0,2000.0,18000.0,265408.0,-1.0,4031.0,-1.0,-1.0,4100.0,250.0,12500.0,-1,266158.0,790.0,1668.0,57000.0,1817.0,0.0,199.0,-1.0,-1.0,-1,6200.0,2300.0,28800.0,59000.0,-1,13670.0,17.0
1997,680.0,26100.0,3.0,-1.0,-1.0,29000.0,-1.0,28648.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,6400.0,1966.0,9000.0,153829.0,-1.0,7150.0,-1.0,-1.0,1900.0,450.0,13000.0,-1,154509.0,960.0,1620.0,66000.0,1892.0,0.0,64.0,-1.0,-1.0,-1,5000.0,1400.0,35317.0,23000.0,-1,14430.0,20.0
1998,630.0,35700.0,1.0,-1.0,-1.0,25000.0,-1.0,75857.0,-1.0,-1.0,-1.0,-1.0,47.0,-1.0,-1.0,11200.0,1939.0,9000.0,100168.0,-1.0,6107.0,-1.0,-1.0,700.0,1886.0,13500.0,-1,100798.0,1340.0,700.0,64608.0,1982.0,0.0,13.0,-1.0,-1.0,-1,5600.0,1000.0,19500.0,34000.0,-1,12100.0,16.0
1999,620.0,20900.0,0.0,-1.0,-1.0,21840.0,-1.0,86537.0,-1.0,-1.0,0.0,-1.0,112.0,-1.0,-1.0,17065.0,1900.0,6000.0,169628.0,-1.0,5011.0,-1.0,-1.0,700.0,2066.0,13800.0,-1,170248.0,2130.0,254.0,72000.0,2044.0,0.0,59.0,-1.0,-1.0,-1,4300.0,6900.0,27700.0,24000.0,-1,15100.0,10.0
2000,600.0,37200.0,0.0,-1.0,16200.0,28000.0,-1.0,10022.0,-1.0,-1.0,0.0,-1.0,200.0,-1.0,-1.0,15100.0,1909.0,8300.0,214377.0,-1.0,3861.0,-1.0,-1.0,900.0,2284.0,14000.0,-1,214977.0,1100.0,85.0,75000.0,2100.0,0.0,79.0,-1.0,-1.0,-1,7200.0,7900.0,30860.0,51000.0,-1,-1.0,7.0
2001,650.0,31500.0,0.0,-1.0,8150.0,25386.0,-1.0,421.0,-1.0,-1.0,0.0,-1.0,267.0,-1.0,-1.0,17700.0,1917.0,12300.0,345175.0,-1.0,2657.0,-1.0,-1.0,400.0,2651.0,7110.0,-1,345825.0,840.0,943.0,88473.0,2200.0,0.0,105.0,-1.0,-1.0,-1,4000.0,10200.0,24712.0,58000.0,-1,-1.0,17.0
2002,630.0,26100.0,0.0,-1.0,19440.0,26700.0,-1.0,78.0,-1.0,-1.0,0.0,-1.0,337.0,-1.0,-1.0,16000.0,1930.0,11000.0,524281.0,-1.0,1400.0,-1.0,-1.0,800.0,1722.0,7160.0,-1,524911.0,1400.0,897.0,79549.0,2250.0,0.0,100.0,-1.0,-1.0,-1,6200.0,10100.0,24700.0,38000.0,-1,-1.0,50.0
2003,650.0,41300.0,0.0,-1.0,24230.0,22448.0,-1.0,48.0,-1.0,-1.0,0.0,-1.0,295.0,-1.0,-1.0,12387.0,1947.0,10900.0,465000.0,-1.0,89.0,-1.0,-1.0,700.0,1457.0,9000.0,-1,465650.0,800.0,1006.0,86000.0,2300.0,0.0,50.0,-1.0,-1.0,-1,9900.0,1037.0,26700.0,55290.0,-1,-1.0,55.0
2004,580.0,56565.0,0.0,-1.0,22215.0,21190.0,-1.0,34.0,-1.0,-1.0,0.0,-1.0,209.0,-1.0,-1.0,17801.0,1968.0,16200.0,669000.0,-1.0,91.0,-1.0,-1.0,300.0,1217.0,10000.0,-1,669580.0,1600.0,407.0,95000.0,2400.0,0.0,108.0,-1.0,-1.0,-1,5800.0,1439.0,27400.0,57790.0,-1,-1.0,55.0
2005,600.0,50430.0,0.0,-1.0,18505.0,19934.0,-1.0,18.0,-1.0,-1.0,0.0,-1.0,200.0,-1.0,-1.0,13474.0,1992.0,12700.0,694604.0,-1.0,93.0,-1.0,-1.0,350.0,1000.0,10500.0,-1,695204.0,1200.0,280.0,96000.0,2500.0,28.0,200.0,-1.0,-1.0,-1,3400.0,1970.0,26800.0,55890.0,-1,-1.0,6.0
2006,573.0,29183.0,0.0,-1.0,16500.0,18000.0,-1.0,8.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,8757.0,2000.0,5300.0,414771.0,-1.0,95.0,-1.0,-1.0,1522.0,1200.0,9000.0,-1,415344.0,1500.0,69.0,92400.0,2600.0,54.0,100.0,-1.0,-1.0,-1,300.0,563.0,22400.0,36110.0,-1,-1.0,8.0
2007,550.0,38828.0,0.0,-1.0,14170.0,17500.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,100.0,-1.0,-1.0,1868.0,2100.0,3800.0,289908.0,-1.0,18.0,-1.0,-1.0,72.0,1500.0,9262.0,-1,290458.0,1100.0,40.0,95000.0,2612.0,63.0,95.0,-1.0,-1.0,-1,400.0,502.0,14200.0,47490.0,-1,-1.0,6.0
2008,430.0,60894.0,0.0,-1.0,12170.0,17383.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,175.0,-1.0,-1.0,539.0,2190.0,3000.0,256991.0,-1.0,1.0,-1.0,-1.0,96.0,2000.0,9179.0,-1,257421.0,200.0,0.0,98000.0,2674.0,62.0,80.0,-1.0,-1.0,-1,100.0,708.0,13331.0,52480.0,-1,-1.0,1.0
2009,400.0,46893.0,0.0,-1.0,13330.0,16730.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,265.0,-1.0,-1.0,461.0,2280.0,1200.0,85488.0,-1.0,3.0,-1.0,-1.0,75.0,3400.0,9049.0,-1,85888.0,100.0,173.0,74000.0,2703.0,61.0,55.0,-1.0,-1.0,-1,31.0,422.0,14597.0,52560.0,-1,-1.0,1.0
2010,380.0,45782.0,0.0,-1.0,64044.0,16078.0,-1.0,21.0,-1.0,-1.0,0.0,-1.0,200.0,-1.0,-1.0,33.0,2371.0,400.0,44562.0,-1.0,4.0,-1.0,-1.0,255.0,370.0,8951.0,-1,44942.0,42.0,231.0,66970.0,2702.0,61.0,40.0,-1.0,-1.0,-1,9.0,197.0,10519.0,35220.0,-1,-1.0,3.0
2011,330.0,46037.0,0.0,-1.0,44554.0,15145.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,167.0,-1.0,-1.0,0.0,2478.0,800.0,39380.0,-1.0,1.0,-1.0,-1.0,244.0,249.0,9047.0,-1,39710.0,300.0,223.0,49226.0,2799.0,60.0,24.0,-1.0,-1.0,-1,15.0,249.0,7954.0,43450.0,-1,-1.0,6.0
2012,270.0,51615.0,0.0,-1.0,64402.0,13825.0,-1.0,20.0,-1.0,-1.0,0.0,-1.0,128.0,-1.0,-1.0,0.0,2600.0,1800.0,38113.0,-1.0,7.0,-1.0,-1.0,20.0,309.0,8400.0,-1,38383.0,1300.0,214.0,84700.0,2800.0,59.0,0.0,-1.0,-1.0,-1,5.0,178.0,13290.0,46054.0,-1,-1.0,6.0
2013,300.0,44925.0,0.0,-1.0,67300.0,14000.0,-1.0,18.0,-1.0,-1.0,0.0,-1.0,100.0,-1.0,-1.0,0.0,2700.0,1060.0,24056.0,-1.0,0.0,-1.0,-1.0,36.0,3000.0,8500.0,-1,24356.0,500.0,203.0,83100.0,3000.0,59.0,0.0,-1.0,-1.0,-1,7.0,174.0,11237.0,39039.0,-1,-1.0,7.0
2014,275.0,48195.0,0.0,-1.0,72800.0,15061.0,-1.0,16.0,-1.0,-1.0,0.0,-1.0,85.0,-1.0,-1.0,0.0,2551.0,870.0,47026.0,-1.0,0.0,-1.0,-1.0,0.0,332.0,7930.0,-1,47301.0,150.0,199.0,74009.0,2933.0,58.0,0.0,-1.0,-1.0,-1,4.0,55.0,10310.0,37178.0,-1,-1.0,7.0
