,Luxembourg,Germany,Serbia,Belgium,Serbia and Montenegro,Czechoslovakia,USSR,Poland,Sweden,Switzerland,Malta,United Kingdom,Denmark,Canada,Greece,Latvia,Finland,Czechia,Austria,Spain,Norway,Estonia,Yugoslav SFR,France,Lithuania,Slovenia,Croatia,Netherlands,Turkey,Kyrgyzstan,Republic of Moldova,Belgium-Luxembourg
1989,-1.0,37959.0,-1.0,-1.0,-1.0,29264.0,11900.0,29826.0,30889.0,55556.0,30435.0,37855.0,33333.0,27558.0,18922.0,-1.0,30381.0,-1.0,41756.0,13694.0,-1.0,-1.0,7667.0,36105.0,-1.0,-1.0,-1.0,-1.0,11444.0,-1.0,-1.0,30000.0
1990,-1.0,45527.0,-1.0,-1.0,-1.0,31918.0,16222.0,30400.0,30677.0,51576.0,-1.0,40476.0,26731.0,28502.0,23342.0,-1.0,34252.0,-1.0,42085.0,12662.0,-1.0,-1.0,8333.0,35837.0,-1.0,-1.0,-1.0,-1.0,12692.0,-1.0,-1.0,35000.0
1991,-1.0,46981.0,-1.0,-1.0,-1.0,28183.0,23625.0,29952.0,37930.0,53125.0,-1.0,40541.0,31486.0,25356.0,10000.0,-1.0,31282.0,-1.0,39593.0,9523.0,-1.0,-1.0,7000.0,42005.0,-1.0,-1.0,-1.0,-1.0,12231.0,-1.0,-1.0,30000.0
1992,-1.0,39310.0,-1.0,-1.0,11781.0,18519.0,-1.0,20730.0,31626.0,48148.0,-1.0,43525.0,31182.0,30588.0,10000.0,10296.0,28548.0,-1.0,35852.0,8101.0,-1.0,3810.0,-1.0,42427.0,11603.0,45250.0,24833.0,-1.0,12168.0,-1.0,-1.0,42500.0
1993,-1.0,45127.0,-1.0,-1.0,-1.0,-1.0,-1.0,25485.0,33529.0,52632.0,-1.0,39441.0,-1.0,28065.0,20068.0,14194.0,28346.0,27500.0,36817.0,13811.0,-1.0,23077.0,-1.0,41063.0,16875.0,33400.0,18473.0,-1.0,12638.0,-1.0,-1.0,45581.0
1994,-1.0,40385.0,-1.0,-1.0,-1.0,-1.0,-1.0,23120.0,22580.0,22414.0,-1.0,43333.0,-1.0,26867.0,30000.0,14340.0,31373.0,27016.0,38861.0,15562.0,-1.0,15521.0,-1.0,41221.0,14246.0,24266.0,30736.0,-1.0,12113.0,-1.0,-1.0,36744.0
1995,-1.0,41818.0,-1.0,-1.0,-1.0,-1.0,-1.0,28143.0,24886.0,40625.0,-1.0,42103.0,-1.0,27647.0,29382.0,17500.0,32804.0,21503.0,39770.0,7039.0,-1.0,21517.0,-1.0,40399.0,15313.0,24261.0,33633.0,-1.0,12941.0,-1.0,-1.0,44857.0
1996,-1.0,48879.0,-1.0,-1.0,-1.0,-1.0,-1.0,27876.0,38680.0,46424.0,-1.0,40000.0,-1.0,27448.0,20000.0,20588.0,30290.0,21462.0,38280.0,17410.0,-1.0,23889.0,-1.0,43596.0,19773.0,23711.0,27023.0,-1.0,13529.0,-1.0,-1.0,52000.0
1997,-1.0,46438.0,-1.0,-1.0,-1.0,-1.0,-1.0,28716.0,36301.0,46344.0,-1.0,40000.0,-1.0,27613.0,18620.0,20455.0,29938.0,18674.0,41090.0,7896.0,-1.0,19230.0,-1.0,41083.0,20043.0,21321.0,31777.0,-1.0,15429.0,-1.0,-1.0,50000.0
1998,-1.0,46737.0,-1.0,-1.0,-1.0,-1.0,-1.0,29313.0,29178.0,33333.0,-1.0,34706.0,-1.0,27705.0,17323.0,21544.0,21852.0,18551.0,46038.0,10583.0,-1.0,15194.0,-1.0,43569.0,20566.0,19466.0,18000.0,-1.0,13084.0,-1.0,8974.0,48731.0
1999,-1.0,48051.0,-1.0,-1.0,-1.0,-1.0,-1.0,28289.0,28224.0,45833.0,-1.0,45652.0,-1.0,29164.0,16689.0,14177.0,24413.0,20078.0,41709.0,8305.0,-1.0,10955.0,-1.0,41451.0,12241.0,17678.0,12500.0,-1.0,12500.0,-1.0,18933.0,49192.0
2000,48714.0,45664.0,-1.0,56667.0,-1.0,-1.0,-1.0,20867.0,24047.0,54545.0,-1.0,54167.0,-1.0,29911.0,16687.0,48025.0,30539.0,18071.0,36876.0,20844.0,-1.0,18968.0,-1.0,41670.0,18000.0,33079.0,20989.0,-1.0,12624.0,-1.0,15504.0,-1.0
2001,52217.0,46778.0,-1.0,31667.0,-1.0,-1.0,-1.0,27592.0,33346.0,61372.0,-1.0,38462.0,-1.0,28046.0,17885.0,41220.0,27284.0,16658.0,42410.0,13970.0,-1.0,18406.0,-1.0,37818.0,17838.0,36000.0,13333.0,-1.0,14207.0,-1.0,19262.0,-1.0
2002,56194.0,44509.0,-1.0,34000.0,-1.0,-1.0,-1.0,28109.0,40667.0,56180.0,-1.0,47368.0,-1.0,27231.0,18586.0,47647.0,30380.0,16884.0,39091.0,17071.0,-1.0,17057.0,-1.0,46949.0,14919.0,36000.0,15000.0,-1.0,11111.0,-1.0,11842.0,-1.0
2003,53815.0,42348.0,-1.0,56949.0,-1.0,-1.0,-1.0,24817.0,38241.0,72864.0,-1.0,42381.0,-1.0,28390.0,19349.0,14719.0,27722.0,23084.0,35939.0,17071.0,-1.0,18557.0,-1.0,36477.0,20000.0,32300.0,20000.0,-1.0,13846.0,-1.0,7500.0,-1.0
2004,56944.0,50509.0,-1.0,53656.0,-1.0,-1.0,-1.0,29585.0,39953.0,53381.0,-1.0,43250.0,-1.0,28830.0,20094.0,21009.0,27284.0,19808.0,41954.0,25527.0,-1.0,21832.0,-1.0,43647.0,20789.0,31741.0,40000.0,-1.0,14706.0,-1.0,19074.0,-1.0
2005,49064.0,44507.0,-1.0,40446.0,-1.0,-1.0,-1.0,27264.0,42849.0,75269.0,-1.0,44412.0,-1.0,27828.0,20693.0,17881.0,29325.0,16560.0,41080.0,16671.0,-1.0,22215.0,-1.0,42683.0,18310.0,29324.0,29850.0,-1.0,14955.0,-1.0,13818.0,-1.0
2006,44843.0,43912.0,39474.0,58552.0,-1.0,-1.0,-1.0,21889.0,27214.0,50388.0,-1.0,42857.0,-1.0,26736.0,20000.0,13826.0,27340.0,12954.0,34975.0,25690.0,-1.0,20715.0,-1.0,42187.0,10227.0,29701.0,39266.0,-1.0,12476.0,-1.0,13804.0,-1.0
2007,47365.0,41327.0,34211.0,52574.0,-1.0,-1.0,-1.0,28285.0,31765.0,52028.0,-1.0,43333.0,-1.0,27326.0,20789.0,19000.0,28882.0,20333.0,36644.0,25879.0,-1.0,24566.0,-1.0,35093.0,19127.0,30078.0,27496.0,-1.0,8986.0,14553.0,5703.0,-1.0
2008,46930.0,45158.0,32590.0,25179.0,-1.0,-1.0,-1.0,25435.0,30847.0,51347.0,-1.0,50000.0,34674.0,27877.0,20871.0,20000.0,28837.0,16615.0,40600.0,25833.0,-1.0,22727.0,-1.0,38396.0,19010.0,30454.0,32581.0,-1.0,14242.0,20000.0,27912.0,-1.0
2009,50385.0,48888.0,31081.0,49099.0,-1.0,-1.0,-1.0,28792.0,34769.0,50847.0,-1.0,42857.0,40517.0,27465.0,21538.0,25455.0,30200.0,12934.0,62360.0,25488.0,-1.0,22340.0,-1.0,39524.0,20121.0,30831.0,10176.0,-1.0,16040.0,18564.0,18374.0,-1.0
2010,43667.0,39167.0,31944.0,42898.0,-1.0,-1.0,-1.0,30319.0,29697.0,51941.0,-1.0,41818.0,48138.0,29163.0,28824.0,18519.0,23969.0,14182.0,56016.0,12849.0,-1.0,19635.0,-1.0,38478.0,17563.0,31208.0,25278.0,-1.0,15048.0,18798.0,24404.0,-1.0
2011,36257.0,41790.0,30556.0,51537.0,-1.0,-1.0,-1.0,27924.0,30352.0,59412.0,-1.0,39167.0,32000.0,30406.0,33846.0,20947.0,29299.0,20231.0,72975.0,19960.0,-1.0,23446.0,-1.0,36044.0,19748.0,31585.0,27000.0,-1.0,15000.0,18994.0,22583.0,-1.0
2012,45638.0,47492.0,30000.0,50752.0,-1.0,-1.0,-1.0,30613.0,29832.0,53132.0,-1.0,46000.0,31646.0,29344.0,16842.0,23205.0,25455.0,21589.0,71216.0,10769.0,-1.0,19583.0,-1.0,39875.0,22523.0,31962.0,29672.0,-1.0,12422.0,18966.0,23213.0,-1.0
2013,47148.0,46724.0,30000.0,42700.0,-1.0,-1.0,-1.0,29842.0,37400.0,39227.0,-1.0,41563.0,38893.0,28727.0,13810.0,23431.0,31315.0,11831.0,35630.0,11546.0,-1.0,30541.0,-1.0,39866.0,22660.0,32338.0,32248.0,-1.0,14777.0,21538.0,25448.0,-1.0
2014,49387.0,47589.0,29617.0,79997.0,-1.0,-1.0,-1.0,33179.0,31548.0,64121.0,-1.0,46824.0,39621.0,37653.0,17750.0,29113.0,29665.0,16629.0,42102.0,13791.0,-1.0,25333.0,-1.0,41051.0,25664.0,32715.0,23463.0,-1.0,14982.0,20261.0,28479.0,-1.0
