,USSR,Ethiopia PDR,Poland,Argentina,Mongolia,Oman,Togo,Thailand,Czechoslovakia,Ethiopia,Luxembourg,Republic of Korea,Romania,Italy,Senegal,Hungary,Eritrea,Russian Federation,Czechia,Tunisia,Armenia,Morocco,Australia & New Zealand,Sierra Leone,Chad,Spain,Bosnia and Herzegovina,Bulgaria,Myanmar,New Zealand
1974,1120.0,30440.0,0.0,351.0,800.0,168.0,55.0,48.0,75.0,,,19.0,0.0,800.0,243.0,1400.0,,,,540.0,,4790.0,63.0,39.0,475.0,0.0,,4270.0,1199.0,63.0
1975,960.0,36010.0,0.0,348.0,500.0,160.0,55.0,60.0,110.0,,,32.0,0.0,700.0,279.0,900.0,,,,600.0,,5440.0,63.0,39.0,500.0,0.0,,3921.0,1187.0,63.0
1976,800.0,33428.0,0.0,359.0,350.0,160.0,60.0,108.0,57.0,,,37.0,36.0,600.0,212.0,833.0,,,,600.0,,5290.0,65.0,42.0,525.0,0.0,,1958.0,1068.0,65.0
1977,640.0,32600.0,0.0,343.0,400.0,160.0,53.0,96.0,60.0,,,17.0,18.0,600.0,190.0,354.0,,,,640.0,,7350.0,65.0,42.0,750.0,0.0,,9163.0,1068.0,65.0
1978,480.0,34815.0,0.0,263.0,400.0,160.0,40.0,84.0,66.0,,,18.0,18.0,500.0,168.0,316.0,,,,640.0,,5020.0,65.0,42.0,1000.0,0.0,,1548.0,1012.0,65.0
1979,480.0,37834.0,0.0,234.0,1000.0,160.0,35.0,96.0,86.0,,,15.0,36.0,700.0,180.0,320.0,,,,660.0,,5800.0,33.0,45.0,1375.0,0.0,,1638.0,1198.0,33.0
1980,640.0,34104.0,0.0,239.0,1000.0,67.0,35.0,144.0,142.0,,,13.0,54.0,600.0,180.0,235.0,,,,660.0,,4900.0,56.0,45.0,1750.0,0.0,,2461.0,1131.0,56.0
1981,640.0,33289.0,0.0,147.0,1500.0,67.0,35.0,168.0,103.0,,,45.0,54.0,1300.0,180.0,300.0,,,,680.0,,3300.0,20.0,45.0,1625.0,0.0,,3435.0,965.0,20.0
1982,960.0,34996.0,0.0,111.0,3000.0,67.0,35.0,120.0,70.0,,,40.0,144.0,2000.0,180.0,300.0,,,,688.0,,4300.0,21.0,45.0,2098.0,0.0,,2191.0,940.0,21.0
1983,800.0,32949.0,0.0,120.0,4000.0,67.0,35.0,132.0,56.0,,,40.0,864.0,1000.0,210.0,1200.0,,,,600.0,,2300.0,34.0,45.0,1214.0,0.0,,1451.0,960.0,34.0
1984,800.0,33627.0,0.0,109.0,4000.0,67.0,35.0,132.0,20.0,,,20.0,108.0,1000.0,229.0,500.0,,,,600.0,,1800.0,29.0,45.0,3161.0,0.0,,1850.0,1017.0,29.0
1985,640.0,32406.0,0.0,110.0,3000.0,68.0,37.0,132.0,46.0,,,28.0,36.0,800.0,156.0,500.0,,,,300.0,,2000.0,39.0,45.0,1419.0,0.0,,1467.0,1040.0,39.0
1986,640.0,32458.0,0.0,81.0,3021.0,72.0,30.0,132.0,54.0,,,64.0,270.0,600.0,167.0,1100.0,,,,360.0,,1800.0,64.0,45.0,1746.0,0.0,,3744.0,994.0,64.0
1987,640.0,31335.0,0.0,121.0,4199.0,74.0,25.0,162.0,165.0,,,21.0,270.0,200.0,150.0,400.0,,,,360.0,,1600.0,54.0,45.0,2719.0,0.0,,3642.0,601.0,54.0
1988,640.0,36531.0,0.0,88.0,3474.0,76.0,39.0,168.0,3135.0,,,25.0,270.0,200.0,72.0,600.0,,,,360.0,,1400.0,50.0,45.0,2693.0,0.0,,4708.0,761.0,50.0
1989,635.0,30674.0,0.0,182.0,2686.0,80.0,33.0,168.0,3138.0,,,33.0,224.0,200.0,50.0,500.0,,,,361.0,,1150.0,57.0,45.0,2009.0,0.0,,5417.0,823.0,57.0
1990,628.0,31977.0,0.0,286.0,2700.0,101.0,21.0,158.0,3146.0,,,33.0,690.0,600.0,103.0,300.0,,,,416.0,,1450.0,51.0,45.0,3599.0,0.0,,5772.0,780.0,51.0
1991,628.0,34208.0,0.0,605.0,1100.0,110.0,26.0,271.0,3240.0,,,34.0,953.0,1300.0,102.0,700.0,,,,500.0,,1580.0,48.0,45.0,3095.0,0.0,,4728.0,695.0,48.0
1992,,34600.0,0.0,308.0,1100.0,136.0,43.0,300.0,3240.0,,,15.0,398.0,1500.0,102.0,500.0,,6000.0,,546.0,0.0,1950.0,45.0,43.0,2785.0,0.0,10.0,3435.0,668.0,45.0
1993,,,0.0,308.0,0.0,150.0,45.0,360.0,,35629.0,,17.0,252.0,1500.0,100.0,1000.0,780.0,6000.0,720.0,540.0,0.0,920.0,42.0,120.0,3231.0,0.0,0.0,2125.0,740.0,42.0
1994,,,0.0,198.0,0.0,82.0,26.0,360.0,,47477.0,,27.0,180.0,1800.0,188.0,1000.0,754.0,6000.0,738.0,600.0,0.0,140.0,40.0,81.0,2534.0,0.0,0.0,2028.0,660.0,40.0
1995,,,0.0,198.0,0.0,83.0,56.0,375.0,,54072.0,,46.0,432.0,1700.0,236.0,0.0,540.0,6000.0,720.0,706.0,0.0,340.0,75.0,99.0,2333.0,0.0,0.0,2799.0,680.0,75.0
1996,,,0.0,198.0,0.0,84.0,34.0,390.0,,55972.0,,34.0,432.0,1600.0,150.0,0.0,460.0,6000.0,738.0,637.0,0.0,720.0,81.0,114.0,2835.0,0.0,0.0,2340.0,740.0,81.0
1997,,,0.0,198.0,0.0,60.0,35.0,405.0,,45173.0,,43.0,630.0,1000.0,90.0,0.0,683.0,5000.0,720.0,740.0,0.0,510.0,73.0,84.0,4531.0,0.0,0.0,3216.0,800.0,73.0
1998,,,0.0,220.0,0.0,54.0,22.0,480.0,,53782.0,,36.0,369.0,4000.0,134.0,0.0,773.0,4000.0,702.0,667.0,0.0,460.0,88.0,78.0,4981.0,0.0,0.0,1710.0,840.0,88.0
1999,,,0.0,220.0,0.0,54.0,18.0,600.0,,53849.0,,43.0,774.0,3500.0,64.0,0.0,742.0,4000.0,756.0,670.0,0.0,460.0,84.0,99.0,3518.0,0.0,0.0,1428.0,840.0,84.0
2000,,,0.0,220.0,0.0,71.0,21.0,750.0,,55008.0,0.0,61.0,1005.0,4500.0,41.0,0.0,761.0,3500.0,738.0,860.0,0.0,590.0,90.0,117.0,3866.0,1500.0,0.0,1410.0,900.0,90.0
2001,,,0.0,242.0,0.0,56.0,10.0,810.0,,46571.0,0.0,68.0,1260.0,4500.0,55.0,0.0,700.0,4000.0,720.0,678.0,0.0,480.0,80.0,126.0,4475.0,2250.0,0.0,1129.0,840.0,80.0
2002,,,314.0,242.0,0.0,78.0,15.0,840.0,,69390.0,0.0,55.0,458.0,4500.0,60.0,0.0,786.0,3600.0,810.0,939.0,0.0,670.0,60.0,129.0,7500.0,3000.0,0.0,1626.0,800.0,60.0
2003,,,228.0,242.0,0.0,59.0,7.0,900.0,,73311.0,0.0,56.0,590.0,4500.0,70.0,0.0,755.0,2000.0,846.0,900.0,590.0,490.0,68.0,132.0,7509.0,4082.0,0.0,458.0,800.0,68.0
2004,,,235.0,242.0,0.0,76.0,8.0,1050.0,,79202.0,0.0,87.0,53.0,4500.0,65.0,0.0,754.0,3000.0,828.0,807.0,600.0,700.0,43.0,174.0,9070.0,4181.0,0.0,198.0,800.0,43.0
2005,,,250.0,242.0,0.0,66.0,4.0,3000.0,,55313.0,0.0,84.0,45.0,4500.0,44.0,0.0,672.0,2000.0,810.0,715.0,550.0,610.0,30.0,180.0,9011.0,5209.0,0.0,39.0,900.0,30.0
2006,,,528.0,248.0,50.0,65.0,4.0,2220.0,,60944.0,0.0,104.0,82.0,2500.0,60.0,0.0,619.0,2000.0,1527.0,681.0,540.0,580.0,57.0,240.0,10000.0,4695.0,0.0,72.0,900.0,57.0
2007,,,350.0,248.0,50.0,62.0,3.0,2220.0,,74823.0,2.0,73.0,90.0,2900.0,203.0,0.0,687.0,2000.0,1142.0,461.0,700.0,720.0,55.0,300.0,8325.0,4509.0,0.0,37.0,740.0,55.0
2008,,,465.0,253.0,50.0,47.0,7.0,2400.0,,64717.0,6.0,71.0,81.0,4500.0,124.0,0.0,1022.0,600.0,1140.0,363.0,640.0,580.0,55.0,317.0,8500.0,5408.0,0.0,36.0,660.0,55.0
2009,,,2940.0,286.0,50.0,46.0,7.0,2550.0,,69030.0,10.0,140.0,90.0,4500.0,49.0,0.0,1075.0,500.0,1096.0,346.0,1100.0,850.0,50.0,306.0,27702.0,5755.0,0.0,40.0,660.0,50.0
2010,,,910.0,286.0,50.0,48.0,5.0,2448.0,,68278.0,16.0,173.0,582.0,4500.0,73.0,0.0,1099.0,500.0,993.0,358.0,900.0,320.0,43.0,337.0,7616.0,6179.0,0.0,41.0,560.0,43.0
2011,,,616.0,407.0,80.0,48.0,17.0,2490.0,,68257.0,13.0,211.0,957.0,4500.0,54.0,0.0,1100.0,500.0,1333.0,360.0,900.0,240.0,52.0,330.0,10564.0,7831.0,0.0,202.0,580.0,52.0
2012,,,1598.0,308.0,400.0,48.0,22.0,2550.0,,75413.0,6.0,198.0,682.0,7300.0,73.0,0.0,1125.0,500.0,998.0,360.0,900.0,250.0,38.0,339.0,11603.0,6748.0,0.0,393.0,580.0,38.0
2013,,,1563.0,308.0,100.0,48.0,22.0,2746.0,,75402.0,6.0,206.0,618.0,7900.0,99.0,0.0,918.0,500.0,765.0,362.0,1400.0,409.0,43.0,359.0,13333.0,6605.0,0.0,23.0,600.0,43.0
2014,,,1563.0,308.0,100.0,48.0,22.0,2746.0,,75402.0,6.0,206.0,618.0,7900.0,99.0,0.0,918.0,500.0,2000.0,362.0,1400.0,409.0,43.0,359.0,13333.0,6605.0,0.0,23.0,600.0,43.0
