,"China, Taiwan Province of",Romania,Syrian Arab Republic,Israel,Australia & New Zealand,Australia,Iraq,Czechia,Pakistan,Slovakia,Nepal,Kenya,Libya,Yemen,Republic of Moldova,Italy,Serbia,USSR,Germany,Turkmenistan,Tajikistan,Portugal,Albania,Uzbekistan,China,Serbia and Montenegro,Armenia,Morocco,Slovenia,Chile,Malta,Argentina,Spain,Kyrgyzstan,India,Cyprus,Austria,Ecuador,Japan,Poland,Canada,Turkey,Jordan,Afghanistan,Switzerland,Egypt,The former Yugoslav Republic of Macedonia,Georgia,Greece,Czechoslovakia,France,Zimbabwe,New Zealand,Bosnia and Herzegovina,Hungary,Lebanon,Russian Federation,Bulgaria,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,South Africa,Mexico,Ukraine,"China, mainland",Azerbaijan,Madagascar,Algeria,Peru,Croatia,Cameroon,Occupied Palestinian Territory
1984,128381.0,,37251.0,90323.0,105467.0,101288.0,,,113478.0,,,50000.0,,28817.0,,140800.0,,44737.0,,,,20578.0,,,128381.0,,,,,84810.0,,66667.0,108385.0,,29412.0,18657.0,,,,,50500.0,50000.0,15424.0,71791.0,,114286.0,,,141988.0,,66132.0,24000.0,120000.0,,,85294.0,,39100.0,12667.0,,57895.0,,136395.0,100000.0,347595.0,,,,94400.0,45532.0,70769.0,,,
1985,124236.0,53125.0,79718.0,160241.0,108179.0,102878.0,45070.0,,109796.0,,,50000.0,36667.0,29183.0,,135176.0,,45556.0,20624.0,,,21240.0,18868.0,,124236.0,,,59350.0,,72727.0,,60941.0,75332.0,,30000.0,39801.0,65575.0,47619.0,,,50533.0,42751.0,18000.0,70783.0,142857.0,109524.0,,,176874.0,24627.0,80760.0,23500.0,125000.0,,48910.0,86957.0,,96425.0,13000.0,41297.0,61090.0,,146843.0,98818.0,56565.0,,,,96000.0,32622.0,70000.0,,45455.0,
1986,116035.0,61375.0,64335.0,110465.0,127602.0,127273.0,50000.0,,116038.0,,,50000.0,43333.0,31961.0,,135730.0,,51087.0,24951.0,,,65929.0,30189.0,,116035.0,,,59350.0,,81215.0,,28424.0,74020.0,,30000.0,19900.0,62313.0,47619.0,,,49787.0,75922.0,12395.0,73619.0,72464.0,71429.0,,,131682.0,44688.0,88183.0,20833.0,128535.0,,38234.0,91954.0,,48479.0,15909.0,39977.0,58746.0,,62547.0,131976.0,41210.0,,,,96000.0,39820.0,62093.0,,45455.0,
1987,101976.0,41000.0,25724.0,169512.0,114496.0,115300.0,55839.0,,119636.0,,,50000.0,50467.0,36062.0,,135793.0,,37255.0,22613.0,,,76518.0,24528.0,,101976.0,,,59350.0,,62766.0,,30078.0,66355.0,,30000.0,49751.0,41177.0,47619.0,,,49982.0,53493.0,12624.0,73085.0,185714.0,98639.0,,,150627.0,15958.0,72461.0,25333.0,112113.0,,38217.0,97143.0,,32390.0,18182.0,33309.0,55596.0,,133591.0,131976.0,66302.0,,,,98000.0,34695.0,69149.0,,45455.0,
1988,101582.0,44750.0,81270.0,131818.0,110278.0,112968.0,55172.0,,117541.0,,,50000.0,50467.0,37698.0,,138873.0,,42600.0,21073.0,,,70071.0,24528.0,,101582.0,,,70229.0,,74359.0,,66958.0,71872.0,,29000.0,54726.0,30067.0,47619.0,,,50551.0,76639.0,17742.0,71089.0,36806.0,130952.0,,,209327.0,12802.0,72374.0,25333.0,102163.0,,33537.0,102857.0,,58579.0,13182.0,43703.0,64326.0,,119048.0,112780.0,62317.0,,,,96000.0,31863.0,66279.0,,45455.0,
1989,120692.0,62125.0,40625.0,123636.0,97694.0,102739.0,50000.0,,120952.0,,,50000.0,56200.0,35414.0,,130456.0,,45000.0,23448.0,,,64286.0,30189.0,,120692.0,,,60448.0,,80808.0,,47832.0,72368.0,,29412.0,59701.0,73852.0,47619.0,,,49815.0,92254.0,27303.0,71344.0,189000.0,166667.0,,,140299.0,82641.0,90741.0,26250.0,81680.0,,60908.0,111111.0,,79155.0,15667.0,71184.0,69876.0,,143799.0,110738.0,51510.0,,,,95238.0,32115.0,71163.0,,45455.0,
1990,106656.0,60759.0,71980.0,201456.0,105071.0,100627.0,70213.0,,126563.0,,50000.0,75000.0,54434.0,31189.0,,131541.0,,43908.0,25781.0,,,77500.0,43814.0,,106656.0,,,54593.0,,97739.0,,55362.0,52456.0,,30000.0,52632.0,816412.0,49118.0,,,50154.0,60490.0,31446.0,70440.0,92453.0,142750.0,,,177725.0,55391.0,80262.0,26000.0,120422.0,,42325.0,118919.0,,91874.0,14167.0,71544.0,71966.0,,149710.0,132624.0,62866.0,,,,95455.0,24967.0,70682.0,,39778.0,
1991,73836.0,33766.0,73055.0,148987.0,90811.0,88530.0,59524.0,,132773.0,,59843.0,78536.0,54167.0,20743.0,,108885.0,,38958.0,90000.0,,,66866.0,30000.0,,73836.0,,,66331.0,,55860.0,,54000.0,88243.0,,29524.0,60000.0,830725.0,50896.0,,,51667.0,66999.0,41231.0,76758.0,64122.0,92865.0,,,119098.0,21144.0,75717.0,24500.0,98372.0,,32653.0,127178.0,,33204.0,13333.0,41720.0,80213.0,,114776.0,100977.0,71041.0,,,,95238.0,49336.0,67000.0,,45419.0,
1992,79698.0,54267.0,91038.0,147176.0,98675.0,110634.0,59667.0,,134542.0,,55556.0,77025.0,53751.0,20993.0,50000.0,131120.0,,,50000.0,36667.0,45455.0,67143.0,20052.0,41452.0,69287.0,65778.0,27586.0,48889.0,119697.0,85000.0,,62500.0,82448.0,35714.0,29545.0,78571.0,832517.0,50109.0,,,44534.0,74145.0,53876.0,73511.0,145385.0,153380.0,49691.0,15000.0,154616.0,14060.0,118230.0,25000.0,56511.0,,39984.0,106576.0,32647.0,53959.0,14656.0,,79025.0,28000.0,122120.0,117061.0,62801.0,31057.0,25000.0,64286.0,95455.0,33186.0,50244.0,56317.0,44919.0,
1993,52264.0,57123.0,78000.0,150617.0,96138.0,97560.0,58140.0,38474.0,138113.0,21275.0,59770.0,75514.0,53336.0,21773.0,60000.0,122529.0,,,20000.0,30000.0,35625.0,60000.0,18115.0,37931.0,47365.0,56245.0,10536.0,83916.0,175161.0,99502.0,,58919.0,87866.0,33333.0,29565.0,130000.0,491634.0,49322.0,,,40984.0,52469.0,43161.0,72549.0,27045.0,150000.0,49696.0,26667.0,162283.0,,54270.0,24461.0,90796.0,24000.0,29792.0,110000.0,32471.0,33685.0,16000.0,,73424.0,20000.0,104941.0,116154.0,46360.0,41154.0,25000.0,66667.0,95652.0,55085.0,50444.0,50100.0,44565.0,
1994,78772.0,48732.0,70905.0,111111.0,69593.0,64634.0,58844.0,37378.0,158136.0,44335.0,95536.0,74003.0,52920.0,18477.0,46667.0,129559.0,,,10000.0,20000.0,34815.0,73096.0,16304.0,40741.0,65831.0,56249.0,24677.0,60690.0,276667.0,143590.0,,58974.0,85556.0,31731.0,29167.0,56250.0,453333.0,48535.0,,,64629.0,82889.0,50725.0,72506.0,73780.0,147239.0,48248.0,15714.0,177520.0,,104712.0,24141.0,88863.0,24413.0,25849.0,113725.0,26188.0,34934.0,16563.0,,73913.0,20000.0,161323.0,114979.0,33861.0,7742.0,26667.0,50000.0,90909.0,32414.0,51707.0,42388.0,44875.0,10367.0
1995,40462.0,23614.0,35340.0,176712.0,90203.0,89888.0,59471.0,44330.0,164396.0,21222.0,100000.0,72491.0,52505.0,18742.0,40000.0,73789.0,,,20000.0,33333.0,31556.0,79309.0,14683.0,45833.0,35845.0,56375.0,29333.0,56934.0,262000.0,147059.0,,56923.0,61644.0,28571.0,29013.0,78125.0,674427.0,47505.0,,,73640.0,48993.0,48101.0,72816.0,66290.0,182503.0,62164.0,13333.0,91085.0,,64641.0,23077.0,91456.0,24205.0,17075.0,119231.0,25000.0,9248.0,15294.0,,68901.0,20000.0,64012.0,105795.0,60790.0,52312.0,25000.0,50000.0,91667.0,31620.0,48000.0,29683.0,44978.0,29436.0
1996,94090.0,72656.0,94711.0,134247.0,69717.0,64985.0,59620.0,51432.0,157956.0,35402.0,58065.0,70980.0,51741.0,18338.0,64286.0,95096.0,,,30000.0,42000.0,27079.0,73558.0,13169.0,54167.0,77469.0,56921.0,32807.0,63841.0,233636.0,140845.0,,61667.0,84893.0,35294.0,28993.0,64516.0,495240.0,46598.0,,,40580.0,41295.0,61628.0,72721.0,78663.0,165018.0,49276.0,12000.0,116291.0,,109883.0,25000.0,91156.0,23773.0,49970.0,124038.0,41176.0,41129.0,14706.0,,79709.0,23750.0,82405.0,129942.0,44202.0,65105.0,37500.0,46667.0,92520.0,59435.0,47344.0,48438.0,45263.0,12224.0
1997,99661.0,47536.0,38509.0,126389.0,79194.0,76914.0,59758.0,26200.0,156494.0,28297.0,65231.0,71027.0,51227.0,18510.0,31590.0,69618.0,,,10000.0,26500.0,35833.0,76196.0,11754.0,41667.0,81162.0,19538.0,33571.0,75072.0,147250.0,120017.0,,70558.0,57986.0,45000.0,28891.0,68000.0,341488.0,46154.0,,,91500.0,50020.0,42721.0,72834.0,76880.0,131987.0,14063.0,15000.0,94324.0,,98462.0,23607.0,88235.0,21889.0,15601.0,104999.0,34132.0,21403.0,25000.0,,82378.0,26667.0,145612.0,165397.0,50266.0,52539.0,37500.0,52503.0,92308.0,28940.0,45962.0,25242.0,45143.0,14649.0
1998,54040.0,67432.0,54148.0,150014.0,72284.0,67989.0,61149.0,18632.0,156706.0,33471.0,68548.0,69562.0,50820.0,18539.0,50568.0,90596.0,,,20000.0,77222.0,29063.0,58931.0,10000.0,48780.0,48397.0,66327.0,61389.0,85882.0,149750.0,91904.0,111111.0,85016.0,59877.0,40741.0,28770.0,104000.0,240441.0,46667.0,,,39524.0,88525.0,46123.0,72940.0,80614.0,141013.0,28187.0,13040.0,76318.0,,50257.0,23077.0,87059.0,24350.0,25643.0,93529.0,22619.0,16118.0,27000.0,,87698.0,26667.0,124279.0,128367.0,51787.0,49667.0,36667.0,99191.0,91899.0,42478.0,43556.0,31254.0,45361.0,13723.0
