,Jamaica,Bhutan,Eritrea,Dominica,Madagascar,Pakistan,Samoa,Nepal,Ethiopia,Kenya,Guyana,Bangladesh,Italy,Zambia,Solomon Islands,Mauritius,Papua New Guinea,Comoros,Tunisia,Albania,Tonga,China,Burkina Faso,Serbia and Montenegro,Niger,"China, Hong Kong SAR",Morocco,Saint Lucia,Argentina,Colombia,Spain,Lebanon,Malawi,India,Syrian Arab Republic,Austria,Ecuador,Indonesia,Wallis and Futuna Islands,Ethiopia PDR,Thailand,"China, Macao SAR",Melanesia,Togo,Malaysia,Georgia,Greece,Vanuatu,Timor-Leste,Democratic Republic of the Congo,Nigeria,Polynesia,Micronesia,Zimbabwe,Hungary,Turkey,Dominican Republic,Kyrgyzstan,Bolivia (Plurinational State of),Occupied Palestinian Territory,Grenada,Saint Vincent and the Grenadines,Peru,Romania,Iran (Islamic Republic of),Mexico,Kuwait,"China, mainland",Sierra Leone,Sri Lanka,Cyprus,Guam,Uzbekistan,Côte d'Ivoire,Rwanda,Bulgaria,Myanmar,Guatemala
1973,102.0,380.0,,-1.0,15.0,3555.0,40.0,-1.0,,1500.0,,26298.0,,-1.0,-1.0,67.0,40.0,-1.0,60.0,-1.0,79.0,90.0,-1.0,,3000.0,90.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,355300.0,369.0,-1.0,-1.0,-1.0,4.0,800.0,2000.0,,42.0,-1.0,-1.0,,,2.0,-1.0,,1800.0,123.0,,500.0,-1.0,9220.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,3.0,-1.0,-1.0,2900.0,,,,-1.0,30.0,-1.0,-1.0,-1.0
1974,115.0,380.0,,-1.0,15.0,2853.0,40.0,-1.0,,1500.0,,25016.0,,-1.0,-1.0,93.0,215.0,-1.0,60.0,-1.0,80.0,90.0,-1.0,,2600.0,90.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,324900.0,519.0,-1.0,-1.0,-1.0,4.0,800.0,2300.0,,217.0,-1.0,-1.0,,,2.0,-1.0,,1500.0,124.0,,500.0,-1.0,11025.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,3.0,-1.0,-1.0,2900.0,,,,-1.0,30.0,-1.0,-1.0,-1.0
1975,170.0,400.0,,-1.0,15.0,3237.0,40.0,-1.0,,1500.0,,25345.0,,-1.0,-1.0,49.0,240.0,-1.0,250.0,-1.0,80.0,90.0,-1.0,,2800.0,90.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,314200.0,1674.0,-1.0,-1.0,-1.0,4.0,1000.0,2300.0,,242.0,-1.0,-1.0,,,2.0,-1.0,,2600.0,124.0,,500.0,-1.0,16698.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,3.0,-1.0,-1.0,2900.0,25.0,,,-1.0,27.0,-1.0,-1.0,-1.0
1976,109.0,400.0,,-1.0,15.0,2861.0,40.0,-1.0,,1500.0,,23194.0,,-1.0,-1.0,56.0,250.0,-1.0,750.0,-1.0,80.0,90.0,-1.0,,1700.0,90.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,330200.0,1729.0,-1.0,-1.0,-1.0,5.0,300.0,2300.0,,252.0,-1.0,-1.0,,,2.0,-1.0,,2600.0,125.0,,500.0,-1.0,10318.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,2.0,-1.0,-1.0,2900.0,35.0,,,-1.0,36.0,-1.0,-1.0,-1.0
1977,111.0,400.0,,-1.0,15.0,3000.0,40.0,-1.0,,1500.0,,23576.0,,-1.0,-1.0,23.0,155.0,-1.0,750.0,-1.0,80.0,90.0,-1.0,,600.0,90.0,5500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,584600.0,1542.0,-1.0,-1.0,-1.0,5.0,500.0,2300.0,,157.0,-1.0,-1.0,,,2.0,-1.0,,4100.0,125.0,,600.0,-1.0,12719.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,3.0,-1.0,-1.0,2900.0,10.0,,,-1.0,40.0,-1.0,-1.0,-1.0
1978,151.0,410.0,,-1.0,15.0,4200.0,40.0,-1.0,,1500.0,,23570.0,,-1.0,-1.0,43.0,290.0,-1.0,630.0,-1.0,80.0,90.0,-1.0,,2145.0,90.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,473600.0,1808.0,-1.0,-1.0,-1.0,5.0,1000.0,2700.0,,292.0,-1.0,-1.0,,,2.0,-1.0,,2800.0,125.0,,600.0,-1.0,12717.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,3.0,-1.0,-1.0,2900.0,,,,-1.0,46.0,-1.0,-1.0,-1.0
1979,120.0,420.0,,-1.0,15.0,6600.0,40.0,-1.0,,1500.0,,22888.0,,-1.0,-1.0,30.0,335.0,-1.0,870.0,-1.0,80.0,100.0,-1.0,,1285.0,100.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,368700.0,1800.0,-1.0,-1.0,-1.0,5.0,400.0,2700.0,,337.0,-1.0,-1.0,,,2.0,-1.0,,2900.0,125.0,,750.0,-1.0,20892.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,4.0,-1.0,-1.0,2900.0,,,,-1.0,52.0,-1.0,-1.0,-1.0
1980,110.0,420.0,,-1.0,15.0,9300.0,40.0,-1.0,,1500.0,,22777.0,,-1.0,-1.0,25.0,335.0,-1.0,870.0,-1.0,80.0,100.0,-1.0,,1200.0,100.0,2800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,378600.0,1900.0,-1.0,-1.0,-1.0,5.0,850.0,2700.0,,337.0,-1.0,-1.0,,,2.0,-1.0,,2900.0,125.0,,750.0,-1.0,18682.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,226.0,4.0,-1.0,-1.0,2900.0,,,,-1.0,60.0,-1.0,-1.0,-1.0
1981,110.0,425.0,,-1.0,15.0,9128.0,60.0,-1.0,,1500.0,,22364.0,,150.0,-1.0,10.0,360.0,-1.0,1100.0,-1.0,80.0,100.0,-1.0,,1400.0,100.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,450500.0,2100.0,-1.0,-1.0,-1.0,4.0,900.0,3600.0,,362.0,-1.0,-1.0,,,2.0,-1.0,,2900.0,144.0,,750.0,-1.0,15220.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,634.0,5.0,-1.0,-1.0,2900.0,,,,-1.0,66.0,-1.0,-1.0,-1.0
1982,100.0,425.0,,-1.0,15.0,8153.0,80.0,-1.0,,1500.0,,22060.0,,150.0,-1.0,12.0,240.0,-1.0,1250.0,-1.0,80.0,100.0,-1.0,,1400.0,100.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,435100.0,2100.0,-1.0,-1.0,-1.0,4.0,1000.0,5000.0,,242.0,-1.0,-1.0,,,2.0,-1.0,,3000.0,164.0,,800.0,-1.0,32717.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,3700.0,663.0,5.0,-1.0,-1.0,2800.0,,,,-1.0,66.0,-1.0,-1.0,-1.0
1983,100.0,430.0,,-1.0,15.0,8300.0,100.0,-1.0,,1500.0,,21127.0,,300.0,-1.0,27.0,240.0,-1.0,2300.0,-1.0,80.0,100.0,-1.0,,1500.0,100.0,3700.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,529800.0,2100.0,-1.0,-1.0,-1.0,4.0,1000.0,5000.0,,242.0,-1.0,-1.0,,,2.0,-1.0,,3000.0,184.0,,850.0,-1.0,89897.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,8000.0,392.0,5.0,-1.0,-1.0,2800.0,,,,-1.0,70.0,-1.0,-1.0,-1.0
1984,110.0,450.0,,-1.0,15.0,9000.0,130.0,-1.0,,1500.0,,21027.0,,300.0,-1.0,37.0,250.0,-1.0,1700.0,-1.0,80.0,110.0,-1.0,,600.0,110.0,3700.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,490600.0,2100.0,-1.0,-1.0,-1.0,4.0,1300.0,4500.0,,252.0,-1.0,-1.0,,,2.0,-1.0,,3000.0,214.0,,1000.0,-1.0,131987.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,10000.0,854.0,5.0,-1.0,-1.0,3100.0,,,,-1.0,72.0,-1.0,-1.0,-1.0
1985,90.0,450.0,,25.0,15.0,9677.0,160.0,2200.0,,1500.0,,21610.0,,450.0,50.0,30.0,260.0,30.0,1800.0,-1.0,83.0,18120.0,3000.0,,750.0,120.0,3700.0,260.0,1500.0,-1.0,5200.0,400.0,1200.0,491300.0,2200.0,-1.0,375.0,1000.0,4.0,900.0,3000.0,,312.0,-1.0,-1.0,,,2.0,-1.0,,3000.0,247.0,,1000.0,500.0,72877.0,1500.0,,-1.0,-1.0,160.0,120.0,-1.0,,11692.0,1050.0,5.0,18000.0,500.0,2900.0,,,,1000.0,75.0,-1.0,-1.0,665.0
1986,100.0,450.0,,34.0,15.0,10700.0,200.0,2500.0,,1500.0,,21600.0,,600.0,50.0,20.0,270.0,32.0,1800.0,-1.0,80.0,18120.0,3000.0,,800.0,120.0,3700.0,400.0,1500.0,-1.0,5200.0,400.0,1000.0,505100.0,2250.0,-1.0,420.0,700.0,4.0,900.0,2300.0,,323.0,-1.0,-1.0,,,3.0,-1.0,,3000.0,284.0,,1000.0,500.0,47794.0,1500.0,,-1.0,-1.0,160.0,200.0,-1.0,,16976.0,215.0,1.0,18000.0,365.0,2555.0,,,,1000.0,77.0,-1.0,-1.0,200.0
1987,110.0,450.0,,10.0,15.0,11100.0,220.0,3150.0,,1500.0,,22416.0,,850.0,50.0,13.0,270.0,45.0,1800.0,-1.0,80.0,18125.0,3000.0,,1300.0,125.0,3700.0,220.0,1500.0,-1.0,5200.0,400.0,1000.0,702100.0,2300.0,-1.0,400.0,1000.0,4.0,900.0,2300.0,,323.0,-1.0,-1.0,,,3.0,-1.0,,3000.0,304.0,,1000.0,500.0,63673.0,1500.0,,31.0,-1.0,160.0,200.0,-1.0,,25603.0,393.0,2.0,18000.0,475.0,2334.0,,,,1000.0,80.0,-1.0,-1.0,200.0
1988,100.0,455.0,,10.0,15.0,9400.0,240.0,3150.0,,1500.0,,22436.0,,1000.0,50.0,8.0,270.0,45.0,1800.0,-1.0,80.0,18130.0,3000.0,,1300.0,130.0,3900.0,220.0,1500.0,-1.0,5200.0,400.0,800.0,483600.0,2800.0,-1.0,400.0,1000.0,4.0,900.0,2300.0,,323.0,-1.0,-1.0,,,3.0,-1.0,,3000.0,324.0,,1000.0,500.0,96182.0,1500.0,,31.0,-1.0,160.0,300.0,-1.0,,26000.0,652.0,3.0,18000.0,260.0,2280.0,,,,1000.0,83.0,-1.0,-1.0,200.0
1989,150.0,460.0,,10.0,15.0,10600.0,253.0,3150.0,,1500.0,,22258.0,,1100.0,50.0,10.0,270.0,45.0,1800.0,-1.0,80.0,18133.0,3000.0,,1663.0,133.0,3900.0,220.0,1500.0,-1.0,5200.0,400.0,800.0,465400.0,2500.0,-1.0,500.0,500.0,4.0,900.0,2300.0,,323.0,-1.0,-1.0,,,3.0,-1.0,,3000.0,337.0,,1000.0,650.0,51470.0,1500.0,,34.0,-1.0,160.0,250.0,-1.0,,26000.0,854.0,4.0,18000.0,260.0,2160.0,,,,1000.0,85.0,-1.0,-1.0,200.0
1990,150.0,465.0,,35.0,16.0,10500.0,220.0,3356.0,,1524.0,-1.0,23273.0,,1400.0,50.0,10.0,186.0,46.0,1800.0,-1.0,80.0,14786.0,3599.0,,6500.0,135.0,3900.0,240.0,1231.0,-1.0,4700.0,400.0,813.0,497600.0,2300.0,-1.0,410.0,1700.0,2.0,914.0,2000.0,,240.0,-1.0,-1.0,,-1.0,4.0,107.0,-1.0,3600.0,302.0,,1100.0,590.0,20258.0,1637.0,,38.0,-1.0,180.0,275.0,-1.0,-1.0,27703.0,691.0,8.0,14651.0,312.0,1820.0,0.0,,,1200.0,88.0,-1.0,1300.0,164.0
1991,159.0,470.0,,10.0,16.0,8900.0,200.0,1382.0,,1943.0,-1.0,22711.0,,1819.0,50.0,11.0,280.0,45.0,1800.0,-1.0,80.0,15076.0,2650.0,,2442.0,140.0,3900.0,230.0,1520.0,-1.0,4300.0,400.0,799.0,470000.0,2000.0,-1.0,150.0,1200.0,5.0,870.0,1840.0,,334.0,-1.0,-1.0,,-1.0,4.0,17.0,-1.0,1708.0,285.0,,1255.0,586.0,16621.0,1393.0,,46.0,-1.0,110.0,300.0,-1.0,-1.0,26146.0,794.0,10.0,14936.0,246.0,1610.0,0.0,,,1102.0,91.0,-1.0,1600.0,231.0
1992,233.0,475.0,,30.0,16.0,10700.0,150.0,1500.0,,1922.0,-1.0,22689.0,,2100.0,50.0,11.0,285.0,45.0,1865.0,-1.0,80.0,15466.0,2677.0,,2500.0,145.0,3900.0,229.0,1550.0,-1.0,3500.0,398.0,750.0,504800.0,2000.0,-1.0,250.0,900.0,5.0,905.0,1788.0,,340.0,200.0,-1.0,-1.0,-1.0,5.0,46.0,-1.0,1828.0,235.0,,1285.0,601.0,22511.0,1411.0,100.0,51.0,-1.0,125.0,309.0,-1.0,-1.0,28033.0,612.0,25.0,15321.0,230.0,1350.0,0.0,,-1.0,1105.0,90.0,-1.0,1800.0,260.0
1993,227.0,480.0,1250.0,10.0,16.0,11373.0,160.0,1600.0,1600.0,1990.0,-1.0,22539.0,-1.0,2436.0,50.0,12.0,286.0,45.0,1900.0,-1.0,80.0,16176.0,2705.0,-1.0,2700.0,150.0,3900.0,220.0,1663.0,-1.0,2900.0,399.0,800.0,613200.0,2000.0,-1.0,350.0,880.0,5.0,,1650.0,,341.0,210.0,-1.0,-1.0,,5.0,416.0,-1.0,1937.0,245.0,-1.0,1300.0,569.0,27954.0,1442.0,94.0,55.0,-1.0,126.0,315.0,-1.0,-1.0,33660.0,472.0,36.0,16026.0,238.0,730.0,0.0,-1.0,-1.0,1109.0,88.0,1000.0,2000.0,275.0
1994,220.0,493.0,1300.0,10.0,16.0,11795.0,150.0,1524.0,3546.0,1700.0,-1.0,22600.0,-1.0,2800.0,50.0,11.0,290.0,46.0,1948.0,-1.0,80.0,16540.0,2732.0,-1.0,3000.0,144.0,3900.0,228.0,1626.0,-1.0,2400.0,402.0,750.0,579000.0,2016.0,-1.0,200.0,900.0,5.0,,1724.0,-1.0,346.0,211.0,-1.0,3000.0,,6.0,190.0,-1.0,2053.0,235.0,-1.0,1400.0,572.0,25578.0,1450.0,90.0,60.0,386.0,123.0,150.0,-1.0,-1.0,31931.0,324.0,40.0,16396.0,204.0,1170.0,0.0,-1.0,-1.0,1113.0,87.0,802.0,2200.0,294.0
1995,296.0,493.0,1250.0,15.0,16.0,11405.0,100.0,1600.0,4774.0,1500.0,-1.0,23100.0,-1.0,3500.0,50.0,12.0,290.0,46.0,1981.0,-1.0,80.0,17225.0,2760.0,-1.0,3139.0,144.0,3900.0,227.0,1741.0,-1.0,2184.0,402.0,800.0,547000.0,2013.0,-1.0,100.0,880.0,5.0,,1718.0,-1.0,346.0,212.0,-1.0,4000.0,,6.0,265.0,-1.0,2162.0,185.0,-1.0,2500.0,666.0,23950.0,1461.0,86.0,61.0,500.0,120.0,180.0,90.0,-1.0,30281.0,218.0,35.0,17081.0,270.0,1310.0,0.0,-1.0,-1.0,1117.0,86.0,500.0,2300.0,350.0
1996,290.0,499.0,1200.0,12.0,15.0,11360.0,100.0,1500.0,5953.0,1600.0,-1.0,23100.0,-1.0,4200.0,50.0,12.0,300.0,46.0,2000.0,200.0,80.0,18271.0,2787.0,,3186.0,144.0,3900.0,225.0,1620.0,-1.0,2031.0,410.0,850.0,588000.0,2011.0,-1.0,110.0,950.0,5.0,,1722.0,,356.0,214.0,-1.0,4169.0,,6.0,180.0,-1.0,2274.0,185.0,-1.0,1600.0,711.0,22996.0,1471.0,83.0,62.0,530.0,118.0,210.0,180.0,-1.0,32412.0,457.0,32.0,18127.0,304.0,1370.0,0.0,-1.0,-1.0,1121.0,85.0,1000.0,2600.0,200.0
1997,176.0,505.0,1250.0,17.0,15.0,11200.0,100.0,1800.0,6897.0,1700.0,-1.0,23100.0,-1.0,5500.0,50.0,12.0,310.0,46.0,2064.0,230.0,80.0,18284.0,2815.0,,3042.0,144.0,3900.0,223.0,1598.0,-1.0,2004.0,415.0,900.0,647000.0,2008.0,-1.0,50.0,950.0,5.0,,1733.0,,367.0,215.0,-1.0,4188.0,,7.0,320.0,-1.0,2383.0,185.0,-1.0,900.0,794.0,24581.0,1466.0,80.0,63.0,146.0,117.0,200.0,133.0,-1.0,35465.0,297.0,30.0,18140.0,314.0,1300.0,0.0,-1.0,-1.0,1125.0,83.0,500.0,3200.0,280.0
1998,246.0,511.0,1342.0,19.0,20.0,11102.0,100.0,1859.0,5500.0,1800.0,-1.0,23100.0,-1.0,5523.0,55.0,12.0,311.0,47.0,2100.0,1400.0,80.0,18641.0,2842.0,,3274.0,141.0,3900.0,221.0,1580.0,-1.0,1963.0,418.0,850.0,686500.0,2006.0,-1.0,200.0,1000.0,5.0,,1745.0,,373.0,217.0,-1.0,4200.0,,7.0,150.0,-1.0,2493.0,185.0,-1.0,800.0,855.0,31592.0,1478.0,77.0,64.0,134.0,116.0,140.0,459.0,-1.0,37509.0,300.0,30.0,18500.0,332.0,1240.0,0.0,-1.0,200.0,1129.0,82.0,741.0,3500.0,250.0
1999,286.0,517.0,1402.0,20.0,30.0,11160.0,100.0,2000.0,9000.0,1700.0,-1.0,23067.0,-1.0,5600.0,55.0,12.0,320.0,47.0,2155.0,550.0,80.0,19140.0,2870.0,,3187.0,140.0,3900.0,221.0,1530.0,1450.0,2400.0,420.0,900.0,556300.0,2003.0,-1.0,100.0,2000.0,5.0,,1700.0,,382.0,218.0,-1.0,4203.0,,7.0,160.0,-1.0,2600.0,185.0,-1.0,900.0,906.0,25292.0,1600.0,76.0,65.0,124.0,121.0,160.0,523.0,-1.0,30745.0,286.0,32.0,19000.0,350.0,1230.0,0.0,-1.0,198.0,1133.0,81.0,742.0,3300.0,400.0
2000,240.0,505.0,1433.0,12.0,35.0,10963.0,100.0,1985.0,11500.0,1600.0,,22663.0,-1.0,4500.0,60.0,12.0,320.0,47.0,2175.0,200.0,80.0,20136.0,2897.0,,3066.0,136.0,3900.0,220.0,1560.0,1502.0,2442.0,425.0,850.0,545300.0,2001.0,-1.0,110.0,3000.0,5.0,,1800.0,,387.0,220.0,-1.0,6000.0,,7.0,180.0,-1.0,2708.0,185.0,-1.0,744.0,1168.0,22392.0,1513.0,72.0,66.0,192.0,122.0,200.0,709.0,-1.0,30136.0,378.0,34.0,20000.0,367.0,1100.0,0.0,-1.0,209.0,1137.0,81.0,736.0,3250.0,700.0
