,Mauritania,Kenya,"China, Taiwan Province of",Belarus,Croatia,Saudi Arabia,Tonga,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Australia,United Republic of Tanzania,Thailand,Uzbekistan,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Republic of Korea,Trinidad and Tobago,Melanesia,New Caledonia,Australia & New Zealand,Yugoslav SFR,Guatemala,French Polynesia,Algeria,United Arab Emirates,Senegal,Tajikistan,Saint Lucia,Ukraine,Israel,Dominica,Fiji,Cabo Verde,Turkmenistan,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Sudan (former),Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,South Africa,Suriname,Portugal,Namibia,"China, mainland",Russian Federation,Mali,Costa Rica,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Grenada,Armenia,South Sudan,El Salvador,Cook Islands,Canada,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Bahrain,Belize,Bulgaria,United States of America,Iran (Islamic Republic of),Sudan,Somalia,Pakistan,Kuwait,Cuba,Kyrgyzstan,Argentina,Paraguay,Georgia,India,Guadeloupe,Austria,Niger,Morocco,Qatar,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Viet Nam,Tunisia,Albania,Slovakia,Jamaica,Solomon Islands,Yemen,France,Italy,Polynesia,Réunion,Panama,Oman,Guyana,Republic of Moldova,Turkey
1971,110.0,-1.0,14827.0,-1,-1.0,25050.0,45.0,11760.0,38404.0,115748.0,-1.0,2106.0,-1.0,41399.0,-1.0,-1.0,-1.0,24800.0,7334.0,-1.0,18.0,-1.0,2166.0,40404.0,-1.0,130.0,21610.0,380.0,-1.0,-1.0,-1.0,-1.0,7025.0,-1,-1.0,-1.0,-1.0,1000.0,-1.0,40328.0,-1.0,304827.0,-1.0,160.0,5768.0,2700.0,2264.0,-1.0,-1.0,6400.0,7960.0,-1.0,-1.0,2800.0,-1.0,330.0,-1.0,290000.0,-1.0,4500.0,-1.0,-1.0,-1.0,2784.0,1700.0,-1.0,-1.0,-1.0,2600.0,-1.0,-1.0,-1,1558.0,25.0,-1.0,40900.0,10900.0,53000.0,3150.0,1338.0,17200.0,60.0,-1.0,-1.0,22189.0,102141.0,100000.0,-1.0,-1.0,11800.0,-1.0,-1.0,-1.0,14000.0,11500.0,-1.0,9500.0,50.0,-1.0,-1.0,7200.0,-1.0,24823.0,510000.0,-1.0,2378.0,697.0,5400.0,-1.0,6100.0,12000.0,-1.0,-1.0,300.0,18.0,1052.0,300.0,27096.0,200.0,-1.0,35.0,-1.0,-1.0,-1.0,125000.0
1972,110.0,-1.0,13908.0,-1,-1.0,11248.0,48.0,14480.0,56678.0,118636.0,-1.0,2332.0,-1.0,36480.0,-1.0,-1.0,-1.0,24600.0,7344.0,-1.0,19.0,-1.0,2402.0,42982.0,-1.0,130.0,22110.0,220.0,-1.0,-1.0,-1.0,-1.0,9680.0,-1,-1.0,-1.0,-1.0,1000.0,-1.0,40328.0,-1.0,283908.0,-1.0,170.0,8941.0,2800.0,2661.0,-1.0,-1.0,6300.0,8500.0,-1.0,-1.0,2600.0,-1.0,300.0,-1.0,270000.0,-1.0,5000.0,-1.0,-1.0,-1.0,2970.0,1700.0,-1.0,-1.0,-1.0,2400.0,-1.0,-1.0,-1,1550.0,26.0,-1.0,40500.0,10900.0,49250.0,3150.0,1204.0,17400.0,70.0,-1.0,-1.0,22641.0,108292.0,109900.0,-1.0,-1.0,13100.0,-1.0,-1.0,-1.0,13180.0,11700.0,-1.0,9900.0,50.0,-1.0,-1.0,7200.0,-1.0,25593.0,560000.0,-1.0,1228.0,757.0,6900.0,-1.0,5900.0,12000.0,-1.0,-1.0,211.0,19.0,567.0,250.0,26830.0,204.0,-1.0,35.0,-1.0,-1.0,-1.0,127000.0
1973,120.0,-1.0,13570.0,-1,-1.0,2325.0,50.0,13120.0,39468.0,104123.0,-1.0,2100.0,-1.0,42047.0,-1.0,-1.0,-1.0,23500.0,8027.0,-1.0,19.0,-1.0,2180.0,44470.0,-1.0,125.0,20400.0,200.0,-1.0,-1.0,-1.0,-1.0,6690.0,-1,-1.0,-1.0,-1.0,1000.0,-1.0,43688.0,-1.0,313570.0,-1.0,180.0,12350.0,2800.0,2605.0,-1.0,-1.0,6200.0,9200.0,-1.0,-1.0,2700.0,-1.0,350.0,-1.0,300000.0,-1.0,5000.0,-1.0,-1.0,-1.0,2653.0,1700.0,-1.0,-1.0,-1.0,2200.0,-1.0,-1.0,-1,1550.0,27.0,-1.0,39000.0,10900.0,44111.0,3181.0,1137.0,22300.0,80.0,-1.0,-1.0,20221.0,97285.0,120000.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1.0,15400.0,12000.0,-1.0,10000.0,40.0,-1.0,-1.0,7200.0,-1.0,31956.0,600000.0,-1.0,919.0,863.0,9800.0,-1.0,5800.0,12100.0,-1.0,-1.0,199.0,19.0,809.0,276.0,26419.0,202.0,-1.0,60.0,-1.0,-1.0,-1.0,133000.0
1974,200.0,-1.0,11081.0,-1,-1.0,10077.0,55.0,14000.0,72757.0,84706.0,-1.0,1907.0,-1.0,45016.0,-1.0,-1.0,-1.0,26000.0,8756.0,-1.0,20.0,-1.0,1997.0,43302.0,-1.0,100.0,20770.0,104.0,-1.0,-1.0,-1.0,-1.0,7290.0,-1,-1.0,-1.0,-1.0,1000.0,-1.0,45789.0,-1.0,301081.0,-1.0,217.0,14015.0,2900.0,2471.0,-1.0,-1.0,6300.0,8600.0,-1.0,-1.0,2300.0,-1.0,330.0,-1.0,290000.0,-1.0,5000.0,-1.0,-1.0,-1.0,2627.0,1700.0,-1.0,-1.0,-1.0,2700.0,-1.0,-1.0,-1,1550.0,28.0,-1.0,37200.0,11200.0,29351.0,3856.0,1204.0,25600.0,90.0,4.0,-1.0,22821.0,86075.0,130000.0,-1.0,-1.0,14400.0,-1.0,-1.0,-1.0,11800.0,12600.0,-1.0,10200.0,40.0,-1.0,-1.0,7200.0,-1.0,25939.0,500000.0,-1.0,963.0,1093.0,8007.0,-1.0,6200.0,12300.0,-1.0,-1.0,239.0,20.0,890.0,266.0,23985.0,183.0,-1.0,85.0,-1.0,-1.0,-1.0,141000.0
1975,200.0,-1.0,13003.0,-1,-1.0,12998.0,55.0,13440.0,72014.0,82719.0,-1.0,1721.0,-1.0,49752.0,-1.0,-1.0,-1.0,27482.0,6892.0,-1.0,20.0,-1.0,1821.0,44560.0,-1.0,90.0,21950.0,97.0,-1.0,-1.0,-1.0,-1.0,7940.0,-1,-1.0,-1.0,-1.0,1150.0,-1.0,46630.0,-1.0,313003.0,-1.0,100.0,13980.0,2950.0,2000.0,-1.0,-1.0,6700.0,6700.0,-1.0,-1.0,2200.0,-1.0,330.0,-1.0,300000.0,-1.0,5000.0,-1.0,-1.0,-1.0,2066.0,1800.0,-1.0,-1.0,-1.0,2300.0,-1.0,-1.0,-1,1556.0,29.0,-1.0,36200.0,10900.0,30751.0,3650.0,803.0,29500.0,100.0,3.0,-1.0,22675.0,85266.0,140000.0,-1.0,-1.0,14300.0,-1.0,-1.0,-1.0,13700.0,13600.0,-1.0,10500.0,50.0,-1.0,-1.0,7300.0,-1.0,20995.0,500000.0,-1.0,1195.0,1187.0,4974.0,-1.0,6600.0,12500.0,-1.0,-1.0,214.0,20.0,1012.0,249.0,24248.0,174.0,-1.0,120.0,-1.0,-1.0,-1.0,140000.0
1976,400.0,-1.0,14331.0,-1,-1.0,12460.0,55.0,8900.0,79911.0,67378.0,-1.0,1939.0,-1.0,53852.0,-1.0,-1.0,-1.0,21200.0,10617.0,-1.0,20.0,-1.0,2039.0,45977.0,-1.0,100.0,23140.0,120.0,-1.0,-1.0,-1.0,-1.0,6410.0,-1,-1.0,-1.0,-1.0,1250.0,-1.0,51784.0,-1.0,314331.0,-1.0,400.0,13883.0,2970.0,2000.0,-1.0,-1.0,7500.0,9038.0,-1.0,-1.0,3200.0,-1.0,330.0,-1.0,300000.0,-1.0,5500.0,-1.0,-1.0,-1.0,2116.0,1800.0,-1.0,-1.0,-1.0,3900.0,-1.0,-1.0,-1,1469.0,30.0,-1.0,35800.0,16500.0,44793.0,4510.0,843.0,29600.0,100.0,4.0,-1.0,19913.0,94778.0,145000.0,-1.0,-1.0,12800.0,1.0,-1.0,-1.0,12890.0,14000.0,-1.0,10700.0,60.0,-1.0,-1.0,7300.0,-1.0,23663.0,500000.0,-1.0,1456.0,1288.0,3332.0,-1.0,7000.0,12700.0,-1.0,-1.0,262.0,20.0,1214.0,242.0,24642.0,185.0,-1.0,120.0,-1.0,-1.0,-1.0,141000.0
1977,400.0,-1.0,16672.0,-1,-1.0,14401.0,55.0,12970.0,87728.0,65039.0,-1.0,2346.0,-1.0,34999.0,-1.0,-1.0,-1.0,22400.0,9427.0,-1.0,21.0,-1.0,2446.0,45700.0,-1.0,100.0,26490.0,136.0,-1.0,-1.0,-1.0,-1.0,5820.0,-1,-1.0,-1.0,-1.0,1350.0,-1.0,48163.0,-1.0,326672.0,-1.0,420.0,13746.0,3000.0,2000.0,-1.0,-1.0,9000.0,9698.0,-1.0,-1.0,3000.0,-1.0,330.0,-1.0,310000.0,-1.0,5500.0,-1.0,-1.0,-1.0,2427.0,2000.0,-1.0,-1.0,-1.0,3800.0,-1.0,-1.0,-1,1890.0,31.0,-1.0,34100.0,11400.0,45649.0,4652.0,763.0,25900.0,100.0,4.0,-1.0,20821.0,92027.0,145000.0,-1.0,-1.0,11200.0,2.0,-1.0,-1.0,11800.0,10000.0,-1.0,10900.0,60.0,-1.0,-1.0,7400.0,208.0,28185.0,500000.0,-1.0,1259.0,1398.0,3125.0,-1.0,7500.0,10400.0,-1.0,-1.0,530.0,21.0,1300.0,229.0,23537.0,186.0,-1.0,178.0,400.0,-1.0,-1.0,132000.0
1978,500.0,-1.0,18331.0,-1,-1.0,10494.0,57.0,11790.0,85853.0,69429.0,-1.0,2701.0,-1.0,38532.0,-1.0,-1.0,-1.0,23100.0,10218.0,-1.0,22.0,-1.0,2818.0,46374.0,-1.0,100.0,25680.0,255.0,-1.0,-1.0,-1.0,-1.0,8020.0,-1,-1.0,-1.0,-1.0,1400.0,-1.0,51236.0,-1.0,368331.0,-1.0,450.0,13862.0,3000.0,2000.0,-1.0,-1.0,10000.0,9626.0,-1.0,-1.0,2600.0,-1.0,330.0,-1.0,350000.0,-1.0,5500.0,-1.0,-1.0,-1.0,2520.0,2500.0,-1.0,-1.0,-1.0,3800.0,-1.0,-1.0,-1,1680.0,32.0,-1.0,33500.0,11200.0,44550.0,3940.0,669.0,28200.0,117.0,6.0,-1.0,24614.0,85956.0,145000.0,-1.0,-1.0,12300.0,5.0,-1.0,-1.0,13000.0,12500.0,-1.0,11000.0,80.0,-1.0,-1.0,7500.0,192.0,33134.0,600000.0,-1.0,2033.0,1517.0,4126.0,-1.0,8000.0,10000.0,-1.0,-1.0,393.0,22.0,1350.0,225.0,23945.0,189.0,-1.0,191.0,410.0,-1.0,-1.0,143000.0
1979,700.0,-1.0,19462.0,-1,-1.0,12053.0,60.0,15160.0,69731.0,66305.0,-1.0,2510.0,-1.0,45945.0,-1.0,-1.0,-1.0,21300.0,12464.0,6.0,22.0,-1.0,2637.0,49567.0,-1.0,100.0,27030.0,351.0,-1.0,-1.0,-1.0,-1.0,5580.0,-1,-1.0,-1.0,-1.0,1500.0,-1.0,52531.0,-1.0,359462.0,-1.0,480.0,13880.0,3000.0,2000.0,-1.0,-1.0,12200.0,11634.0,-1.0,-1.0,2800.0,-1.0,330.0,-1.0,340000.0,-1.0,5500.0,-1.0,-1.0,-1.0,2544.0,3000.0,-1.0,-1.0,-1.0,3800.0,-1.0,-1.0,-1,1925.0,33.0,-1.0,33200.0,11100.0,34300.0,4128.0,983.0,29600.0,127.0,12.0,-1.0,25267.0,83083.0,150000.0,-1.0,-1.0,13300.0,6.0,-1.0,-1.0,12100.0,13000.0,-1.0,11500.0,80.0,-1.0,-1.0,7600.0,220.0,35587.0,500000.0,-1.0,1610.0,1605.0,1299.0,-1.0,8500.0,14000.0,-1.0,-1.0,249.0,22.0,1948.0,204.0,25159.0,193.0,-1.0,202.0,410.0,-1.0,-1.0,152000.0
1980,720.0,-1.0,19923.0,-1,-1.0,16487.0,63.0,14920.0,100410.0,69739.0,-1.0,2487.0,-1.0,42055.0,-1.0,-1.0,-1.0,19900.0,15688.0,10.0,23.0,-1.0,2647.0,46577.0,1115.0,100.0,28350.0,818.0,-1.0,-1.0,-1.0,-1.0,5250.0,-1,-1.0,-1.0,-1.0,1592.0,-1.0,50334.0,-1.0,354923.0,-1.0,530.0,14000.0,3146.0,2000.0,-1.0,-1.0,12500.0,10213.0,-1.0,-1.0,1800.0,-1.0,330.0,-1.0,335000.0,-1.0,5500.0,-1.0,-1.0,680.0,2539.0,3200.0,-1.0,-1.0,-1.0,5400.0,-1.0,-1.0,-1,1920.0,34.0,-1.0,33000.0,10700.0,44025.0,4132.0,669.0,29100.0,160.0,11.0,-1.0,22982.0,74665.0,160000.0,-1.0,-1.0,11620.0,20.0,-1.0,-1.0,12400.0,15500.0,-1.0,12000.0,100.0,-1.0,-1.0,7700.0,110.0,29320.0,394000.0,-1.0,2590.0,1986.0,3891.0,-1.0,9000.0,16000.0,-1.0,-1.0,205.0,23.0,1874.0,147.0,22687.0,197.0,-1.0,148.0,410.0,-1.0,-1.0,154000.0
