,Réunion,Indonesia,Seychelles,Turkey,Fiji,Madagascar,Melanesia,Belgium,Mexico,Kenya,Polynesia,Uganda,Papua New Guinea,Comoros,Tonga,China,Cook Islands,"China, mainland",French Polynesia,Guadeloupe,Zimbabwe,Portugal,Malawi
1981,21.0,676.0,,,,1417.0,0.0,,56.0,10.0,22.0,10.0,-1.0,175.0,15.0,-1.0,3.0,-1.0,4.0,3.0,-1.0,,-1.0
1982,22.0,466.0,,,,1815.0,0.0,,166.0,15.0,27.0,10.0,-1.0,270.0,20.0,-1.0,3.0,-1.0,4.0,4.0,-1.0,,-1.0
1983,30.0,617.0,,,,1719.0,0.0,,161.0,10.0,30.0,10.0,-1.0,230.0,23.0,-1.0,3.0,-1.0,4.0,4.0,-1.0,,-1.0
1984,56.0,520.0,,,,2277.0,0.0,,161.0,10.0,25.0,10.0,-1.0,160.0,16.0,-1.0,3.0,-1.0,6.0,4.0,-1.0,,20.0
1985,44.0,1031.0,,,,1400.0,0.0,,47.0,10.0,56.0,10.0,-1.0,200.0,44.0,200.0,3.0,200.0,9.0,6.0,-1.0,,20.0
1986,19.0,1236.0,,,,660.0,0.0,,62.0,10.0,58.0,10.0,-1.0,210.0,45.0,250.0,3.0,250.0,10.0,7.0,-1.0,,20.0
1987,44.0,1836.0,,,,1560.0,0.0,,93.0,10.0,48.0,10.0,-1.0,215.0,36.0,250.0,3.0,250.0,9.0,7.0,-1.0,,20.0
1988,18.0,2453.0,,10.0,,1560.0,0.0,,168.0,10.0,43.0,10.0,-1.0,262.0,30.0,300.0,3.0,300.0,10.0,7.0,-1.0,,20.0
1989,39.0,2009.0,,30.0,,1520.0,0.0,,233.0,10.0,59.0,10.0,-1.0,200.0,35.0,300.0,3.0,300.0,21.0,7.0,-1.0,,20.0
1990,10.0,1262.0,0.0,0.0,,1000.0,-1.0,,195.0,9.0,65.0,7.0,-1.0,250.0,47.0,371.0,3.0,371.0,15.0,8.0,20.0,,14.0
1991,23.0,1184.0,0.0,5.0,,940.0,-1.0,,284.0,8.0,73.0,15.0,-1.0,240.0,48.0,350.0,3.0,350.0,22.0,8.0,50.0,,25.0
1992,32.0,1573.0,0.0,0.0,-1.0,800.0,-1.0,,403.0,8.0,69.0,10.0,-1.0,276.0,50.0,375.0,2.0,375.0,17.0,8.0,10.0,,20.0
1993,93.0,1528.0,0.0,0.0,-1.0,1000.0,-1.0,,445.0,8.0,413.0,15.0,-1.0,283.0,397.0,400.0,1.0,400.0,15.0,8.0,18.0,,25.0
1994,33.0,1770.0,0.0,45.0,-1.0,800.0,-1.0,,167.0,8.0,115.0,20.0,-1.0,131.0,100.0,435.0,2.0,435.0,13.0,8.0,18.0,,20.0
1995,18.0,1958.0,0.0,60.0,-1.0,840.0,-1.0,,207.0,9.0,107.0,15.0,-1.0,160.0,94.0,469.0,2.0,469.0,11.0,8.0,17.0,,22.0
1996,25.0,2051.0,0.0,25.0,-1.0,880.0,-1.0,,299.0,9.0,122.0,25.0,-1.0,130.0,93.0,500.0,2.0,500.0,27.0,9.0,17.0,,25.0
1997,48.0,2045.0,0.0,35.0,-1.0,860.0,-1.0,,135.0,11.0,131.0,30.0,-1.0,150.0,94.0,523.0,1.0,523.0,36.0,9.0,11.0,,20.0
1998,30.0,1900.0,0.0,100.0,-1.0,1000.0,-1.0,,564.0,10.0,159.0,60.0,-1.0,160.0,127.0,550.0,2.0,550.0,30.0,9.0,11.0,-1.0,22.0
1999,26.0,1800.0,0.0,50.0,-1.0,1100.0,-1.0,,353.0,9.0,179.0,40.0,-1.0,140.0,163.0,600.0,0.0,600.0,16.0,9.0,14.0,-1.0,22.0
2000,25.0,1681.0,0.0,100.0,,880.0,-1.0,-1.0,255.0,8.0,165.0,43.0,-1.0,140.0,130.0,650.0,0.0,650.0,35.0,9.0,10.0,-1.0,20.0
2001,34.0,2198.0,0.0,170.0,,920.0,50.0,-1.0,299.0,8.0,160.0,50.0,50.0,140.0,130.0,670.0,0.0,670.0,30.0,9.0,10.0,-1.0,21.0
2002,32.0,2731.0,0.0,126.0,,880.0,225.0,-1.0,189.0,8.0,167.0,70.0,225.0,140.0,130.0,700.0,0.0,700.0,37.0,9.0,10.0,-1.0,21.0
2003,31.0,1656.0,0.0,131.0,,525.0,1000.0,-1.0,257.0,10.0,164.0,100.0,1000.0,110.0,133.0,800.0,0.0,800.0,31.0,10.0,13.0,-1.0,21.0
2004,25.0,2252.0,0.0,100.0,,839.0,1000.0,-1.0,252.0,11.0,188.0,170.0,1000.0,60.0,144.0,900.0,0.0,900.0,44.0,10.0,13.0,-1.0,21.0
2005,23.0,2366.0,0.0,153.0,,2613.0,500.0,-1.0,280.0,11.0,196.0,250.0,500.0,65.0,147.0,1000.0,0.0,1000.0,49.0,10.0,12.0,-1.0,21.0
2006,22.0,3768.0,0.0,170.0,,2534.0,500.0,-1.0,291.0,12.0,165.0,280.0,500.0,75.0,140.0,1200.0,0.0,1200.0,25.0,10.0,12.0,-1.0,21.0
2007,11.0,3177.0,0.0,188.0,,2661.0,550.0,-1.0,637.0,15.0,187.0,450.0,550.0,76.0,150.0,1350.0,0.0,1350.0,37.0,10.0,15.0,-1.0,20.0
2008,12.0,3319.0,0.0,203.0,,2686.0,565.0,,523.0,13.0,209.0,300.0,565.0,50.0,160.0,1400.0,0.0,1400.0,49.0,10.0,12.0,,20.0
2009,12.0,3341.0,0.0,218.0,,2710.0,400.0,,524.0,13.0,239.0,250.0,400.0,44.0,165.0,1411.0,0.0,1411.0,74.0,10.0,12.0,,20.0
2010,19.0,2600.0,0.0,233.0,,2742.0,425.0,,395.0,13.0,222.0,250.0,425.0,42.0,178.0,1300.0,0.0,1300.0,44.0,10.0,11.0,,20.0
2011,21.0,3500.0,0.0,248.0,,2865.0,385.0,,362.0,13.0,252.0,180.0,385.0,37.0,200.0,799.0,0.0,799.0,52.0,11.0,11.0,,20.0
2012,22.0,3100.0,0.0,290.0,,3252.0,400.0,,390.0,12.0,267.0,170.0,400.0,30.0,210.0,432.0,0.0,432.0,57.0,11.0,11.0,,20.0
2013,21.0,2600.0,0.0,277.0,,3523.0,481.0,,463.0,15.0,218.0,175.0,481.0,27.0,190.0,335.0,0.0,335.0,28.0,11.0,11.0,,20.0
2014,21.0,2000.0,0.0,280.0,,3719.0,510.0,,420.0,14.0,213.0,218.0,510.0,24.0,186.0,286.0,0.0,286.0,27.0,11.0,10.0,,20.0
