,"China, mainland",Seychelles,Viet Nam,Dominica,Sao Tome and Principe,Madagascar,China,Indonesia,Comoros,Sri Lanka,"China, Macao SAR"
1988,35000.0,1800.0,4150.0,35.0,100.0,1500.0,35000.0,36300.0,-1,20360.0,-1
1989,35000.0,1600.0,5700.0,35.0,100.0,1800.0,35000.0,39200.0,-1,20420.0,-1
1990,28488.0,1100.0,6100.0,38.0,103.0,1000.0,28488.0,40581.0,-1,20199.0,-1
1991,29536.0,2700.0,6485.0,23.0,206.0,1100.0,29536.0,43651.0,-1,20313.0,-1
1992,29400.0,1600.0,6200.0,50.0,207.0,1000.0,29400.0,43683.0,-1,20214.0,-1
1993,29277.0,1500.0,6400.0,60.0,207.0,1029.0,29277.0,47000.0,-1,24180.0,-1
1994,24304.0,2700.0,7100.0,60.0,208.0,944.0,24304.0,48000.0,-1,24216.0,-1
1995,29063.0,3400.0,7500.0,65.0,209.0,900.0,29063.0,51000.0,-1,24250.0,-1
1996,31198.0,3500.0,8437.0,71.0,210.0,800.0,31198.0,54000.0,-1,24300.0,-1
1997,32092.0,3300.0,10490.0,70.0,211.0,825.0,32092.0,59000.0,-1,24360.0,-1
1998,32637.0,3100.0,8179.0,75.0,212.0,822.0,32637.0,62000.0,-1,24510.0,-1
1999,35664.0,2800.0,12500.0,75.0,212.0,792.0,35664.0,64000.0,-1,24570.0,-1
2000,36000.0,2900.0,13863.0,76.0,213.0,763.0,36000.0,66000.0,-1,24670.0,-1
2001,37000.0,2909.0,15986.0,77.0,214.0,754.0,37000.0,70000.0,-1,24570.0,-1
2002,38000.0,3216.0,16000.0,78.0,215.0,759.0,38000.0,72000.0,-1,24600.0,-1
2003,39498.0,2500.0,17000.0,75.0,216.0,740.0,39498.0,73000.0,-1,26110.0,-1
2004,39000.0,2000.0,28000.0,79.0,217.0,745.0,39000.0,80000.0,-1,25090.0,-1
2005,40000.0,1800.0,26229.0,80.0,219.0,775.0,40000.0,80000.0,-1,26100.0,-1
2006,42000.0,1500.0,40000.0,82.0,218.0,782.0,42000.0,80000.0,-1,25620.0,-1
2007,45000.0,1020.0,48000.0,80.0,220.0,800.0,45000.0,104651.0,-1,25760.0,-1
2008,41529.0,1550.0,48000.0,83.0,220.0,800.0,41529.0,101961.0,-1,26770.0,-1
2009,40019.0,1000.0,53000.0,84.0,222.0,950.0,40019.0,102633.0,-1,28090.0,-1
2010,40000.0,370.0,59753.0,84.0,228.0,1350.0,40000.0,99300.0,-1,28860.0,-1
2011,40924.0,650.0,68949.0,85.0,225.0,1300.0,40924.0,102100.0,-1,29160.0,-1
2012,40000.0,700.0,74778.0,100.0,220.0,1350.0,40000.0,101800.0,-1,30430.0,-1
2013,41000.0,230.0,81024.0,88.0,234.0,1350.0,41000.0,105500.0,-1,30090.0,-1
2014,41245.0,130.0,87287.0,82.0,230.0,1332.0,41245.0,109600.0,-1,29517.0,-1
