,Slovakia,Romania,Norway,Australia,Belgium,Luxembourg,Czechia,Italy,Germany,Croatia,Latvia,Slovenia,Brazil,Australia & New Zealand,Serbia,Switzerland,Chile,Canada,Belgium-Luxembourg,Spain,Kyrgyzstan,Austria,Poland,Turkey,Belarus,Denmark,Estonia,Greece,Czechoslovakia,France,Bosnia and Herzegovina,Hungary,Russian Federation,Bulgaria,Tunisia,Mexico,"China, mainland",Sweden,United Kingdom,Algeria,Lithuania,Portugal,Netherlands,China
1999,7284.0,-1.0,1220.0,361000.0,,,25953.0,0.0,386458.0,-1.0,5800.0,634.0,-1.0,361000.0,,8050.0,-1.0,41700.0,7700.0,28000.0,-1.0,23595.0,660116.0,-1.0,89900.0,54000.0,-1.0,-1.0,,240380.0,-1.0,92552.0,-1.0,4200.0,4000.0,117.0,76660.0,32586.0,13200.0,10.0,45000.0,26521.0,1800.0,76660.0
2000,8941.0,-1.0,1490.0,389000.0,8600.0,3635.0,37001.0,0.0,499475.0,-1.0,5875.0,835.0,-1.0,389000.0,,10310.0,-1.0,36400.0,,37210.0,-1.0,27528.0,695308.0,-1.0,99000.0,50687.0,-1.0,-1.0,,244110.0,-1.0,83424.0,-1.0,5000.0,2070.0,740.0,108000.0,40728.0,15600.0,10.0,50800.0,23832.0,6600.0,108000.0
2001,10463.0,-1.0,1050.0,409000.0,5600.0,3066.0,49499.0,0.0,533492.0,-1.0,13000.0,1227.0,-1.0,409000.0,,12217.0,-1.0,12900.0,,37548.0,-1.0,31189.0,839000.0,-1.0,152400.0,34747.0,4195.0,-1.0,,240776.0,-1.0,119556.0,-1.0,4343.0,2000.0,800.0,202000.0,39642.0,13915.0,10.0,60600.0,18820.0,4800.0,202000.0
2002,18372.0,-1.0,210.0,407570.0,7600.0,4010.0,53093.0,0.0,560466.0,-1.0,15500.0,1661.0,-1.0,407570.0,,14080.0,-1.0,13300.0,,35750.0,-1.0,37621.0,943895.0,-1.0,251300.0,25132.0,5318.0,-1.0,,270741.0,-1.0,131685.0,-1.0,10165.0,2000.0,539.0,303300.0,30809.0,14000.0,0.0,56000.0,17058.0,4426.0,303300.0
2003,13757.0,10290.0,0.0,445475.0,7267.0,3724.0,45970.0,0.0,499796.0,-1.0,19100.0,1820.0,-1.0,445475.0,,12913.0,-1.0,33600.0,,40000.0,45.0,40652.0,985600.0,-1.0,334662.0,27955.0,7158.0,-1.0,,290055.0,-1.0,138993.0,-1.0,11886.0,3000.0,196.0,310000.0,44661.0,14600.0,0.0,78500.0,13439.0,3846.0,310000.0
2004,18214.0,27912.0,279.0,389296.0,8084.0,3578.0,62776.0,-1.0,507391.0,-1.0,17100.0,2124.0,-1.0,389296.0,,12400.0,8048.0,28300.0,,23476.0,9.0,43082.0,1058193.0,30000.0,357099.0,33500.0,6547.0,-1.0,,328168.0,-1.0,157164.0,-1.0,9521.0,5000.0,391.0,268000.0,52195.0,15200.0,0.0,83900.0,11926.0,3620.0,268000.0
2005,17222.0,33494.0,421.0,347000.0,7480.0,3411.0,64811.0,-1.0,480800.0,-1.0,13300.0,1986.0,134868.0,347000.0,,11811.0,8720.0,17000.0,,37685.0,5.0,39452.0,1194537.0,32000.0,357691.0,31300.0,6165.0,-1.0,,332890.0,-1.0,156986.0,-1.0,9324.0,3000.0,414.0,280000.0,50292.0,12600.0,0.0,75200.0,20488.0,4100.0,280000.0
2006,12106.0,27356.0,419.0,368512.0,7225.0,3471.0,41020.0,-1.0,404600.0,1591.0,11300.0,2900.0,101088.0,368512.0,30000.0,11268.0,8279.0,12200.0,,45044.0,0.0,23648.0,1194282.0,24111.0,376016.0,31600.0,2501.0,-1.0,,330754.0,-1.0,132838.0,-1.0,9600.0,3000.0,1078.0,264200.0,54800.0,14100.0,0.0,65300.0,19464.0,3700.0,264200.0
2007,12561.0,31865.0,418.0,360000.0,6552.0,3545.0,50050.0,-1.0,381036.0,2705.0,12400.0,3091.0,80107.0,360000.0,30000.0,10086.0,19243.0,20200.0,,47411.0,0.0,38852.0,1260241.0,27494.0,411219.0,32200.0,4369.0,-1.0,,324094.0,-1.0,130393.0,-1.0,6499.0,5000.0,1170.0,227000.0,53600.0,17000.0,0.0,80500.0,15900.0,4000.0,227000.0
2008,13703.0,31785.0,416.0,322760.0,6094.0,3623.0,57758.0,-1.0,398804.0,3214.0,13800.0,3241.0,75640.0,322760.0,31632.0,9969.0,19243.0,15800.0,,54394.0,75.0,46309.0,1333460.0,27391.0,458291.0,35900.0,5900.0,-1.0,,343316.0,-1.0,131237.0,-1.0,4585.0,7300.0,374.0,245500.0,48900.0,17296.0,0.0,98200.0,20200.0,3200.0,245500.0
2009,11174.0,38368.0,415.0,350000.0,6192.0,4055.0,52950.0,-1.0,401081.0,3087.0,13100.0,3400.0,65505.0,350000.0,37251.0,9279.0,17907.0,12100.0,,60987.0,0.0,50640.0,1465000.0,28373.0,516589.0,44400.0,7963.0,-1.0,,355506.0,13002.0,125365.0,187000.0,5958.0,10400.0,408.0,206000.0,53200.0,16000.0,0.0,136100.0,23800.0,2734.0,206000.0
2010,9827.0,40677.0,413.0,313365.0,6666.0,4780.0,45900.0,-1.0,397517.0,10853.0,11400.0,3477.0,50543.0,313365.0,36274.0,10274.0,20963.0,22200.0,,65984.0,344.0,47795.0,1329897.0,26844.0,435080.0,36500.0,4020.0,3900.0,,383301.0,11299.0,119658.0,140700.0,9800.0,9900.0,723.0,200000.0,35900.0,17000.0,4.0,108600.0,24500.0,2676.0,200000.0
2011,10526.0,41794.0,412.0,187201.0,4787.0,4340.0,43529.0,-1.0,383400.0,9951.0,9400.0,3347.0,39628.0,187201.0,38488.0,9708.0,26543.0,13400.0,,81322.0,772.0,45589.0,1269258.0,29783.0,409478.0,26700.0,4457.0,4200.0,,391111.0,11207.0,100635.0,222000.0,8590.0,10400.0,245.0,250000.0,24000.0,15000.0,4.0,94400.0,22088.0,1789.0,250000.0
2012,10854.0,48019.0,410.0,144550.0,6047.0,4736.0,44200.0,-1.0,371400.0,13039.0,13200.0,3640.0,34746.0,144550.0,15413.0,9433.0,21546.0,13000.0,,125900.0,566.0,43746.0,991797.0,32227.0,489039.0,22000.0,5600.0,10600.0,,415719.0,9963.0,111360.0,222900.0,10808.0,13000.0,405.0,201000.0,23700.0,13000.0,4.0,119100.0,20807.0,1925.0,201000.0
2013,11780.0,72529.0,408.0,99178.0,6096.0,4561.0,46816.0,-1.0,396900.0,14087.0,14100.0,3490.0,25399.0,99178.0,16623.0,9147.0,20878.0,11400.0,,142300.0,721.0,44996.0,1176700.0,35316.0,441630.0,13300.0,3200.0,8700.0,,384772.0,11549.0,118000.0,241108.0,13729.0,16850.0,3417.0,210000.0,22910.0,12000.0,0.0,144900.0,30403.0,1953.0,210000.0
2014,12997.0,76713.0,407.0,79879.0,5712.0,4787.0,48497.0,-1.0,418200.0,16855.0,10000.0,4229.0,23111.0,79879.0,22265.0,8269.0,20134.0,13000.0,,195682.0,214.0,51302.0,1306025.0,34885.0,523413.0,15500.0,6200.0,16950.0,,387604.0,10697.0,123160.0,247553.0,18907.0,15180.0,4822.0,212000.0,38200.0,10786.0,0.0,120100.0,30197.0,1520.0,212000.0
