,Guinea,Republic of Korea,Dominica,Cyprus,Chad,Sao Tome and Principe,Gabon,Philippines,Egypt,Benin,Côte d'Ivoire,Japan
1979,3017.0,99.0,1430.0,381.0,500.0,220.0,4250.0,13276.0,6706.0,200.0,28966.0,44680.0
1980,3050.0,99.0,1430.0,286.0,500.0,300.0,4250.0,11354.0,6371.0,150.0,37287.0,45850.0
1981,3080.0,0.0,1430.0,286.0,500.0,300.0,4750.0,10542.0,6202.0,100.0,35542.0,38580.0
1982,3140.0,0.0,1430.0,305.0,500.0,300.0,4750.0,11854.0,6000.0,50.0,32345.0,40010.0
1983,3140.0,0.0,1430.0,343.0,1060.0,300.0,5000.0,9681.0,6000.0,18.0,27505.0,39320.0
1984,3170.0,0.0,1430.0,305.0,1200.0,300.0,5500.0,12500.0,6200.0,48.0,28274.0,34710.0
1985,3210.0,0.0,1443.0,305.0,1200.0,200.0,5500.0,21600.0,6300.0,57.0,26531.0,37510.0
1986,3000.0,0.0,1456.0,305.0,1340.0,180.0,5000.0,10500.0,6500.0,89.0,22701.0,38490.0
1987,3000.0,0.0,1820.0,305.0,1460.0,204.0,5000.0,10500.0,6800.0,79.0,21354.0,39150.0
1988,3060.0,0.0,2340.0,305.0,1600.0,227.0,5000.0,10200.0,8000.0,115.0,20512.0,39730.0
1989,3080.0,0.0,2341.0,305.0,1880.0,216.0,4750.0,10300.0,6000.0,112.0,17594.0,36360.0
1990,3400.0,0.0,1560.0,305.0,2200.0,243.0,4500.0,10000.0,7000.0,171.0,16132.0,31530.0
1991,3450.0,0.0,1300.0,241.0,2256.0,148.0,4250.0,9800.0,8000.0,132.0,15955.0,35340.0
1992,3780.0,0.0,1430.0,241.0,2300.0,600.0,4500.0,9655.0,8000.0,135.0,13013.0,30460.0
1993,3890.0,0.0,1548.0,260.0,2500.0,700.0,4533.0,9137.0,7000.0,160.0,11796.0,29910.0
1994,4000.0,0.0,1560.0,270.0,2130.0,850.0,4750.0,8685.0,7000.0,189.0,11441.0,23840.0
1995,2800.0,0.0,1430.0,311.0,2138.0,825.0,4770.0,6064.0,8500.0,152.0,10785.0,25430.0
1996,2395.0,0.0,1334.0,285.0,2077.0,1600.0,4500.0,7477.0,5500.0,186.0,10990.0,31256.0
1997,2656.0,0.0,1422.0,270.0,2184.0,2028.0,5250.0,7389.0,4500.0,185.0,11291.0,32362.0
1998,2944.0,0.0,1495.0,299.0,2072.0,2250.0,4750.0,11400.0,4000.0,188.0,11533.0,31049.0
1999,2800.0,0.0,1430.0,299.0,2200.0,2306.0,4802.0,9700.0,4000.0,228.0,11781.0,29956.0
2000,2800.0,0.0,1404.0,285.0,2000.0,2461.0,4863.0,9600.0,4000.0,176.0,12033.0,28637.0
2001,3000.0,0.0,1391.0,271.0,1800.0,2500.0,5456.0,9700.0,6000.0,154.0,12291.0,27281.0
2002,3139.0,0.0,1495.0,285.0,1600.0,2600.0,5619.0,10000.0,7000.0,131.0,12549.0,25800.0
2003,3216.0,0.0,1365.0,321.0,1400.0,2550.0,5788.0,10000.0,7000.0,150.0,10250.0,25800.0
2004,3363.0,0.0,1411.0,305.0,1200.0,2599.0,5945.0,10000.0,7000.0,149.0,10482.0,23612.0
2005,2500.0,0.0,1495.0,314.0,1000.0,2600.0,5958.0,11000.0,18000.0,120.0,13921.0,23088.0
2006,3050.0,0.0,1635.0,320.0,850.0,2300.0,5971.0,11000.0,19000.0,106.0,14380.0,22290.0
2007,4400.0,0.0,1543.0,257.0,780.0,2000.0,5983.0,11000.0,19000.0,123.0,14855.0,21742.0
2008,5700.0,0.0,1950.0,242.0,782.0,1850.0,5996.0,11500.0,19000.0,139.0,15301.0,21781.0
2009,8219.0,0.0,1973.0,242.0,1651.0,1600.0,6009.0,11500.0,19000.0,130.0,13674.0,21926.0
2010,8808.0,0.0,1686.0,214.0,1350.0,1250.0,6891.0,11000.0,18000.0,73.0,14112.0,20334.0
2011,9406.0,0.0,1697.0,224.0,960.0,991.0,7000.0,11000.0,17000.0,94.0,13936.0,20965.0
2012,9699.0,0.0,1690.0,237.0,1802.0,892.0,7000.0,11000.0,10000.0,179.0,14354.0,21957.0
2013,10001.0,0.0,1586.0,217.0,460.0,802.0,6984.0,11000.0,8000.0,73.0,14785.0,20560.0
2014,10617.0,0.0,1586.0,217.0,460.0,692.0,6984.0,11000.0,8000.0,78.0,15216.0,20920.0
