,Kenya,Belarus,Croatia,Myanmar,Saudi Arabia,Syrian Arab Republic,Brazil,United Republic of Tanzania,Nepal,Ethiopia,Denmark,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Zimbabwe,Bangladesh,Republic of Korea,South Africa,Norway,Yemen,Rwanda,Australia & New Zealand,Yugoslav SFR,Mongolia,Guatemala,Algeria,Slovenia,Tajikistan,Latvia,Luxembourg,Israel,Zambia,Belgium,Turkmenistan,Lesotho,Switzerland,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Argentina,Portugal,Poland,"China, mainland",Russian Federation,Ukraine,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Serbia,Germany,Armenia,Uzbekistan,United Kingdom,Canada,Japan,Afghanistan,Iraq,Cyprus,Spain,Morocco,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Thailand,Pakistan,Kuwait,Sudan (former),Czechia,Bhutan,Georgia,India,Austria,Czechoslovakia,Ethiopia PDR,Sweden,USSR,Mexico,Romania,Ecuador,Jordan,New Zealand,Ireland,Albania,Slovakia,France,Italy,Australia,Sudan,Lithuania,Finland,Netherlands,Mauritania,Turkey,Eritrea,Republic of Moldova,Belgium-Luxembourg
1971,1120.0,-1.0,-1.0,0.0,1223.0,59000.0,1983.0,24.0,1100.0,-1.0,255000.0,-1.0,57260.0,30800.0,108.0,2009.0,46161.0,3570.0,33000.0,7856.0,0.0,161317.0,47000.0,5200.0,7.0,69574.0,-1.0,-1.0,-1.0,-1.0,2900.0,0.0,-1.0,-1.0,68.0,6400.0,3460.0,-1.0,5000.0,-1.0,223545.0,80.0,5715.0,9105.0,665.0,-1.0,0.0,10062.0,61300.0,-1.0,-1.0,-1.0,90000.0,9000.0,172500.0,223545.0,-1.0,-1.0,6800.0,14464.0,9000.0,-1.0,-1.0,320692.0,-1.0,-1.0,378000.0,429300.0,8000.0,25600.0,72555.0,10478.0,360000.0,156624.0,77970.0,370000.0,109368.0,162.0,0.0,10962.0,1.0,0.0,-1.0,295.0,-1.0,206000.0,59000.0,125000.0,71250.0,123000.0,4760000.0,10870.0,73575.0,11896.0,5450.0,11317.0,35000.0,2550.0,-1.0,401000.0,46000.0,150000.0,-1.0,-1.0,91000.0,11000.0,20.0,506000.0,-1.0,-1.0,19071.0
1972,2080.0,-1.0,-1.0,0.0,464.0,91000.0,1789.0,104.0,1100.0,-1.0,258000.0,-1.0,57820.0,32000.0,120.0,1813.0,43285.0,4270.0,34000.0,6977.0,0.0,142255.0,48000.0,6300.0,8.0,66046.0,-1.0,-1.0,-1.0,-1.0,3300.0,0.0,-1.0,-1.0,68.0,6600.0,3810.0,-1.0,6000.0,-1.0,282870.0,72.0,4716.0,15483.0,623.0,-1.0,0.0,9587.0,60500.0,-1.0,-1.0,-1.0,83000.0,8000.0,179800.0,282870.0,-1.0,-1.0,7000.0,13787.0,9000.0,-1.0,-1.0,339776.0,-1.0,-1.0,374000.0,424600.0,5000.0,25600.0,54885.0,10097.0,390000.0,163304.0,80193.0,392000.0,94320.0,138.0,0.0,11508.0,0.0,0.0,-1.0,304.0,-1.0,196000.0,60000.0,130000.0,69600.0,119000.0,5145000.0,13123.0,70808.0,9318.0,4785.0,8255.0,36000.0,2670.0,-1.0,417000.0,50000.0,134000.0,-1.0,-1.0,101000.0,11000.0,13.0,510000.0,-1.0,-1.0,19789.0
1973,2080.0,-1.0,-1.0,0.0,835.0,69700.0,1630.0,80.0,1100.0,-1.0,260000.0,-1.0,57680.0,30720.0,122.0,1712.0,45740.0,4690.0,32000.0,4897.0,0.0,137100.0,54000.0,7500.0,10.0,58611.0,-1.0,-1.0,-1.0,-1.0,3200.0,0.0,-1.0,-1.0,68.0,7400.0,2432.0,-1.0,5176.0,-1.0,212625.0,82.0,5319.0,16837.0,800.0,-1.0,0.0,11976.0,60000.0,-1.0,-1.0,-1.0,85100.0,9000.0,207500.0,212625.0,-1.0,-1.0,7200.0,13547.0,9000.0,-1.0,-1.0,371902.0,-1.0,-1.0,365000.0,419000.0,5000.0,27216.0,54628.0,14288.0,416000.0,159840.0,83494.0,309200.0,92448.0,50.0,0.0,14325.0,0.0,0.0,-1.0,333.0,-1.0,198000.0,68457.0,125000.0,70500.0,122000.0,5442500.0,8668.0,90563.0,6084.0,5838.0,9100.0,37000.0,3000.0,-1.0,419000.0,54000.0,128000.0,-1.0,-1.0,100000.0,9000.0,14.0,516000.0,-1.0,-1.0,18936.0
1974,2240.0,-1.0,-1.0,0.0,565.0,101000.0,2373.0,160.0,1102.0,-1.0,262000.0,-1.0,55300.0,30960.0,544.0,1789.0,46216.0,5180.0,33000.0,4664.0,0.0,137200.0,55000.0,8100.0,11.0,66076.0,-1.0,-1.0,-1.0,-1.0,3900.0,0.0,-1.0,-1.0,81.0,8300.0,4887.0,-1.0,4700.0,-1.0,178920.0,87.0,6804.0,18568.0,893.0,-1.0,0.0,9927.0,54300.0,-1.0,-1.0,-1.0,78080.0,9215.0,228000.0,178920.0,-1.0,-1.0,7400.0,13033.0,9500.0,-1.0,-1.0,386332.0,-1.0,-1.0,389000.0,403000.0,5000.0,25600.0,59823.0,14859.0,488000.0,147520.0,100543.0,341800.0,110304.0,21.0,0.0,13560.0,1.0,0.0,-1.0,333.0,-1.0,214000.0,49926.0,140000.0,57150.0,121000.0,5695726.0,14323.0,99471.0,7156.0,4763.0,7200.0,37000.0,3060.0,-1.0,390000.0,60000.0,130000.0,-1.0,-1.0,92000.0,11000.0,14.0,520000.0,-1.0,-1.0,16573.0
1975,2480.0,-1.0,-1.0,0.0,770.0,118000.0,4850.0,160.0,1101.0,-1.0,261021.0,-1.0,54180.0,46080.0,600.0,1789.0,46213.0,6160.0,34000.0,4350.0,0.0,138700.0,49000.0,10300.0,11.0,71690.0,-1.0,-1.0,-1.0,-1.0,3800.0,0.0,-1.0,-1.0,88.0,6600.0,4228.0,-1.0,6000.0,-1.0,156345.0,83.0,6120.0,25430.0,1547.0,-1.0,0.0,8676.0,54207.0,-1.0,-1.0,-1.0,75000.0,9935.0,206600.0,156345.0,-1.0,-1.0,7700.0,13007.0,10000.0,-1.0,-1.0,415976.0,-1.0,-1.0,357000.0,385910.0,5000.0,24800.0,59983.0,5966.0,488000.0,178880.0,91702.0,341800.0,94047.0,30.0,0.0,12994.0,1.0,0.0,-1.0,285.0,-1.0,233000.0,46000.0,125000.0,40905.0,123000.0,6002500.0,18176.0,92138.0,7160.0,4827.0,11700.0,39000.0,3150.0,-1.0,358000.0,55000.0,127000.0,-1.0,-1.0,98100.0,8000.0,15.0,527000.0,-1.0,-1.0,17793.0
1976,4400.0,-1.0,-1.0,0.0,651.0,102000.0,9360.0,160.0,990.0,-1.0,267260.0,-1.0,50540.0,24880.0,600.0,1644.0,33514.0,6300.0,33500.0,3877.0,0.0,140000.0,49000.0,10700.0,9.0,74208.0,-1.0,-1.0,-1.0,-1.0,3500.0,0.0,-1.0,-1.0,88.0,7000.0,4739.0,-1.0,6226.0,-1.0,159495.0,75.0,4194.0,9136.0,595.0,-1.0,0.0,9467.0,53481.0,-1.0,-1.0,-1.0,95000.0,14134.0,212300.0,159495.0,-1.0,-1.0,8000.0,13578.0,8000.0,-1.0,-1.0,420550.0,-1.0,-1.0,395000.0,428600.0,5000.0,24800.0,75500.0,6666.0,488000.0,187280.0,92616.0,396250.0,91980.0,30.0,0.0,12201.0,1.0,0.0,-1.0,295.0,-1.0,226000.0,46700.0,124000.0,53325.0,114000.0,6039950.0,12424.0,133889.0,6000.0,4165.0,8300.0,44000.0,3300.0,-1.0,364000.0,43000.0,131700.0,-1.0,-1.0,111200.0,8000.0,16.0,524000.0,-1.0,-1.0,19155.0
1977,4560.0,-1.0,-1.0,0.0,642.0,105000.0,8942.0,160.0,1000.0,-1.0,275966.0,-1.0,49840.0,39760.0,443.0,1493.0,36035.0,6860.0,36200.0,3960.0,0.0,164000.0,55000.0,13500.0,16.0,72194.0,-1.0,-1.0,-1.0,-1.0,4000.0,0.0,-1.0,-1.0,88.0,6100.0,6271.0,-1.0,4804.0,-1.0,160125.0,72.0,6156.0,22490.0,595.0,-1.0,0.0,9572.0,50332.0,-1.0,-1.0,-1.0,83700.0,6708.0,210500.0,160125.0,-1.0,-1.0,7700.0,12123.0,7500.0,-1.0,-1.0,451661.0,-1.0,-1.0,387000.0,386584.0,5000.0,24800.0,77545.0,6767.0,490000.0,193200.0,82793.0,365800.0,84744.0,30.0,0.0,11671.0,3.0,0.0,-1.0,304.0,-1.0,181000.0,62985.0,132000.0,59835.0,122000.0,5720750.0,14820.0,162547.0,3200.0,4719.0,7000.0,46000.0,3300.0,-1.0,368000.0,42000.0,157000.0,-1.0,-1.0,116500.0,9000.0,20.0,520000.0,-1.0,-1.0,19601.0
1978,6400.0,-1.0,-1.0,0.0,688.0,112000.0,8469.0,200.0,1000.0,-1.0,283359.0,-1.0,53746.0,51360.0,606.0,1397.0,30770.0,7490.0,38300.0,3800.0,0.0,150000.0,49000.0,16000.0,17.0,76042.0,-1.0,-1.0,-1.0,-1.0,3000.0,0.0,-1.0,-1.0,88.0,7300.0,4922.0,-1.0,7002.0,-1.0,151830.0,83.0,6651.0,22940.0,425.0,-1.0,0.0,8966.0,50268.0,-1.0,-1.0,-1.0,65100.0,8519.0,267900.0,151830.0,-1.0,-1.0,6000.0,12207.0,7000.0,-1.0,-1.0,479690.0,-1.0,-1.0,389000.0,337600.0,8000.0,24320.0,87255.0,6995.0,499000.0,175440.0,82577.0,296100.0,90376.0,30.0,0.0,12439.0,5.0,0.0,-1.0,333.0,-1.0,162000.0,70200.0,148000.0,62760.0,137000.0,6468000.0,18050.0,173978.0,3077.0,4004.0,11000.0,47000.0,3600.0,-1.0,399000.0,35000.0,139000.0,-1.0,-1.0,122100.0,7000.0,20.0,560000.0,-1.0,-1.0,19805.0
1979,3200.0,-1.0,-1.0,0.0,352.0,121000.0,7205.0,224.0,1000.0,-1.0,292419.0,-1.0,48230.0,33040.0,574.0,1369.0,21493.0,4760.0,33200.0,3840.0,0.0,160000.0,53000.0,14000.0,17.0,80792.0,-1.0,-1.0,-1.0,-1.0,2600.0,0.0,-1.0,-1.0,88.0,8000.0,4006.0,-1.0,6459.0,-1.0,129990.0,89.0,5634.0,25000.0,680.0,-1.0,0.0,7293.0,65362.0,-1.0,-1.0,-1.0,61000.0,7196.0,260900.0,129990.0,-1.0,-1.0,5700.0,8794.0,6500.0,-1.0,-1.0,460339.0,-1.0,-1.0,380000.0,429800.0,11000.0,24480.0,91470.0,7544.0,516000.0,171984.0,74520.0,302600.0,113522.0,30.0,0.0,11151.0,5.0,0.0,-1.0,323.0,-1.0,148000.0,51286.0,132000.0,68237.0,143600.0,5521600.0,17386.0,182128.0,2624.0,4614.0,7000.0,55000.0,3600.0,-1.0,330000.0,35000.0,153000.0,-1.0,-1.0,122600.0,6000.0,21.0,560000.0,-1.0,-1.0,19215.0
1980,2183.0,-1.0,-1.0,0.0,630.0,134000.0,9562.0,256.0,1041.0,-1.0,284193.0,-1.0,42616.0,42400.0,718.0,1285.0,22931.0,4830.0,38800.0,4237.0,0.0,158000.0,59000.0,12000.0,15.0,92105.0,-1.0,-1.0,-1.0,-1.0,3300.0,0.0,-1.0,-1.0,88.0,7700.0,6985.0,-1.0,8160.0,-1.0,126000.0,88.0,3240.0,26000.0,425.0,-1.0,0.0,6894.0,59596.0,-1.0,-1.0,-1.0,45000.0,7939.0,259000.0,126000.0,-1.0,-1.0,5200.0,15300.0,6000.0,-1.0,-1.0,464648.0,-1.0,-1.0,360000.0,489900.0,12000.0,22240.0,104868.0,8260.0,567000.0,178240.0,66832.0,346200.0,169085.0,30.0,0.0,18158.0,11.0,0.0,-1.0,333.0,-1.0,141000.0,60924.0,143100.0,62157.0,132000.0,5556076.0,15578.0,206319.0,2890.0,4271.0,8000.0,54000.0,3600.0,-1.0,322000.0,45000.0,150000.0,-1.0,-1.0,106700.0,6000.0,22.0,593000.0,-1.0,-1.0,19239.0
1981,1914.0,-1.0,-1.0,0.0,250.0,137000.0,16688.0,280.0,1067.0,-1.0,277806.0,-1.0,43680.0,35360.0,898.0,1059.0,20602.0,4480.0,37300.0,4237.0,0.0,139864.0,56000.0,8500.0,14.0,88513.0,-1.0,-1.0,-1.0,-1.0,3300.0,0.0,-1.0,-1.0,88.0,7800.0,2893.0,-1.0,5520.0,-1.0,119700.0,80.0,3141.0,30000.0,425.0,-1.0,0.0,8622.0,71401.0,-1.0,-1.0,-1.0,38900.0,7400.0,247600.0,119700.0,-1.0,-1.0,5800.0,15200.0,6000.0,-1.0,-1.0,475226.0,-1.0,-1.0,323000.0,475000.0,12000.0,20560.0,116635.0,8275.0,513800.0,163720.0,61574.0,346200.0,132555.0,30.0,0.0,15512.0,13.0,0.0,-1.0,347.0,-1.0,149000.0,63527.0,140000.0,60776.0,139000.0,5198550.0,15141.0,212189.0,3392.0,4380.0,16864.0,50000.0,3630.0,-1.0,299000.0,45000.0,123000.0,-1.0,-1.0,114000.0,5000.0,22.0,627400.0,-1.0,-1.0,16792.0
1982,1496.0,-1.0,-1.0,0.0,75.0,150000.0,12098.0,280.0,1000.0,-1.0,267612.0,-1.0,46060.0,57040.0,300.0,884.0,21320.0,5530.0,39900.0,4079.0,0.0,180262.0,51000.0,11000.0,13.0,94556.0,-1.0,-1.0,-1.0,-1.0,3300.0,33.0,-1.0,-1.0,88.0,8300.0,5698.0,-1.0,6555.0,-1.0,126000.0,75.0,1584.0,35000.0,425.0,-1.0,0.0,5724.0,63356.0,-1.0,-1.0,-1.0,32100.0,7660.0,225500.0,126000.0,-1.0,-1.0,5800.0,11000.0,5500.0,-1.0,-1.0,481423.0,-1.0,-1.0,330000.0,407200.0,12000.0,19360.0,139138.0,8641.0,596000.0,172064.0,56499.0,374500.0,144473.0,30.0,0.0,18417.0,20.0,0.0,-1.0,347.0,-1.0,129545.0,63290.0,120000.0,68100.0,125000.0,5543826.0,16308.0,166682.0,2976.0,4050.0,25262.0,47000.0,3900.0,-1.0,360000.0,60000.0,155000.0,-1.0,-1.0,113000.0,4000.0,23.0,580000.0,-1.0,-1.0,17299.0
1983,539.0,-1.0,-1.0,0.0,83.0,150000.0,7319.0,280.0,1000.0,-1.0,242816.0,-1.0,51100.0,46336.0,234.0,672.0,21961.0,6090.0,37700.0,3920.0,0.0,225000.0,51000.0,13000.0,23.0,86762.0,-1.0,-1.0,-1.0,-1.0,3000.0,38.0,-1.0,-1.0,88.0,8900.0,7458.0,-1.0,6500.0,-1.0,126000.0,92.0,1566.0,41500.0,340.0,-1.0,0.0,4973.0,69053.0,-1.0,-1.0,-1.0,31000.0,8287.0,216900.0,126000.0,-1.0,-1.0,3200.0,9784.0,6000.0,-1.0,-1.0,445873.0,-1.0,-1.0,331000.0,435200.0,11000.0,18720.0,143598.0,9275.0,623000.0,170080.0,55187.0,424500.0,155765.0,30.0,0.0,13993.0,20.0,0.0,-1.0,355.0,-1.0,121355.0,61221.0,115000.0,59723.0,126000.0,5324550.0,15179.0,151133.0,3070.0,4579.0,42000.0,46000.0,3900.0,-1.0,368000.0,80000.0,183000.0,-1.0,-1.0,135000.0,4000.0,23.0,650000.0,-1.0,-1.0,16902.0
