,"China, Taiwan Province of",Indonesia,Romania,Australia & New Zealand,Denmark,China,Republic of Korea,"China, mainland",Greece,Spain,Luxembourg,Australia,Singapore,Lithuania,Netherlands,New Zealand,Germany
1995,1761633.0,1000000.0,7825000.0,2169665.0,1878343.0,1714672.0,1513531.0,1714286.0,117382.0,1957938.0,,2008253.0,,1727309.0,23000000.0,4230769.0,2271321.0
1996,1772903.0,1000000.0,7825000.0,2291389.0,2000000.0,1963808.0,1411136.0,1965544.0,120421.0,1970496.0,,2117879.0,,1744117.0,23700000.0,4200000.0,2271183.0
1997,2026500.0,1000000.0,7825000.0,2637117.0,1865106.0,2219717.0,1345000.0,2221442.0,123459.0,2813287.0,,2447241.0,,1760925.0,24000000.0,4166667.0,2271046.0
1998,1930400.0,800000.0,7825000.0,2782059.0,1889545.0,2510841.0,1523810.0,2514667.0,126497.0,2666667.0,,2593000.0,,1777734.0,24600000.0,4200000.0,2270908.0
1999,1992750.0,1000000.0,,2642659.0,1873663.0,2715178.0,1392535.0,2718750.0,129535.0,3120000.0,,2846061.0,,1794542.0,25000000.0,1987805.0,2270770.0
2000,2410588.0,1000000.0,,2458564.0,1848085.0,2821921.0,1267423.0,2823529.0,132574.0,1940307.0,53333.0,2571429.0,,1811351.0,26500000.0,2073171.0,2270632.0
2001,2449750.0,1020000.0,,3372817.0,1848085.0,2953354.0,1445646.0,2955556.0,135612.0,3479524.0,50000.0,3900396.0,,1828159.0,27500000.0,2073171.0,2270494.0
2002,2218636.0,1016667.0,,2966400.0,1848085.0,2589455.0,1394802.0,2590909.0,138650.0,4032006.0,50000.0,3239701.0,,1844968.0,27000000.0,2073171.0,2270356.0
2003,2297561.0,1123489.0,,2827692.0,1902326.0,2499337.0,1386500.0,2500000.0,143310.0,4194968.0,50000.0,3069375.0,300000.0,1903285.0,26300000.0,2073171.0,2270304.0
2004,2275217.0,400913.0,,2824105.0,1954643.0,2392493.0,1389050.0,2392857.0,149591.0,4491327.0,50000.0,3023856.0,200000.0,2009144.0,30588235.0,2079689.0,2270337.0
2005,2295952.0,1214724.0,,2858182.0,1954643.0,2266769.0,1360263.0,2266667.0,155871.0,4734158.0,50000.0,3076410.0,30000.0,2115003.0,31818182.0,2047619.0,2270371.0
2006,2448947.0,790570.0,,2374004.0,1954643.0,2297255.0,1370200.0,2296875.0,162152.0,4258459.0,50000.0,2465593.0,60000.0,2220862.0,23500000.0,1995930.0,2270404.0
2007,2425143.0,1279761.0,,2318507.0,2000000.0,2460549.0,1338317.0,2460606.0,168433.0,4519658.0,50000.0,2361271.0,170000.0,2326721.0,24000000.0,2125000.0,2270438.0
2008,2480000.0,675777.0,,2501247.0,1988285.0,2765557.0,1336280.0,2766091.0,174714.0,5116782.0,50000.0,2631397.0,240000.0,2432580.0,25500000.0,1885536.0,2270472.0
2009,2396970.0,549500.0,,2520369.0,1992004.0,2595641.0,1348415.0,2595987.0,180995.0,4030769.0,50000.0,2730566.0,227500.0,2538439.0,30263158.0,1606915.0,2270505.0
2010,2957308.0,897310.0,,2703004.0,1992617.0,2595148.0,1343637.0,2594624.0,187276.0,2418182.0,50000.0,2970863.0,234000.0,2535060.0,36438356.0,1507761.0,2270539.0
2011,2937667.0,922555.0,,2875668.0,2002591.0,2932137.0,1338858.0,2932110.0,193556.0,2545296.0,500000.0,3106000.0,187379.0,2670271.0,44705882.0,1400905.0,2271315.0
2012,3249259.0,711061.0,,2972106.0,2012564.0,2967620.0,1334079.0,2967257.0,199913.0,2623488.0,500000.0,3141419.0,142500.0,2800000.0,46515152.0,1323119.0,2273390.0
2013,3378333.0,763099.0,,3042772.0,2022537.0,2945492.0,1329300.0,2945043.0,188578.0,2607334.0,500000.0,3161646.0,205000.0,2511628.0,46142857.0,1269054.0,2268333.0
2014,3254000.0,638396.0,,2743461.0,2032510.0,2950017.0,1324522.0,2949710.0,213333.0,2561607.0,500000.0,2778843.0,200000.0,3297297.0,43055556.0,1214990.0,2300307.0
