,Burundi,"China, Taiwan Province of",Mozambique,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Bangladesh,Malawi,Yemen,Rwanda,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,El Salvador,Senegal,Madagascar,Tajikistan,Haiti,Guinea,Botswana,Zambia,Chad,Sri Lanka,Grenada,Uruguay,Azerbaijan,Montserrat,Sudan (former),China,Uzbekistan,Colombia,United Republic of Tanzania,Guinea-Bissau,Kazakhstan,Saint Vincent and the Grenadines,Togo,Kenya,"China, mainland",Mali,Uganda,Italy,Costa Rica,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Gambia,Cameroon,Cuba,Armenia,Dominican Republic,South Sudan,Namibia,Benin,Pakistan,Spain,Afghanistan,Australia,Venezuela (Bolivarian Republic of),Cyprus,Thailand,Antigua and Barbuda,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Nigeria,Kyrgyzstan,Argentina,Cambodia,Paraguay,Georgia,India,Guadeloupe,Niger,Morocco,Ethiopia PDR,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Israel,Viet Nam,Tunisia,Côte d'Ivoire,Nicaragua,Albania,Turkmenistan,South Africa,Central African Republic,Somalia,Egypt,Ghana,Iraq,Angola,Swaziland,Republic of Moldova,Turkey
1971,3522.0,513.0,34852.0,14275.0,10336.0,6.0,156000.0,710400.0,3320.0,-1.0,-1.0,713.0,-1,117000.0,47375.0,1700.0,7365.0,9235.0,98.0,15900.0,3400.0,56751.0,382.0,55238.0,7700.0,8240.0,-1.0,990.0,-1.0,1100.0,3929.0,41031.0,695.0,16.0,224.0,-1.0,31.0,249963.0,2105513.0,-1.0,112300.0,65350.0,-1.0,-1.0,-1.0,1900.0,5532.0,2105000.0,25309.0,76400.0,1310.0,310.0,9.0,9800.0,86551.0,3000.0,12.0,15800.0,-1.0,-1,1077.0,-1.0,-1.0,17500.0,707484.0,43006.0,21000.0,15900.0,16087.0,85.0,12758.0,70.0,13607.0,2281096.0,147553.0,19500.0,-1.0,39421.0,-1.0,84100.0,50.0,5204.0,-1,1258000.0,110.0,3080.0,9000.0,10040.0,4021.0,396657.0,2353000.0,-1.0,3766.0,2053.0,36700.0,350.0,165.0,11653.0,78731.0,4500.0,-1.0,13133.0,16900.0,1282.0,510000.0,479.0,14080.0,29275.0,3300.0,-1,522000.0
1972,1894.0,436.0,44550.0,14368.0,11951.0,12.0,155000.0,633400.0,2200.0,-1.0,-1.0,653.0,-1,128000.0,56217.0,1400.0,7242.0,9667.0,77.0,39800.0,2400.0,81289.0,615.0,68785.0,8500.0,8694.0,-1.0,990.0,-1.0,900.0,2930.0,38856.0,895.0,15.0,356.0,-1.0,10.0,234271.0,1958436.0,-1.0,144500.0,78270.0,-1.0,-1.0,-1.0,2300.0,5603.0,1958000.0,24340.0,76000.0,900.0,126.0,17.0,15000.0,74100.0,3000.0,15.0,15800.0,-1.0,-1,1056.0,-1.0,-1.0,19000.0,701846.0,56433.0,19300.0,39800.0,18086.0,34.0,15561.0,90.0,16504.0,2983679.0,207000.0,20000.0,-1.0,38076.0,-1.0,87300.0,50.0,12719.0,-1,1164000.0,90.0,1850.0,9110.0,11550.0,3804.0,416512.0,2360000.0,-1.0,4200.0,2290.0,40300.0,333.0,0.0,19744.0,102643.0,5500.0,-1.0,13100.0,19000.0,802.0,514000.0,742.0,16000.0,18148.0,3636.0,-1,543554.0
1973,1724.0,412.0,35308.0,14630.0,9414.0,9.0,156500.0,750200.0,1900.0,-1.0,-1.0,869.0,-1,117300.0,44015.0,1127.0,5348.0,11740.0,79.0,28400.0,2618.0,96164.0,655.0,68695.0,11900.0,10412.0,-1.0,990.0,-1.0,950.0,1614.0,42956.0,949.0,12.0,673.0,-1.0,7.0,190018.0,2562412.0,-1.0,115600.0,66300.0,-1.0,-1.0,-1.0,1800.0,5338.0,2562000.0,18989.0,79400.0,870.0,526.0,29.0,37600.0,77700.0,3000.0,62.0,10400.0,-1.0,-1,1012.0,-1.0,-1.0,16500.0,658481.0,45670.0,36000.0,28400.0,20953.0,3.0,8947.0,117.0,12667.0,2824741.0,199106.0,23200.0,-1.0,49950.0,-1.0,124800.0,50.0,22256.0,-1,1199000.0,90.0,1263.0,6203.0,13290.0,3878.0,392161.0,2476000.0,525.0,7000.0,4267.0,37400.0,300.0,-1.0,21356.0,105971.0,6600.0,-1.0,15141.0,16400.0,425.0,490000.0,616.0,15310.0,25400.0,4100.0,-1,512827.0
1974,1654.0,300.0,35000.0,12604.0,11247.0,17.0,153800.0,646400.0,2100.0,-1.0,-1.0,2078.0,-1,120200.0,64622.0,1091.0,7089.0,12280.0,32.0,28400.0,2358.0,121248.0,261.0,75106.0,15300.0,11315.0,-1.0,990.0,-1.0,950.0,837.0,53160.0,1054.0,6.0,274.0,-1.0,2.0,270548.0,2461300.0,-1.0,145800.0,70920.0,-1.0,-1.0,-1.0,2800.0,4958.0,2461000.0,22981.0,50000.0,953.0,604.0,32.0,26700.0,81000.0,3000.0,98.0,15100.0,-1.0,-1,633.0,-1.0,-1.0,11200.0,634199.0,51584.0,48300.0,28400.0,23176.0,-1.0,17759.0,70.0,12454.0,2512526.0,230000.0,19200.0,-1.0,29459.0,-1.0,127300.0,30.0,24106.0,-1,1290000.0,80.0,2854.0,6000.0,15030.0,3077.0,512758.0,2476000.0,1400.0,15000.0,5182.0,49800.0,333.0,-1.0,23138.0,145999.0,6700.0,-1.0,35082.0,17300.0,339.0,441000.0,1038.0,13700.0,34000.0,5900.0,-1,598387.0
1975,1421.0,82.0,39000.0,14305.0,18168.0,218.0,141535.0,576900.0,1800.0,-1.0,-1.0,1715.0,-1,118900.0,57838.0,817.0,5619.0,9180.0,76.0,32900.0,2174.0,106519.0,314.0,74406.0,11400.0,10444.0,-1.0,990.0,-1.0,950.0,895.0,64606.0,2067.0,13.0,202.0,-1.0,7.0,229287.0,2381082.0,-1.0,138700.0,41903.0,-1.0,-1.0,-1.0,3500.0,5320.0,2381000.0,39077.0,31900.0,728.0,184.0,43.0,22020.0,87900.0,3000.0,68.0,19100.0,-1.0,-1,893.0,-1.0,-1.0,8600.0,513868.0,42913.0,53300.0,32900.0,30366.0,-1.0,9055.0,95.0,10548.0,1807451.0,139000.0,17900.0,-1.0,49554.0,-1.0,171700.0,30.0,32170.0,-1,1160000.0,60.0,4160.0,5220.0,15000.0,1869.0,205796.0,2649000.0,1050.0,10789.0,5129.0,48800.0,733.0,-1.0,23931.0,122848.0,6800.0,-1.0,36199.0,12100.0,848.0,382000.0,3655.0,13000.0,13000.0,6820.0,-1,480000.0
1976,1108.0,61.0,28000.0,12416.0,19891.0,435.0,155000.0,416500.0,2274.0,-1.0,-1.0,882.0,-1,106900.0,48319.0,701.0,5517.0,8860.0,58.0,24900.0,1720.0,99154.0,209.0,60410.0,16800.0,11804.0,-1.0,990.0,-1.0,950.0,1314.0,53996.0,2644.0,9.0,211.0,-1.0,7.0,108000.0,2055061.0,-1.0,142100.0,67623.0,-1.0,-1.0,-1.0,3200.0,5215.0,2055000.0,45172.0,24700.0,610.0,1725.0,48.0,12615.0,54300.0,3000.0,278.0,18200.0,-1.0,-1,1055.0,-1.0,-1.0,7500.0,434900.0,38522.0,53000.0,24900.0,20602.0,7.0,8454.0,83.0,1107.0,2303642.0,156000.0,17300.0,-1.0,60573.0,-1.0,139500.0,650.0,33807.0,-1,1073000.0,24.0,2580.0,7100.0,19770.0,1934.0,223963.0,2589000.0,35.0,9459.0,3096.0,53700.0,749.0,-1.0,26245.0,110252.0,7000.0,-1.0,13236.0,15500.0,891.0,396353.0,2800.0,11890.0,13000.0,6146.0,-1,474827.0
1977,1842.0,70.0,17000.0,10643.0,13646.0,653.0,150024.0,627000.0,2425.0,-1.0,-1.0,521.0,-1,124100.0,48942.0,876.0,6979.0,4908.0,79.0,28000.0,981.0,135828.0,22.0,70012.0,13400.0,12604.0,-1.0,1208.0,-1.0,950.0,2788.0,45402.0,2193.0,8.0,178.0,-1.0,7.0,159000.0,2049070.0,-1.0,161600.0,52376.0,-1.0,-1.0,-1.0,2300.0,6860.0,2049000.0,42265.0,13800.0,610.0,7022.0,31.0,15875.0,57200.0,3000.0,405.0,15365.0,-1.0,-1,1324.0,-1.0,-1.0,5500.0,574800.0,47214.0,45500.0,28000.0,20318.0,7.0,28589.0,75.0,4371.0,3132863.0,178000.0,16200.0,-1.0,82215.0,-1.0,160000.0,1666.0,72841.0,-1,1232000.0,0.0,1350.0,5900.0,20620.0,1620.0,418428.0,2697000.0,175.0,10260.0,6350.0,64000.0,962.0,-1.0,30733.0,117622.0,7200.0,-1.0,31179.0,10300.0,933.0,399000.0,3100.0,8700.0,12000.0,4700.0,-1,574874.0
1978,2214.0,105.0,24000.0,13899.0,22347.0,871.0,144000.0,518000.0,1235.0,-1.0,-1.0,301.0,-1,132200.0,56474.0,1181.0,8000.0,6404.0,-1.0,44200.0,577.0,148612.0,33.0,78798.0,12700.0,11250.0,-1.0,1644.0,-1.0,950.0,3676.0,50144.0,3203.0,8.0,185.0,-1.0,8.0,198000.0,2167105.0,-1.0,110600.0,55768.0,-1.0,-1.0,-1.0,1700.0,8970.0,2167000.0,48163.0,20400.0,440.0,2722.0,20.0,18075.0,65500.0,3000.0,302.0,22600.0,-1.0,-1,1020.0,-1.0,-1.0,6420.0,473200.0,31848.0,44000.0,44200.0,19348.0,10.0,23442.0,79.0,5314.0,2363560.0,133000.0,15750.0,-1.0,39763.0,-1.0,220300.0,1166.0,90660.0,-1,1353000.0,-1.0,1490.0,4070.0,18000.0,1897.0,366434.0,2731000.0,350.0,10306.0,11386.0,79200.0,1002.0,-1.0,41406.0,122967.0,7400.0,-1.0,45816.0,11800.0,933.0,438346.0,2700.0,4900.0,13000.0,7100.0,-1,475000.0
1979,2043.0,55.0,13000.0,17308.0,28715.0,2613.0,128601.0,540000.0,2510.0,-1.0,-1.0,1733.0,-1,103968.0,49374.0,1101.0,9000.0,5728.0,-1.0,53100.0,483.0,161360.0,20.0,64860.0,9700.0,11645.0,-1.0,1844.0,-1.0,950.0,5370.0,33073.0,3800.0,9.0,97.0,-1.0,3.0,117000.0,2207055.0,-1.0,94500.0,56477.0,-1.0,-1.0,-1.0,4300.0,9107.0,2207000.0,56129.0,6100.0,390.0,3738.0,5.0,15735.0,80500.0,3000.0,333.0,31000.0,-1.0,-1,1350.0,-1.0,-1.0,8900.0,728200.0,41112.0,35000.0,53100.0,16631.0,8.0,44953.0,50.0,5848.0,3185138.0,99000.0,6260.0,-1.0,37384.0,-1.0,173669.0,120.0,73281.0,-1,1309000.0,-1.0,1210.0,5280.0,18000.0,2576.0,349152.0,2500000.0,420.0,9209.0,8781.0,75200.0,743.0,-1.0,46709.0,112625.0,8000.0,-1.0,50626.0,10400.0,1145.0,483595.0,2600.0,5800.0,12000.0,5100.0,-1,476207.0
1980,2015.0,74.0,21000.0,16564.0,23315.0,4572.0,117262.0,553000.0,4900.0,-1.0,-1.0,4669.0,-1,115700.0,53561.0,1738.0,6000.0,3400.0,-1.0,83200.0,195.0,151800.0,20.0,62100.0,7200.0,8866.0,-1.0,1320.0,-1.0,950.0,5400.0,31200.0,1593.0,9.0,24.0,-1.0,2.0,114900.0,2707074.0,-1.0,116000.0,57151.0,1000.0,-1.0,-1.0,7200.0,12582.0,2707000.0,40624.0,4100.0,490.0,4100.0,7.0,6800.0,84600.0,3000.0,489.0,32000.0,-1.0,-1,1800.0,-1.0,-1.0,6100.0,714500.0,61223.0,21700.0,83200.0,16619.0,5.0,60660.0,16.0,3922.0,2421539.0,57000.0,10368.0,-1.0,29324.0,-1.0,145379.0,100.0,74874.0,-1,1292000.0,-1.0,1160.0,6000.0,27000.0,2400.0,372934.0,2804000.0,70.0,14800.0,7303.0,78100.0,703.0,-1.0,59010.0,21804.0,5400.0,-1.0,58798.0,9000.0,1145.0,528703.0,2500.0,5000.0,1000.0,7400.0,-1,500000.0
1981,2343.0,42.0,24000.0,24668.0,21628.0,5225.0,131000.0,571000.0,5043.0,-1.0,-1.0,5168.0,-1,125000.0,58002.0,9785.0,8435.0,6800.0,-1.0,98900.0,310.0,113502.0,21.0,43608.0,15300.0,10616.0,-1.0,1878.0,-1.0,950.0,6183.0,26200.0,1900.0,9.0,5.0,-1.0,11.0,96600.0,2968042.0,-1.0,121000.0,44592.0,1300.0,-1.0,-1.0,8000.0,8411.0,2968000.0,38065.0,5100.0,80.0,5264.0,11.0,6515.0,94060.0,3300.0,927.0,30700.0,-1.0,-1,2200.0,-1.0,-1.0,5000.0,748000.0,70340.0,20000.0,98900.0,8837.0,3.0,55356.0,6.0,4251.0,3406432.0,78000.0,7000.0,-1.0,27183.0,-1.0,83559.0,200.0,105869.0,-1,1339600.0,-1.0,730.0,7300.0,27000.0,1400.0,321405.0,2894000.0,140.0,15021.0,6413.0,94800.0,769.0,-1.0,55682.0,75708.0,7000.0,-1.0,51279.0,7000.0,848.0,499000.0,1900.0,4400.0,2000.0,8000.0,-1,488000.0
1982,2080.0,34.0,18000.0,31690.0,28817.0,4572.0,157995.0,636000.0,5150.0,-1.0,-1.0,6493.0,-1,101000.0,45862.0,10258.0,5743.0,7340.0,-1.0,134600.0,300.0,70700.0,21.0,40020.0,18400.0,9441.0,-1.0,1782.0,-1.0,950.0,4602.0,38200.0,1535.0,10.0,4.0,-1.0,7.0,153500.0,3598034.0,-1.0,51000.0,42902.0,1500.0,-1.0,-1.0,8100.0,8038.0,3598000.0,49876.0,5100.0,60.0,1743.0,7.0,3900.0,84500.0,3500.0,841.0,28600.0,-1.0,-1,2100.0,-1.0,-1.0,12000.0,823900.0,54940.0,15000.0,134600.0,6242.0,2.0,38433.0,4.0,6697.0,2604500.0,94000.0,23451.0,-1.0,21014.0,-1.0,151525.0,200.0,90766.0,-1,1280100.0,-1.0,800.0,6900.0,27000.0,1205.0,166177.0,2786000.0,210.0,8930.0,6500.0,87700.0,1156.0,-1.0,56454.0,63822.0,7000.0,-1.0,32973.0,13000.0,1400.0,460408.0,1600.0,4600.0,4000.0,4600.0,-1,489000.0
1983,1696.0,2.0,8000.0,32357.0,29855.0,5008.0,193500.0,527000.0,4968.0,-1.0,-1.0,6650.0,-1,134000.0,49817.0,8144.0,3415.0,7340.0,-1.0,100800.0,250.0,56000.0,21.0,40692.0,11700.0,9761.0,-1.0,1980.0,20.0,950.0,7458.0,59900.0,500.0,10.0,3.0,-1.0,6.0,190000.0,4637002.0,-1.0,43000.0,43954.0,900.0,-1.0,-1.0,11500.0,8514.0,4637000.0,54242.0,10000.0,10.0,1339.0,13.0,3221.0,34700.0,3800.0,276.0,36900.0,-1.0,-1,2250.0,-1.0,-1.0,17000.0,494589.0,41254.0,16700.0,100800.0,12357.0,0.0,37556.0,5.0,5691.0,1692000.0,91000.0,26112.0,-1.0,19745.0,-1.0,112212.0,100.0,96000.0,-1,1085700.0,-1.0,1551.0,7000.0,20000.0,1010.0,228564.0,2586000.0,1050.0,1490.0,4360.0,92700.0,1362.0,-1.0,65749.0,80648.0,5200.0,-1.0,24294.0,12000.0,1145.0,400000.0,1400.0,3900.0,4000.0,2900.0,-1,522000.0
