,Australia & New Zealand,Jamaica,Puerto Rico,American Samoa,Singapore,Syrian Arab Republic,Israel,Norway,Philippines,Iraq,Madagascar,United Kingdom,The former Yugoslav Republic of Macedonia,Thailand,Belize,Indonesia,Ethiopia,Sudan (former),Guyana,Costa Rica,Italy,Morocco,Germany,Comoros,Tunisia,Albania,China,Burkina Faso,Paraguay,Niger,"China, Hong Kong SAR",Democratic People's Republic of Korea,Switzerland,South Sudan,Spain,Kyrgyzstan,Libya,Bahamas,Cyprus,"China, Taiwan Province of",Ecuador,Réunion,Japan,Republic of Moldova,Jordan,Belgium-Luxembourg,Angola,Ethiopia PDR,Sudan,Latvia,Azerbaijan,France,Republic of Korea,Nigeria,Hungary,Turkey,Portugal,Mexico,Venezuela (Bolivarian Republic of),Kazakhstan,Djibouti,Brunei Darussalam,Greece,Ukraine,"China, mainland",French Polynesia,Tajikistan,Algeria,United Arab Emirates,Côte d'Ivoire,Polynesia,New Zealand,Bulgaria,Netherlands,Occupied Palestinian Territory
1971,32705.0,1070.0,-1.0,-1.0,50.0,12489.0,4150.0,6365.0,12500.0,68753.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,10000.0,-1.0,-1.0,38900.0,-1.0,67347.0,4000.0,-1.0,2000.0,6000.0,33000.0,16000.0,,25400.0,,8253.0,-1.0,350.0,40347.0,76789.0,1000.0,611100.0,,800.0,880.0,4000.0,12000.0,,,,9100.0,72032.0,90000.0,5956.0,65000.0,,-1.0,-1.0,,3.0,-1.0,26087.0,,21000.0,70.0,,,74.0,5200.0,70.0,32705.0,14674.0,-1.0,-1.0
1972,36203.0,1288.0,-1.0,-1.0,0.0,13179.0,3200.0,5718.0,12800.0,87150.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,12000.0,-1.0,-1.0,36500.0,-1.0,74846.0,3800.0,-1.0,1500.0,6000.0,34000.0,15000.0,,12600.0,,12009.0,-1.0,333.0,45846.0,56661.0,3000.0,603200.0,,729.0,770.0,4000.0,12000.0,,,,9000.0,71261.0,80000.0,6020.0,74000.0,,-1.0,-1.0,,3.0,-1.0,27146.0,,23000.0,70.0,,,39.0,5430.0,70.0,36203.0,15503.0,-1.0,-1.0
1973,38912.0,1022.0,-1.0,-1.0,,17795.0,4200.0,6598.0,13000.0,68665.0,,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1500.0,15000.0,-1.0,-1.0,31000.0,-1.0,75382.0,3500.0,-1.0,1000.0,5000.0,33000.0,14000.0,,21200.0,,17628.0,-1.0,368.0,45382.0,33686.0,3000.0,566300.0,,2200.0,880.0,4000.0,13000.0,,,,9700.0,72320.0,60000.0,6345.0,80000.0,,-1.0,-1.0,,3.0,-1.0,33483.0,,25000.0,70.0,,,34.0,5200.0,70.0,38912.0,18491.0,-1.0,-1.0
1974,39734.0,1069.0,-1.0,-1.0,,30593.0,3150.0,8267.0,13300.0,69633.0,45.0,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,3500.0,12000.0,-1.0,-1.0,36500.0,-1.0,76109.0,4000.0,-1.0,1200.0,7000.0,35000.0,19500.0,,23300.0,,20109.0,-1.0,263.0,42109.0,34479.0,2200.0,554500.0,,1752.0,880.0,4000.0,13500.0,,,,10100.0,75505.0,60000.0,7505.0,85000.0,,-1.0,-1.0,,3.0,-1.0,27682.0,,27000.0,36.0,,,90.0,5500.0,36.0,39734.0,16878.0,-1.0,-1.0
1975,45534.0,853.0,-1.0,-1.0,,24723.0,3900.0,7985.0,13500.0,54436.0,463.0,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1500.0,13000.0,-1.0,-1.0,37000.0,-1.0,96672.0,4000.0,-1.0,1200.0,8550.0,45000.0,19000.0,,27800.0,,22642.0,-1.0,175.0,58122.0,38926.0,815.0,554600.0,,1802.0,660.0,3000.0,14000.0,,,,10700.0,115329.0,80000.0,7563.0,97000.0,,-1.0,-1.0,,3.0,-1.0,34193.0,,30000.0,32.0,,,600.0,5800.0,32.0,45534.0,18155.0,-1.0,-1.0
1976,51672.0,1415.0,-1.0,-1.0,,25331.0,3900.0,8631.0,13842.0,63744.0,545.0,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,15000.0,-1.0,-1.0,45900.0,-1.0,105951.0,4000.0,-1.0,1300.0,10600.0,42000.0,14000.0,,26600.0,,22668.0,-1.0,263.0,62351.0,40165.0,1010.0,537100.0,,1288.0,500.0,3000.0,14000.0,,,,12254.0,97148.0,85000.0,5962.0,100000.0,,-1.0,-1.0,,3.0,-1.0,33134.0,,33000.0,35.0,,,990.0,6100.0,35.0,51672.0,15017.0,-1.0,-1.0
1977,58830.0,1741.0,-1.0,-1.0,,43664.0,3000.0,9668.0,9919.0,67500.0,180.0,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,15000.0,-1.0,-1.0,49000.0,-1.0,110872.0,4500.0,-1.0,1300.0,10620.0,60000.0,19500.0,,30500.0,,21837.0,-1.0,280.0,65252.0,33034.0,1700.0,554100.0,,333.0,550.0,4000.0,14000.0,,,,16000.0,206342.0,90000.0,5537.0,103000.0,800.0,-1.0,-1.0,,3.0,-1.0,30552.0,,35000.0,31.0,,,1414.0,6000.0,31.0,58830.0,14922.0,-1.0,-1.0
1978,61441.0,2049.0,-1.0,-1.0,,49021.0,2225.0,11031.0,11024.0,47372.0,180.0,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,14000.0,-1.0,-1.0,37600.0,-1.0,128728.0,5000.0,-1.0,1400.0,9880.0,59000.0,22000.0,,29300.0,,21797.0,-1.0,271.0,82848.0,24398.0,2090.0,564500.0,,3010.0,670.0,5000.0,14000.0,,,,15500.0,203015.0,100000.0,6616.0,105000.0,900.0,-1.0,-1.0,,3.0,-1.0,32540.0,,36000.0,29.0,,,2791.0,6000.0,29.0,61441.0,21910.0,-1.0,-1.0
1979,69025.0,3799.0,-1.0,-1.0,,37293.0,2650.0,11032.0,12301.0,32100.0,560.0,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,500.0,14400.0,-1.0,-1.0,37900.0,-1.0,126108.0,5500.0,-1.0,1400.0,10830.0,80000.0,15500.0,,25880.0,,22125.0,-1.0,490.0,77278.0,26406.0,2100.0,549600.0,,989.0,480.0,5000.0,14000.0,,,,22100.0,500626.0,100000.0,5465.0,140000.0,1000.0,-1.0,-1.0,,2.0,-1.0,32528.0,,38000.0,29.0,,,3899.0,7000.0,29.0,69025.0,14724.0,-1.0,-1.0
1980,79153.0,3486.0,-1.0,-1.0,,50247.0,2600.0,12582.0,12023.0,29700.0,560.0,,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,14800.0,-1.0,-1.0,43500.0,-1.0,138240.0,7000.0,-1.0,1500.0,11410.0,78000.0,17000.0,,27800.0,,25545.0,-1.0,306.0,86830.0,30108.0,3480.0,538900.0,,3782.0,660.0,6000.0,14000.0,,,,25800.0,454867.0,100000.0,4605.0,140000.0,1000.0,-1.0,-1.0,,1.0,-1.0,34602.0,,40000.0,32.0,,,3066.0,7200.0,32.0,79153.0,11695.0,-1.0,-1.0
1981,68874.0,5706.0,-1.0,-1.0,,60033.0,3000.0,14018.0,12842.0,41700.0,113.0,24700.0,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,13000.0,-1.0,-1.0,48600.0,-1.0,133969.0,8400.0,-1.0,1500.0,11020.0,75000.0,21000.0,,29200.0,,35000.0,-1.0,280.0,80949.0,42132.0,1500.0,568300.0,,1255.0,700.0,6000.0,14000.0,,,,25100.0,407310.0,100000.0,4485.0,140000.0,1200.0,-1.0,-1.0,,,-1.0,33420.0,,42000.0,6.0,,,5132.0,7300.0,6.0,68874.0,11266.0,-1.0,-1.0
1982,79730.0,2399.0,-1.0,-1.0,,72520.0,3570.0,15177.0,13269.0,36800.0,122.0,26700.0,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,12000.0,-1.0,-1.0,73300.0,-1.0,141553.0,10500.0,-1.0,1500.0,11240.0,80000.0,22800.0,,36100.0,,44165.0,-1.0,333.0,85313.0,41669.0,1672.0,520800.0,,810.0,400.0,7000.0,14000.0,,,,26400.0,467729.0,100000.0,4650.0,140000.0,1500.0,-1.0,-1.0,,3.0,-1.0,31279.0,,45000.0,42.0,,50.0,8516.0,8500.0,42.0,79730.0,13492.0,-1.0,-1.0
1983,70000.0,3972.0,-1.0,-1.0,,64077.0,3160.0,14313.0,13000.0,54600.0,133.0,25300.0,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,11470.0,-1.0,-1.0,52500.0,-1.0,136891.0,15000.0,-1.0,1600.0,10500.0,75000.0,21400.0,,31600.0,,48372.0,-1.0,333.0,76391.0,40670.0,1441.0,548500.0,,4671.0,450.0,7000.0,13000.0,,,,26900.0,396957.0,100000.0,3693.0,140000.0,1700.0,-1.0,-1.0,,10.0,-1.0,28821.0,,50000.0,23.0,,80.0,12958.0,8000.0,23.0,70000.0,11822.0,-1.0,-1.0
1984,95000.0,4521.0,-1.0,-1.0,,59400.0,3090.0,16385.0,12000.0,91900.0,144.0,22260.0,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,10000.0,-1.0,-1.0,60000.0,-1.0,171877.0,13000.0,10020.0,1600.0,9500.0,78000.0,31940.0,,31226.0,,54157.0,-1.0,238.0,97377.0,50705.0,1359.0,562600.0,,3061.0,440.0,8000.0,13000.0,,,,33800.0,432023.0,100000.0,4872.0,150000.0,1900.0,-1.0,-1.0,,20.0,-1.0,33521.0,,65000.0,32.0,,100.0,11156.0,7000.0,32.0,95000.0,13758.0,-1.0,-1.0
1985,90000.0,3459.0,-1.0,-1.0,,49546.0,3300.0,13198.0,11879.0,103000.0,150.0,25060.0,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,10000.0,-1.0,-1.0,55000.0,-1.0,179953.0,17220.0,10521.0,1600.0,8580.0,90000.0,27523.0,,37584.0,,54000.0,-1.0,298.0,91373.0,55475.0,1831.0,552600.0,,2156.0,400.0,8000.0,16000.0,,,,32900.0,523997.0,100000.0,4804.0,150000.0,2000.0,-1.0,-1.0,,33.0,-1.0,35900.0,,80000.0,38.0,,150.0,10490.0,6000.0,38.0,90000.0,12870.0,-1.0,-1.0
1986,80400.0,3061.0,-1.0,-1.0,,56026.0,3450.0,13943.0,12214.0,145900.0,160.0,29816.0,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,11000.0,-1.0,-1.0,63000.0,-1.0,196027.0,13760.0,10016.0,1700.0,8950.0,95000.0,17147.0,,28500.0,,54000.0,-1.0,588.0,91077.0,36835.0,1420.0,573000.0,,1037.0,440.0,9000.0,16000.0,,,,33600.0,612617.0,105000.0,4894.0,142000.0,2096.0,-1.0,-1.0,,33.0,-1.0,38612.0,,96000.0,10.0,,150.0,10000.0,5500.0,10.0,80400.0,13221.0,-1.0,-1.0
1987,60000.0,4466.0,-1.0,-1.0,,59500.0,3565.0,15150.0,11455.0,101800.0,180.0,30600.0,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,11000.0,-1.0,-1.0,63000.0,-1.0,204572.0,17494.0,6433.0,1700.0,8050.0,90000.0,24160.0,,32843.0,,54000.0,-1.0,543.0,96522.0,44230.0,2786.0,563500.0,,1528.0,440.0,9000.0,16000.0,,,,38400.0,498031.0,110000.0,4159.0,150000.0,4361.0,-1.0,-1.0,,77.0,-1.0,32515.0,,100000.0,10.0,,150.0,9189.0,5000.0,10.0,60000.0,14194.0,-1.0,-1.0
1988,85000.0,2735.0,-1.0,-1.0,,56402.0,5475.0,16851.0,9800.0,122500.0,190.0,29600.0,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,11000.0,-1.0,-1.0,79900.0,-1.0,209977.0,17796.0,8504.0,1700.0,13570.0,94000.0,24527.0,,31040.0,,54000.0,-1.0,508.0,96407.0,55883.0,3923.0,522400.0,,698.0,325.0,10000.0,16500.0,,,,39000.0,540071.0,115000.0,8561.0,165000.0,4186.0,-1.0,-1.0,,100.0,-1.0,31396.0,,100000.0,20.0,,150.0,8158.0,2956.0,20.0,85000.0,14241.0,-1.0,-1.0
1989,80000.0,3036.0,-1.0,-1.0,,50200.0,5840.0,20015.0,7823.0,96450.0,200.0,26951.0,,-1.0,-1.0,,,-1.0,-1.0,-1.0,1000.0,12000.0,-1.0,-1.0,70300.0,-1.0,230044.0,18601.0,9672.0,1700.0,13890.0,95000.0,31033.0,,31037.0,,54000.0,-1.0,473.0,96154.0,54397.0,4420.0,541900.0,,1280.0,350.0,10000.0,16500.0,,,,29100.0,548762.0,120000.0,4841.0,170000.0,2883.0,-1.0,-1.0,,77.0,-1.0,37000.0,,120000.0,22.0,,150.0,9410.0,5452.0,22.0,80000.0,13195.0,-1.0,-1.0
1990,95000.0,4212.0,-1.0,-1.0,0.0,52700.0,5275.0,23429.0,7706.0,154400.0,210.0,24357.0,,-1.0,-1.0,,,-1.0,-1.0,-1.0,973.0,13439.0,-1.0,125.0,50000.0,7800.0,226214.0,19330.0,9076.0,1767.0,10690.0,93000.0,26638.0,,34773.0,,54000.0,-1.0,446.0,83524.0,56347.0,3315.0,557700.0,,1509.0,400.0,11000.0,12375.0,,,,36000.0,465510.0,125000.0,4500.0,186000.0,2866.0,62273.0,-1.0,,100.0,19.0,47100.0,,132000.0,12.0,,120.0,7998.0,5000.0,12.0,95000.0,12365.0,7000.0,-1.0
1991,90000.0,2645.0,-1.0,-1.0,0.0,62500.0,5179.0,17174.0,6958.0,47190.0,215.0,27743.0,,-1.0,-1.0,,,-1.0,-1.0,-1.0,3522.0,13202.0,-1.0,130.0,140000.0,6000.0,242412.0,20000.0,8516.0,4050.0,7140.0,95000.0,24124.0,,28653.0,,55000.0,-1.0,429.0,90272.0,66419.0,5203.0,516700.0,,2098.0,360.0,11500.0,17000.0,,,,28800.0,534558.0,135000.0,5200.0,200000.0,2800.0,86478.0,-1.0,,99.0,27.0,68000.0,,145000.0,13.0,,180.0,8115.0,4021.0,13.0,90000.0,10881.0,3008.0,-1.0
1992,101500.0,6981.0,-1.0,-1.0,0.0,40800.0,5491.0,17488.0,6728.0,70000.0,220.0,26579.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,3536.0,13000.0,-1.0,130.0,170000.0,9300.0,253364.0,21000.0,8920.0,4137.0,5520.0,90112.0,20870.0,,25022.0,,54000.0,-1.0,420.0,97844.0,53159.0,5304.0,465000.0,500.0,2592.0,400.0,12000.0,5930.0,,-1.0,-1.0,35000.0,602851.0,150000.0,4700.0,212000.0,2800.0,70784.0,-1.0,-1.0,99.0,21.0,48000.0,-1.0,150000.0,11.0,,186.0,6806.0,3973.0,11.0,101500.0,9786.0,3390.0,-1.0
1993,140900.0,9567.0,-1.0,-1.0,-1.0,47500.0,6370.0,17570.0,5000.0,67000.0,222.0,26982.0,-1.0,-1.0,-1.0,-1.0,16872.0,-1.0,-1.0,-1.0,3000.0,13180.0,-1.0,134.0,140000.0,10500.0,257971.0,22000.0,9133.0,4225.0,5050.0,85000.0,23180.0,,25069.0,,50000.0,-1.0,350.0,92921.0,58012.0,5300.0,505600.0,500.0,487.0,442.0,11000.0,,,-1.0,-1.0,35000.0,554979.0,175000.0,5500.0,210000.0,2800.0,77655.0,-1.0,-1.0,100.0,40.0,46800.0,-1.0,160000.0,16.0,,193.0,4902.0,3924.0,16.0,140900.0,8200.0,4000.0,-1.0
1994,306700.0,13227.0,-1.0,-1.0,-1.0,53424.0,6500.0,16925.0,3000.0,65000.0,224.0,25641.0,-1.0,-1.0,-1.0,-1.0,16000.0,-1.0,-1.0,-1.0,4000.0,13519.0,-1.0,138.0,170000.0,11700.0,274551.0,20923.0,9358.0,4294.0,4302.0,90000.0,21300.0,,24693.0,,48000.0,-1.0,332.0,90249.0,64967.0,2416.0,524600.0,500.0,1886.0,545.0,11355.0,,,-1.0,-1.0,37800.0,497140.0,200000.0,5000.0,215000.0,2844.0,81917.0,-1.0,-1.0,101.0,42.0,47700.0,-1.0,180000.0,18.0,,200.0,7976.0,3849.0,18.0,306700.0,8360.0,6000.0,-1.0
1995,268200.0,15572.0,-1.0,-1.0,-1.0,66700.0,6600.0,18721.0,2376.0,75000.0,225.0,24000.0,-1.0,-1.0,7.0,,17000.0,50.0,-1.0,-1.0,2000.0,13779.0,-1.0,142.0,164000.0,11600.0,294625.0,21089.0,12111.0,4458.0,4178.0,85000.0,27038.0,,22798.0,,45000.0,-1.0,370.0,102329.0,75769.0,2400.0,533600.0,-1.0,8036.0,569.0,12000.0,,,-1.0,-1.0,45874.0,553163.0,218783.0,5175.0,235000.0,2868.0,71919.0,-1.0,-1.0,98.0,53.0,29000.0,-1.0,188118.0,20.0,,205.0,10393.0,3241.0,20.0,268200.0,8520.0,3000.0,-1.0
1996,269700.0,11799.0,-1.0,-1.0,-1.0,40233.0,6700.0,17812.0,2000.0,73000.0,230.0,28000.0,-1.0,-1.0,3.0,,18000.0,64.0,-1.0,-1.0,0.0,14000.0,-1.0,146.0,155000.0,9600.0,301821.0,25138.0,12256.0,4948.0,4000.0,86958.0,33839.0,,35200.0,,46500.0,-1.0,334.0,97821.0,78819.0,3000.0,545600.0,-1.0,5815.0,536.0,13000.0,,,-1.0,-1.0,44955.0,522633.0,234939.0,5500.0,230000.0,2892.0,83640.0,-1.0,-1.0,100.0,59.0,29000.0,-1.0,200000.0,25.0,,212.0,10020.0,2500.0,25.0,269700.0,8680.0,4000.0,7000.0
1997,220000.0,9318.0,-1.0,-1.0,-1.0,38300.0,6900.0,15121.0,1000.0,75000.0,240.0,26200.0,-1.0,-1.0,1.0,,18468.0,80.0,-1.0,50.0,0.0,14383.0,-1.0,150.0,115000.0,12000.0,334507.0,17126.0,12479.0,4831.0,3871.0,87291.0,34853.0,,35000.0,,47000.0,-1.0,350.0,115636.0,132385.0,5100.0,549300.0,-1.0,6463.0,596.0,12000.0,,,-1.0,-1.0,40861.0,484548.0,248632.0,5500.0,235000.0,2915.0,101948.0,-1.0,-1.0,103.0,56.0,29000.0,-1.0,215000.0,24.0,,220.0,13027.0,5000.0,24.0,220000.0,8840.0,6000.0,8560.0
1998,190000.0,10497.0,-1.0,8.0,-1.0,44100.0,7000.0,18093.0,0.0,75930.0,230.0,25300.0,-1.0,-1.0,1.0,,19000.0,100.0,-1.0,50.0,0.0,14718.0,-1.0,153.0,127000.0,12000.0,336538.0,17000.0,12879.0,4937.0,3755.0,86416.0,34500.0,,40810.0,,48000.0,-1.0,370.0,107783.0,96680.0,4800.0,508500.0,-1.0,2034.0,394.0,13000.0,,,-1.0,-1.0,42660.0,500492.0,218976.0,6000.0,210000.0,2939.0,102000.0,-1.0,-1.0,104.0,56.0,28000.0,-1.0,225000.0,37.0,,225.0,16206.0,4822.0,45.0,190000.0,9000.0,10000.0,5229.0
1999,220000.0,15591.0,4500.0,10.0,-1.0,40949.0,7200.0,18412.0,0.0,95000.0,240.0,26100.0,3000.0,-1.0,5.0,,19731.0,150.0,-1.0,55.0,0.0,15000.0,-1.0,156.0,113000.0,11800.0,358955.0,18250.0,15728.0,5025.0,3688.0,90000.0,30000.0,,35000.0,,50000.0,-1.0,370.0,125267.0,58971.0,1600.0,532400.0,-1.0,7552.0,440.0,10000.0,,,-1.0,-1.0,44730.0,606559.0,220249.0,6600.0,218000.0,3010.0,100000.0,-1.0,-1.0,105.0,62.0,29000.0,-1.0,230000.0,40.0,,232.0,20198.0,4911.0,50.0,220000.0,9000.0,8000.0,4969.0
2000,240000.0,15492.0,4600.0,11.0,-1.0,51360.0,7500.0,17966.0,0.0,100000.0,230.0,19000.0,2500.0,-1.0,127.0,,20205.0,250.0,-1.0,55.0,0.0,15508.0,-1.0,160.0,122000.0,12500.0,409024.0,18195.0,12213.0,4950.0,3655.0,91900.0,27952.0,,31253.0,,52500.0,-1.0,390.0,125369.0,98614.0,5000.0,536700.0,-1.0,19639.0,,13000.0,,,-1.0,-1.0,46030.0,657881.0,222120.0,4000.0,228000.0,3047.0,108900.0,-1.0,-1.0,108.0,67.0,26000.0,-1.0,280000.0,40.0,,240.0,83111.0,5070.0,50.0,240000.0,10600.0,6000.0,7090.0
