,Austria,Slovakia,USSR,Poland,Turkey,Belarus,Denmark,The former Yugoslav Republic of Macedonia,Georgia,Greece,Czechoslovakia,Czechia,Republic of Moldova,Italy,Croatia,Hungary,Germany,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Albania,Kazakhstan,United States of America,Serbia and Montenegro,Armenia,Serbia,Slovenia,Uzbekistan,Chile,Canada,Peru,Spain,Bosnia and Herzegovina,Bulgaria,Ukraine,Azerbaijan
2005,1000.0,500.0,,34433.0,17166.0,5928.0,1650.0,1100.0,-1.0,219.0,,2755.0,3043.0,1670.0,1224.0,16692.0,4226.0,59000.0,440.0,330.0,,11557.0,2800.0,44.0,14994.0,25000.0,-1.0,,58.0,2400.0,134.0,856.0,151.0,600.0,1260.0,2303.0,20600.0,2409.0
2006,1000.0,450.0,,36608.0,17380.0,6056.0,1773.0,1126.0,-1.0,217.0,,1818.0,2992.0,1700.0,1454.0,10392.0,4202.0,58000.0,450.0,334.0,,16000.0,2700.0,25.0,15054.0,,-1.0,35000.0,58.0,3093.0,129.0,925.0,160.0,700.0,2100.0,3593.0,20400.0,2425.0
2007,1000.0,450.0,,37634.0,19500.0,6097.0,1600.0,1200.0,-1.0,216.0,,1827.0,3045.0,1541.0,2500.0,11359.0,3426.0,58000.0,470.0,335.0,,17000.0,2500.0,30.0,14063.0,,737.0,40000.0,36.0,3200.0,87.0,858.0,158.0,500.0,1600.0,3706.0,20300.0,2505.0
2008,1000.0,400.0,,36176.0,19800.0,6165.0,1550.0,1300.0,,300.0,,1789.0,2909.0,1500.0,2400.0,13073.0,3405.0,35000.0,450.0,336.0,,13350.0,2576.0,23.0,14063.0,,737.0,35000.0,36.0,3000.0,87.0,848.0,198.0,600.0,1697.0,3600.0,20100.0,2634.0
2009,1000.0,301.0,,35464.0,20110.0,6277.0,1083.0,1300.0,,280.0,,1750.0,2891.0,1600.0,2975.0,13522.0,3259.0,35000.0,442.0,183.0,,13350.0,2589.0,40.0,14387.0,,763.0,38000.0,16.0,3200.0,85.0,994.0,198.0,700.0,1900.0,2711.0,20000.0,2768.0
2010,850.0,174.0,,33019.0,19923.0,6379.0,436.0,799.0,,200.0,,1720.0,2931.0,1585.0,3218.0,13536.0,2908.0,35000.0,442.0,177.0,,13350.0,2600.0,40.0,14427.0,,756.0,28000.0,14.0,3300.0,82.0,1034.0,205.0,500.0,1929.0,2711.0,20000.0,3084.0
2011,1560.0,162.0,,33982.0,19863.0,6474.0,1403.0,1078.0,,224.0,,1542.0,2885.0,1615.0,3434.0,13388.0,2855.0,35000.0,441.0,177.0,,14890.0,3000.0,40.0,14569.0,,740.0,35000.0,14.0,3477.0,82.0,849.0,209.0,600.0,2061.0,2823.0,20000.0,3170.0
2012,883.0,47.0,,33731.0,19270.0,6461.0,1300.0,1350.0,,130.0,,1586.0,2950.0,1596.0,2896.0,13250.0,2279.0,35000.0,439.0,169.0,,14968.0,3000.0,80.0,15095.0,,769.0,36000.0,15.0,3869.0,84.0,872.0,221.0,480.0,1541.0,1470.0,20100.0,3225.0
2013,1295.0,31.0,,33667.0,21707.0,6444.0,1090.0,1472.0,,90.0,,1488.0,2664.0,1604.0,2568.0,13990.0,2212.0,35000.0,438.0,169.0,,16817.0,3000.0,40.0,15439.0,,789.0,13990.0,8.0,3994.0,67.0,843.0,224.0,386.0,2235.0,1441.0,20300.0,3283.0
2014,1500.0,54.0,,32070.0,21703.0,6438.0,972.0,1323.0,,170.0,,1432.0,2632.0,1611.0,2762.0,13580.0,2170.0,36000.0,437.0,165.0,,17496.0,3000.0,30.0,15317.0,,771.0,13990.0,8.0,4440.0,68.0,868.0,214.0,0.0,1995.0,958.0,19700.0,3449.0
