,Ukraine,Georgia,Tajikistan,Austria,Belarus,Croatia,Bhutan,Poland,USSR,Slovakia,Brazil,Bosnia and Herzegovina,United Republic of Tanzania,Nepal,China,Canada,Uzbekistan,Japan,Ireland,Latvia,Republic of Korea,Kyrgyzstan,France,South Africa,Hungary,Greece,Kazakhstan,Estonia,Bulgaria,United States of America,Yugoslav SFR,Serbia and Montenegro,Guatemala,Lithuania,Slovenia,Czechoslovakia,"China, mainland",Russian Federation,Czechia,Republic of Moldova
1974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4300.0,33000.0,840000.0,-1.0,35500.0,-1.0,-1.0,-1.0,2400000.0,26475.0,-1.0,28400.0,-1,-1.0,4267.0,-1.0,14520.0,11863.0,-1.0,-1,-1.0,-1.0,-1.0,19500.0,2211.0,-1.0,-1,-1.0,-1.0,90.0,2400000.0,-1.0,-1.0,-1.0
1975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4400.0,20259.0,420000.0,-1.0,46000.0,-1.0,-1.0,-1.0,2700000.0,22000.0,-1.0,21300.0,-1,-1.0,4404.0,-1.0,13460.0,17896.0,-1.0,-1,-1.0,-1.0,-1.0,20000.0,2051.0,-1.0,-1,-1.0,-1.0,16.0,2700000.0,-1.0,-1.0,-1.0
1976,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4600.0,33647.0,770000.0,-1.0,28500.0,-1.0,-1.0,-1.0,2563000.0,19800.0,-1.0,17900.0,-1,-1.0,5093.0,-1.0,8150.0,3015.0,-1.0,-1,-1.0,-1.0,-1.0,20500.0,1719.0,-1.0,-1,-1.0,-1.0,14.0,2563000.0,-1.0,-1.0,-1.0
1977,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4800.0,36206.0,895000.0,-1.0,22000.0,-1.0,-1.0,-1.0,2007000.0,43800.0,-1.0,20200.0,-1,-1.0,10360.0,-1.0,8100.0,2690.0,-1.0,-1,-1.0,-1.0,-1.0,23000.0,1609.0,-1.0,-1,-1.0,-1.0,2.0,2007000.0,-1.0,-1.0,-1.0
1978,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5000.0,57726.0,850000.0,-1.0,44500.0,-1.0,-1.0,-1.0,2550000.0,72700.0,-1.0,26400.0,-1,-1.0,10578.0,-1.0,9610.0,8400.0,-1.0,-1,-1.0,-1.0,-1.0,23500.0,1505.0,-1.0,-1,-1.0,-1.0,2.0,2550000.0,-1.0,-1.0,-1.0
1979,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5500.0,89964.0,717000.0,-1.0,31500.0,-1.0,-1.0,-1.0,2799000.0,36100.0,-1.0,22900.0,-1,-1.0,7607.0,-1.0,7804.0,5720.0,-1.0,-1,-1.0,-1.0,-1.0,32000.0,1580.0,-1.0,-1,-1.0,-1.0,2.0,2799000.0,-1.0,-1.0,-1.0
1980,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5800.0,99046.0,871000.0,-1.0,27000.0,-1.0,-1.0,-1.0,2150000.0,25600.0,-1.0,16100.0,-1,-1.0,7745.0,-1.0,7460.0,2880.0,-1.0,-1,-1.0,-1.0,-1.0,45000.0,2000.0,-1.0,-1,-1.0,-1.0,14.0,2150000.0,-1.0,-1.0,-1.0
1981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5650.0,130405.0,476000.0,-1.0,50000.0,-1.0,-1.0,-1.0,2600000.0,52800.0,-1.0,18000.0,-1,-1.0,7210.0,-1.0,7200.0,2771.0,-1.0,-1,-1.0,-1.0,-1.0,48000.0,1000.0,-1.0,-1,-1.0,-1.0,24.0,2600000.0,-1.0,-1.0,-1.0
1982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6200.0,69376.0,932000.0,-1.0,44000.0,-1.0,-1.0,-1.0,2400000.0,29000.0,-1.0,19100.0,-1,-1.0,17515.0,-1.0,7700.0,871.0,-1.0,-1,-1.0,-1.0,-1.0,52000.0,2000.0,-1.0,-1,-1.0,-1.0,71.0,2400000.0,-1.0,-1.0,-1.0
1983,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6500.0,44745.0,896000.0,-1.0,35000.0,-1.0,-1.0,-1.0,2450000.0,35900.0,-1.0,17200.0,-1,-1.0,7513.0,-1.0,8700.0,572.0,-1.0,-1,-1.0,-1.0,-1.0,65000.0,2267.0,-1.0,-1,-1.0,-1.0,19.0,2450000.0,-1.0,-1.0,-1.0
1984,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7968.0,58947.0,965000.0,-1.0,30000.0,-1.0,-1.0,-1.0,2658000.0,23100.0,-1.0,18400.0,-1,-1.0,7257.0,-1.0,7700.0,492.0,-1.0,-1,-1.0,-1.0,-1.0,73000.0,1644.0,-1.0,-1,-1.0,-1.0,15.0,2658000.0,-1.0,-1.0,-1.0
1985,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,7100.0,38611.0,1000000.0,-1.0,30000.0,-1.0,-1.0,-1.0,2100000.0,21700.0,-1.0,17300.0,-1,-1.0,7283.0,-1.0,6600.0,1037.0,-1.0,-1,-1.0,-1.0,-1.0,78000.0,2020.0,-1.0,-1,-1.0,-1.0,12.0,2100000.0,-1.0,-1.0,-1.0
1986,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,5850.0,31902.0,875000.0,-1.0,35000.0,-1.0,-1.0,-1.0,1805000.0,38600.0,-1.0,18400.0,-1,-1.0,11195.0,-1.0,6900.0,1051.0,-1.0,-1,-1.0,-1.0,-1.0,92000.0,2562.0,-1.0,-1,-1.0,-1.0,2.0,1805000.0,-1.0,-1.0,-1.0
1987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5800.0,61478.0,1125000.0,-1.0,40000.0,-1.0,-1.0,-1.0,2100000.0,44100.0,-1.0,18400.0,-1,-1.0,11627.0,-1.0,7200.0,954.0,-1.0,-1,-1.0,-1.0,-1.0,95000.0,1704.0,-1.0,-1,-1.0,-1.0,2.0,2100000.0,-1.0,-1.0,-1.0
1988,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,72559.0,902000.0,-1.0,56000.0,-1.0,-1.0,-1.0,1900000.0,22700.0,-1.0,20650.0,-1,-1.0,8827.0,-1.0,20300.0,142.0,-1.0,-1,-1.0,-1.0,-1.0,108000.0,887.0,-1.0,-1,-1.0,-1.0,0.0,1900000.0,-1.0,-1.0,-1.0
1989,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6100.0,71386.0,1140000.0,-1.0,44000.0,-1.0,-1.0,-1.0,1700000.0,18800.0,-1.0,20500.0,-1,-1.0,5213.0,-1.0,22170.0,300.0,-1.0,-1,-1.0,-1.0,-1.0,112000.0,1480.0,-1.0,-1,-1.0,-1.0,-1.0,1700000.0,-1.0,-1.0,-1.0
1990,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,7825.0,42540.0,1417000.0,-1.0,52000.0,-1.0,-1.0,-1.0,1900000.0,30700.0,-1.0,20900.0,-1,-1.0,4945.0,-1.0,22417.0,300.0,-1.0,-1,-1.0,-1.0,-1.0,123104.0,904.0,-1.0,-1,-1.0,-1.0,0.0,1900000.0,-1.0,-1.0,-1.0
1991,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,4650.0,39197.0,1217000.0,-1.0,47000.0,-1.0,-1.0,-1.0,2500000.0,23300.0,-1.0,19700.0,-1,-1.0,6604.0,-1.0,29700.0,291.0,662.0,-1,-1.0,-1.0,-1.0,95000.0,864.0,-1.0,-1,-1.0,-1.0,0.0,2500000.0,-1.0,-1.0,-1.0
1992,351067.0,-1.0,5609.0,0.0,8000.0,45.0,5239.0,35962.0,-1.0,-1.0,38000.0,-1.0,-1.0,-1.0,3100000.0,10750.0,260.0,21700.0,-1,40.0,8169.0,-1.0,26200.0,289.0,650.0,-1,220000.0,114.0,-1.0,93000.0,-1.0,155.0,-1,200.0,308.0,0.0,3100000.0,1037620.0,-1.0,2285.0
1993,528000.0,-1.0,5600.0,0.0,18000.0,42.0,6000.0,50564.0,-1.0,455.0,53000.0,-1.0,-1.0,-1.0,2500000.0,7600.0,-1.0,20000.0,-1,100.0,4429.0,-1.0,31800.0,287.0,700.0,-1,130000.0,122.0,2000.0,85000.0,-1.0,0.0,-1,1300.0,303.0,-1.0,2500000.0,805900.0,3000.0,5477.0
1994,342000.0,-1.0,-1.0,0.0,4000.0,3.0,5135.0,30054.0,-1.0,450.0,48962.0,-1.0,-1.0,-1.0,2314000.0,12400.0,-1.0,18000.0,-1,100.0,5479.0,-1.0,25900.0,285.0,900.0,-1,84000.0,100.0,3460.0,92000.0,-1.0,-1.0,-1,200.0,1091.0,-1.0,2314000.0,781500.0,2377.0,3488.0
1995,340500.0,-1.0,5308.0,0.0,13700.0,26.0,4974.0,45402.0,-1.0,460.0,50000.0,-1.0,-1.0,-1.0,2200000.0,21200.0,-1.0,21100.0,-1,40.0,6994.0,-1.0,16593.0,283.0,1000.0,-1,53000.0,50.0,5000.0,82000.0,-1.0,-1.0,-1,600.0,856.0,-1.0,2200000.0,597000.0,2000.0,1733.0
1996,301000.0,-1.0,18839.0,0.0,17800.0,26.0,5000.0,51023.0,-1.0,440.0,48814.0,-1.0,-1.0,-1.0,2180000.0,22200.0,-1.0,24000.0,-1,100.0,4884.0,-1.0,15258.0,280.0,1279.0,-1,29430.0,46.0,-1.0,63000.0,-1.0,-1.0,-1,1500.0,665.0,-1.0,2180000.0,485450.0,1500.0,2535.0
1997,405100.0,-1.0,8265.0,0.0,15000.0,17.0,4709.0,49313.0,-1.0,450.0,48712.0,-1.0,-1.0,-1.0,2365000.0,16500.0,-1.0,20000.0,-1,800.0,4730.0,-1.0,19383.0,278.0,977.0,-1,18320.0,47.0,-1.0,80000.0,-1.0,-1.0,-1,3500.0,498.0,-1.0,2365000.0,630450.0,2000.0,3911.0
1998,340900.0,-1.0,6.0,0.0,14000.0,140.0,4560.0,57987.0,-1.0,420.0,48857.0,-1.0,-1.0,-1.0,2000000.0,14800.0,-1.0,17900.0,-1,1600.0,3859.0,-1.0,25593.0,276.0,778.0,-1,11940.0,157.0,-1.0,74931.0,-1.0,-1.0,-1,8000.0,471.0,-1.0,2000000.0,465940.0,2500.0,3645.0
1999,222100.0,-1.0,1.0,0.0,8800.0,139.0,4000.0,60321.0,-1.0,430.0,48928.0,-1.0,300.0,-1.0,1700000.0,12500.0,-1.0,23000.0,-1,2200.0,4505.0,100.0,25390.0,250.0,989.0,-1,16100.0,64.0,-1.0,63000.0,-1.0,-1.0,-1,8600.0,687.0,-1.0,1700000.0,578760.0,3219.0,5913.0
2000,480600.0,13.0,17.0,0.0,18000.0,167.0,3000.0,73384.0,-1.0,450.0,49011.0,-1.0,400.0,-1.0,1950000.0,13600.0,-1.0,28500.0,-1,5905.0,2898.0,70.0,36934.0,300.0,655.0,-1,28700.0,548.0,-1.0,65000.0,-1.0,-1.0,-1,14700.0,683.0,-1.0,1950000.0,997600.0,3000.0,7405.0
2001,387600.0,52.0,8.0,0.0,16000.0,132.0,4000.0,58661.0,-1.0,420.0,49073.0,-1.0,750.0,-1.0,1250000.0,16300.0,-1.0,26000.0,-1,9800.0,3796.0,300.0,58872.0,271.0,769.0,-1,44900.0,585.0,-1.0,70185.0,-1.0,-1.0,-1,12700.0,802.0,-1.0,1250000.0,574360.0,2500.0,5001.0
2002,209400.0,60.0,38.0,0.0,7000.0,115.0,2786.0,40042.0,-1.0,450.0,48000.0,-1.0,1000.0,6000.0,968000.0,12200.0,-1.0,25400.0,-1,8300.0,3725.0,300.0,80788.0,269.0,831.0,-1,29647.0,67.0,-1.0,71060.0,-1.0,-1.0,-1,10600.0,1264.0,-1.0,968000.0,302480.0,2000.0,999.0
2003,310900.0,50.0,18.0,0.0,11605.0,121.0,2190.0,37657.0,-1.0,470.0,49745.0,-1.0,1500.0,6500.0,1340000.0,9900.0,-1.0,26800.0,-1,5400.0,2552.0,507.0,101729.0,267.0,500.0,-1,48424.0,159.0,-1.0,71061.0,-1.0,-1.0,-1,14700.0,560.0,-1.0,1340000.0,525350.0,2500.0,1340.0
2004,293600.0,100.0,0.0,0.0,11893.0,100.0,2508.0,61697.0,-1.0,460.0,50072.0,-1.0,2000.0,7000.0,900000.0,1500.0,-1.0,20400.0,-1,6900.0,2012.0,470.0,143901.0,264.0,392.0,-1,52387.0,144.0,-1.0,70344.0,-1.0,-1.0,-1,13000.0,244.0,-1.0,900000.0,649560.0,2277.0,1129.0
2005,274700.0,100.0,0.0,0.0,7268.0,150.0,7090.0,72096.0,-1.0,409.0,50000.0,-1.0,3500.0,7100.0,750000.0,4600.0,-1.0,31200.0,-1,9900.0,2243.0,347.0,124217.0,262.0,463.0,-1,43700.0,485.0,-1.0,69283.0,-1.0,-1.0,-1,15700.0,1453.0,-1.0,750000.0,605640.0,2000.0,964.0
2006,229200.0,100.0,0.0,0.0,5142.0,200.0,8523.0,54161.0,-1.0,340.0,51000.0,-1.0,4000.0,7200.0,440000.0,7400.0,-1.0,33000.0,-1,6900.0,3479.0,270.0,87000.0,260.0,205.0,-1,58930.0,83.0,-1.0,66000.0,-1.0,-1.0,-1,8900.0,497.0,-1.0,440000.0,865243.0,2069.0,526.0
2007,217400.0,100.0,0.0,0.0,12997.0,350.0,7994.0,84236.0,-1.0,150.0,52000.0,-1.0,5000.0,7800.0,650000.0,2300.0,-1.0,26300.0,-1,11100.0,2447.0,195.0,117148.0,257.0,472.0,-1,81400.0,337.0,-1.0,68000.0,-1.0,-1.0,-1,20900.0,761.0,-1.0,650000.0,1004433.0,1961.0,437.0
2008,240600.0,100.0,0.0,0.0,18016.0,200.0,5275.0,68726.0,-1.0,87.0,53445.0,-1.0,6000.0,7900.0,640000.0,0.0,-1.0,23200.0,-1,7100.0,2545.0,131.0,98000.0,255.0,335.0,-1,16570.0,200.0,-1.0,83000.0,-1.0,-1.0,-1,20900.0,733.0,-1.0,640000.0,924110.0,2234.0,483.0
2009,188600.0,100.0,0.0,0.0,19430.0,300.0,3898.0,81226.0,-1.0,84.0,54542.0,-1.0,7500.0,8300.0,570000.0,0.0,-1.0,15300.0,-1,4800.0,2210.0,48.0,114500.0,252.0,235.0,-1,61580.0,91.0,-1.0,81371.0,-1.0,-1.0,-1,14700.0,944.0,-1.0,570000.0,564040.0,2291.0,580.0
2010,133700.0,100.0,0.0,0.0,18400.0,300.0,3950.0,97220.0,-1.0,54.0,55598.0,816.0,8000.0,8320.0,500000.0,0.0,-1.0,29700.0,-1,5500.0,1954.0,110.0,125900.0,250.0,407.0,-1,26960.0,100.0,-1.0,78704.0,-1.0,-1.0,-1,14000.0,1370.0,-1.0,500000.0,339293.0,2429.0,480.0
2011,281600.0,100.0,0.0,0.0,44471.0,340.0,8337.0,92985.0,-1.0,737.0,57000.0,926.0,8800.0,8841.0,780000.0,0.0,-1.0,32000.0,-1,9600.0,2370.0,79.0,91400.0,235.0,681.0,-1,37430.0,200.0,-1.0,78262.0,-1.0,-1.0,-1,26000.0,1245.0,-1.0,780000.0,800375.0,2431.0,239.0
2012,238700.0,100.0,0.0,0.0,39328.0,352.0,4303.0,94421.0,-1.0,168.0,60000.0,669.0,18000.0,10021.0,675000.0,100.0,-1.0,44600.0,-1,8000.0,2512.0,61.0,105000.0,240.0,110.0,-1,48040.0,200.0,-1.0,82000.0,-1.0,-1.0,-1,30600.0,1340.0,-1.0,675000.0,796551.0,2500.0,64.0
2013,179020.0,125.0,0.0,0.0,30329.0,390.0,4384.0,90874.0,-1.0,49.0,62000.0,977.0,20000.0,10056.0,633000.0,401.0,-1.0,33400.0,-1,10900.0,1923.0,25.0,154800.0,250.0,370.0,-1,83565.0,400.0,-1.0,81000.0,-1.0,-1.0,-1,28300.0,1052.0,-1.0,633000.0,833936.0,2400.0,40.0
2014,167440.0,109.0,0.0,0.0,18382.0,495.0,4294.0,83499.0,-1.0,67.0,64000.0,926.0,24148.0,10335.0,564900.0,401.0,-1.0,31100.0,-1,8500.0,1934.0,22.0,111300.0,239.0,530.0,-1,46530.0,600.0,-1.0,83000.0,-1.0,-1.0,-1,35600.0,1279.0,-1.0,564900.0,661764.0,2500.0,188.0
