,Lebanon,Senegal,Togo,Finland,Cuba,Ghana,Kenya,Cameroon,Laos,Bangladesh,Benin,Jamaica,Romania,Dominica,Mongolia,Bulgaria,Paraguay,Moldova,Sweden,South Africa,Cambodia,Hong Kong,Lesotho,Trinidad and Tobago,Mali,United States,Tajikistan,Turkmenistan,Gabon,Cabo Verde,Central African Republic,Iran,Fiji,Lithuania,Taiwan,Cyprus,Angola,Gambia,Sudan (former),Slovakia,Oman,Djibouti,Suriname,Liberia,Croatia,Vietnam,Saudi Arabia,Denmark,Timor,Ecuador,Bahamas,South Korea,Australia,Sao Tome and Principe,Antigua and Barbuda,Myanmar,Belize,Spain,Guyana,Slovenia,Serbia,Iraq,Brazil,Sri Lanka,United Arab Emirates,Honduras,Thailand,Rwanda,Congo,Mauritania,Netherlands,Bermuda,Tanzania,Bosnia and Herzegovina,Sierra Leone,Uruguay,Egypt,Israel,Morocco,Kyrgyzstan,Azerbaijan,Dominican Republic,Burma,Netherlands Antilles,New Zealand,Uzbekistan,Philippines,Montenegro,Ethiopia,Panama,Latvia,Saint Kitts and Nevis,Norway,Afghanistan,Haiti,Kiribati,Albania,Pakistan,El Salvador,Belgium,Switzerland,Germany,Zambia,Yugoslavia,Indonesia,Georgia,China,Sudan,USSR,Iceland,Poland,Nigeria,Malta,India,Austria,Kuwait,Macao,Botswana,Cote d'Ivoire,Ukraine,Mexico,Tunisia,Serbia and Montenegro,Saint Lucia,Niger,Mauritius,Solomon Islands,Chad,Malawi,Yemen,Saint Vincent and the Grenadines,France,Nepal,Bolivia,Vanuatu,Namibia,Greece,Maldives,Czech Republic,Kazakhstan,Algeria,Belarus,Ireland,Nicaragua,Madagascar,Brunei,United Kingdom,Malaysia,French Polynesia,Costa Rica,Barbados,Peru,Guatemala,Turkey,Swaziland,Jordan,Hungary,Burkina Faso,Colombia,Uganda,Japan,Luxembourg,Argentina,Italy,Zimbabwe,New Caledonia,Chile,Grenada,Czechoslovakia,Estonia,North Korea,Macedonia,Mozambique,Venezuela,Guinea-Bissau,Canada,Russia,Portugal,Armenia,Guinea,Samoa
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,63.55,61.91,42.16,95.53,49.68,41.54,69.7,54.26,49.28,45.49,41.02,51.91,87.52,40.36,85.24,90.69,67.48,95.9,86.13,70.67,41.72,66.33,64.19,57.31,49.94,95.21,95.9,95.9,52.11,42.06,32.78,50.06,51.97,95.9,61.72,66.86,36.61,52.87,49.35,,,41.94,50.5,39.26,,45.47,45.87,82.33,62.32,50.05,73.09,56.84,104.89,50.08,58.69,37.46,59.67,78.93,56.2,,,48.68,56.24,42.76,86.98,51.21,42.3,46.84,35.03,87.43,87.84,88.18,41.92,,38.94,86.59,57.27,88.87,54.48,95.9,95.9,37.54,,82.28,96.3,95.9,41.42,,60.91,52.94,95.9,33.83,87.05,84.91,43.32,50.9,66.11,54.43,41.98,89.48,94.98,79.25,61.7,90.36,35.22,95.9,39.5,,95.9,120.58,96.52,45.57,87.39,52.07,88.77,75.73,59.31,70.52,50.36,95.9,62.62,59.63,,38.21,45.05,49.15,47.41,71.81,60.4,52.49,41.76,103.0,45.54,46.23,57.83,63.97,83.72,30.53,,95.9,45.01,95.9,101.88,56.2,63.15,46.15,91.22,46.86,68.67,48.47,61.63,54.9,51.31,93.18,65.7,53.6,84.97,42.24,49.48,54.49,74.19,,105.72,82.54,62.58,70.97,65.86,42.53,89.17,95.9,61.45,,33.73,54.41,31.53,91.13,95.9,69.91,95.9,43.47,45.0
1962,64.84,61.73,47.18,92.35,51.07,39.77,69.39,53.46,49.18,44.85,41.68,55.5,87.08,44.56,77.19,90.29,65.45,98.07,84.6,68.22,41.04,67.75,62.55,59.37,51.03,94.58,98.07,98.07,53.02,41.89,34.71,49.15,53.19,98.07,61.04,68.68,37.47,53.82,54.75,,,43.75,48.34,38.96,,47.07,46.65,78.53,62.46,50.32,71.69,56.05,107.88,47.08,57.68,38.66,62.38,80.7,55.12,,,52.02,57.08,42.41,81.33,49.65,45.38,47.43,35.03,85.72,88.76,90.99,41.56,,40.5,83.57,61.2,91.13,53.19,98.07,98.07,39.95,,87.97,99.11,98.07,40.08,,60.78,52.41,98.07,35.23,88.32,82.98,43.86,53.93,66.12,54.74,43.66,87.92,89.96,80.81,61.43,93.02,35.0,98.07,42.88,,98.07,122.88,96.72,46.7,86.47,52.42,89.72,75.92,59.51,67.64,52.05,98.07,61.7,59.93,,38.3,45.95,49.84,48.7,75.75,60.47,52.42,44.13,103.6,45.85,47.21,58.63,66.91,83.57,32.31,,98.07,43.54,98.07,102.36,54.67,62.44,48.84,92.85,48.76,67.69,48.2,61.6,54.91,50.83,92.1,65.21,54.28,91.77,41.08,49.94,53.88,75.37,,103.74,83.18,63.34,71.54,66.15,44.89,90.76,98.07,61.97,,33.77,53.48,30.84,90.47,98.07,73.21,98.07,42.9,45.16
1963,64.06,66.03,46.7,94.28,57.38,38.47,64.86,54.31,49.56,45.81,39.99,56.71,86.71,45.29,78.9,91.52,63.26,99.73,84.32,70.1,42.81,65.52,63.53,59.73,51.34,95.6,99.73,99.73,53.17,40.73,34.23,49.43,56.68,99.73,61.03,69.57,37.65,55.43,53.08,,,40.99,51.24,39.0,,47.23,47.39,79.57,61.21,51.26,71.28,56.05,109.08,49.64,55.32,39.71,58.46,81.09,54.63,,,54.14,57.62,42.72,78.91,50.31,48.39,50.83,35.42,85.15,89.23,89.0,42.39,,42.28,85.02,60.39,89.27,54.49,99.73,99.73,40.27,,93.3,98.8,99.73,41.33,,60.24,54.6,99.73,37.23,85.22,77.12,44.07,56.18,64.58,54.3,44.09,88.95,91.29,80.09,61.51,92.37,34.4,99.73,44.07,,99.73,117.15,97.8,46.31,89.65,50.45,90.36,72.92,61.86,70.75,55.25,99.73,61.99,59.27,,36.95,48.34,48.54,48.95,75.06,63.38,53.38,41.4,103.1,46.19,48.74,61.21,66.16,86.61,32.12,,99.73,40.26,99.73,102.89,55.12,63.87,50.24,92.64,49.73,65.11,49.56,65.53,51.05,53.13,92.87,62.66,56.0,91.4,45.22,48.74,53.67,76.86,,104.42,85.95,62.72,72.34,68.56,46.87,92.22,99.73,65.04,,33.69,54.13,31.39,92.52,99.73,75.07,99.73,41.27,46.1
1964,65.91,70.36,48.76,91.34,55.07,37.66,66.35,53.17,50.65,45.86,39.28,58.76,86.53,45.65,80.92,92.66,64.31,97.29,85.9,70.54,42.65,67.8,62.16,61.91,51.82,97.37,97.29,97.29,53.42,43.33,34.34,50.38,59.37,97.29,62.16,72.63,40.16,55.6,54.53,,,42.23,56.05,39.73,,47.01,47.48,80.26,64.01,50.65,72.8,55.84,110.26,47.06,57.46,40.63,58.39,78.45,57.24,,,55.72,59.36,48.55,74.89,50.25,48.12,49.74,36.61,84.11,87.76,89.32,40.39,,43.65,88.48,62.94,92.97,57.36,97.29,97.29,42.15,,91.61,96.37,97.29,41.82,,59.49,53.63,97.29,38.64,86.51,83.49,42.29,60.04,65.59,58.24,43.54,90.5,90.83,82.13,59.78,94.45,35.03,97.29,45.96,,97.29,121.72,98.74,45.98,89.87,50.44,91.18,78.15,65.22,70.63,58.18,97.29,64.04,58.61,,39.33,45.56,49.95,51.44,74.41,66.3,53.09,41.23,101.64,46.5,46.26,59.8,66.09,88.36,33.79,,97.29,40.11,97.29,101.42,56.8,65.29,46.65,93.15,47.99,66.67,50.21,65.38,55.09,54.66,91.37,62.35,55.7,90.39,48.66,50.18,54.22,74.72,,95.52,87.24,61.68,72.76,67.22,48.38,93.23,97.29,67.26,,33.82,58.71,31.77,91.0,97.29,73.83,97.29,45.07,48.16
1965,66.89,69.6,50.98,91.45,53.85,36.08,69.96,52.05,51.12,44.76,42.73,57.36,86.81,47.45,83.62,95.41,66.61,97.0,85.8,74.89,42.93,67.83,63.94,59.51,49.97,96.56,97.0,97.0,53.53,46.44,34.38,50.09,61.42,97.0,62.41,72.95,38.93,56.25,49.64,,,40.45,54.97,38.87,,46.86,48.07,77.93,63.96,53.92,72.52,60.38,107.81,48.59,57.62,39.27,56.61,77.68,55.46,,,55.32,60.39,45.48,72.85,50.46,45.98,49.95,34.67,81.7,86.09,89.08,41.07,,46.03,83.38,61.56,90.99,58.2,97.0,97.0,39.58,,90.46,92.87,97.0,43.52,,59.7,51.98,97.0,39.26,87.04,83.86,44.59,57.64,66.63,59.84,43.8,88.5,91.93,83.39,59.49,94.33,35.1,97.0,47.5,,97.0,119.01,100.93,42.78,90.68,49.19,89.69,78.81,58.1,71.3,58.58,97.0,63.76,62.0,,38.63,54.2,47.47,49.28,73.7,67.22,52.7,43.52,102.33,46.68,48.2,61.27,66.24,92.51,50.6,,97.0,42.1,97.0,103.22,58.47,63.11,47.63,92.19,47.94,71.5,53.74,67.62,52.26,53.51,92.08,62.6,55.55,92.95,48.83,49.69,53.98,77.65,,100.01,88.86,60.41,74.54,68.21,49.69,94.11,97.0,65.56,,35.36,56.45,31.98,94.36,97.0,77.35,97.0,42.77,46.73
1966,67.38,67.67,48.83,91.28,53.23,39.96,69.15,54.16,51.95,44.12,40.43,58.51,88.9,44.09,84.8,98.22,68.03,97.26,87.37,73.08,43.57,69.52,60.51,60.88,51.46,98.32,97.26,97.26,54.27,44.19,34.17,54.1,55.93,97.26,61.87,75.67,38.98,56.27,49.21,,,40.85,53.73,42.27,,46.45,49.2,80.47,65.13,53.01,76.89,61.91,111.08,52.05,56.54,37.41,56.19,82.09,56.99,,,55.86,60.55,48.54,76.64,51.19,50.76,58.89,33.97,81.33,88.67,93.15,43.24,,47.38,82.78,64.06,95.08,55.75,97.26,97.26,41.86,,88.09,96.98,97.26,42.8,,58.16,55.77,97.26,40.55,87.72,79.17,44.04,59.31,64.92,55.96,43.93,90.0,89.93,82.86,63.24,96.57,35.94,97.26,48.47,,97.26,119.8,101.9,39.31,88.47,48.63,89.06,76.65,57.35,68.2,57.9,97.26,65.26,60.39,,41.07,54.16,48.45,53.2,72.37,67.54,52.61,46.66,101.44,46.13,47.28,61.29,67.49,92.78,52.04,,97.26,41.61,97.26,102.83,60.92,64.98,54.57,91.27,48.61,78.85,50.98,67.43,52.35,53.0,92.82,61.71,54.56,96.12,48.74,46.95,50.93,78.57,,100.42,90.24,60.8,74.01,71.53,54.04,94.72,97.26,66.69,,34.71,56.02,32.68,93.24,97.26,75.33,97.26,42.69,44.37
1967,67.85,72.2,52.48,89.53,57.65,42.37,69.08,51.69,51.94,41.42,44.7,62.46,88.86,43.44,84.65,96.81,67.72,99.22,86.58,72.73,44.2,71.99,60.69,60.65,53.25,98.73,99.22,99.22,54.01,43.52,35.22,55.67,55.53,99.22,63.55,80.92,41.13,55.36,52.69,,,39.94,54.29,40.52,,46.17,48.88,78.75,63.25,53.05,75.84,65.71,105.62,53.63,47.4,37.46,57.1,82.8,57.77,,,56.03,62.25,48.79,80.34,53.52,48.79,60.62,34.23,81.65,91.43,92.31,41.78,,48.17,78.59,59.85,95.13,57.67,99.22,99.22,40.91,,92.26,93.31,99.22,43.36,,58.52,55.63,99.22,43.33,85.52,85.25,44.06,60.85,66.39,56.26,43.53,90.19,87.39,83.53,62.66,98.46,35.91,99.22,47.4,,99.22,111.1,100.89,40.75,88.1,49.47,88.97,78.34,50.68,69.53,58.86,99.22,66.44,62.26,,40.91,56.83,46.38,55.9,71.08,65.1,52.44,42.95,101.91,45.55,48.37,63.35,66.8,95.65,55.3,,99.22,43.13,99.22,104.5,61.91,65.86,55.37,91.2,49.29,77.81,51.58,73.93,54.19,53.81,93.01,59.2,50.38,92.03,49.38,47.39,56.61,80.44,,101.79,92.35,61.84,75.24,69.61,52.08,95.95,99.22,64.06,,33.98,55.73,32.41,93.84,99.22,82.4,99.22,43.44,44.7
1968,67.7,67.26,47.89,89.88,61.51,39.26,69.11,53.26,51.82,43.33,46.52,64.43,88.53,47.43,80.19,94.54,69.83,100.12,86.05,72.88,44.92,76.69,60.1,57.89,55.74,99.72,100.12,100.12,54.78,38.82,34.51,58.83,55.8,100.12,64.74,82.56,39.33,56.84,53.67,,,39.39,55.55,41.65,,46.71,49.02,76.4,62.68,52.65,77.56,69.75,106.66,52.5,46.41,38.61,57.54,84.43,57.0,,,56.85,63.16,47.88,81.11,53.56,51.73,56.64,35.41,80.9,90.19,93.66,42.33,,46.03,84.48,62.41,98.18,57.46,100.12,100.12,41.88,,94.41,96.6,100.12,45.33,,56.56,55.65,100.12,44.1,87.56,84.1,42.54,59.88,67.72,54.33,44.71,89.54,89.14,84.86,63.7,97.87,35.89,100.12,45.49,,100.12,109.19,100.25,40.81,91.64,51.29,89.79,77.86,52.67,70.41,60.59,100.12,66.6,61.79,,43.26,58.53,47.52,54.89,69.78,68.37,51.05,45.96,104.32,46.99,49.25,62.82,66.05,94.63,53.66,,100.12,45.04,100.12,103.74,63.51,66.63,51.93,91.6,50.4,79.25,53.11,69.36,51.59,54.2,91.88,64.56,58.24,92.02,49.2,47.63,57.95,81.22,,105.87,93.77,62.91,76.37,70.14,52.63,96.88,100.12,63.7,,33.09,55.97,30.51,94.17,100.12,80.62,100.12,43.15,46.23
1969,65.45,67.79,44.89,91.41,62.03,41.24,70.86,57.07,50.12,45.11,44.83,62.09,88.09,48.67,79.78,94.98,68.6,101.12,85.54,73.52,45.71,78.63,59.27,63.63,53.54,99.18,101.12,101.12,54.99,39.4,35.3,56.32,57.95,101.12,68.12,87.9,40.49,56.85,53.55,,,38.21,59.67,39.47,,46.94,49.15,78.37,62.73,51.01,75.82,72.01,106.19,48.0,52.9,38.98,54.6,81.2,58.52,,,56.95,61.03,47.23,81.47,53.41,50.89,60.16,35.05,78.99,90.41,93.0,41.65,,47.12,87.93,61.5,98.27,63.38,101.12,101.12,43.05,,93.03,100.2,101.12,44.86,,57.52,58.62,101.12,43.38,88.26,84.84,43.07,58.12,68.97,60.59,44.4,93.38,89.58,85.18,64.96,96.94,36.66,101.12,44.18,,101.12,110.94,100.84,44.07,94.64,50.92,89.23,74.88,50.2,69.91,60.24,101.12,66.61,60.76,,44.41,56.44,45.73,54.34,67.04,67.26,50.49,46.86,103.43,47.31,47.76,64.88,65.74,96.86,51.54,,101.12,44.87,101.12,104.6,63.37,65.29,55.52,91.87,51.98,74.98,52.81,72.46,57.59,54.66,94.2,62.63,62.31,96.22,49.33,46.25,57.28,81.27,,108.19,94.61,61.72,80.71,68.45,57.05,95.45,101.12,65.73,,34.68,58.33,32.84,95.02,101.12,82.95,101.12,42.19,46.4
1970,63.85,62.06,46.34,88.96,66.43,47.22,69.55,57.6,51.32,46.93,43.33,67.83,84.3,48.57,80.14,94.12,69.89,102.49,87.54,73.46,47.34,83.25,61.11,65.07,57.91,98.31,102.49,102.49,55.13,40.66,36.42,57.29,49.05,102.49,69.46,84.57,41.37,57.53,55.57,,,39.33,56.06,45.33,,47.48,48.55,77.83,61.77,53.4,78.75,71.87,105.67,46.08,55.88,38.35,57.83,84.09,56.38,,,58.36,60.49,46.54,79.84,53.96,51.43,58.51,33.01,75.74,90.18,95.23,41.73,,46.88,91.72,61.29,100.62,61.6,102.49,102.49,42.8,,100.06,95.92,102.49,44.37,,57.41,56.77,102.49,46.09,87.46,72.82,43.01,61.05,69.46,60.44,44.23,92.21,91.81,86.61,64.73,96.31,38.26,102.49,46.18,,102.49,122.39,102.35,45.41,94.61,52.9,89.37,74.9,51.7,72.81,60.55,102.49,66.73,59.67,,48.17,56.21,50.28,57.11,64.11,71.26,51.63,51.18,104.61,46.8,49.86,67.65,66.32,100.03,66.18,,102.49,44.03,102.49,105.75,63.06,63.36,52.78,92.95,50.9,76.45,54.66,75.52,54.83,54.65,94.21,63.44,57.74,95.47,47.96,47.09,59.42,81.95,,105.86,98.35,63.15,83.41,69.52,58.27,95.51,102.49,64.32,,33.32,58.59,31.33,94.45,102.49,84.69,102.49,43.27,47.84
1971,64.3,61.84,50.12,89.75,68.94,49.32,68.96,58.84,50.92,44.08,44.71,68.71,86.92,48.22,76.95,96.48,69.77,102.19,88.81,72.75,48.82,85.64,63.78,66.6,51.98,99.28,102.19,102.19,53.71,41.59,35.46,55.68,58.71,102.19,70.54,86.63,41.37,57.58,55.37,,,39.49,55.07,47.2,,46.03,48.07,78.06,62.38,50.34,76.83,75.08,108.86,45.16,54.78,38.54,59.15,84.51,54.79,,,58.39,62.06,43.15,75.68,52.74,50.7,57.47,34.59,75.82,90.66,92.87,41.15,,46.05,85.09,60.62,106.0,63.14,102.19,102.19,43.24,,101.29,96.19,102.19,45.19,,55.71,59.26,102.19,48.32,85.6,72.7,42.95,62.51,69.16,58.69,45.12,95.53,90.24,87.08,64.31,97.7,38.81,102.19,46.98,,102.19,117.44,104.21,43.07,97.7,49.41,90.05,71.91,51.57,74.75,59.53,102.19,67.42,64.78,,51.4,57.48,49.76,56.26,61.38,73.84,52.98,52.07,103.14,46.86,50.8,71.68,66.77,98.69,58.23,,102.19,44.67,102.19,106.19,60.96,63.7,56.12,91.64,50.83,74.47,55.83,80.8,56.14,54.13,95.5,62.09,59.78,95.42,47.31,48.34,62.35,83.58,,96.91,98.19,64.51,84.32,69.13,58.22,96.34,102.19,65.43,,33.8,58.15,33.74,94.02,102.19,83.45,102.19,44.2,50.53
1972,63.24,59.14,49.74,90.34,65.46,49.35,69.88,59.2,50.42,41.98,42.28,74.47,88.81,49.51,76.92,97.61,68.34,102.24,85.82,74.82,47.66,88.04,60.57,66.35,50.01,98.94,102.24,102.24,52.86,45.53,34.67,58.49,58.85,102.24,72.7,81.64,39.19,55.78,54.72,,,37.98,56.92,44.43,,45.82,44.26,78.39,65.15,50.06,73.01,77.92,110.05,43.61,54.66,37.82,59.16,87.59,52.79,,,56.07,60.34,45.17,74.25,51.27,51.56,55.74,37.75,70.38,94.39,91.8,40.95,,46.97,82.44,62.0,104.59,65.06,102.24,102.24,42.61,,95.59,97.31,102.24,46.88,,52.93,53.98,102.24,53.83,87.95,75.75,43.78,62.89,70.68,60.71,44.44,94.04,92.28,87.47,65.3,96.21,39.62,102.24,46.38,,102.24,124.01,106.0,36.87,97.8,49.39,90.65,74.02,59.95,76.76,58.51,102.24,68.43,68.06,,51.09,56.89,51.09,55.47,57.06,72.3,53.4,52.22,102.97,45.96,50.93,70.31,65.79,98.84,55.63,,102.24,48.71,102.24,105.34,59.05,62.61,53.73,91.2,50.92,76.4,55.44,76.24,54.9,53.75,95.78,64.1,58.8,94.93,44.75,47.48,64.63,84.44,,92.13,98.84,65.92,87.97,70.97,57.47,96.08,102.24,66.7,,32.3,57.81,30.28,93.04,102.24,84.91,102.24,43.83,50.06
1973,62.84,62.84,47.36,92.52,65.98,47.61,67.75,57.43,49.66,45.44,44.64,66.03,89.86,47.08,78.19,96.05,66.27,102.38,86.95,75.13,46.06,87.49,59.89,65.22,47.73,97.4,102.38,102.38,51.92,46.17,35.5,63.12,59.2,102.38,73.02,83.34,38.19,56.47,54.81,,,38.36,55.08,45.71,,46.28,45.13,74.69,62.52,48.47,72.49,80.51,105.88,41.94,51.15,37.81,57.13,89.06,54.25,,,55.96,59.73,43.55,92.85,50.98,52.35,55.32,35.35,70.57,96.08,92.43,43.35,,49.48,81.55,61.65,105.6,64.76,102.38,102.38,43.82,,96.86,101.49,102.38,45.43,,49.76,55.45,102.38,52.55,90.03,77.38,44.16,66.35,71.02,60.73,45.79,95.33,93.12,88.36,64.08,97.6,40.98,102.38,47.66,,102.38,112.41,107.44,40.7,95.92,51.2,91.07,71.31,59.77,69.79,56.82,102.38,68.77,69.22,,48.16,56.87,50.59,55.32,53.95,72.89,53.42,50.43,102.81,47.0,49.05,68.98,65.79,106.56,68.69,,102.38,49.59,102.38,104.58,59.01,61.38,51.89,90.16,53.59,77.72,55.31,77.28,55.16,54.24,93.99,62.21,60.36,95.38,43.49,47.12,58.07,86.02,,94.05,102.86,63.69,86.18,68.09,56.59,96.6,102.38,67.9,,34.95,57.77,32.76,94.66,102.38,83.21,102.38,45.68,48.29
