,"China, Taiwan Province of",Indonesia,Bhutan,China,Sri Lanka,Maldives,Malaysia,Thailand,Nepal,Bangladesh,Myanmar,India
1999,33962.0,13405.0,10001.0,33962.0,18145.0,7973.0,17937.0,16364.0,18824.0,5714.0,12587.0,11071.0
2000,32349.0,13006.0,9688.0,32349.0,18311.0,8224.0,16500.0,15385.0,18857.0,5844.0,11516.0,11379.0
2001,32351.0,12769.0,10001.0,32351.0,18333.0,7400.0,16667.0,16429.0,18889.0,6041.0,14713.0,11379.0
2002,31688.0,11276.0,10015.0,31688.0,17143.0,8613.0,16250.0,15625.0,18919.0,6598.0,14972.0,13793.0
2003,31422.0,11257.0,9646.0,31422.0,18750.0,7451.0,18710.0,16204.0,18947.0,7116.0,15553.0,11769.0
2004,28640.0,10854.0,9769.0,28640.0,21903.0,13750.0,19163.0,16716.0,19088.0,7079.0,15910.0,12033.0
2005,27434.0,11683.0,12029.0,27434.0,21323.0,12750.0,19569.0,16923.0,19090.0,5597.0,16271.0,12427.0
2006,28720.0,12245.0,11228.0,28720.0,20560.0,12808.0,16667.0,16875.0,19091.0,5775.0,18534.0,12676.0
2007,26991.0,12840.0,11326.0,26991.0,20813.0,15000.0,16923.0,16957.0,19094.0,6126.0,20436.0,12629.0
2008,29330.0,12272.0,9605.0,29330.0,19393.0,12000.0,31997.0,16667.0,19060.0,5649.0,22317.0,12312.0
2009,29550.0,12275.0,10000.0,29550.0,19592.0,12857.0,9611.0,17083.0,18956.0,5979.0,21209.0,12433.0
2010,28743.0,12623.0,10000.0,28743.0,19814.0,12000.0,9559.0,16935.0,18843.0,5132.0,21455.0,11947.0
2011,28142.0,12330.0,10084.0,28142.0,20205.0,10000.0,18768.0,16948.0,28243.0,5809.0,21429.0,11947.0
2012,27260.0,12570.0,10500.0,27260.0,23696.0,10000.0,15225.0,17083.0,26563.0,5913.0,21416.0,14677.0
2013,27367.0,2991.0,10531.0,27367.0,23693.0,10000.0,86000.0,16667.0,33459.0,6121.0,21226.0,13655.0
2014,27282.0,3431.0,10481.0,27282.0,25560.0,10000.0,16577.0,16887.0,8768.0,6182.0,21488.0,13761.0
