,"China, Taiwan Province of",Romania,Norway,Philippines,Sri Lanka,The former Yugoslav Republic of Macedonia,Belgium,Ethiopia,Kenya,Luxembourg,Costa Rica,Republic of Moldova,Italy,Mauritius,Latvia,Sweden,Albania,Uzbekistan,China,Finland,Slovakia,Niger,Australia & New Zealand,Morocco,Slovenia,Congo,Canada,Denmark,Spain,Germany,New Zealand,Malta,Austria,Indonesia,Poland,Switzerland,Belgium-Luxembourg,Greece,United Kingdom,France,Republic of Korea,Croatia,Hungary,Turkey,Kyrgyzstan,Iran (Islamic Republic of),Peru,Mexico,"China, mainland",Yemen,Cyprus,Kazakhstan,Rwanda,Lithuania,Netherlands
1993,305105.0,,245273.0,,93848.0,,,,50000.0,,,10000.0,276771.0,61667.0,,,163158.0,108511.0,188085.0,149683.0,,50000.0,212117.0,83333.0,145714.0,49231.0,77890.0,,229145.0,274101.0,212117.0,,,69719.0,150667.0,,1395540.0,269412.0,220017.0,230023.0,,,,250378.0,,216825.0,102703.0,119520.0,141667.0,71001.0,59678.0,30000.0,,,235765.0
1994,290463.0,,235482.0,,88889.0,,,50000.0,79483.0,,100000.0,50000.0,267562.0,53750.0,,,165000.0,103873.0,185955.0,157241.0,,50000.0,214435.0,75000.0,141852.0,49568.0,81698.0,,239164.0,271242.0,214435.0,,,79863.0,151855.0,,1393330.0,259412.0,203333.0,239594.0,,,,238462.0,,220165.0,100789.0,114841.0,147946.0,71429.0,64000.0,12500.0,,,209592.0
1995,306494.0,,246981.0,,93935.0,250000.0,,49772.0,50000.0,,100000.0,50000.0,266654.0,55000.0,,,164286.0,99453.0,195461.0,121236.0,,50000.0,216814.0,60000.0,159655.0,49542.0,85507.0,,235258.0,264218.0,216814.0,,,86334.0,153288.0,,1243656.0,242778.0,190000.0,242035.0,,,,242575.0,,223395.0,97521.0,115385.0,155061.0,71429.0,60000.0,25000.0,,,270930.0
1996,328567.0,,153533.0,,95521.0,238764.0,,49847.0,53575.0,,100000.0,50000.0,270000.0,48000.0,,,172727.0,93468.0,207876.0,123659.0,,50000.0,219314.0,58333.0,212500.0,49492.0,89280.0,,238333.0,273564.0,219314.0,,,87365.0,154286.0,,811973.0,239412.0,200000.0,247928.0,,,,240728.0,,226584.0,110541.0,115385.0,161427.0,71429.0,59680.0,25000.0,,,236585.0
1997,356523.0,,180732.0,,97282.0,237698.0,,49921.0,53852.0,,100000.0,42655.0,260000.0,51818.0,,,166667.0,88889.0,219792.0,147500.0,,50000.0,221997.0,57143.0,220667.0,49446.0,92700.0,,255000.0,288191.0,221997.0,,,75827.0,151800.0,,746117.0,216667.0,201600.0,241080.0,,,,238821.0,,229761.0,121501.0,153075.0,166934.0,71070.0,59519.0,50000.0,,,226190.0
1998,349181.0,,126320.0,,99201.0,236522.0,,49990.0,53565.0,,100000.0,40232.0,280000.0,46000.0,,254545.0,165517.0,94708.0,220017.0,126591.0,143333.0,50000.0,224926.0,59211.0,181000.0,49259.0,94247.0,,259032.0,270253.0,224926.0,220000.0,,78633.0,126667.0,,745017.0,210526.0,197500.0,249044.0,,,,236891.0,,232934.0,135274.0,79412.0,172156.0,71034.0,59359.0,60000.0,,,229730.0
1999,378920.0,,131882.0,,101355.0,235177.0,,50055.0,50000.0,,100000.0,37516.0,230117.0,53889.0,15000.0,250000.0,164706.0,100000.0,233604.0,120633.0,116883.0,50000.0,228162.0,62500.0,260345.0,49331.0,88889.0,,249583.0,288936.0,228162.0,211672.0,,87808.0,157143.0,,849460.0,215789.0,178077.0,245796.0,,,,240077.0,100000.0,236108.0,133531.0,152941.0,176000.0,70999.0,59198.0,72727.0,,,252500.0
2000,365141.0,,163845.0,,103842.0,231890.0,304706.0,50113.0,50000.0,333333.0,100000.0,29153.0,241209.0,75143.0,30000.0,263636.0,166667.0,100000.0,227237.0,144615.0,55714.0,50000.0,231768.0,81021.0,244286.0,49296.0,104643.0,162791.0,232000.0,284009.0,231768.0,211399.0,,86173.0,157333.0,,,221053.0,221500.0,244537.0,,,,239239.0,100000.0,239285.0,110771.0,153488.0,177337.0,70963.0,59038.0,119000.0,1318.0,,279412.0
2001,342811.0,,180827.0,,100000.0,230754.0,305660.0,50000.0,51535.0,258333.0,100000.0,20736.0,237716.0,96071.0,30000.0,270000.0,168421.0,100000.0,222236.0,132692.0,62000.0,50000.0,200000.0,93554.0,157632.0,49259.0,111930.0,164706.0,235296.0,293345.0,200000.0,211107.0,,82497.0,157143.0,,,221053.0,221500.0,254705.0,,,,238510.0,100000.0,242465.0,111372.0,153488.0,178571.0,70926.0,58877.0,115833.0,1337.0,,322581.0
2002,385609.0,,180809.0,,113588.0,222222.0,335185.0,50000.0,51195.0,216667.0,100000.0,17860.0,243785.0,93529.0,21000.0,262626.0,170000.0,100000.0,238976.0,126471.0,88000.0,50804.0,242412.0,100000.0,228250.0,49219.0,105355.0,170732.0,248385.0,292396.0,242412.0,210870.0,,75773.0,188000.0,,,215789.0,200000.0,268853.0,,,,237494.0,100000.0,245647.0,121444.0,197674.0,190000.0,70887.0,58717.0,124167.0,1333.0,,287879.0
2003,372071.0,,169000.0,,121070.0,227273.0,356667.0,50804.0,50863.0,141667.0,100000.0,15196.0,246225.0,106250.0,17159.0,299339.0,173529.0,100000.0,245555.0,149643.0,60000.0,50000.0,250544.0,118806.0,221860.0,49180.0,113032.0,168090.0,259288.0,292146.0,250544.0,220000.0,401290.0,89907.0,162179.0,,,200000.0,178607.0,263397.0,,,123158.0,236567.0,100000.0,250040.0,122150.0,155556.0,203001.0,70765.0,58559.0,153077.0,1345.0,83037.0,297143.0
2004,399577.0,143261.0,171061.0,95996.0,128747.0,300000.0,352200.0,51519.0,50537.0,208333.0,100000.0,10000.0,268247.0,111250.0,39684.0,196721.0,176667.0,61111.0,258033.0,153478.0,85000.0,51757.0,260159.0,131771.0,263125.0,50129.0,112500.0,164708.0,273649.0,307588.0,260159.0,210000.0,419686.0,104023.0,177888.0,231084.0,,205425.0,200000.0,278347.0,,,149603.0,236286.0,100000.0,255642.0,114300.0,139535.0,215854.0,70715.0,58404.0,206667.0,1395.0,78889.0,340984.0
2005,324458.0,145741.0,185036.0,87344.0,136674.0,250000.0,366042.0,52322.0,50000.0,250000.0,100000.0,10000.0,259246.0,125000.0,82208.0,269606.0,168750.0,60000.0,251964.0,166579.0,81667.0,50000.0,270137.0,147073.0,223750.0,48985.0,124280.0,156852.0,279905.0,331516.0,270137.0,216000.0,414214.0,110444.0,162516.0,216702.0,,207109.0,292353.0,284951.0,397127.0,,131226.0,232857.0,100000.0,261247.0,122172.0,139535.0,229837.0,70756.0,58248.0,235455.0,1400.0,58000.0,300917.0
2006,384072.0,120703.0,179653.0,87163.0,145029.0,150000.0,352708.0,53183.0,50000.0,460000.0,100000.0,10000.0,246035.0,118000.0,45519.0,308943.0,223165.0,63636.0,274941.0,138857.0,70556.0,53740.0,280434.0,150000.0,228889.0,50000.0,144106.0,156852.0,274159.0,288465.0,280434.0,198000.0,424453.0,111265.0,154518.0,174905.0,,197789.0,260698.0,284065.0,382609.0,,158068.0,235773.0,100000.0,266856.0,120200.0,155556.0,242857.0,70574.0,58092.0,224545.0,1391.0,52963.0,334755.0
2007,305479.0,98519.0,141351.0,83915.0,152408.0,200000.0,371489.0,54072.0,49483.0,330000.0,100000.0,10000.0,273333.0,117692.0,51220.0,310000.0,222222.0,65217.0,261677.0,145000.0,68000.0,54965.0,291007.0,195876.0,186471.0,50000.0,134387.0,157143.0,264739.0,326763.0,291007.0,188000.0,402481.0,101056.0,169150.0,203527.0,,191222.0,269189.0,289056.0,421837.0,,146242.0,233088.0,100000.0,272468.0,122623.0,156250.0,250000.0,70489.0,57936.0,264000.0,1393.0,43942.0,345455.0
2008,292322.0,145545.0,185066.0,82255.0,161429.0,233333.0,368889.0,54963.0,49089.0,225000.0,100000.0,20000.0,250000.0,122857.0,26571.0,350000.0,284337.0,85000.0,252663.0,133929.0,64748.0,56229.0,301814.0,228996.0,215946.0,51613.0,143045.0,165386.0,280245.0,337934.0,301814.0,198333.0,402290.0,105131.0,166832.0,241174.0,,218333.0,258591.0,277387.0,439623.0,125421.0,154586.0,235529.0,100000.0,278085.0,121429.0,155814.0,242500.0,70418.0,57781.0,266667.0,1460.0,40000.0,296875.0
2009,321108.0,120482.0,196211.0,80643.0,159524.0,266667.0,365556.0,55824.0,48693.0,280000.0,100000.0,10000.0,257069.0,117895.0,145385.0,610000.0,387494.0,100000.0,259726.0,177600.0,62271.0,58182.0,312811.0,259848.0,238378.0,48796.0,189972.0,154917.0,305749.0,324741.0,312811.0,199167.0,431752.0,102423.0,176517.0,261969.0,,215098.0,221034.0,284028.0,433333.0,161693.0,144920.0,235750.0,100000.0,283705.0,175023.0,154902.0,243285.0,70344.0,57625.0,238750.0,1493.0,75814.0,320000.0
2010,375699.0,116436.0,182910.0,68050.0,158963.0,300000.0,387447.0,56629.0,48299.0,380000.0,100000.0,20000.0,255476.0,125714.0,49600.0,240000.0,144025.0,110000.0,271085.0,157037.0,61429.0,56667.0,323956.0,312500.0,225185.0,47897.0,147731.0,232963.0,313460.0,347274.0,323956.0,176000.0,434676.0,94000.0,196989.0,246769.0,,228333.0,248826.0,303356.0,437471.0,166860.0,143929.0,240012.0,100000.0,289328.0,177803.0,155814.0,245952.0,70264.0,57470.0,231250.0,1597.0,48571.0,338983.0
2011,410691.0,117064.0,192846.0,65602.0,161071.0,277742.0,332549.0,57346.0,47905.0,331034.0,100000.0,10000.0,255242.0,119474.0,94355.0,276243.0,191875.0,120000.0,277089.0,191290.0,54658.0,60431.0,335206.0,301138.0,201200.0,47226.0,160692.0,230370.0,314749.0,349371.0,335206.0,190909.0,445643.0,94725.0,194665.0,305947.0,,220625.0,236903.0,309225.0,444237.0,140638.0,260000.0,235870.0,150000.0,294956.0,169535.0,155172.0,245977.0,70000.0,57314.0,204000.0,1786.0,50000.0,315789.0
2012,415408.0,117250.0,185101.0,62187.0,164074.0,300000.0,367955.0,58182.0,43750.0,379310.0,100006.0,20000.0,224971.0,91053.0,42679.0,280000.0,172353.0,107528.0,280781.0,168387.0,49690.0,66667.0,414286.0,309524.0,200000.0,38889.0,140127.0,192549.0,303525.0,446484.0,414286.0,245556.0,437500.0,102149.0,201671.0,265858.0,,222667.0,212382.0,293878.0,450000.0,150809.0,237500.0,241662.0,300000.0,308219.0,161983.0,166667.0,250000.0,69565.0,55000.0,252381.0,1800.0,40000.0,344444.0
2013,433274.0,128462.0,201448.0,66227.0,191163.0,267443.0,385319.0,58182.0,43750.0,380952.0,100013.0,30000.0,269689.0,97647.0,94545.0,390000.0,189105.0,94451.0,281197.0,243226.0,44850.0,64082.0,356024.0,330639.0,166364.0,46389.0,160978.0,200099.0,315937.0,422687.0,356024.0,201667.0,383527.0,101281.0,204866.0,248708.0,,244667.0,201338.0,310656.0,459361.0,121033.0,132222.0,228509.0,366667.0,305967.0,168972.0,166667.0,248889.0,70000.0,59625.0,233636.0,1770.0,50000.0,378571.0
2014,438749.0,142164.0,211146.0,68090.0,192966.0,265045.0,413043.0,58226.0,46501.0,351852.0,100019.0,50000.0,256636.0,98947.0,77391.0,293333.0,203263.0,96093.0,281514.0,121250.0,39954.0,62721.0,342674.0,327223.0,185000.0,47485.0,166741.0,199873.0,314359.0,460993.0,342674.0,202883.0,400109.0,100173.0,206775.0,329065.0,,159184.0,224154.0,317334.0,467380.0,112150.0,140000.0,226704.0,100000.0,311513.0,178267.0,166751.0,248397.0,70023.0,59632.0,239820.0,1790.0,40000.0,380075.0
