,Ukraine,Estonia,Kenya,Bolivia (Plurinational State of),Peru,Georgia,Belarus,Croatia,Serbia,Israel,Serbia and Montenegro,Armenia,Tunisia,Syrian Arab Republic,Brazil,Belgium,United Kingdom,Ethiopia,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,South Africa,Zimbabwe,Iraq,Cyprus,Netherlands,Japan,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Yugoslav SFR,Mongolia,Democratic Republic of the Congo,Algeria,Slovenia,Morocco,Republic of Moldova,Tajikistan,Czechia,Lesotho,Argentina,Lithuania,Luxembourg,Democratic People's Republic of Korea,Germany,Austria,Uruguay,Czechoslovakia,Ethiopia PDR,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Spain,Uzbekistan,Bosnia and Herzegovina,China,Ireland,Colombia,Latvia,Albania,Portugal,Slovakia,Lebanon,Kyrgyzstan,Azerbaijan,Hungary,Montenegro,Kazakhstan,Chile,Australia,France,Ghana,Finland,"China, mainland",Russian Federation,Turkey,Norway,Italy,Belgium-Luxembourg
1971,-1.0,-1.0,7400.0,6667.0,9324.0,-1.0,-1.0,-1.0,-1.0,13333.0,-1.0,-1.0,2200.0,7516.0,8479.0,-1.0,37513.0,-1.0,37802.0,20278.0,-1.0,14195.0,14000.0,-1.0,-1.0,7901.0,45557.0,20067.0,26979.0,13594.0,10570.0,20054.0,11774.0,6215.0,-1.0,5690.0,-1.0,8053.0,-1.0,-1.0,-1.0,14286.0,13305.0,-1.0,-1.0,16182.0,36076.0,28831.0,8692.0,26464.0,5000.0,24023.0,35477.0,41463.0,4746.0,13734.0,12543.0,10000.0,12576.0,-1.0,-1.0,9000.0,34572.0,17500.0,-1.0,10500.0,7454.0,-1.0,18000.0,-1.0,-1.0,19024.0,-1.0,-1.0,14876.0,10277.0,30586.0,-1.0,26379.0,9000.0,-1.0,14725.0,33057.0,17608.0,43351.0
1972,-1.0,-1.0,8100.0,6857.0,8803.0,-1.0,-1.0,-1.0,-1.0,9722.0,-1.0,-1.0,1629.0,8752.0,9054.0,-1.0,39629.0,-1.0,39151.0,18743.0,-1.0,14401.0,14000.0,-1.0,-1.0,5237.0,42079.0,22749.0,30204.0,11587.0,7766.0,18472.0,10117.0,2756.0,-1.0,6031.0,-1.0,9760.0,-1.0,-1.0,-1.0,14286.0,14196.0,-1.0,-1.0,16727.0,35818.0,26555.0,8991.0,22796.0,5455.0,23630.0,31853.0,40372.0,6410.0,11127.0,9134.0,10000.0,9411.0,-1.0,-1.0,8182.0,34322.0,17500.0,-1.0,9500.0,5040.0,-1.0,18000.0,-1.0,-1.0,12147.0,-1.0,-1.0,13273.0,7397.0,32567.0,-1.0,24856.0,8182.0,-1.0,13515.0,31595.0,17608.0,40794.0
1973,-1.0,-1.0,10000.0,6711.0,8415.0,-1.0,-1.0,-1.0,-1.0,8571.0,-1.0,-1.0,2500.0,7681.0,10150.0,-1.0,38304.0,-1.0,34428.0,18598.0,-1.0,14931.0,13875.0,-1.0,-1.0,1136.0,44096.0,19903.0,29820.0,11207.0,9622.0,17169.0,11873.0,9741.0,-1.0,5757.0,-1.0,6040.0,-1.0,-1.0,-1.0,14286.0,14217.0,-1.0,-1.0,16600.0,36351.0,30325.0,7078.0,27163.0,5833.0,25338.0,25048.0,40395.0,8476.0,13248.0,9752.0,10000.0,9035.0,-1.0,-1.0,8173.0,32665.0,20000.0,-1.0,10628.0,5042.0,-1.0,20000.0,-1.0,-1.0,17932.0,-1.0,-1.0,14414.0,9364.0,31852.0,-1.0,22135.0,8173.0,-1.0,13620.0,34801.0,10749.0,45629.0
1974,-1.0,-1.0,10000.0,6700.0,8188.0,-1.0,-1.0,-1.0,-1.0,9028.0,-1.0,-1.0,2542.0,8516.0,9748.0,-1.0,37451.0,-1.0,38753.0,16096.0,-1.0,15738.0,14375.0,-1.0,-1.0,6330.0,50174.0,22083.0,29480.0,14208.0,10210.0,17088.0,14177.0,4826.0,-1.0,6530.0,-1.0,9950.0,-1.0,-1.0,-1.0,14286.0,11588.0,-1.0,-1.0,17600.0,41027.0,31589.0,7599.0,31121.0,6154.0,27445.0,37996.0,47640.0,8524.0,11974.0,10721.0,10000.0,11755.0,-1.0,-1.0,11250.0,35434.0,20000.0,-1.0,12207.0,5811.0,-1.0,15000.0,-1.0,-1.0,23002.0,-1.0,-1.0,15519.0,9749.0,30908.0,-1.0,20233.0,11250.0,-1.0,13818.0,36358.0,19355.0,43097.0
1975,-1.0,-1.0,9444.0,6871.0,8290.0,-1.0,-1.0,-1.0,-1.0,9155.0,-1.0,-1.0,2500.0,8743.0,9286.0,-1.0,34120.0,-1.0,33045.0,18555.0,-1.0,16174.0,13500.0,-1.0,-1.0,9931.0,46039.0,21203.0,26384.0,11192.0,11829.0,17578.0,13586.0,8345.0,-1.0,9035.0,-1.0,8854.0,-1.0,-1.0,-1.0,14286.0,12817.0,-1.0,-1.0,18400.0,36311.0,30282.0,7326.0,27655.0,6429.0,22616.0,28492.0,41291.0,14730.0,9288.0,8109.0,10000.0,13327.0,-1.0,-1.0,12857.0,33683.0,20000.0,-1.0,12676.0,5840.0,-1.0,15000.0,-1.0,-1.0,20528.0,-1.0,-1.0,13875.0,11549.0,29606.0,-1.0,25351.0,12857.0,-1.0,15000.0,25762.0,20916.0,36591.0
1976,-1.0,-1.0,10000.0,6900.0,8279.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,2320.0,8223.0,10761.0,-1.0,32511.0,-1.0,26907.0,20052.0,-1.0,16188.0,13429.0,-1.0,-1.0,10201.0,40654.0,21717.0,32692.0,14629.0,11046.0,16380.0,13827.0,7976.0,-1.0,7509.0,-1.0,11805.0,-1.0,-1.0,-1.0,14286.0,13838.0,-1.0,-1.0,19167.0,28727.0,29840.0,8298.0,22407.0,6667.0,24174.0,27817.0,38669.0,7226.0,14464.0,12237.0,10000.0,11613.0,-1.0,-1.0,15025.0,32285.0,20000.0,-1.0,12857.0,5887.0,-1.0,15000.0,-1.0,-1.0,23760.0,-1.0,-1.0,12069.0,10768.0,21948.0,-1.0,28541.0,15025.0,-1.0,16598.0,28018.0,17248.0,29286.0
1977,-1.0,-1.0,10976.0,6706.0,8756.0,-1.0,-1.0,-1.0,-1.0,9420.0,-1.0,-1.0,2299.0,8851.0,9425.0,-1.0,40579.0,-1.0,34790.0,20202.0,-1.0,13252.0,12667.0,-1.0,-1.0,10687.0,45309.0,22073.0,34611.0,15430.0,9595.0,20023.0,13377.0,7398.0,-1.0,3856.0,-1.0,2850.0,-1.0,-1.0,-1.0,14286.0,13256.0,-1.0,-1.0,20000.0,33048.0,31150.0,5694.0,27396.0,6667.0,23270.0,30946.0,37330.0,7708.0,12721.0,11296.0,10000.0,10298.0,-1.0,-1.0,11765.0,39710.0,20000.0,-1.0,13333.0,4101.0,-1.0,18000.0,-1.0,-1.0,21765.0,-1.0,-1.0,16487.0,9205.0,30476.0,-1.0,24516.0,11765.0,-1.0,16104.0,36300.0,15401.0,34447.0
1978,-1.0,-1.0,9571.0,6434.0,8292.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,2674.0,8634.0,9711.0,-1.0,39105.0,-1.0,33865.0,19797.0,-1.0,16626.0,13800.0,-1.0,8000.0,10696.0,55797.0,18585.0,31772.0,14969.0,13196.0,18751.0,13485.0,4191.0,-1.0,6052.0,-1.0,4409.0,-1.0,-1.0,-1.0,14286.0,13520.0,-1.0,-1.0,17778.0,42094.0,34084.0,6667.0,34492.0,7742.0,24194.0,34209.0,47909.0,9332.0,13822.0,11895.0,10000.0,12519.0,-1.0,-1.0,13971.0,38216.0,20909.0,-1.0,14000.0,3616.0,-1.0,15000.0,-1.0,-1.0,29966.0,-1.0,-1.0,12387.0,12974.0,36054.0,-1.0,24227.0,13971.0,-1.0,16444.0,37736.0,20234.0,40654.0
1979,-1.0,-1.0,10000.0,6938.0,7760.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,2185.0,8874.0,9191.0,-1.0,39913.0,-1.0,41744.0,19294.0,-1.0,14288.0,14500.0,18830.0,9375.0,10357.0,52302.0,21212.0,31740.0,12546.0,12872.0,19514.0,13541.0,6007.0,-1.0,6161.0,-1.0,4000.0,-1.0,-1.0,-1.0,14286.0,12732.0,-1.0,-1.0,16222.0,40786.0,28699.0,9933.0,31544.0,8645.0,19978.0,33376.0,45878.0,9275.0,11071.0,10005.0,10000.0,10456.0,-1.0,-1.0,16612.0,37332.0,20000.0,-1.0,14000.0,4367.0,-1.0,15000.0,-1.0,-1.0,21043.0,-1.0,-1.0,19082.0,12564.0,34192.0,-1.0,28433.0,16612.0,-1.0,16818.0,40082.0,19442.0,40576.0
1980,-1.0,-1.0,10000.0,7580.0,6324.0,-1.0,-1.0,-1.0,-1.0,5797.0,-1.0,-1.0,2400.0,8821.0,10012.0,-1.0,40642.0,-1.0,39731.0,20059.0,-1.0,15926.0,14444.0,14844.0,10435.0,10942.0,51898.0,20923.0,33247.0,13161.0,10712.0,19009.0,15155.0,3975.0,-1.0,6747.0,-1.0,11488.0,-1.0,-1.0,-1.0,14286.0,12386.0,-1.0,-1.0,17442.0,38285.0,34341.0,8580.0,34820.0,9955.0,22512.0,34699.0,47765.0,15757.0,11829.0,9227.0,10000.0,14846.0,-1.0,-1.0,15467.0,37143.0,18824.0,-1.0,15000.0,5491.0,-1.0,15000.0,-1.0,-1.0,32082.0,-1.0,-1.0,18682.0,10327.0,36155.0,-1.0,28100.0,15467.0,-1.0,18112.0,38202.0,19896.0,43114.0
1981,-1.0,-1.0,10000.0,11151.0,3669.0,-1.0,-1.0,-1.0,-1.0,33333.0,-1.0,-1.0,2000.0,8469.0,10914.0,-1.0,43056.0,-1.0,42247.0,20430.0,-1.0,15686.0,14909.0,15000.0,8421.0,9034.0,54164.0,15510.0,35870.0,13625.0,11868.0,19428.0,16031.0,2725.0,-1.0,5746.0,-1.0,5226.0,-1.0,-1.0,-1.0,14286.0,11357.0,-1.0,-1.0,16512.0,38381.0,33197.0,8140.0,29331.0,13195.0,23623.0,38283.0,47960.0,11989.0,8818.0,10820.0,10000.0,9595.0,-1.0,-1.0,16667.0,39301.0,18750.0,-1.0,15000.0,4477.0,-1.0,14925.0,-1.0,-1.0,30572.0,-1.0,-1.0,16309.0,11651.0,35421.0,-1.0,23209.0,16667.0,-1.0,18056.0,39213.0,18801.0,48106.0
1982,-1.0,-1.0,10000.0,9082.0,2380.0,-1.0,-1.0,-1.0,-1.0,33333.0,-1.0,-1.0,2000.0,8712.0,6498.0,-1.0,44574.0,-1.0,40942.0,22548.0,-1.0,16778.0,15333.0,16000.0,8511.0,9104.0,57426.0,19955.0,38438.0,11611.0,7403.0,20722.0,15284.0,10210.0,-1.0,5308.0,-1.0,10818.0,-1.0,-1.0,-1.0,14286.0,15613.0,-1.0,-1.0,17000.0,42086.0,35558.0,7420.0,30289.0,8241.0,24019.0,34859.0,44568.0,10678.0,13120.0,10325.0,10000.0,10043.0,-1.0,-1.0,16190.0,44298.0,17500.0,-1.0,15000.0,5055.0,-1.0,14925.0,-1.0,-1.0,24532.0,-1.0,-1.0,17214.0,6997.0,34696.0,-1.0,28739.0,16190.0,-1.0,18857.0,37309.0,16355.0,51368.0
1983,-1.0,-1.0,12674.0,14493.0,2482.0,-1.0,-1.0,-1.0,-1.0,26667.0,-1.0,-1.0,1739.0,8803.0,9760.0,-1.0,43148.0,-1.0,29482.0,19804.0,-1.0,14404.0,15091.0,15000.0,8276.0,8714.0,45206.0,20905.0,36647.0,8740.0,13244.0,18860.0,14762.0,10813.0,-1.0,4777.0,-1.0,8996.0,-1.0,-1.0,-1.0,14286.0,14463.0,-1.0,-1.0,18250.0,33585.0,35291.0,9318.0,32317.0,10937.0,22811.0,31391.0,46774.0,12804.0,13649.0,11373.0,10000.0,10209.0,-1.0,-1.0,16539.0,44248.0,18333.0,-1.0,15000.0,5193.0,-1.0,15094.0,-1.0,-1.0,25987.0,-1.0,-1.0,17245.0,12957.0,32546.0,-1.0,31304.0,16539.0,-1.0,18824.0,34479.0,15112.0,39370.0
1984,-1.0,-1.0,12674.0,13539.0,1737.0,-1.0,-1.0,-1.0,-1.0,33333.0,-1.0,-1.0,1739.0,8808.0,9983.0,-1.0,48774.0,-1.0,46738.0,19275.0,-1.0,15141.0,14727.0,12000.0,7692.0,14925.0,48023.0,20889.0,37866.0,10550.0,13596.0,20812.0,16756.0,6901.0,-1.0,5141.0,-1.0,8069.0,-1.0,-1.0,-1.0,14286.0,16509.0,-1.0,-1.0,18750.0,44806.0,37701.0,9792.0,37032.0,8494.0,27872.0,44441.0,50864.0,15893.0,13390.0,14087.0,7264.0,16439.0,-1.0,-1.0,18838.0,56627.0,17000.0,-1.0,15000.0,7824.0,-1.0,15152.0,-1.0,-1.0,35625.0,-1.0,-1.0,16939.0,13136.0,42230.0,-1.0,31555.0,18838.0,-1.0,18372.0,47375.0,22584.0,46268.0
1985,-1.0,-1.0,10224.0,12938.0,1788.0,-1.0,-1.0,-1.0,-1.0,23333.0,-1.0,-1.0,1739.0,10000.0,11048.0,-1.0,45821.0,-1.0,39680.0,21655.0,-1.0,15019.0,8000.0,14286.0,10769.0,16598.0,51642.0,21597.0,37877.0,14145.0,12761.0,22827.0,16664.0,12009.0,-1.0,7799.0,-1.0,7688.0,-1.0,-1.0,-1.0,14286.0,12012.0,-1.0,-1.0,19737.0,46657.0,37728.0,6133.0,39036.0,7386.0,26966.0,37481.0,52290.0,13922.0,14519.0,12829.0,9194.0,14811.0,-1.0,-1.0,17836.0,45494.0,17500.0,-1.0,15000.0,6255.0,-1.0,15152.0,-1.0,-1.0,30333.0,-1.0,-1.0,20061.0,12445.0,40896.0,-1.0,29616.0,17836.0,-1.0,18827.0,38858.0,19974.0,44933.0
1986,-1.0,-1.0,12500.0,11976.0,1809.0,-1.0,-1.0,-1.0,-1.0,6045.0,-1.0,-1.0,1765.0,10000.0,10596.0,-1.0,51856.0,-1.0,41351.0,25262.0,-1.0,16279.0,12286.0,14286.0,10526.0,14925.0,61058.0,20000.0,37725.0,14618.0,14169.0,20188.0,17051.0,10036.0,-1.0,6511.0,-1.0,14481.0,-1.0,-1.0,-1.0,14286.0,15865.0,-1.0,-1.0,19737.0,44033.0,36793.0,6553.0,36447.0,8095.0,26907.0,32684.0,42335.0,13105.0,14363.0,12890.0,8872.0,11008.0,-1.0,-1.0,14000.0,44348.0,16500.0,-1.0,15000.0,11807.0,-1.0,16000.0,-1.0,-1.0,30460.0,-1.0,-1.0,19473.0,13849.0,34058.0,-1.0,29129.0,14000.0,-1.0,18988.0,31858.0,21588.0,42227.0
1987,-1.0,-1.0,10214.0,12012.0,1708.0,-1.0,-1.0,-1.0,-1.0,10116.0,-1.0,-1.0,1765.0,10000.0,12635.0,-1.0,45455.0,-1.0,40638.0,23718.0,-1.0,15909.0,13400.0,12500.0,8571.0,18727.0,52489.0,20167.0,37890.0,14962.0,13696.0,19460.0,16571.0,8080.0,-1.0,5773.0,-1.0,7079.0,-1.0,-1.0,-1.0,14286.0,15071.0,-1.0,-1.0,20000.0,44670.0,35421.0,10070.0,37546.0,8845.0,28369.0,36245.0,47095.0,12857.0,13466.0,15701.0,6557.0,14229.0,-1.0,-1.0,13076.0,46087.0,17917.0,-1.0,15000.0,11830.0,-1.0,13143.0,-1.0,-1.0,24883.0,-1.0,-1.0,22976.0,13310.0,40505.0,-1.0,19679.0,13076.0,-1.0,18259.0,40485.0,20437.0,45751.0
1988,-1.0,-1.0,10526.0,11552.0,1501.0,-1.0,-1.0,-1.0,-1.0,11667.0,-1.0,-1.0,1613.0,10610.0,11378.0,-1.0,45667.0,-1.0,46762.0,21825.0,-1.0,17209.0,12286.0,16752.0,9778.0,8209.0,45517.0,18327.0,36509.0,19513.0,14334.0,14111.0,18784.0,8821.0,-1.0,2746.0,-1.0,10487.0,-1.0,-1.0,-1.0,14286.0,12655.0,-1.0,-1.0,20000.0,40922.0,39492.0,12305.0,35729.0,9365.0,26135.0,31338.0,53735.0,14820.0,12098.0,14127.0,7353.0,15417.0,-1.0,-1.0,13445.0,65044.0,18696.0,-1.0,15000.0,7312.0,-1.0,14930.0,-1.0,-1.0,33058.0,-1.0,-1.0,25850.0,14037.0,39297.0,-1.0,22107.0,13445.0,-1.0,18528.0,29650.0,22360.0,43199.0
1989,-1.0,-1.0,11765.0,8702.0,1523.0,-1.0,-1.0,-1.0,-1.0,10101.0,-1.0,-1.0,1300.0,4667.0,11696.0,-1.0,44627.0,-1.0,43318.0,20651.0,-1.0,18780.0,14000.0,22633.0,12000.0,5970.0,41218.0,19050.0,35739.0,28278.0,15411.0,19472.0,19372.0,10297.0,-1.0,5259.0,-1.0,10742.0,-1.0,-1.0,-1.0,14286.0,15016.0,-1.0,-1.0,20000.0,35781.0,37091.0,10775.0,32413.0,11210.0,27212.0,35381.0,55896.0,13921.0,13927.0,15875.0,8762.0,14143.0,-1.0,-1.0,14064.0,59821.0,17692.0,-1.0,10000.0,10377.0,-1.0,15278.0,-1.0,-1.0,33422.0,-1.0,-1.0,23952.0,15067.0,38839.0,-1.0,32343.0,14064.0,-1.0,15429.0,32103.0,17523.0,33211.0
1990,-1.0,-1.0,10577.0,7243.0,1514.0,-1.0,-1.0,-1.0,-1.0,13095.0,-1.0,-1.0,723.0,10505.0,9201.0,-1.0,49719.0,-1.0,46400.0,23328.0,-1.0,14186.0,15287.0,19949.0,10566.0,10000.0,47045.0,22227.0,38186.0,18248.0,15116.0,21567.0,20161.0,10418.0,-1.0,5032.0,-1.0,11089.0,-1.0,-1.0,-1.0,16085.0,15403.0,-1.0,-1.0,17781.0,44535.0,39402.0,10012.0,45415.0,11476.0,28373.0,43026.0,52440.0,15741.0,14743.0,16216.0,9072.0,14672.0,-1.0,-1.0,18089.0,66055.0,20000.0,-1.0,7500.0,8226.0,-1.0,15789.0,-1.0,-1.0,34102.0,-1.0,-1.0,26241.0,14659.0,38651.0,-1.0,36652.0,18089.0,-1.0,19722.0,46613.0,19052.0,35923.0
