,Ukraine,Chile,Belarus,USSR,Bulgaria,United States of America,Romania,Azerbaijan,Tunisia,The former Yugoslav Republic of Macedonia,Canada,Latvia
1986,-1.0,-1.0,-1.0,-1.0,-1.0,157331.0,-1.0,-1.0,-1.0,-1.0,121257.0,-1.0
1987,-1.0,-1.0,-1.0,-1.0,-1.0,142500.0,-1.0,-1.0,-1.0,-1.0,118260.0,-1.0
1988,-1.0,-1.0,-1.0,-1.0,-1.0,167511.0,-1.0,-1.0,-1.0,-1.0,141456.0,-1.0
1989,-1.0,-1.0,-1.0,69930.0,-1.0,152754.0,-1.0,-1.0,62500.0,-1.0,114303.0,-1.0
1990,-1.0,-1.0,-1.0,81125.0,-1.0,136756.0,-1.0,-1.0,61250.0,-1.0,164403.0,-1.0
1991,-1.0,-1.0,-1.0,84900.0,-1.0,167162.0,-1.0,-1.0,62649.0,-1.0,177789.0,-1.0
1992,-1.0,-1.0,25000.0,-1.0,-1.0,160255.0,-1.0,35000.0,62707.0,-1.0,194676.0,33333.0
1993,-1.0,-1.0,20000.0,-1.0,-1.0,148918.0,-1.0,30000.0,62765.0,-1.0,148292.0,80000.0
1994,-1.0,-1.0,25000.0,-1.0,-1.0,168681.0,-1.0,30000.0,62823.0,43221.0,236567.0,46667.0
1995,-1.0,-1.0,25000.0,-1.0,-1.0,143361.0,-1.0,30000.0,62881.0,40000.0,152351.0,93333.0
1996,-1.0,-1.0,20000.0,-1.0,-1.0,154012.0,-1.0,25000.0,62939.0,50000.0,159321.0,70000.0
1997,-1.0,-1.0,28571.0,-1.0,-1.0,172595.0,-1.0,30000.0,62996.0,44790.0,150816.0,70000.0
1998,-1.0,-1.0,25000.0,-1.0,-1.0,166612.0,-1.0,33333.0,62812.0,40000.0,191631.0,20000.0
1999,-1.0,-1.0,27778.0,-1.0,-1.0,190034.0,-1.0,33333.0,62704.0,50000.0,183445.0,16500.0
2000,10000.0,-1.0,22222.0,-1.0,-1.0,174921.0,50000.0,43333.0,62500.0,46914.0,163380.0,35000.0
2001,10000.0,-1.0,20000.0,-1.0,-1.0,167811.0,59907.0,37500.0,62500.0,48375.0,146029.0,21200.0
2002,6000.0,-1.0,21429.0,-1.0,-1.0,161866.0,61569.0,50000.0,62722.0,47875.0,199235.0,24667.0
2003,1000.0,-1.0,20000.0,-1.0,-1.0,175313.0,83333.0,46667.0,62710.0,48609.0,165309.0,24444.0
2004,3333.0,-1.0,33333.0,-1.0,-1.0,176589.0,50000.0,36000.0,62678.0,49547.0,197079.0,33750.0
2005,10000.0,89640.0,37500.0,-1.0,-1.0,179449.0,62950.0,45000.0,62650.0,50496.0,239908.0,28571.0
2006,10000.0,44549.0,44444.0,-1.0,10000.0,200886.0,63430.0,60000.0,62651.0,50000.0,203942.0,23100.0
2007,10000.0,38869.0,57143.0,-1.0,10000.0,192801.0,64304.0,56667.0,62711.0,52464.0,167915.0,22736.0
2008,15000.0,58833.0,66667.0,-1.0,10000.0,230801.0,65178.0,44000.0,62854.0,53495.0,164267.0,22911.0
2009,6000.0,59041.0,46875.0,-1.0,10795.0,201264.0,66053.0,44000.0,63109.0,54527.0,190633.0,22399.0
2010,6667.0,76733.0,51875.0,-1.0,11158.0,198212.0,66927.0,48000.0,62500.0,55561.0,161260.0,21758.0
2011,10000.0,101398.0,56429.0,-1.0,11509.0,224575.0,67802.0,44000.0,66667.0,56594.0,168166.0,21875.0
2012,28000.0,63025.0,40625.0,-1.0,12857.0,246674.0,68676.0,48000.0,65198.0,60000.0,244762.0,22285.0
2013,40000.0,55695.0,5625.0,-1.0,11962.0,239059.0,69551.0,50000.0,64383.0,58882.0,227859.0,22718.0
2014,20000.0,56645.0,4444.0,-1.0,12000.0,231904.0,70426.0,46667.0,64240.0,59904.0,279777.0,23138.0
