,Guinea,Cuba,Kenya,"China, Taiwan Province of",Mozambique,Morocco,Ethiopia PDR,Comoros,Mexico,Dominican Republic,Ethiopia,Central African Republic,Indonesia,China,Jamaica,Malawi,United Republic of Tanzania,Venezuela (Bolivarian Republic of),South Africa,Democratic Republic of the Congo,Guatemala,Brazil,"China, mainland",Madagascar,Angola,Uganda,Thailand,Haiti
1976,100.0,7937.0,33555.0,8962.0,19000.0,600.0,400.0,0.0,133359.0,240.0,-1.0,200.0,300.0,20962.0,300.0,100.0,119077.0,14300.0,5636.0,0.0,-1,166438.0,12000.0,25425.0,25000.0,-1.0,70.0,6000.0
1977,100.0,6106.0,33433.0,7924.0,18000.0,700.0,400.0,0.0,101197.0,240.0,-1.0,200.0,250.0,19924.0,300.0,100.0,105018.0,9032.0,3917.0,0.0,-1,225246.0,12000.0,26290.0,20000.0,-1.0,80.0,6000.0
1978,100.0,6144.0,31456.0,8805.0,14000.0,720.0,800.0,0.0,98273.0,240.0,-1.0,200.0,200.0,21805.0,300.0,100.0,91873.0,6602.0,3073.0,0.0,-1,201786.0,13000.0,15920.0,20000.0,-1.0,30.0,9000.0
1979,100.0,5518.0,36457.0,8038.0,11000.0,730.0,800.0,0.0,87581.0,240.0,-1.0,200.0,200.0,22038.0,300.0,100.0,81384.0,6108.0,3730.0,0.0,-1,228191.0,14000.0,14850.0,13000.0,-1.0,30.0,11000.0
1980,100.0,5694.0,46910.0,7682.0,12000.0,730.0,800.0,0.0,89254.0,240.0,-1.0,200.0,250.0,21682.0,300.0,100.0,85982.0,5317.0,6000.0,0.0,-1,234981.0,14000.0,16020.0,5000.0,-1.0,200.0,16000.0
1981,100.0,3683.0,41325.0,3078.0,9500.0,1000.0,800.0,-1.0,94767.0,240.0,-1.0,200.0,250.0,17078.0,300.0,100.0,73956.0,5220.0,7000.0,0.0,-1,239203.0,14000.0,15400.0,4000.0,-1.0,50.0,10210.0
1982,100.0,5760.0,50029.0,3029.0,5300.0,1100.0,800.0,-1.0,73495.0,240.0,-1.0,220.0,300.0,17029.0,300.0,100.0,60635.0,5011.0,5170.0,0.0,-1,251325.0,14000.0,18400.0,6000.0,-1.0,50.0,11000.0
1983,100.0,6289.0,49700.0,3332.0,4000.0,1100.0,800.0,-1.0,71342.0,240.0,-1.0,230.0,300.0,17332.0,300.0,100.0,46186.0,5833.0,4881.0,0.0,-1,180859.0,14000.0,18800.0,3000.0,-1.0,50.0,11000.0
1984,120.0,6242.0,51400.0,3348.0,2500.0,1200.0,800.0,-1.0,57026.0,197.0,-1.0,240.0,350.0,19348.0,300.0,100.0,38263.0,6025.0,4875.0,0.0,-1,224760.0,16000.0,19500.0,1000.0,-1.0,50.0,12000.0
1985,120.0,6433.0,45000.0,2057.0,2000.0,1300.0,800.0,-1.0,50031.0,189.0,-1.0,240.0,350.0,24144.0,300.0,100.0,32270.0,6169.0,6500.0,0.0,-1,290901.0,22087.0,19800.0,1000.0,-1.0,50.0,11000.0
1986,120.0,6815.0,41500.0,2977.0,1000.0,1400.0,800.0,-1.0,65800.0,171.0,-1.0,250.0,400.0,24790.0,300.0,100.0,30151.0,7187.0,7500.0,0.0,-1,246232.0,21813.0,19800.0,1000.0,-1.0,50.0,6000.0
1987,120.0,7006.0,37000.0,1067.0,1000.0,1500.0,800.0,-1.0,32148.0,181.0,-1.0,250.0,465.0,17067.0,300.0,100.0,33170.0,7341.0,7500.0,0.0,-1,191294.0,16000.0,19700.0,1000.0,-1.0,65.0,6000.0
1988,120.0,6629.0,36900.0,510.0,1000.0,1600.0,830.0,-1.0,45805.0,198.0,-1.0,260.0,450.0,16510.0,300.0,100.0,33268.0,7526.0,7500.0,0.0,-1,189654.0,16000.0,19500.0,1000.0,-1.0,65.0,10000.0
1989,120.0,6731.0,37319.0,58.0,1000.0,1700.0,840.0,-1.0,31248.0,208.0,-1.0,270.0,480.0,20411.0,300.0,100.0,32265.0,8336.0,5164.0,0.0,-1,221231.0,20353.0,19955.0,1000.0,-1.0,65.0,10000.0
1990,129.0,6700.0,39617.0,30.0,889.0,1800.0,887.0,0.0,35156.0,210.0,-1.0,275.0,506.0,30030.0,303.0,95.0,33743.0,8813.0,4264.0,0.0,-1,185156.0,30000.0,20000.0,1000.0,0.0,72.0,10096.0
1991,115.0,6220.0,38800.0,10.0,1000.0,1900.0,800.0,0.0,35650.0,225.0,-1.0,280.0,546.0,28482.0,440.0,89.0,35662.0,13035.0,4084.0,0.0,-1,233721.0,28472.0,15000.0,1000.0,0.0,53.0,8645.0
1992,122.0,5985.0,34100.0,6.0,1000.0,2000.0,800.0,0.0,48712.0,235.0,-1.0,285.0,527.0,29006.0,440.0,70.0,24309.0,14885.0,3010.0,0.0,-1,204227.0,29000.0,10000.0,500.0,0.0,50.0,9000.0
1993,130.0,5695.0,35100.0,3.0,1000.0,2100.0,-1.0,-1.0,35387.0,235.0,800.0,290.0,300.0,38861.0,440.0,100.0,30500.0,6500.0,2666.0,0.0,-1,126076.0,38858.0,18000.0,500.0,0.0,45.0,8500.0
1994,127.0,5364.0,33900.0,1.0,1014.0,2200.0,-1.0,-1.0,35969.0,226.0,792.0,300.0,450.0,40855.0,440.0,70.0,25500.0,17803.0,2889.0,0.0,-1,118056.0,40854.0,17200.0,499.0,0.0,40.0,8000.0
1995,127.0,6000.0,27810.0,0.0,1020.0,2218.0,-1.0,-1.0,43100.0,206.0,785.0,300.0,441.0,43442.0,440.0,80.0,32000.0,16440.0,2672.0,0.0,-1,118056.0,43442.0,16300.0,494.0,0.0,38.0,7000.0
1996,127.0,3984.0,28100.0,0.0,1031.0,2200.0,-1.0,-1.0,41346.0,436.0,783.0,305.0,439.0,27882.0,440.0,100.0,23000.0,14796.0,2500.0,0.0,-1,121436.0,27882.0,17000.0,550.0,0.0,35.0,5660.0
1997,127.0,2955.0,28188.0,1.0,1018.0,2159.0,-1.0,-1.0,57010.0,366.0,760.0,310.0,438.0,38364.0,440.0,90.0,25000.0,14000.0,2200.0,0.0,-1,137887.0,38363.0,18000.0,600.0,0.0,37.0,5700.0
1998,127.0,1897.0,18216.0,4.0,987.0,2114.0,-1.0,-1.0,45870.0,307.0,742.0,315.0,436.0,36956.0,440.0,100.0,15000.0,13704.0,2045.0,0.0,-1,115816.0,36952.0,18000.0,650.0,0.0,38.0,5660.0
1999,126.0,120.0,18200.0,4.0,967.0,2066.0,-1.0,-1.0,32825.0,256.0,718.0,320.0,428.0,36820.0,440.0,94.0,24000.0,11583.0,1900.0,0.0,-1,193673.0,36816.0,17000.0,500.0,0.0,39.0,5700.0
2000,126.0,140.0,16607.0,4.0,950.0,2015.0,-1.0,-1.0,97532.0,266.0,700.0,325.0,424.0,36757.0,440.0,90.0,20600.0,10801.0,1920.0,0.0,-1,194463.0,36753.0,17075.0,512.0,0.0,40.0,5700.0
2001,126.0,160.0,17144.0,4.0,966.0,1964.0,-1.0,-1.0,27059.0,453.0,647.0,330.0,420.0,12979.0,440.0,92.0,25200.0,5029.0,1710.0,0.0,-1,181475.0,12975.0,17130.0,494.0,0.0,42.0,5660.0
2002,126.0,187.0,23402.0,4.0,1000.0,1909.0,-1.0,-1.0,16636.0,500.0,597.0,335.0,416.0,16004.0,440.0,92.0,23500.0,3443.0,1560.0,0.0,-1,171266.0,16000.0,17190.0,484.0,0.0,43.0,5200.0
2003,126.0,285.0,24447.0,4.0,1020.0,1847.0,-1.0,-1.0,25773.0,550.0,526.0,320.0,412.0,17004.0,440.0,96.0,23600.0,5478.0,1500.0,0.0,-1,187008.0,17000.0,17250.0,495.0,0.0,45.0,5200.0
2004,126.0,200.0,25000.0,4.0,973.0,1797.0,-1.0,-1.0,17000.0,350.0,500.0,340.0,409.0,27004.0,440.0,98.0,23800.0,3239.0,1260.0,0.0,-1,199322.0,27000.0,17000.0,490.0,0.0,43.0,6000.0
2005,125.0,230.0,25800.0,4.0,907.0,1734.0,-1.0,-1.0,27050.0,280.0,501.0,303.0,420.0,13004.0,440.0,95.0,27000.0,4314.0,1300.0,0.0,-1,213082.0,13000.0,17200.0,470.0,0.0,41.0,6000.0
2006,150.0,215.0,26375.0,4.0,607.0,1694.0,-1.0,-1.0,26746.0,200.0,501.0,294.0,396.0,12504.0,440.0,96.0,27800.0,3909.0,1260.0,0.0,-1,248111.0,12500.0,17749.0,447.0,5.0,35.0,6000.0
2007,158.0,220.0,24789.0,4.0,600.0,1660.0,-1.0,-1.0,26335.0,160.0,502.0,274.0,392.0,14004.0,440.0,97.0,30900.0,5900.0,1251.0,0.0,-1,245389.0,14000.0,18003.0,448.0,5.0,31.0,8000.0
2008,170.0,228.0,22064.0,4.0,650.0,1632.0,-1.0,-1.0,26033.0,100.0,502.0,260.0,387.0,16004.0,440.0,98.0,33300.0,5359.0,1268.0,0.0,-1,246239.0,16000.0,17872.0,450.0,5.0,27.0,8256.0
2009,180.0,237.0,19048.0,4.0,650.0,1612.0,-1.0,-1.0,23895.0,97.0,577.0,175.0,382.0,16504.0,440.0,110.0,23800.0,5253.0,1278.0,0.0,-1,280005.0,16500.0,17741.0,500.0,3.0,23.0,8935.0
2010,202.0,251.0,23924.0,4.0,660.0,1602.0,-1.0,-1.0,37773.0,58.0,654.0,302.0,377.0,15605.0,440.0,129.0,26363.0,6568.0,1284.0,0.0,-1,246535.0,15601.0,17779.0,540.0,3.0,20.0,9134.0
2011,187.0,265.0,27560.0,4.0,690.0,1600.0,-1.0,-1.0,18918.0,40.0,648.0,298.0,373.0,14881.0,440.0,130.0,24828.0,5126.0,1279.0,0.0,-1,283797.0,14877.0,17744.0,598.0,3.0,16.0,9604.0
2012,180.0,450.0,27866.0,4.0,675.0,1625.0,-1.0,-1.0,34237.0,38.0,650.0,230.0,350.0,14737.0,440.0,124.0,25693.0,3233.0,1274.0,0.0,-1,89128.0,14733.0,17798.0,622.0,4.0,13.0,10073.0
2013,185.0,465.0,25328.0,4.0,675.0,1650.0,-1.0,-1.0,16729.0,30.0,650.0,220.0,340.0,14214.0,440.0,138.0,34875.0,2415.0,1269.0,0.0,-1,150584.0,14210.0,17851.0,652.0,4.0,13.0,11724.0
2014,188.0,460.0,22038.0,4.0,666.0,1674.0,-1.0,-1.0,6098.0,30.0,652.0,234.0,360.0,13691.0,440.0,129.0,29563.0,3104.0,1264.0,0.0,-1,138008.0,13687.0,17904.0,611.0,4.0,12.0,10414.0
