,India,Dominica,Melanesia,Bhutan,Malaysia,Grenada,Sri Lanka,Honduras,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Malawi,United Republic of Tanzania,Trinidad and Tobago,Papua New Guinea,Saint Vincent and the Grenadines,Guatemala,Togo,Kenya,Madagascar,Saint Lucia,Ethiopia PDR,Thailand
1982,103300.0,-1.0,160.0,5889.0,730.0,-1.0,7350.0,-1.0,5000.0,-1.0,-1.0,29300.0,-1.0,2500.0,-1.0,160.0,-1.0,27510.0,-1.0,40.0,-1.0,-1.0,350.0,-1
1983,112600.0,-1.0,300.0,5900.0,780.0,-1.0,7330.0,-1.0,5500.0,-1.0,-1.0,29000.0,-1.0,2500.0,-1.0,300.0,-1.0,30030.0,-1.0,40.0,-1.0,-1.0,350.0,-1
1984,114400.0,-1.0,500.0,8800.0,700.0,-1.0,7210.0,-1.0,5500.0,-1.0,-1.0,30000.0,-1.0,2500.0,-1.0,500.0,-1.0,33250.0,-1.0,40.0,-1.0,-1.0,600.0,-1
1985,117740.0,-1.0,680.0,6300.0,800.0,3550.0,7110.0,-1.0,6000.0,6500.0,-1.0,29000.0,160.0,2500.0,370.0,680.0,300.0,33250.0,-1.0,40.0,-1.0,60.0,500.0,-1
1986,116270.0,-1.0,900.0,6500.0,900.0,3950.0,7210.0,750.0,6000.0,6500.0,-1.0,33352.0,160.0,2500.0,370.0,900.0,300.0,38990.0,-1.0,40.0,-1.0,60.0,350.0,-1
1987,118790.0,-1.0,850.0,6600.0,950.0,4400.0,6330.0,750.0,6000.0,6500.0,-1.0,32159.0,160.0,2500.0,370.0,850.0,300.0,42140.0,-1.0,40.0,60.0,60.0,350.0,-1
1988,118340.0,2.0,750.0,6900.0,1000.0,4200.0,6350.0,750.0,6000.0,6650.0,-1.0,33000.0,160.0,2500.0,370.0,750.0,360.0,43400.0,-1.0,40.0,60.0,60.0,350.0,-1
1989,121210.0,2.0,700.0,7200.0,1200.0,4200.0,6450.0,750.0,6000.0,6650.0,-1.0,34000.0,160.0,2500.0,370.0,700.0,300.0,43750.0,-1.0,60.0,60.0,60.0,350.0,-1
1990,118160.0,2.0,600.0,7300.0,1300.0,4200.0,6390.0,800.0,6591.0,6488.0,-1.0,38489.0,163.0,2540.0,404.0,600.0,327.0,43750.0,-1.0,61.0,30.0,65.0,356.0,-1
1991,117720.0,2.0,450.0,7400.0,912.0,4200.0,6440.0,730.0,5957.0,6749.0,-1.0,39275.0,178.0,1793.0,157.0,450.0,287.0,43750.0,-1.0,146.0,31.0,59.0,339.0,-1
1992,96680.0,1.0,360.0,7500.0,848.0,4200.0,6510.0,720.0,6369.0,6984.0,-1.0,38195.0,178.0,1700.0,182.0,360.0,298.0,43750.0,140.0,145.0,31.0,65.0,353.0,-1
1993,101110.0,2.0,300.0,7300.0,1400.0,5000.0,6625.0,720.0,6670.0,7500.0,344.0,39000.0,178.0,1626.0,206.0,300.0,200.0,45920.0,20.0,70.0,31.0,58.0,-1.0,-1
1994,100400.0,1.0,285.0,7000.0,1450.0,5950.0,6504.0,700.0,7000.0,7824.0,339.0,40000.0,178.0,1605.0,229.0,285.0,340.0,48300.0,46.0,133.0,30.0,64.0,-1.0,-1
1995,101500.0,1.0,260.0,6700.0,711.0,4400.0,6540.0,802.0,6908.0,8193.0,335.0,41000.0,178.0,1632.0,251.0,260.0,380.0,48300.0,44.0,133.0,30.0,70.0,-1.0,-1
1996,99000.0,1.0,250.0,6200.0,617.0,4600.0,6550.0,695.0,6900.0,8300.0,328.0,42102.0,178.0,1679.0,273.0,250.0,400.0,48300.0,39.0,133.0,30.0,70.0,-1.0,-1
1997,94300.0,1.0,250.0,5700.0,700.0,6000.0,6410.0,830.0,6891.0,11000.0,324.0,42464.0,178.0,1671.0,294.0,250.0,370.0,48650.0,15.0,134.0,30.0,75.0,-1.0,-1
1998,85000.0,1.0,240.0,5200.0,1400.0,5500.0,6350.0,900.0,7000.0,12500.0,319.0,42790.0,177.0,1800.0,321.0,240.0,380.0,49700.0,20.0,135.0,30.0,73.0,-1.0,-1
1999,84800.0,1.0,200.0,4700.0,638.0,6000.0,6110.0,700.0,7018.0,12000.0,315.0,32700.0,177.0,1919.0,359.0,200.0,390.0,42000.0,25.0,135.0,30.0,75.0,-1.0,-1
2000,92400.0,1.0,180.0,4200.0,642.0,5700.0,5920.0,717.0,7162.0,13600.0,300.0,40000.0,177.0,1985.0,375.0,180.0,441.0,42910.0,30.0,180.0,30.0,76.0,-1.0,-1
2001,91600.0,1.0,150.0,3700.0,559.0,4800.0,6040.0,1250.0,7200.0,10668.0,307.0,47554.0,177.0,2051.0,380.0,150.0,480.0,43610.0,30.0,150.0,30.0,77.0,-1.0,-1
2002,88500.0,2.0,380.0,2000.0,513.0,6700.0,5300.0,1050.0,7362.0,10840.0,305.0,57382.0,177.0,2114.0,390.0,380.0,650.0,52000.0,29.0,132.0,22.0,78.0,-1.0,-1
2003,95600.0,2.0,300.0,1700.0,469.0,5300.0,4800.0,999.0,7300.0,11000.0,303.0,50234.0,177.0,2169.0,395.0,300.0,420.0,78400.0,31.0,130.0,24.0,79.0,-1.0,-1
2004,95200.0,2.0,320.0,1728.0,342.0,5900.0,4830.0,1300.0,7520.0,11600.0,301.0,33000.0,176.0,2252.0,400.0,320.0,400.0,77800.0,33.0,128.0,25.0,79.0,-1.0,-1
2005,95800.0,2.0,340.0,2360.0,302.0,310.0,4640.0,1650.0,7400.0,11500.0,299.0,35000.0,179.0,2325.0,411.0,340.0,330.0,86600.0,29.0,125.0,25.0,80.0,-1.0,-1
2006,104000.0,2.0,300.0,4040.0,265.0,480.0,2510.0,750.0,7693.0,11498.0,299.0,72804.0,172.0,2376.0,427.0,300.0,430.0,83055.0,35.0,123.0,25.0,81.0,-1.0,-1
2007,81930.0,2.0,280.0,3390.0,710.0,650.0,1850.0,904.0,7971.0,11712.0,300.0,74530.0,160.0,2500.0,440.0,280.0,440.0,77700.0,35.0,150.0,30.0,80.0,-1.0,-1
2008,91990.0,4.0,270.0,2500.0,1680.0,690.0,1320.0,923.0,8038.0,12015.0,300.0,86162.0,160.0,2600.0,441.0,270.0,430.0,68781.0,35.0,150.0,24.0,80.0,-1.0,-1
2009,90200.0,4.0,250.0,1905.0,1950.0,890.0,1450.0,922.0,8128.0,11849.0,254.0,98800.0,160.0,2300.0,480.0,250.0,500.0,64100.0,35.0,118.0,22.0,84.0,-1.0,-1
2010,86700.0,6.0,250.0,1931.0,171.0,900.0,1530.0,925.0,8217.0,11766.0,390.0,117300.0,160.0,1971.0,500.0,250.0,515.0,62300.0,35.0,114.0,20.0,86.0,-1.0,-1
2011,89006.0,6.0,250.0,1724.0,32.0,999.0,1550.0,600.0,8305.0,12584.0,390.0,121600.0,160.0,1747.0,510.0,250.0,515.0,63910.0,35.0,110.0,19.0,88.0,-1.0,-1
2012,92000.0,6.0,250.0,2057.0,19.0,950.0,1510.0,994.0,8393.0,11665.0,400.0,133700.0,183.0,1500.0,515.0,250.0,515.0,65137.0,38.0,80.0,16.0,89.0,-1.0,-1
2013,95930.0,7.0,239.0,1433.0,70.0,928.0,1690.0,1010.0,8481.0,13129.0,400.0,139900.0,168.0,1550.0,564.0,239.0,531.0,69051.0,35.0,80.0,16.0,90.0,-1.0,-1
2014,93000.0,6.0,231.0,2529.0,14.0,910.0,1677.0,1011.0,8567.0,11501.0,393.0,157800.0,160.0,2009.0,582.0,231.0,387.0,72406.0,33.0,105.0,18.0,91.0,-1.0,-1
