,Israel,USSR,Argentina,Turkey,Australia & New Zealand,Australia,Ethiopia PDR,Pakistan,United Republic of Tanzania,Mexico,Tajikistan,Ethiopia,Ukraine,Hungary,Russian Federation,Kyrgyzstan,Iran (Islamic Republic of),Kazakhstan,China,United States of America,Morocco,"China, mainland",Canada,Uzbekistan,Spain,Portugal,Occupied Palestinian Territory,India
1978,3226.0,5364.0,7451.0,9677.0,7730.0,7730.0,4688.0,11143.0,,14347.0,,,,,,,,,,19310.0,,,,,9933.0,4600.0,,2658.0
1979,9052.0,4286.0,8516.0,9038.0,5594.0,5594.0,4688.0,9267.0,,12013.0,,,,,,,,,,18500.0,,,,,8431.0,4329.0,,2973.0
1980,8955.0,4667.0,7778.0,10700.0,4424.0,4424.0,4769.0,10901.0,,11524.0,,,,,,,,,,18103.0,,,,,9848.0,7172.0,,3810.0
1981,15957.0,5333.0,9692.0,10000.0,5880.0,5880.0,4769.0,9103.0,,8128.0,,,,,,,,,,18039.0,,,,,3577.0,4252.0,,4655.0
1982,10000.0,2600.0,8017.0,10638.0,4579.0,4579.0,4848.0,10412.0,,12575.0,,,,,,,,,,17658.0,,,,,6533.0,5384.0,,5631.0
1983,10000.0,5727.0,4946.0,10612.0,5583.0,5583.0,4848.0,10765.0,,7996.0,,,,,,,,,,18085.0,,,,,6882.0,2980.0,,5062.0
1984,10000.0,2205.0,5643.0,10417.0,7301.0,7301.0,4848.0,5534.0,,9365.0,,,,,,,,,,18113.0,,,,,7144.0,5611.0,,6026.0
1985,10000.0,3727.0,7450.0,8065.0,5894.0,5894.0,4848.0,5533.0,,6478.0,,,,,,,,,,17372.0,,,,,8504.0,4991.0,,5612.0
1986,10000.0,4545.0,4315.0,10526.0,6536.0,6536.0,4887.0,10939.0,,7964.0,,,,,,,,,,17326.0,,,,,8836.0,5000.0,,3818.0
1987,11364.0,3167.0,4928.0,10924.0,6658.0,6658.0,4925.0,3549.0,,7928.0,,,,,,,,,,17246.0,,,,,8744.0,,,3951.0
1988,11224.0,5286.0,8404.0,9677.0,6558.0,6558.0,4963.0,4137.0,,12308.0,,,,,,,,,,14423.0,,,,,8705.0,,,4394.0
1989,10000.0,7727.0,7500.0,8889.0,6356.0,6356.0,5000.0,4951.0,,9544.0,,,,,,,,,,14636.0,,,2500.0,,8578.0,,,5456.0
1990,10000.0,5455.0,6900.0,8493.0,5659.0,5659.0,4923.0,5212.0,,10139.0,,,,15000.0,,,,,,14458.0,,,3019.0,,10289.0,,,5776.0
1991,9091.0,5417.0,8049.0,8625.0,6601.0,6601.0,5036.0,5294.0,,9410.0,,,,14545.0,,,5000.0,,,13450.0,,,6349.0,,8286.0,,,3888.0
1992,9574.0,,8750.0,7975.0,7348.0,7348.0,5072.0,3900.0,,5059.0,3650.0,,,14545.0,5626.0,8389.0,5576.0,6531.0,17647.0,14851.0,,17647.0,5016.0,9000.0,10714.0,,,4047.0
1993,10000.0,,7369.0,8971.0,8272.0,8272.0,,4953.0,,8699.0,4683.0,5000.0,,15385.0,7500.0,3689.0,5653.0,4226.0,20000.0,20501.0,,20000.0,2500.0,8421.0,9527.0,,,4745.0
1994,10000.0,,5751.0,9000.0,4785.0,4785.0,,5476.0,,11083.0,5260.0,5106.0,,15116.0,6128.0,3978.0,5727.0,3878.0,12195.0,20971.0,,12195.0,5500.0,9524.0,15308.0,,,6583.0
1995,10000.0,,5872.0,9328.0,7430.0,7430.0,,6328.0,,11702.0,5900.0,5027.0,,15000.0,6137.0,2803.0,5797.0,3251.0,14286.0,19839.0,,14286.0,10000.0,8904.0,9057.0,,,5348.0
1996,,,6062.0,9136.0,6068.0,6068.0,,6718.0,,15064.0,5650.0,6770.0,,15455.0,5126.0,3949.0,5864.0,2528.0,18824.0,20500.0,,18824.0,8750.0,9009.0,18430.0,,,5604.0
1997,,,6717.0,8784.0,4967.0,4967.0,,7083.0,,17540.0,2656.0,3775.0,,14118.0,4684.0,5271.0,5928.0,4575.0,11905.0,22420.0,,11905.0,11000.0,3000.0,13404.0,,2857.0,6141.0
1998,,,9111.0,9600.0,5000.0,5000.0,,5952.0,3333.0,13904.0,2656.0,4455.0,,15455.0,3633.0,5993.0,5989.0,4444.0,20833.0,16204.0,,20833.0,11667.0,4007.0,17381.0,,1667.0,6000.0
1999,,,6409.0,10000.0,8303.0,8303.0,,4474.0,3841.0,15606.0,2086.0,7103.0,,14000.0,3464.0,6859.0,6047.0,4250.0,8000.0,17316.0,,8000.0,9500.0,4393.0,12500.0,,1538.0,5502.0
2000,9890.0,,8968.0,6000.0,6429.0,6429.0,,7213.0,3968.0,11385.0,1360.0,6083.0,,15000.0,1991.0,6429.0,6102.0,3380.0,13000.0,16075.0,,13000.0,13958.0,4207.0,20891.0,,1000.0,5938.0
2001,9902.0,,8180.0,7143.0,5278.0,5278.0,,7321.0,4087.0,9868.0,2333.0,6024.0,,16000.0,2766.0,7611.0,6154.0,3916.0,15789.0,15215.0,,15789.0,12083.0,4091.0,8095.0,,833.0,4755.0
2002,9913.0,,7966.0,6250.0,7429.0,7429.0,,7705.0,4198.0,10018.0,7054.0,6880.0,,14444.0,4783.0,8037.0,6204.0,6068.0,15238.0,16088.0,,15238.0,6875.0,2663.0,6719.0,,1053.0,5689.0
2003,9927.0,,6045.0,6800.0,6747.0,6747.0,,7000.0,4309.0,13683.0,6268.0,5952.0,,9801.0,3356.0,8999.0,6259.0,7098.0,14737.0,14458.0,,14737.0,10000.0,3252.0,7347.0,,1017.0,4831.0
2004,9944.0,,5921.0,9091.0,6222.0,6222.0,,7292.0,4420.0,10890.0,6487.0,6003.0,,13763.0,2857.0,8900.0,6320.0,5423.0,13636.0,13490.0,,13636.0,11288.0,3636.0,8108.0,,1724.0,3707.0
2005,9961.0,,10619.0,12428.0,6333.0,6333.0,,8085.0,4527.0,10858.0,6757.0,7245.0,5000.0,12000.0,6889.0,8240.0,6378.0,4976.0,15238.0,15013.0,,15238.0,11133.0,4493.0,3750.0,,1613.0,4703.0
2006,,,7050.0,9186.0,7660.0,7660.0,,8085.0,4629.0,10523.0,3029.0,6718.0,4000.0,11602.0,4194.0,8169.0,6435.0,6491.0,13636.0,12333.0,,13636.0,10839.0,5577.0,8590.0,,1500.0,6270.0
2007,9995.0,,7806.0,13459.0,3344.0,3344.0,,8448.0,4729.0,12168.0,2554.0,8584.0,4000.0,9432.0,2667.0,8299.0,6489.0,5938.0,15238.0,13767.0,,15238.0,10963.0,5645.0,5217.0,,1250.0,6857.0
2008,10012.0,,7592.0,13125.0,7353.0,7353.0,,9091.0,4825.0,14833.0,1951.0,8973.0,4848.0,14364.0,4234.0,8211.0,6542.0,5725.0,14773.0,17843.0,,14773.0,11088.0,4500.0,6000.0,,929.0,6419.0
2009,10029.0,,8971.0,9331.0,5124.0,5124.0,,8904.0,4917.0,11746.0,4618.0,11932.0,5556.0,8194.0,4375.0,9204.0,6593.0,5694.0,14783.0,16387.0,,14783.0,11212.0,5667.0,6364.0,,1333.0,6422.0
2010,10046.0,,6634.0,19262.0,6282.0,6282.0,,8654.0,5007.0,11564.0,4320.0,9230.0,6000.0,2740.0,6750.0,9563.0,6642.0,6301.0,14418.0,14793.0,,14418.0,11337.0,5188.0,9857.0,,1296.0,6213.0
2011,10063.0,,7077.0,13844.0,5821.0,5821.0,,8718.0,5094.0,20847.0,1668.0,10858.0,4545.0,5000.0,7817.0,8971.0,6690.0,6261.0,14481.0,14938.0,,14481.0,11461.0,4785.0,7482.0,,1159.0,6549.0
2012,10080.0,,6704.0,12506.0,5053.0,5053.0,,10303.0,5404.0,14893.0,5457.0,11634.0,5000.0,6667.0,6224.0,9111.0,7117.0,5222.0,14606.0,12178.0,,14606.0,11586.0,4488.0,5941.0,,1181.0,8146.0
2013,10097.0,,5690.0,15379.0,5750.0,5750.0,,10455.0,5417.0,11409.0,8445.0,7242.0,5000.0,7000.0,5923.0,9188.0,6914.0,6325.0,14585.0,13804.0,,14585.0,11710.0,6519.0,10274.0,,1166.0,7267.0
2014,10115.0,,5398.0,14112.0,5823.0,5823.0,,10500.0,5280.0,12604.0,9117.0,11244.0,5000.0,14000.0,7107.0,8238.0,6712.0,5394.0,14565.0,13740.0,,14565.0,11834.0,5349.0,8026.0,,1152.0,5355.0
