,USSR,Romania,Eritrea,Israel,Australia & New Zealand,Iraq,Madagascar,Pakistan,Nepal,Ethiopia,Kenya,Czechia,Bangladesh,Italy,Lebanon,Occupied Palestinian Territory,Morocco,Slovenia,Chile,Argentina,Colombia,Spain,Syrian Arab Republic,Malawi,New Zealand,Algeria,Slovakia,Ecuador,Canada,Turkey,Jordan,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,India,Hungary,Russian Federation,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Peru,Mexico,"China, mainland",Cyprus,Croatia,Bulgaria,Myanmar,China
1983,2880.0,0.0,,20.0,0.0,371.0,39.0,1465.0,3600.0,,0.0,,7212.0,100.0,259.0,0.0,2700.0,,1898.0,660.0,850.0,7100.0,4165.0,0.0,0.0,685.0,,17.0,3810.0,49600.0,414.0,1786.0,1100.0,,328.0,310.0,700.0,28293.0,14.0,,15.0,16.0,5194.0,148.0,635.0,0.0,5.0,,197.0,110.0,0.0
1984,3330.0,0.0,,20.0,20.0,371.0,40.0,1473.0,2957.0,,0.0,,7002.0,100.0,280.0,0.0,3508.0,,2909.0,954.0,850.0,7000.0,4632.0,0.0,20.0,377.0,,22.0,4368.0,47760.0,492.0,1505.0,1500.0,,152.0,387.0,546.0,29475.0,75.0,,15.0,19.0,5655.0,154.0,203.0,2700.0,4.0,,274.0,174.0,2700.0
1985,3420.0,0.0,,20.0,40.0,245.0,40.0,1723.0,3098.0,,0.0,,6675.0,111.0,294.0,0.0,3424.0,,2982.0,1032.0,850.0,7000.0,4719.0,0.0,40.0,138.0,,87.0,7848.0,60000.0,241.0,1794.0,1600.0,,152.0,395.0,784.0,32721.0,87.0,,15.0,15.0,5928.0,176.0,359.0,3150.0,3.0,,360.0,94.0,3150.0
1986,3690.0,0.0,,20.0,60.0,119.0,40.0,2424.0,3219.0,,0.0,,6381.0,98.0,315.0,0.0,3584.0,,3706.0,828.0,850.0,10400.0,6258.0,0.0,60.0,230.0,,88.0,14304.0,73280.0,432.0,1872.0,1700.0,,140.0,409.0,602.0,32610.0,463.0,,16.0,18.0,3093.0,194.0,482.0,4050.0,2.0,,363.0,134.0,4050.0
1987,4950.0,0.0,,20.0,80.0,72.0,40.0,2279.0,3386.0,,0.0,,6489.0,120.0,329.0,0.0,2608.0,,2620.0,897.0,850.0,8300.0,9245.0,0.0,80.0,197.0,,138.0,8130.0,78640.0,452.0,2715.0,1800.0,,126.0,335.0,224.0,31209.0,952.0,,17.0,17.0,8691.0,160.0,217.0,4500.0,2.0,,413.0,66.0,4500.0
1988,4680.0,0.0,,12.0,100.0,56.0,40.0,2265.0,3386.0,,0.0,,6459.0,110.0,350.0,0.0,2316.0,,1175.0,1080.0,850.0,7800.0,13181.0,0.0,100.0,97.0,,120.0,6186.0,79760.0,268.0,1514.0,714.0,,123.0,248.0,294.0,32433.0,386.0,,44.0,16.0,7449.0,136.0,391.0,4950.0,1.0,,243.0,41.0,4950.0
1989,6570.0,0.0,,13.0,96.0,46.0,40.0,2038.0,4814.0,,0.0,,6273.0,100.0,371.0,0.0,2268.0,,1114.0,1800.0,1057.0,5400.0,9184.0,0.0,96.0,106.0,,124.0,8016.0,72480.0,366.0,1574.0,589.0,,103.0,183.0,263.0,33354.0,98.0,,43.0,19.0,6178.0,129.0,311.0,5850.0,1.0,,154.0,40.0,5850.0
1990,4005.0,0.0,,12.0,103.0,26.0,44.0,1902.0,4879.0,,60.0,,6302.0,100.0,408.0,0.0,1904.0,,1190.0,1680.0,859.0,4900.0,11808.0,48.0,103.0,59.0,,138.0,14290.0,63200.0,206.0,1755.0,680.0,,69.0,143.0,244.0,35634.0,146.0,,33.0,15.0,11261.0,110.0,402.0,6750.0,1.0,,78.0,50.0,6750.0
1991,4005.0,0.0,,10.0,122.0,42.0,47.0,1761.0,4780.0,,80.0,,6267.0,100.0,422.0,0.0,1732.0,,1518.0,1560.0,800.0,4042.0,7470.0,53.0,122.0,46.0,,176.0,16752.0,59600.0,250.0,1924.0,612.0,,73.0,228.0,254.0,35673.0,110.0,,5.0,15.0,15494.0,121.0,482.0,7650.0,0.0,,34.0,78.0,7650.0
1992,,0.0,,12.0,114.0,63.0,48.0,1904.0,4793.0,,242.0,,6223.0,100.0,420.0,0.0,1644.0,4.0,1070.0,1680.0,750.0,2590.0,7911.0,36.0,114.0,54.0,,118.0,22338.0,57040.0,699.0,1924.0,800.0,26.0,63.0,228.0,253.0,36117.0,298.0,760.0,20.0,,15536.0,139.0,383.0,8100.0,0.0,3.0,34.0,142.0,8100.0
1993,,0.0,8.0,13.0,72.0,77.0,40.0,1547.0,7000.0,1926.0,560.0,19.0,6228.0,100.0,434.0,0.0,1688.0,0.0,820.0,1080.0,650.0,3100.0,9410.0,34.0,72.0,59.0,91.0,113.0,23916.0,51680.0,353.0,,652.0,20.0,59.0,,293.0,35502.0,333.0,630.0,15.0,,15860.0,154.0,359.0,14000.0,0.0,3.0,37.0,133.0,14000.0
1994,,0.0,10.0,14.0,56.0,91.0,44.0,1830.0,6000.0,2475.0,526.0,2.0,6228.0,100.0,435.0,0.0,1872.0,0.0,859.0,1110.0,500.0,2445.0,12000.0,24.0,56.0,45.0,112.0,86.0,20032.0,51200.0,560.0,,460.0,6.0,59.0,,309.0,34677.0,300.0,350.0,14.0,,15470.0,184.0,334.0,14000.0,0.0,2.0,46.0,140.0,14000.0
1995,,0.0,13.0,15.0,25.0,105.0,48.0,1965.0,6000.0,3334.0,404.0,3.0,6180.0,100.0,437.0,254.0,1948.0,0.0,863.0,180.0,175.0,3822.0,9863.0,30.0,25.0,41.0,119.0,82.0,18210.0,49600.0,369.0,,326.0,20.0,55.0,,330.0,37662.0,500.0,270.0,74.0,,17617.0,196.0,277.0,14000.0,0.0,3.0,68.0,140.0,14000.0
1996,,0.0,8.0,13.0,26.0,126.0,52.0,2084.0,6300.0,2003.0,225.0,0.0,6190.0,100.0,242.0,217.0,2160.0,0.0,580.0,420.0,170.0,3400.0,8421.0,32.0,26.0,43.0,91.0,144.0,19740.0,44800.0,262.0,,381.0,20.0,54.0,,313.0,41082.0,583.0,270.0,2.0,,12337.0,218.0,267.0,14000.0,0.0,3.0,76.0,118.0,14000.0
1997,,0.0,11.0,15.0,20.0,140.0,52.0,1946.0,6331.0,2644.0,361.0,0.0,6173.0,100.0,112.0,230.0,2292.0,0.0,405.0,540.0,152.0,3100.0,9985.0,40.0,20.0,35.0,62.0,144.0,22704.0,43920.0,247.0,,855.0,29.0,54.0,,344.0,38649.0,49.0,300.0,20.0,,13312.0,215.0,300.0,14000.0,0.0,3.0,86.0,104.0,14000.0
1998,,0.0,48.0,19.0,20.0,154.0,49.0,1734.0,6496.0,2675.0,147.0,0.0,5004.0,100.0,98.0,118.0,1692.0,0.0,254.0,1020.0,155.0,2934.0,10335.0,48.0,20.0,29.0,84.0,120.0,30378.0,41360.0,35.0,,870.0,26.0,60.0,,421.0,41655.0,126.0,250.0,26.0,,12907.0,191.0,292.0,13000.0,0.0,2.0,70.0,80.0,13000.0
1999,,0.0,33.0,12.0,20.0,193.0,44.0,1647.0,6984.0,3000.0,138.0,0.0,5004.0,100.0,48.0,172.0,1656.0,0.0,175.0,1080.0,149.0,2300.0,8594.0,42.0,20.0,21.0,35.0,160.0,41934.0,37760.0,91.0,,381.0,25.0,61.0,,486.0,43848.0,86.0,250.0,27.0,,13377.0,180.0,271.0,14000.0,0.0,2.0,70.0,160.0,14000.0
2000,,0.0,51.0,11.0,20.0,140.0,56.0,1380.0,8000.0,3800.0,239.0,0.0,4931.0,100.0,32.0,173.0,1676.0,0.0,106.0,540.0,148.0,2300.0,9736.0,56.0,20.0,28.0,30.0,160.0,42492.0,37600.0,133.0,,429.0,25.0,67.0,,311.0,44334.0,128.0,250.0,26.0,,17000.0,200.0,253.0,15000.0,0.0,2.0,18.0,172.0,15000.0
2001,,0.0,102.0,14.0,20.0,315.0,45.0,1344.0,7500.0,2406.0,37.0,0.0,4713.0,100.0,112.0,162.0,2444.0,0.0,88.0,330.0,180.0,2500.0,8481.0,60.0,20.0,28.0,40.0,168.0,32412.0,39360.0,101.0,,483.0,25.0,62.0,,372.0,44100.0,130.0,250.0,10.0,,15405.0,210.0,231.0,15000.0,0.0,2.0,25.0,120.0,15000.0
2002,,0.0,37.0,12.0,72.0,105.0,44.0,1470.0,8000.0,2080.0,399.0,0.0,4626.0,150.0,78.0,163.0,2168.0,0.0,73.0,180.0,185.0,3182.0,9719.0,96.0,72.0,25.0,68.0,172.0,30804.0,35360.0,61.0,,450.0,25.0,57.0,,520.0,41400.0,40.0,300.0,15.0,,14314.0,220.0,285.0,16000.0,0.0,2.0,41.0,120.0,16000.0
2003,,0.0,34.0,10.0,72.0,210.0,44.0,1548.0,8000.0,2082.0,52.0,0.0,4638.0,130.0,50.0,134.0,2084.0,0.0,82.0,180.0,190.0,2803.0,9619.0,144.0,72.0,26.0,98.0,160.0,44304.0,35120.0,126.0,,400.0,25.0,95.0,,585.0,42000.0,130.0,230.0,36.0,,13987.0,200.0,259.0,17000.0,7.0,2.0,51.0,96.0,17000.0
2004,,0.0,60.0,12.0,60.0,315.0,44.0,1302.0,8000.0,3066.0,71.0,0.0,4615.0,130.0,55.0,142.0,1968.0,0.0,93.0,180.0,195.0,3000.0,9996.0,160.0,60.0,33.0,70.0,164.0,48168.0,35192.0,108.0,,300.0,25.0,112.0,,689.0,44100.0,130.0,230.0,7.0,,14660.0,178.0,260.0,18000.0,7.0,2.0,41.0,96.0,18000.0
2005,,0.0,47.0,15.0,32.0,210.0,49.0,1017.0,8000.0,3396.0,60.0,0.0,4039.0,135.0,56.0,145.0,2012.0,0.0,92.0,180.0,189.0,1600.0,10150.0,200.0,32.0,37.0,56.0,164.0,33990.0,33934.0,42.0,,280.0,25.0,143.0,,756.0,45300.0,130.0,230.0,29.0,,13589.0,185.0,217.0,18000.0,6.0,3.0,38.0,80.0,18000.0
2006,,0.0,48.0,13.0,17.0,508.0,56.0,1170.0,8000.0,3884.0,85.0,0.0,4127.0,135.0,53.0,127.0,1308.0,0.0,69.0,180.0,203.0,1500.0,10440.0,144.0,17.0,26.0,49.0,164.0,34848.0,31163.0,22.0,,280.0,25.0,223.0,,565.0,44100.0,130.0,250.0,31.0,,13736.0,195.0,238.0,17000.0,5.0,3.0,24.0,144.0,17000.0
2007,,0.0,8.0,12.0,32.0,14.0,62.0,912.0,8000.0,4297.0,153.0,0.0,2177.0,135.0,56.0,97.0,1408.0,0.0,75.0,180.0,207.0,1500.0,9499.0,167.0,32.0,41.0,49.0,168.0,42372.0,25494.0,30.0,,280.0,25.0,168.0,,483.0,39300.0,130.0,250.0,35.0,,9944.0,184.0,249.0,16500.0,5.0,1.0,22.0,80.0,16500.0
2008,,0.0,85.0,10.0,25.0,14.0,55.0,927.0,8000.0,4238.0,79.0,0.0,2129.0,135.0,56.0,78.0,1388.0,0.0,76.0,180.0,198.0,2000.0,7050.0,159.0,25.0,78.0,49.0,168.0,58278.0,17194.0,16.0,,280.0,25.0,168.0,,640.0,41277.0,130.0,400.0,27.0,,12330.0,199.0,202.0,17000.0,4.0,1.0,40.0,75.0,17000.0
2009,,0.0,95.0,13.0,56.0,14.0,62.0,720.0,8000.0,3093.0,81.0,0.0,2319.0,135.0,79.0,10.0,1620.0,0.0,98.0,180.0,200.0,2337.0,9174.0,120.0,56.0,127.0,63.0,168.0,84498.0,18750.0,33.0,,280.0,25.0,240.0,,910.0,44382.0,130.0,500.0,14.0,,10523.0,210.0,243.0,16000.0,4.0,0.0,58.0,90.0,16000.0
2010,,0.0,69.0,13.0,70.0,14.0,45.0,783.0,8000.0,4396.0,170.0,0.0,2489.0,135.0,84.0,21.0,2319.0,0.0,106.0,192.0,196.0,3128.0,9793.0,104.0,70.0,333.0,63.0,160.0,62100.0,17188.0,8.0,,275.0,25.0,372.0,,972.0,47922.0,130.0,1400.0,27.0,,6667.0,141.0,206.0,16000.0,4.0,2.0,34.0,70.0,16000.0
2011,,0.0,47.0,14.0,47.0,14.0,48.0,683.0,9000.0,4949.0,174.0,0.0,2587.0,196.0,84.0,22.0,1964.0,0.0,81.0,279.0,200.0,4283.0,9125.0,94.0,47.0,187.0,56.0,140.0,61062.0,18998.0,16.0,,140.0,25.0,393.0,,1055.0,52950.0,130.0,1600.0,32.0,,9458.0,198.0,180.0,17000.0,4.0,0.0,28.0,70.0,17000.0
2012,,0.0,48.0,14.0,48.0,14.0,48.0,573.0,9000.0,5033.0,245.0,0.0,2695.0,196.0,84.0,22.0,2131.0,0.0,93.0,126.0,200.0,3915.0,7962.0,88.0,48.0,166.0,39.0,160.0,63618.0,22494.0,22.0,,145.0,25.0,458.0,,986.0,56700.0,130.0,1500.0,38.0,,10121.0,210.0,224.0,17000.0,4.0,1.0,26.0,70.0,17000.0
2013,,0.0,21.0,14.0,41.0,14.0,50.0,504.0,11000.0,3955.0,190.0,0.0,3739.0,180.0,72.0,61.0,1835.0,0.0,85.0,126.0,201.0,3569.0,7784.0,88.0,41.0,194.0,39.0,160.0,75756.0,22494.0,16.0,,145.0,25.0,411.0,,1024.0,54000.0,130.0,1500.0,17.0,,10906.0,170.0,261.0,17000.0,4.0,1.0,26.0,70.0,17000.0
2014,,0.0,21.0,14.0,41.0,14.0,50.0,504.0,11000.0,3955.0,245.0,0.0,3739.0,180.0,72.0,61.0,1835.0,0.0,85.0,126.0,201.0,3569.0,7784.0,88.0,41.0,194.0,39.0,160.0,75756.0,22494.0,16.0,,145.0,25.0,411.0,,1024.0,54000.0,130.0,1500.0,17.0,,10906.0,170.0,261.0,17000.0,4.0,1.0,26.0,70.0,17000.0
