,India,Dominica,Melanesia,Bhutan,Malaysia,Grenada,Sri Lanka,Honduras,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Malawi,United Republic of Tanzania,Trinidad and Tobago,Papua New Guinea,Saint Vincent and the Grenadines,Guatemala,Togo,Kenya,Madagascar,Saint Lucia,Ethiopia PDR
1978,623.0,-1.0,-1.0,4660.0,4200.0,-1.0,1429.0,-1.0,3667.0,-1.0,-1.0,6122.0,-1.0,2000.0,-1.0,-1.0,-1.0,1952.0,-1.0,2500.0,-1.0,-1.0,-1.0
1979,596.0,-1.0,-1.0,4673.0,4200.0,-1.0,1429.0,-1.0,3429.0,-1.0,-1.0,6330.0,-1.0,2800.0,-1.0,-1.0,-1.0,1944.0,-1.0,3333.0,-1.0,-1.0,2857.0
1980,627.0,-1.0,-1.0,4685.0,4333.0,-1.0,1956.0,-1.0,3250.0,-1.0,-1.0,6481.0,-1.0,2000.0,-1.0,-1.0,-1.0,2148.0,-1.0,2500.0,-1.0,-1.0,2857.0
1981,934.0,-1.0,3125.0,4746.0,4333.0,-1.0,1910.0,-1.0,3111.0,-1.0,-1.0,6683.0,-1.0,3000.0,-1.0,3125.0,-1.0,2107.0,-1.0,2500.0,-1.0,-1.0,2857.0
1982,779.0,-1.0,2500.0,4704.0,4384.0,-1.0,1943.0,-1.0,3000.0,-1.0,-1.0,5129.0,-1.0,3400.0,-1.0,2500.0,-1.0,2302.0,-1.0,2500.0,-1.0,-1.0,2857.0
1983,790.0,-1.0,3000.0,4746.0,4359.0,-1.0,1944.0,-1.0,2909.0,-1.0,-1.0,5130.0,-1.0,2000.0,-1.0,3000.0,-1.0,2604.0,-1.0,2500.0,-1.0,-1.0,2857.0
1984,813.0,-1.0,4000.0,3424.0,4357.0,-1.0,2008.0,-1.0,3091.0,-1.0,-1.0,5994.0,-1.0,1600.0,-1.0,4000.0,-1.0,2210.0,-1.0,2500.0,-1.0,-1.0,3333.0
1985,851.0,-1.0,5588.0,4762.0,4313.0,6020.0,2023.0,-1.0,3333.0,1846.0,-1.0,4914.0,3125.0,1200.0,3378.0,5588.0,2900.0,2241.0,-1.0,2500.0,-1.0,2500.0,3000.0
1986,835.0,-1.0,4667.0,5385.0,4333.0,6962.0,1986.0,5333.0,3333.0,1846.0,-1.0,4519.0,3125.0,1400.0,3459.0,4667.0,3067.0,2301.0,-1.0,2500.0,-1.0,2500.0,2857.0
1987,780.0,-1.0,5294.0,6212.0,4316.0,7045.0,1992.0,5333.0,3000.0,2000.0,-1.0,4790.0,3125.0,3000.0,3514.0,5294.0,3367.0,2567.0,-1.0,2500.0,3333.0,2833.0,2857.0
1988,723.0,15000.0,5067.0,6087.0,4350.0,5048.0,2079.0,5333.0,2500.0,2256.0,-1.0,4460.0,3125.0,2000.0,3514.0,5067.0,4028.0,2744.0,-1.0,2500.0,3333.0,2833.0,2857.0
1989,835.0,15000.0,4286.0,6111.0,4333.0,4762.0,2056.0,5333.0,2833.0,3008.0,-1.0,4823.0,3125.0,2400.0,3514.0,4286.0,2733.0,2629.0,-1.0,3333.0,3333.0,3000.0,2857.0
1990,809.0,20000.0,3000.0,6301.0,4346.0,4833.0,2419.0,4913.0,2731.0,2312.0,-1.0,4794.0,2761.0,3543.0,2599.0,3000.0,3364.0,2629.0,-1.0,2951.0,3333.0,2308.0,2528.0
1991,809.0,20000.0,2667.0,6622.0,6516.0,4167.0,2795.0,4795.0,3357.0,2963.0,-1.0,4569.0,12903.0,3903.0,3150.0,2667.0,3097.0,2825.0,-1.0,3373.0,3294.0,3386.0,0.0
1992,953.0,20000.0,2778.0,6933.0,6718.0,4762.0,3072.0,4583.0,3374.0,3205.0,-1.0,5001.0,12591.0,3901.0,3212.0,2778.0,3024.0,2891.0,2857.0,3338.0,3366.0,3385.0,0.0
1993,1075.0,20000.0,2667.0,6849.0,4357.0,5000.0,3019.0,4625.0,3435.0,3333.0,2911.0,5795.0,12279.0,3899.0,3273.0,2667.0,3050.0,2815.0,2500.0,3571.0,3441.0,3433.0,-1.0
1994,1066.0,20000.0,2982.0,6857.0,4345.0,4790.0,3183.0,4286.0,3571.0,3451.0,2947.0,5143.0,11966.0,3897.0,3334.0,2982.0,3059.0,3099.0,2874.0,3488.0,3521.0,3461.0,-1.0
1995,1153.0,20000.0,3077.0,6716.0,7646.0,4993.0,3242.0,4403.0,3410.0,3564.0,2985.0,4931.0,11654.0,3895.0,3395.0,3077.0,3000.0,3234.0,3108.0,3581.0,3606.0,3571.0,-1.0
1996,1273.0,20000.0,2800.0,6452.0,7973.0,5213.0,3374.0,4459.0,3333.0,3614.0,3046.0,4740.0,11342.0,3892.0,3457.0,2800.0,3050.0,4451.0,3321.0,3672.0,3697.0,3504.0,-1.0
1997,1241.0,20000.0,3040.0,6140.0,4286.0,4542.0,3385.0,4490.0,3395.0,3636.0,3090.0,4851.0,11030.0,3890.0,3518.0,3040.0,3081.0,4378.0,3333.0,3757.0,3796.0,3520.0,-1.0
1998,1059.0,20000.0,2500.0,5769.0,4286.0,4545.0,3449.0,4444.0,3405.0,3604.0,3134.0,4651.0,10717.0,3888.0,3492.0,2500.0,3289.0,3588.0,4000.0,3837.0,3902.0,3535.0,-1.0
1999,1262.0,20000.0,3000.0,5319.0,9011.0,4900.0,3470.0,4571.0,3420.0,3613.0,3177.0,4373.0,10405.0,3886.0,3498.0,3000.0,2949.0,3505.0,5200.0,3908.0,4017.0,3548.0,-1.0
2000,1569.0,20000.0,2500.0,4762.0,9331.0,4884.0,3514.0,4600.0,3436.0,3603.0,3333.0,5258.0,10093.0,3883.0,3600.0,2500.0,3148.0,3645.0,6667.0,3889.0,4140.0,3561.0,-1.0
2001,1659.0,20262.0,3333.0,4054.0,9658.0,4898.0,3328.0,4800.0,3472.0,5699.0,3261.0,5002.0,9780.0,3881.0,3684.0,3333.0,3196.0,3648.0,6581.0,3333.0,3333.0,3572.0,-1.0
2002,1740.0,20000.0,5658.0,5000.0,10004.0,4896.0,3792.0,4667.0,3474.0,5700.0,3282.0,4668.0,9468.0,3879.0,3718.0,5658.0,3077.0,3654.0,6956.0,4005.0,4561.0,3583.0,-1.0
2003,1747.0,25000.0,5000.0,4706.0,10528.0,4909.0,4271.0,4624.0,3562.0,5727.0,3303.0,4426.0,9178.0,3899.0,3797.0,5000.0,3571.0,3648.0,6615.0,4137.0,4906.0,3596.0,-1.0
2004,1775.0,21111.0,4625.0,4716.0,10924.0,4893.0,3623.0,4628.0,3522.0,5603.0,3326.0,4393.0,8909.0,3942.0,3875.0,4625.0,3750.0,3650.0,6295.0,4291.0,5306.0,3611.0,-1.0
2005,1858.0,20000.0,4471.0,5042.0,11648.0,4839.0,3685.0,4636.0,3649.0,5913.0,3347.0,4393.0,8640.0,3985.0,4021.0,4471.0,3636.0,3649.0,6797.0,4451.0,5710.0,3625.0,-1.0
2006,1635.0,25000.0,5333.0,8606.0,12665.0,4854.0,2749.0,4667.0,3559.0,5780.0,3350.0,2990.0,8372.0,4028.0,4110.0,5333.0,3605.0,3757.0,7143.0,4615.0,6114.0,3640.0,-1.0
2007,1666.0,25000.0,5000.0,6257.0,4366.0,4892.0,2703.0,4661.0,3531.0,5799.0,3333.0,3199.0,8696.0,4071.0,4204.0,5000.0,3636.0,3604.0,8571.0,4782.0,6515.0,3750.0,-1.0
2008,1680.0,20770.0,5000.0,6000.0,4345.0,4870.0,3030.0,4660.0,3526.0,5898.0,3333.0,3798.0,8463.0,4114.0,4212.0,5000.0,3488.0,3797.0,8571.0,4950.0,6912.0,3750.0,-1.0
2009,1743.0,19953.0,4000.0,5512.0,8574.0,4910.0,3310.0,4668.0,3538.0,5939.0,3540.0,1619.0,8438.0,4157.0,4167.0,4000.0,3600.0,3839.0,8424.0,5116.0,7302.0,3686.0,-1.0
2010,1811.0,16667.0,3200.0,6023.0,34488.0,4913.0,3725.0,4677.0,3550.0,4446.0,3846.0,1338.0,7639.0,4334.0,4560.0,3200.0,5573.0,3626.0,8571.0,5278.0,7681.0,3688.0,-1.0
2011,1777.0,16667.0,4000.0,3770.0,116563.0,4909.0,3742.0,4687.0,3562.0,4384.0,3846.0,1628.0,6875.0,4469.0,5686.0,4000.0,4777.0,4077.0,8656.0,5435.0,8049.0,3680.0,-1.0
2012,1964.0,16667.0,4800.0,3126.0,38421.0,4906.0,3642.0,4696.0,3574.0,5166.0,3875.0,1885.0,5283.0,4667.0,5728.0,4800.0,4893.0,5403.0,8421.0,6250.0,9375.0,3698.0,-1.0
2013,1727.0,15714.0,4924.0,1926.0,23714.0,4912.0,3669.0,4706.0,3585.0,5332.0,3875.0,2009.0,6187.0,4645.0,5559.0,4924.0,4783.0,5474.0,8881.0,6250.0,9375.0,3715.0,-1.0
2014,2258.0,17519.0,4410.0,3571.0,15714.0,4919.0,3482.0,4715.0,3597.0,4543.0,3852.0,2072.0,6222.0,3706.0,5689.0,4410.0,4888.0,5542.0,9555.0,5779.0,8666.0,3733.0,-1.0
