,Austria,"China, Taiwan Province of",Australia & New Zealand,Indonesia,Romania,Jordan,Denmark,Greece,Azerbaijan,Kenya,Luxembourg,Republic of Korea,Viet Nam,Singapore,Lithuania,Germany,Russian Federation,"China, mainland",Albania,Kazakhstan,China,Armenia,Spain,Zambia,Belarus,Uzbekistan,Malta,Australia,Mongolia,Iceland,Croatia,Syrian Arab Republic,Netherlands,Ukraine,New Zealand
1979,-1.0,1043.0,61.0,-1.0,,,46.0,-1.0,,,,224.0,-1.0,-1.0,,-1.0,,2900.0,,,3943.0,,211.0,,,,,53.0,,,,,-1.0,,8.0
1980,-1.0,795.0,62.0,-1.0,,,43.0,-1.0,,,,178.0,-1.0,-1.0,,-1.0,,2900.0,,,3695.0,,225.0,,,,,57.0,,,,,-1.0,,5.0
1981,-1.0,644.0,63.0,-1.0,,,43.0,-1.0,,,,135.0,-1.0,-1.0,,-1.0,,2580.0,,,3224.0,,272.0,,,,,56.0,,,,,-1.0,,7.0
1982,-1.0,514.0,64.0,-1.0,,,45.0,-1.0,,,,100.0,-1.0,-1.0,,-1.0,,2600.0,,,3114.0,,190.0,,,,,57.0,,,,,-1.0,,7.0
1983,-1.0,422.0,70.0,-1.0,,,44.0,-1.0,,,,101.0,-1.0,-1.0,,-1.0,,2650.0,,,3072.0,,225.0,,,,,65.0,,,,,-1.0,,5.0
1984,-1.0,427.0,74.0,-1.0,,,47.0,-1.0,,,,122.0,-1.0,-1.0,,-1.0,,2700.0,,,3127.0,,251.0,,,,,69.0,,,,,-1.0,,5.0
1985,-1.0,432.0,80.0,-1.0,,,48.0,-1.0,,,,90.0,-1.0,-1.0,,-1.0,,2700.0,,,3132.0,,265.0,,,,,76.0,,,,,-1.0,,4.0
1986,-1.0,413.0,73.0,-1.0,,,48.0,-1.0,,,,70.0,-1.0,-1.0,,-1.0,,2800.0,,,3213.0,,250.0,,,,,69.0,,,,,-1.0,,4.0
1987,-1.0,379.0,80.0,-1.0,,,45.0,-1.0,,,,69.0,-1.0,-1.0,,-1.0,,2800.0,,,3179.0,,245.0,,,,,76.0,,,,,-1.0,,4.0
1988,-1.0,263.0,80.0,-1.0,,,45.0,-1.0,,,,66.0,-1.0,-1.0,,-1.0,,3000.0,,,3263.0,,257.0,,,,,76.0,,,,,-1.0,,4.0
1989,-1.0,211.0,103.0,-1.0,,,45.0,-1.0,,,,61.0,-1.0,-1.0,,-1.0,,3500.0,,,3711.0,,240.0,,,,,99.0,,,,,100.0,,4.0
1990,-1.0,148.0,96.0,100.0,0.0,,46.0,-1.0,,,,59.0,-1.0,-1.0,,-1.0,,4000.0,-1.0,,4148.0,,360.0,-1.0,,,-1.0,91.0,-1.0,-1.0,,,100.0,,5.0
1991,-1.0,127.0,110.0,83.0,8.0,,50.0,48.0,,,,57.0,-1.0,-1.0,,246.0,,4500.0,-1.0,,4627.0,,163.0,-1.0,,,-1.0,103.0,-1.0,-1.0,,,100.0,,7.0
1992,-1.0,94.0,112.0,210.0,8.0,,49.0,57.0,-1.0,,,60.0,-1.0,-1.0,12.0,264.0,-1.0,5000.0,-1.0,-1.0,5094.0,-1.0,302.0,-1.0,-1.0,,-1.0,104.0,-1.0,,,,100.0,-1.0,8.0
1993,-1.0,64.0,146.0,190.0,10.0,,50.0,63.0,-1.0,-1.0,,61.0,-1.0,-1.0,18.0,255.0,-1.0,5500.0,-1.0,-1.0,5564.0,-1.0,320.0,-1.0,-1.0,,-1.0,134.0,-1.0,,,,100.0,-1.0,12.0
1994,-1.0,55.0,169.0,250.0,12.0,,51.0,69.0,-1.0,-1.0,,64.0,-1.0,-1.0,12.0,255.0,-1.0,6000.0,-1.0,-1.0,6055.0,-1.0,351.0,-1.0,-1.0,,-1.0,155.0,-1.0,,,-1.0,100.0,-1.0,14.0
1995,-1.0,49.0,179.0,220.0,10.0,,53.0,76.0,-1.0,-1.0,,63.0,-1.0,-1.0,17.0,251.0,-1.0,7000.0,-1.0,-1.0,7049.0,-1.0,388.0,-1.0,-1.0,,-1.0,166.0,-1.0,,,-1.0,100.0,-1.0,13.0
1996,-1.0,62.0,180.0,220.0,6.0,,50.0,81.0,-1.0,-1.0,,88.0,-1.0,-1.0,14.0,260.0,-1.0,6614.0,,-1.0,6676.0,-1.0,363.0,-1.0,-1.0,,-1.0,165.0,-1.0,,-1.0,-1.0,100.0,-1.0,15.0
1997,-1.0,60.0,163.0,190.0,5.0,,47.0,99.0,-1.0,-1.0,,98.0,-1.0,-1.0,19.0,264.0,-1.0,6527.0,,-1.0,6587.0,-1.0,289.0,-1.0,-1.0,,-1.0,145.0,-1.0,,-1.0,-1.0,100.0,,18.0
1998,-1.0,50.0,170.0,100.0,4.0,,44.0,96.0,-1.0,-1.0,,105.0,-1.0,-1.0,30.0,264.0,-1.0,7500.0,,,7550.0,-1.0,300.0,-1.0,,,,150.0,-1.0,,-1.0,-1.0,100.0,,20.0
1999,-1.0,40.0,173.0,240.0,0.0,,44.0,93.0,-1.0,-1.0,,142.0,-1.0,-1.0,14.0,264.0,-1.0,8000.0,,,8040.0,-1.0,300.0,-1.0,,,,132.0,-1.0,,-1.0,-1.0,100.0,,41.0
2000,-1.0,34.0,181.0,280.0,0.0,,47.0,38.0,-1.0,-1.0,3.0,163.0,-1.0,-1.0,33.0,273.0,-1.0,8500.0,,,8534.0,-1.0,326.0,-1.0,,,,140.0,-1.0,,-1.0,-1.0,100.0,,41.0
2001,-1.0,40.0,142.0,250.0,0.0,0.0,47.0,56.0,-1.0,-1.0,3.0,147.0,-1.0,-1.0,16.0,277.0,-1.0,9000.0,,,9040.0,-1.0,315.0,,,,,101.0,,,-1.0,-1.0,100.0,,41.0
2002,-1.0,44.0,175.0,180.0,0.0,,47.0,36.0,-1.0,-1.0,3.0,177.0,-1.0,-1.0,16.0,273.0,-1.0,11000.0,,,11044.0,-1.0,334.0,,,,,134.0,,,-1.0,,100.0,,41.0
2003,-1.0,41.0,169.0,278.0,0.0,,43.0,174.0,-1.0,-1.0,3.0,180.0,-1.0,1.0,13.0,220.0,-1.0,12000.0,,,12041.0,-1.0,308.0,,,,,128.0,,,-1.0,,100.0,,41.0
2004,-1.0,46.0,194.0,263.0,0.0,,56.0,168.0,-1.0,,3.0,200.0,-1.0,1.0,19.0,220.0,-1.0,14000.0,,,14046.0,-1.0,309.0,,,,,153.0,,,-1.0,,85.0,,41.0
2005,-1.0,42.0,198.0,254.0,0.0,,56.0,145.0,-1.0,,1.0,209.0,-1.0,1.0,19.0,220.0,-1.0,15000.0,,,15042.0,-1.0,291.0,,,,,156.0,,,-1.0,,77.0,,42.0
2006,-1.0,38.0,220.0,298.0,0.0,,56.0,153.0,-1.0,,1.0,200.0,-1.0,1.0,23.0,260.0,-1.0,16000.0,,,16038.0,-1.0,318.0,,,,,177.0,,0.0,-1.0,,100.0,,43.0
2007,-1.0,35.0,221.0,377.0,0.0,,55.0,175.0,-1.0,,1.0,215.0,-1.0,1.0,29.0,242.0,-1.0,16500.0,,,16535.0,-1.0,292.0,,,,,181.0,,0.0,-1.0,,100.0,,40.0
2008,-1.0,33.0,217.0,637.0,0.0,,50.0,149.0,-1.0,,1.0,212.0,-1.0,1.0,34.0,251.0,-1.0,17000.0,,,17033.0,,261.0,,,,,179.0,,0.0,-1.0,,100.0,,38.0
2009,-1.0,33.0,196.0,700.0,0.0,,48.0,135.0,-1.0,,1.0,200.0,-1.0,8.0,55.0,230.0,-1.0,18000.0,,,18033.0,,325.0,,,,,159.0,,0.0,-1.0,,76.0,,37.0
2010,-1.0,26.0,170.0,684.0,0.0,,47.0,112.0,-1.0,,1.0,195.0,-1.0,5.0,41.0,264.0,-1.0,18600.0,,,18626.0,,550.0,,,,,139.0,,,-1.0,,73.0,,31.0
2011,-1.0,30.0,185.0,497.0,0.0,,50.0,93.0,-1.0,,0.0,185.0,-1.0,5.0,48.0,273.0,-1.0,19300.0,,,19330.0,,574.0,,,,,160.0,,,-1.0,,68.0,,25.0
2012,-1.0,27.0,163.0,575.0,0.0,,50.0,86.0,-1.0,,0.0,195.0,-1.0,4.0,15.0,233.0,-1.0,22000.0,,,22027.0,,562.0,,,,,148.0,,,-1.0,,66.0,,15.0
2013,-1.0,24.0,169.0,584.0,0.0,,50.0,116.0,-1.0,,0.0,202.0,-1.0,4.0,43.0,264.0,-1.0,24000.0,,,24024.0,,574.0,,,,,158.0,,,-1.0,,70.0,,11.0
2014,-1.0,25.0,221.0,586.0,0.0,,50.0,210.0,-1.0,,0.0,205.0,-1.0,4.0,37.0,261.0,-1.0,25856.0,,,25881.0,,585.0,,,0.0,,216.0,,,-1.0,,72.0,,5.0
