,Chad,Cameroon,Congo,Mexico,Turkey,Romania,Ethiopia,South Sudan,Central African Republic,Mauritania,Benin,Thailand,China,Greece,Latvia,Yugoslav SFR,"China, Taiwan Province of",Bulgaria,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,"China, mainland",Sudan (former),Mali,Nigeria,Ethiopia PDR,Senegal
1971,15500.0,34323.0,2000.0,-1.0,-1.0,300.0,-1,-1.0,9000.0,1750.0,-1,-1,-1.0,652.0,-1,20000.0,-1.0,500.0,1400.0,25800.0,-1.0,-1.0,38000.0,-1.0,63000.0,52000.0,3000.0
1972,15500.0,42000.0,2100.0,-1.0,-1.0,500.0,-1,-1.0,9000.0,1500.0,-1,-1,3531.0,3414.0,-1,20000.0,3531.0,500.0,1500.0,28000.0,-1.0,-1.0,33000.0,-1.0,91000.0,54000.0,5000.0
1973,16000.0,36206.0,2100.0,-1.0,-1.0,500.0,-1,-1.0,9500.0,1200.0,-1,-1,4974.0,3278.0,-1,20000.0,4974.0,500.0,1600.0,28900.0,-1.0,-1.0,32000.0,-1.0,182000.0,56000.0,8700.0
1974,17000.0,45129.0,2100.0,-1.0,-1.0,-1.0,-1,-1.0,9500.0,1400.0,-1,-1,4027.0,2489.0,-1,20000.0,4027.0,500.0,1700.0,29100.0,-1.0,-1.0,32000.0,-1.0,49000.0,60000.0,5000.0
1975,17500.0,55185.0,2150.0,-1.0,-1.0,-1.0,-1,-1.0,10000.0,1600.0,-1,-1,3284.0,3016.0,-1,20000.0,3284.0,700.0,1800.0,30500.0,-1.0,-1.0,32000.0,-1.0,208000.0,65000.0,5900.0
1976,18500.0,57578.0,2200.0,-1.0,-1.0,-1.0,-1,-1.0,10000.0,1600.0,-1,-1,7036.0,3511.0,-1,17000.0,7036.0,600.0,1900.0,32500.0,-1.0,-1.0,35000.0,-1.0,166000.0,63000.0,3800.0
1977,16000.0,58533.0,2250.0,-1.0,-1.0,-1.0,-1,-1.0,10300.0,1800.0,-1,-1,7582.0,4390.0,-1,15000.0,7582.0,600.0,2000.0,30400.0,-1.0,-1.0,32000.0,-1.0,142000.0,68000.0,3800.0
1978,17000.0,47197.0,2300.0,-1.0,-1.0,-1.0,-1,-1.0,10600.0,1800.0,-1,-1,3731.0,3173.0,-1,15000.0,3731.0,0.0,2100.0,31200.0,-1.0,-1.0,35000.0,-1.0,106000.0,72000.0,1618.0
1979,19000.0,47750.0,2350.0,-1.0,-1.0,-1.0,-1,-1.0,10800.0,2000.0,-1,-1,4951.0,2646.0,-1,14000.0,4951.0,-1.0,2000.0,29900.0,-1.0,-1.0,40000.0,-1.0,104000.0,75000.0,593.0
1980,20000.0,49000.0,2400.0,-1.0,-1.0,-1.0,-1,-1.0,11000.0,2300.0,-1,-1,2727.0,4424.0,-1,14000.0,2727.0,-1.0,2000.0,30800.0,-1.0,-1.0,45000.0,-1.0,94000.0,78000.0,1000.0
1981,21000.0,50000.0,2450.0,-1.0,-1.0,-1.0,-1,-1.0,12000.0,2300.0,-1,-1,3036.0,6242.0,-1,14000.0,3036.0,-1.0,2400.0,31600.0,-1.0,-1.0,50000.0,-1.0,78000.0,80000.0,1500.0
1982,21000.0,50500.0,2500.0,-1.0,220.0,-1.0,-1,-1.0,12000.0,2400.0,-1,-1,1391.0,2461.0,-1,14000.0,1391.0,-1.0,2500.0,32600.0,-1.0,-1.0,60000.0,-1.0,74000.0,80000.0,1500.0
1983,21500.0,50000.0,2550.0,-1.0,50.0,-1.0,-1,-1.0,13000.0,2500.0,-1,-1,696.0,2929.0,-1,16000.0,696.0,-1.0,2600.0,33500.0,-1.0,-1.0,55000.0,-1.0,144000.0,81000.0,1700.0
1984,20000.0,52000.0,2600.0,-1.0,200.0,-1.0,-1,-1.0,14000.0,2700.0,-1,-1,1648.0,2742.0,-1,20000.0,1648.0,-1.0,2700.0,34400.0,-1.0,-1.0,50000.0,-1.0,143000.0,82000.0,1700.0
1985,20000.0,52000.0,2700.0,-1.0,210.0,-1.0,-1,-1.0,14000.0,2800.0,-1,-1,4218.0,2217.0,-1,16000.0,4218.0,-1.0,2879.0,35200.0,-1.0,-1.0,45000.0,-1.0,147000.0,83000.0,1700.0
1986,20000.0,53000.0,2800.0,-1.0,310.0,-1.0,-1,-1.0,13148.0,2900.0,-1,-1,3476.0,3115.0,-1,14000.0,3476.0,-1.0,3697.0,36300.0,-1.0,-1.0,40000.0,-1.0,153000.0,84000.0,1700.0
1987,20000.0,53000.0,2850.0,-1.0,120.0,-1.0,-1,-1.0,11809.0,3000.0,-1,-1,32775.0,2764.0,-1,14000.0,2775.0,-1.0,3311.0,37500.0,-1.0,30000.0,38000.0,-1.0,145000.0,85000.0,1700.0
1988,20000.0,53200.0,2900.0,-1.0,150.0,-1.0,-1,-1.0,13190.0,3000.0,-1,-1,27984.0,2678.0,-1,14500.0,2984.0,-1.0,2593.0,38300.0,-1.0,25000.0,39800.0,-1.0,275000.0,86000.0,1700.0
1989,20000.0,53800.0,3000.0,-1.0,20.0,-1.0,-1,-1.0,16266.0,3100.0,-1,-1,28422.0,3127.0,-1,14800.0,422.0,-1.0,1500.0,39100.0,-1.0,28000.0,39960.0,-1.0,204000.0,87000.0,1700.0
1990,18651.0,54300.0,3100.0,-1.0,0.0,-1.0,-1,-1.0,12800.0,3200.0,-1,-1,38137.0,2780.0,-1,13576.0,137.0,0.0,500.0,39500.0,-1.0,38000.0,40000.0,-1.0,208000.0,88000.0,1454.0
1991,12897.0,55000.0,3200.0,-1.0,0.0,-1.0,-1,-1.0,12900.0,3300.0,-1,-1,52093.0,2500.0,-1,15084.0,93.0,0.0,498.0,40000.0,-1.0,52000.0,35000.0,-1.0,219000.0,89000.0,1771.0
1992,13334.0,55286.0,3300.0,11.0,0.0,-1.0,-1,-1.0,13000.0,3200.0,-1,-1,55014.0,2500.0,-1,-1.0,14.0,0.0,498.0,40500.0,-1.0,55000.0,48000.0,-1.0,231000.0,90000.0,1769.0
1993,13771.0,55430.0,3400.0,4.0,0.0,-1.0,-1,-1.0,12900.0,2800.0,-1,-1,62030.0,2500.0,-1,-1.0,30.0,-1.0,498.0,41000.0,-1.0,62000.0,50000.0,-1.0,243000.0,-1.0,1767.0
1994,14207.0,55565.0,3389.0,10.0,0.0,-1.0,-1,-1.0,14200.0,3000.0,-1,-1,30001.0,2500.0,-1,-1.0,1.0,-1.0,498.0,41500.0,-1.0,30000.0,51000.0,-1.0,253000.0,-1.0,1765.0
1995,14644.0,55700.0,3500.0,9.0,0.0,-1.0,-1,-1.0,15700.0,3025.0,-1,-1,55000.0,4000.0,-1,-1.0,0.0,-1.0,498.0,42000.0,-1.0,55000.0,64000.0,-1.0,287000.0,-1.0,1763.0
1996,15081.0,55800.0,3600.0,12.0,0.0,-1.0,-1,-1.0,16800.0,3012.0,-1,-1,43012.0,4115.0,-1,-1.0,12.0,-1.0,498.0,41000.0,-1.0,43000.0,60000.0,-1.0,317000.0,-1.0,1761.0
1997,15518.0,56000.0,3400.0,15.0,0.0,-1.0,-1,-1.0,18000.0,3000.0,-1,-1,27000.0,3934.0,-1,-1.0,0.0,-1.0,498.0,40000.0,-1.0,27000.0,23000.0,-1.0,330000.0,-1.0,1759.0
1998,15954.0,56200.0,3500.0,9.0,0.0,-1.0,-1,-1.0,19200.0,2973.0,-1,-1,33017.0,3812.0,-1,-1.0,17.0,-1.0,498.0,39000.0,-1.0,33000.0,90000.0,-1.0,330000.0,-1.0,1758.0
1999,16391.0,56400.0,3600.0,18.0,0.0,-1.0,-1,-1.0,23000.0,2951.0,-1,-1,25001.0,4000.0,-1,-1.0,1.0,-1.0,498.0,37000.0,-1.0,25000.0,12000.0,1100.0,338000.0,-1.0,1756.0
2000,16828.0,56600.0,3499.0,11.0,0.0,-1.0,-1,-1.0,24200.0,2929.0,-1,-1,44022.0,5000.0,-1,-1.0,22.0,-1.0,498.0,37596.0,-1.0,44000.0,52000.0,2495.0,345000.0,-1.0,1767.0
2001,17265.0,56432.0,3473.0,0.0,0.0,-1.0,-1,-1.0,25500.0,2907.0,-1,-1,25000.0,5000.0,-1,-1.0,0.0,-1.0,498.0,40000.0,-1.0,25000.0,75000.0,3395.0,348000.0,-1.0,1822.0
2002,17702.0,56800.0,3475.0,5.0,0.0,-1.0,-1,-1.0,26800.0,2885.0,-1,-1,25000.0,5000.0,-1,-1.0,0.0,-1.0,498.0,43308.0,-1.0,25000.0,72000.0,4625.0,370000.0,-1.0,1800.0
2003,18138.0,57843.0,3487.0,4.0,0.0,-1.0,-1,-1.0,27900.0,2858.0,-1,-1,28000.0,5000.0,-1,-1.0,0.0,-1.0,498.0,46714.0,-1.0,28000.0,73000.0,5854.0,394000.0,-1.0,1814.0
2004,18575.0,60000.0,3550.0,18.0,0.0,-1.0,-1,-1.0,28000.0,2835.0,-1,-1,30000.0,5000.0,-1,-1.0,0.0,-1.0,498.0,50000.0,-1.0,30000.0,59000.0,7084.0,422000.0,-1.0,1813.0
2005,19026.0,59092.0,3720.0,5.0,0.0,-1.0,-1,-1.0,29006.0,2813.0,-1,-1,33000.0,5000.0,-1,-1.0,0.0,-1.0,498.0,52769.0,-1.0,33000.0,50000.0,8314.0,451000.0,-1.0,1811.0
2006,19496.0,59072.0,3470.0,10.0,0.0,-1.0,-1,-1.0,30000.0,2791.0,-1,-1,30000.0,5000.0,-1,-1.0,0.0,-1.0,498.0,55107.0,-1.0,30000.0,16000.0,9544.0,483000.0,-1.0,1808.0
2007,20250.0,59069.0,3310.0,5.0,0.0,-1.0,-1,-1.0,31076.0,2769.0,-1,-1,34000.0,6000.0,-1,-1.0,0.0,-1.0,498.0,57079.0,-1.0,34000.0,26000.0,10773.0,490000.0,-1.0,1900.0
2008,20365.0,58681.0,3650.0,3.0,0.0,-1.0,-1,-1.0,32214.0,2747.0,-1,-1,35000.0,6000.0,-1,-1.0,0.0,-1.0,498.0,58697.0,-1.0,35000.0,4000.0,12003.0,493000.0,-1.0,1781.0
2009,20662.0,60000.0,3350.0,4.0,0.0,-1.0,-1,-1.0,33257.0,2725.0,-1,-1,40000.0,5492.0,-1,-1.0,0.0,-1.0,498.0,59976.0,-1.0,40000.0,17000.0,6193.0,402550.0,-1.0,1756.0
2010,20963.0,62000.0,3400.0,3.0,0.0,-1.0,-1,-1.0,34262.0,2703.0,-1,-1,32087.0,5089.0,-1,-1.0,0.0,-1.0,498.0,60935.0,-1.0,32087.0,17000.0,10634.0,507340.0,-1.0,1730.0
2011,21000.0,52966.0,3450.0,17.0,0.0,-1.0,-1,-1.0,35239.0,2681.0,-1,-1,30908.0,4806.0,-1,-1.0,0.0,-1.0,498.0,61591.0,-1.0,30908.0,66000.0,10618.0,518610.0,-1.0,1703.0
2012,22000.0,43000.0,3650.0,19.0,0.0,-1.0,-1,20000.0,36264.0,2600.0,-1,-1,31289.0,4000.0,-1,-1.0,0.0,-1.0,500.0,62000.0,51000.0,31289.0,-1.0,11156.0,526469.0,-1.0,1600.0
2013,23000.0,43000.0,3850.0,12.0,0.0,-1.0,-1,18000.0,36648.0,2700.0,-1,-1,30975.0,4500.0,-1,-1.0,0.0,-1.0,485.0,62000.0,42000.0,30975.0,-1.0,11080.0,534189.0,-1.0,1650.0
2014,23015.0,45213.0,3627.0,9.0,0.0,-1.0,-1,25000.0,37540.0,2637.0,-1,-1,30661.0,4914.0,-1,-1.0,0.0,-1.0,193.0,61977.0,50000.0,30661.0,-1.0,11415.0,544445.0,-1.0,1640.0
