,USSR,Syrian Arab Republic,Bahrain,Australia & New Zealand,Australia,Pakistan,Thailand,Kenya,Romania,United Arab Emirates,Zambia,Lebanon,Tunisia,Albania,Slovenia,Spain,Canada,Colombia,Iceland,India,Malta,Jamaica,Ecuador,Cabo Verde,Indonesia,Republic of Moldova,Turkey,Jordan,Belgium-Luxembourg,South Sudan,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Republic of Korea,Poland,Bolivia (Plurinational State of),Hungary,Kyrgyzstan,Mexico,Iran (Islamic Republic of),Peru,United States of America,"China, mainland",Madagascar,Cyprus,Kazakhstan,New Zealand,Portugal,Netherlands,Guatemala,Slovakia,Bhutan,Norway,Philippines,Iraq,Czechia,Belgium,Nepal,Luxembourg,Libya,Costa Rica,Bangladesh,Italy,Qatar,Germany,Croatia,Sweden,China,Finland,Armenia,Sudan (former),Morocco,Switzerland,Chile,Honduras,Zimbabwe,Ireland,Egypt,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Denmark,Trinidad and Tobago,Grenada,Mauritius,Oman,Viet Nam,Lithuania,Russian Federation,Austria,Sudan,Venezuela (Bolivarian Republic of),Latvia,Ukraine,Kuwait,United Kingdom,South Africa,Bulgaria,Occupied Palestinian Territory
1971,7500.0,17933.0,,105808.0,82664.0,-1.0,20000.0,-1.0,-1.0,163.0,,2000.0,4150.0,-1.0,,194000.0,16410.0,35600.0,34.0,1000000.0,3698.0,143.0,7000.0,-1.0,-1.0,,29000.0,5270.0,38100.0,,,,36964.0,61815.0,422510.0,,124000.0,,18467.0,,10000.0,-1.0,17904.0,111402.0,498000.0,975.0,3658.0,,23144.0,,56774.0,-1.0,,-1.0,7172.0,-1.0,6698.0,,,-1.0,,203.0,-1.0,42593.0,663500.0,,165087.0,,4630.0,543262.0,2700.0,,-1.0,400.0,11070.0,5600.0,-1.0,-1.0,2000.0,76000.0,,45262.0,7850.0,,57900.0,10325.0,400.0,-1.0,293.0,-1.0,6500.0,,,-1.0,,3795.0,,,-1.0,331788.0,24000.0,17535.0,-1.0
1972,7200.0,24445.0,,100884.0,77509.0,-1.0,23000.0,-1.0,-1.0,180.0,,2000.0,3900.0,-1.0,,162600.0,14960.0,36800.0,91.0,1100000.0,4266.0,128.0,6000.0,-1.0,-1.0,,36000.0,7605.0,39140.0,,,,35652.0,67935.0,428010.0,,88000.0,,20572.0,,10000.0,-1.0,16455.0,135578.0,520000.0,1190.0,3759.0,,23375.0,,58700.0,-1.0,,-1.0,6509.0,-1.0,10369.0,,,-1.0,,223.0,-1.0,33901.0,655700.0,,169140.0,,2940.0,570613.0,2200.0,,-1.0,400.0,10070.0,5300.0,-1.0,-1.0,2000.0,75000.0,,50613.0,7650.0,,65400.0,10385.0,450.0,-1.0,358.0,-1.0,7000.0,,,-1.0,,3892.0,,,-1.0,353430.0,26000.0,20687.0,-1.0
1973,9300.0,20467.0,,85380.0,61443.0,-1.0,23000.0,-1.0,-1.0,168.0,,1159.0,4300.0,-1.0,,178600.0,16840.0,38000.0,77.0,1100000.0,3350.0,105.0,5000.0,-1.0,-1.0,,41000.0,5620.0,31960.0,,,,40865.0,71515.0,427830.0,,126500.0,,13250.0,,13000.0,-1.0,11246.0,133355.0,530000.0,1720.0,3556.0,,23937.0,,58800.0,-1.0,,-1.0,7302.0,-1.0,9284.0,,,-1.0,,326.0,-1.0,30796.0,615300.0,,183056.0,,5200.0,586931.0,2500.0,,-1.0,400.0,11070.0,5000.0,-1.0,-1.0,2000.0,70000.0,,56931.0,8650.0,,64300.0,9137.0,508.0,-1.0,382.0,-1.0,7500.0,,,-1.0,,3992.0,,,-1.0,362168.0,27000.0,11362.0,-1.0
1974,8900.0,32656.0,,79836.0,61064.0,-1.0,23000.0,-1.0,-1.0,452.0,,2000.0,5500.0,-1.0,,205200.0,18050.0,43150.0,50.0,1300000.0,3643.0,88.0,4000.0,-1.0,-1.0,,45000.0,8744.0,31760.0,,,,41929.0,69691.0,479990.0,,112600.0,,13231.0,,16000.0,-1.0,13402.0,137574.0,551000.0,1380.0,3048.0,,18772.0,,57100.0,-1.0,,-1.0,6979.0,-1.0,4656.0,,,-1.0,,469.0,-1.0,32331.0,600600.0,,182770.0,,6050.0,619823.0,3800.0,,-1.0,500.0,10500.0,4930.0,-1.0,-1.0,8000.0,59000.0,2000.0,68823.0,6600.0,,67500.0,9104.0,510.0,-1.0,1579.0,-1.0,7700.0,,,-1.0,,3475.0,,,-1.0,343000.0,30000.0,17000.0,-1.0
1975,8400.0,48808.0,60.0,95171.0,70492.0,-1.0,23000.0,-1.0,-1.0,800.0,,3000.0,5200.0,-1.0,,193400.0,21030.0,25750.0,28.0,1300000.0,3772.0,54.0,3000.0,-1.0,-1.0,,45000.0,7083.0,32160.0,,,,38509.0,69951.0,433467.0,,131276.0,,18518.0,,18190.0,-1.0,12716.0,135986.0,572000.0,1555.0,1524.0,,24679.0,,60010.0,-1.0,,-1.0,6412.0,-1.0,4925.0,,,-1.0,,425.0,-1.0,37406.0,583600.0,,181416.0,,6370.0,651314.0,3280.0,,-1.0,400.0,11000.0,5221.0,-1.0,-1.0,10000.0,70000.0,4000.0,79314.0,8750.0,,72000.0,8279.0,530.0,-1.0,1027.0,-1.0,8000.0,,,-1.0,,3547.0,,,-1.0,295600.0,33000.0,12377.0,-1.0
1976,9000.0,57620.0,104.0,95099.0,70821.0,-1.0,23000.0,-1.0,-1.0,1500.0,,4000.0,5900.0,-1.0,,192600.0,20950.0,27000.0,42.0,1400000.0,3288.0,68.0,2000.0,-1.0,-1.0,,45000.0,6065.0,27840.0,,,,41378.0,64472.0,470614.0,,142140.0,,19719.0,,25216.0,-1.0,15074.0,139751.0,594000.0,870.0,1829.0,,24278.0,,55000.0,-1.0,,-1.0,6741.0,-1.0,5282.0,,,-1.0,,554.0,-1.0,38441.0,563800.0,,191840.0,,5910.0,665958.0,2700.0,,-1.0,400.0,10000.0,5516.0,-1.0,-1.0,12000.0,82575.0,6000.0,71958.0,7400.0,,75500.0,11798.0,550.0,-1.0,621.0,-1.0,8100.0,,,-1.0,,4301.0,,,-1.0,237300.0,40000.0,12981.0,-1.0
1977,8700.0,58270.0,278.0,116023.0,86350.0,-1.0,23500.0,-1.0,-1.0,2576.0,,5000.0,5500.0,-1.0,,197100.0,21060.0,27000.0,50.0,1500000.0,3542.0,33.0,1000.0,-1.0,-1.0,,46000.0,2138.0,35480.0,,,,41119.0,68847.0,375959.0,,143079.0,,21304.0,,30970.0,-1.0,13399.0,166649.0,604000.0,1085.0,2032.0,,29673.0,16700.0,52000.0,-1.0,,-1.0,8463.0,-1.0,2017.0,,,-1.0,,651.0,-1.0,37208.0,546800.0,300.0,202403.0,,4850.0,687370.0,3510.0,,-1.0,400.0,11000.0,5836.0,-1.0,-1.0,16000.0,86510.0,8000.0,83370.0,7800.0,,89700.0,11796.0,560.0,-1.0,449.0,-1.0,8200.0,,,-1.0,,4632.0,,,-1.0,305600.0,43000.0,16927.0,-1.0
1978,11200.0,65725.0,300.0,143093.0,116547.0,-1.0,23500.0,-1.0,-1.0,4496.0,,5000.0,5500.0,-1.0,,205800.0,32730.0,22200.0,77.0,1600000.0,3918.0,32.0,1000.0,-1.0,-1.0,,49000.0,16282.0,33400.0,,,,43013.0,76081.0,502000.0,,135180.0,,21935.0,,10764.0,-1.0,13244.0,172727.0,656000.0,1120.0,1930.0,,26546.0,15000.0,55000.0,-1.0,,-1.0,8684.0,-1.0,3446.0,,,-1.0,,646.0,-1.0,39311.0,470100.0,300.0,208538.0,,5530.0,756230.0,4480.0,,-1.0,400.0,11000.0,5000.0,-1.0,-1.0,16000.0,85592.0,10000.0,100230.0,9300.0,,98000.0,10451.0,580.0,-1.0,538.0,-1.0,8600.0,,,-1.0,,5315.0,,,-1.0,366700.0,50000.0,7110.0,-1.0
1979,10800.0,65953.0,300.0,118245.0,94574.0,-1.0,23500.0,-1.0,-1.0,4799.0,,6000.0,3700.0,-1.0,,191750.0,44680.0,21300.0,60.0,1800000.0,3480.0,55.0,674.0,-1.0,-1.0,,55000.0,7288.0,28000.0,,,,44380.0,67742.0,411000.0,,152485.0,,22456.0,,18519.0,-1.0,12957.0,186743.0,700000.0,362.0,2337.0,,23671.0,15200.0,52000.0,-1.0,,-1.0,8952.0,-1.0,2500.0,,,-1.0,,1000.0,-1.0,41963.0,485300.0,306.0,215654.0,,5860.0,796142.0,5960.0,,-1.0,500.0,11000.0,5000.0,-1.0,-1.0,14500.0,97341.0,11400.0,96142.0,7000.0,,84900.0,11459.0,600.0,-1.0,403.0,-1.0,9000.0,,,-1.0,,5505.0,,,-1.0,298100.0,44000.0,8422.0,-1.0
1980,12000.0,81707.0,300.0,103421.0,79164.0,77464.0,24300.0,-1.0,-1.0,2683.0,,8000.0,4300.0,-1.0,,214200.0,47530.0,21450.0,100.0,1900000.0,3736.0,11.0,901.0,-1.0,-1.0,,64500.0,11034.0,38875.0,,,,49760.0,66086.0,471633.0,,143109.0,2575.0,17277.0,,11924.0,-1.0,12060.0,193003.0,760000.0,510.0,1524.0,,24257.0,15300.0,49000.0,-1.0,,-1.0,9902.0,-1.0,4700.0,,,-1.0,,1500.0,-1.0,43401.0,458300.0,355.0,204791.0,,3960.0,868665.0,3960.0,,-1.0,500.0,10000.0,5000.0,-1.0,-1.0,13200.0,97403.0,12400.0,108665.0,7300.0,,89500.0,11197.0,610.0,-1.0,492.0,-1.0,10000.0,,,-1.0,,5685.0,,,-1.0,366600.0,48000.0,9633.0,-1.0
1981,14000.0,89592.0,102.0,111139.0,85367.0,90058.0,24300.0,-1.0,-1.0,6752.0,,8400.0,5900.0,-1.0,,212000.0,41379.0,21000.0,123.0,2000000.0,2543.0,11.0,1232.0,-1.0,-1.0,,60000.0,6061.0,27300.0,,,,52219.0,66253.0,496300.0,,164707.0,2010.0,21003.0,,15760.0,-1.0,16050.0,236820.0,880000.0,55.0,1626.0,,25772.0,16000.0,57000.0,-1.0,,-1.0,10389.0,-1.0,3300.0,,,-1.0,,2000.0,-1.0,46586.0,454900.0,236.0,218121.0,,5438.0,986629.0,2450.0,,-1.0,600.0,6900.0,5100.0,-1.0,-1.0,13300.0,99774.0,13630.0,106629.0,9050.0,221.0,104900.0,12064.0,550.0,-1.0,551.0,-1.0,11000.0,,,-1.0,,5809.0,,,-1.0,355900.0,45000.0,5549.0,-1.0
1982,14500.0,91691.0,103.0,100772.0,82514.0,73846.0,24300.0,-1.0,-1.0,7190.0,,7700.0,4000.0,-1.0,,231200.0,47400.0,20000.0,102.0,2200000.0,2562.0,44.0,1375.0,-1.0,-1.0,,60000.0,6258.0,29175.0,,,,52693.0,77340.0,506100.0,,133943.0,2425.0,15391.0,,29531.0,-1.0,14786.0,243579.0,980000.0,110.0,1473.0,,18258.0,15400.0,53900.0,-1.0,,-1.0,10373.0,-1.0,3100.0,,,-1.0,,2400.0,-1.0,51910.0,421700.0,467.0,212970.0,,4260.0,1092045.0,2780.0,,-1.0,600.0,7900.0,5300.0,-1.0,-1.0,16000.0,92164.0,11779.0,112045.0,9700.0,300.0,109400.0,11626.0,400.0,-1.0,485.0,-1.0,12000.0,,,-1.0,,5565.0,,,-1.0,353000.0,46000.0,2739.0,-1.0
1983,16000.0,80230.0,149.0,111206.0,92206.0,78876.0,25000.0,-1.0,-1.0,6582.0,,7500.0,5800.0,-1.0,,227900.0,46880.0,19500.0,95.0,2300000.0,2936.0,97.0,1676.0,-1.0,-1.0,,52500.0,5700.0,34575.0,,,,52077.0,74457.0,543300.0,,153542.0,2040.0,13578.0,,30385.0,-1.0,13758.0,245574.0,1100000.0,220.0,1850.0,,19000.0,14800.0,55700.0,-1.0,,-1.0,9950.0,-1.0,4600.0,,,-1.0,,2600.0,-1.0,52197.0,420800.0,232.0,205666.0,,3538.0,1199282.0,2320.0,,-1.0,600.0,7200.0,5400.0,-1.0,-1.0,15014.0,95000.0,13630.0,99282.0,10820.0,400.0,108900.0,10209.0,250.0,-1.0,465.0,-1.0,13000.0,,,-1.0,,5626.0,,,-1.0,298500.0,35000.0,3215.0,-1.0
1984,20000.0,69900.0,213.0,130451.0,111451.0,89633.0,25000.0,-1.0,-1.0,12304.0,,7500.0,6000.0,-1.0,,225571.0,48770.0,20000.0,105.0,2400000.0,3000.0,174.0,3136.0,-1.0,-1.0,,60000.0,12353.0,34800.0,,,,59669.0,85961.0,372200.0,,196324.0,1957.0,20302.0,,45542.0,-1.0,14675.0,303361.0,1160000.0,440.0,1870.0,,19000.0,17000.0,59200.0,-1.0,,-1.0,11137.0,-1.0,7100.0,,,-1.0,,3000.0,-1.0,56899.0,309600.0,226.0,229204.0,,5841.0,1281619.0,5317.0,,-1.0,1000.0,6755.0,5500.0,-1.0,-1.0,14342.0,90000.0,15845.0,121619.0,12440.0,600.0,129100.0,10000.0,239.0,-1.0,725.0,-1.0,15000.0,,,-1.0,,5127.0,,,-1.0,344200.0,33000.0,3947.0,-1.0
1985,15000.0,61730.0,181.0,138420.0,119420.0,87500.0,26000.0,-1.0,-1.0,11272.0,,8500.0,5300.0,-1.0,,220415.0,44880.0,21000.0,112.0,2600000.0,3000.0,349.0,2402.0,-1.0,-1.0,,58000.0,35408.0,61740.0,,,,52537.0,77170.0,526000.0,,208477.0,2761.0,18666.0,,71049.0,-1.0,14689.0,302272.0,1200000.0,500.0,1850.0,,19000.0,17500.0,42000.0,-1.0,,-1.0,8565.0,-1.0,9100.0,,,-1.0,,3400.0,-1.0,60345.0,350300.0,437.0,229782.0,,5292.0,1314821.0,4741.0,,-1.0,3000.0,8852.0,6552.0,-1.0,-1.0,13439.0,93000.0,14440.0,114821.0,11400.0,1000.0,128900.0,11277.0,122.0,-1.0,530.0,-1.0,18000.0,,,-1.0,,4898.0,,,-1.0,354905.0,42000.0,2153.0,-1.0
1986,18000.0,67819.0,225.0,129504.0,111504.0,107538.0,26300.0,-1.0,-1.0,10800.0,,10000.0,5900.0,-1.0,,230100.0,52019.0,21652.0,91.0,2700000.0,3000.0,262.0,3865.0,-1.0,-1.0,,60000.0,24553.0,70650.0,,,,53341.0,65349.0,385200.0,,223073.0,2940.0,16549.0,,74136.0,-1.0,15290.0,341400.0,1300000.0,410.0,1900.0,,18000.0,19000.0,62000.0,-1.0,,-1.0,8020.0,-1.0,14700.0,,,-1.0,,3600.0,-1.0,59375.0,401800.0,678.0,223165.0,,7003.0,1413920.0,4817.0,,-1.0,5000.0,8251.0,6500.0,-1.0,-1.0,11446.0,96000.0,20303.0,113920.0,13740.0,2000.0,140500.0,12000.0,166.0,-1.0,610.0,-1.0,18000.0,,,-1.0,,5784.0,,,-1.0,338000.0,42000.0,2275.0,-1.0
1987,20000.0,72375.0,221.0,149457.0,132457.0,100438.0,26600.0,-1.0,-1.0,7465.0,,14000.0,5900.0,-1.0,,234200.0,50790.0,21560.0,95.0,2900000.0,3000.0,207.0,4482.0,50.0,-1.0,,64000.0,19704.0,56725.0,,,,60760.0,72763.0,465800.0,,234763.0,3168.0,21163.0,,146928.0,-1.0,15116.0,334500.0,1400000.0,515.0,1800.0,,17000.0,19000.0,44000.0,27360.0,,-1.0,8514.0,-1.0,5600.0,,,-1.0,,3800.0,-1.0,57465.0,429500.0,627.0,223683.0,,5871.0,1510224.0,4198.0,,-1.0,8000.0,7572.0,12450.0,-1.0,-1.0,12000.0,113000.0,22606.0,110224.0,13100.0,2258.0,140700.0,11000.0,95.0,-1.0,340.0,-1.0,17800.0,,,-1.0,,5893.0,,,-1.0,284000.0,40649.0,2006.0,-1.0
1988,23000.0,84810.0,262.0,119641.0,102641.0,104150.0,27000.0,-1.0,-1.0,7933.0,,18000.0,6100.0,-1.0,,269700.0,33040.0,19960.0,95.0,3000000.0,3000.0,217.0,1029.0,50.0,-1.0,,67000.0,19201.0,61090.0,,,,57300.0,68863.0,568034.0,178.0,230594.0,3300.0,22000.0,,177618.0,-1.0,15951.0,357160.0,1550000.0,500.0,1600.0,,17000.0,18000.0,50000.0,27904.0,,-1.0,9415.0,-1.0,16000.0,,,-1.0,,3900.0,-1.0,58110.0,459500.0,764.0,241910.0,,6244.0,1644993.0,5031.0,,-1.0,10000.0,9384.0,10275.0,-1.0,-1.0,12700.0,101000.0,29538.0,94993.0,16560.0,2258.0,133800.0,11000.0,186.0,-1.0,955.0,-1.0,20000.0,,,-1.0,,5489.0,,,1320.0,344000.0,35495.0,2159.0,-1.0
1989,20000.0,35000.0,290.0,128809.0,111809.0,114928.0,28000.0,-1.0,-1.0,15207.0,,22000.0,7800.0,-1.0,,286900.0,35160.0,18000.0,73.0,3200000.0,3000.0,371.0,1052.0,50.0,-1.0,,65000.0,13707.0,68990.0,,,,54000.0,76650.0,585200.0,140.0,232561.0,3500.0,21000.0,,194352.0,-1.0,15728.0,355890.0,1600000.0,573.0,1800.0,,17000.0,19000.0,58300.0,32642.0,,-1.0,9659.0,-1.0,9600.0,,,-1.0,,4185.0,-1.0,59465.0,412600.0,1014.0,256793.0,,5564.0,1687748.0,4804.0,,-1.0,12721.0,9290.0,13008.0,-1.0,-1.0,12300.0,71000.0,29526.0,87748.0,22150.0,1693.0,141600.0,11000.0,178.0,-1.0,920.0,-1.0,21000.0,,,-1.0,,5187.0,,,1594.0,308000.0,41174.0,2747.0,-1.0
1990,19033.0,39500.0,342.0,135865.0,115865.0,125865.0,30000.0,-1.0,-1.0,11400.0,,25000.0,4000.0,1200.0,,271600.0,40060.0,21000.0,87.0,3394897.0,2878.0,551.0,772.0,38.0,70000.0,,68000.0,26219.0,69320.0,,,,68853.0,67697.0,444060.0,479.0,223674.0,2640.0,20000.0,,219848.0,20000.0,8386.0,912129.0,1760000.0,580.0,1800.0,,20000.0,20000.0,57400.0,33120.0,,-1.0,8413.0,3282.0,25800.0,,,-1.0,,4560.0,-1.0,64105.0,375000.0,907.0,173314.0,,5585.0,1828556.0,4354.0,,-1.0,37008.0,9034.0,15920.0,650.0,100.0,10600.0,85583.0,25008.0,68556.0,25100.0,2670.0,136800.0,10000.0,201.0,-1.0,1280.0,2100.0,23000.0,,,-1.0,,5010.0,,,1240.0,306000.0,35624.0,2765.0,-1.0
