,Paraguay,Burundi,Bolivia (Plurinational State of),Peru,Belarus,Croatia,Myanmar,India,Sierra Leone,Ukraine,Syrian Arab Republic,Norway,Sweden,United Kingdom,Ethiopia,Denmark,Canada,Republic of Korea,Greece,South Africa,Malawi,The former Yugoslav Republic of Macedonia,Venezuela (Bolivarian Republic of),Austria,Netherlands,Japan,Eritrea,Guyana,Bulgaria,Australia & New Zealand,United States of America,Yugoslav SFR,Serbia and Montenegro,Democratic Republic of the Congo,Algeria,Slovenia,Morocco,Madagascar,Tajikistan,Czechia,Lesotho,Argentina,Uganda,Luxembourg,USSR,Germany,Republic of Moldova,Belgium,Rwanda,Uruguay,Czechoslovakia,Ethiopia PDR,Poland,Congo,Lebanon,Mexico,Switzerland,Romania,Ecuador,Spain,Egypt,Bosnia and Herzegovina,China,Ireland,Colombia,Latvia,Libya,Slovakia,Jamaica,United Republic of Tanzania,Chile,Hungary,Kazakhstan,Estonia,Israel,Australia,France,Lithuania,Finland,"China, mainland",Russian Federation,Turkey,New Zealand,Italy,Belgium-Luxembourg
1971,120.0,1831.0,200.0,1944.0,-1.0,-1.0,1279.0,43465.0,48.0,-1.0,96.0,0.0,2696.0,2200.0,-1.0,490.0,4600.0,29.0,640.0,840.0,0.0,-1.0,100.0,342.0,1496.0,279.0,-1.0,6.0,2327.0,9057.0,14000.0,937.0,-1.0,90.0,142.0,-1.0,1828.0,0.0,-1.0,-1.0,470.0,2939.0,1440.0,-1.0,474960.0,6010.0,-1.0,-1.0,1660.0,64.0,1260.0,6855.0,8460.0,240.0,12.0,169.0,358.0,9670.0,666.0,1600.0,425.0,-1.0,171000.0,40.0,1800.0,-1.0,4.0,-1.0,312.0,440.0,1703.0,23500.0,-1.0,-1.0,74.0,3057.0,8745.0,-1.0,700.0,171000.0,-1.0,276.0,6000.0,8100.0,1489.0
1972,120.0,1671.0,200.0,1948.0,-1.0,-1.0,1020.0,40340.0,48.0,-1.0,112.0,0.0,2600.0,2100.0,-1.0,170.0,4500.0,28.0,552.0,840.0,0.0,-1.0,80.0,258.0,1402.0,238.0,-1.0,9.0,2087.0,9505.0,14000.0,993.0,-1.0,90.0,135.0,-1.0,2040.0,0.0,-1.0,-1.0,463.0,1427.0,800.0,-1.0,513360.0,5479.0,-1.0,-1.0,1689.0,66.0,1364.0,7500.0,7560.0,240.0,11.0,170.0,384.0,8060.0,620.0,1500.0,210.0,-1.0,171000.0,30.0,2000.0,-1.0,5.0,-1.0,234.0,440.0,1524.0,21900.0,-1.0,-1.0,49.0,2505.0,8490.0,-1.0,800.0,171000.0,-1.0,300.0,7000.0,7400.0,1583.0
1973,129.0,1736.0,200.0,1947.0,-1.0,-1.0,804.0,38265.0,50.0,-1.0,144.0,0.0,2911.0,2700.0,-1.0,290.0,5340.0,78.0,550.0,960.0,0.0,-1.0,100.0,249.0,1893.0,231.0,-1.0,30.0,2102.0,8583.0,14000.0,1071.0,-1.0,90.0,149.0,-1.0,2190.0,0.0,-1.0,-1.0,463.0,1323.0,1280.0,-1.0,499560.0,5121.0,-1.0,-1.0,1806.0,68.0,2930.0,7570.0,4680.0,240.0,13.0,168.0,355.0,5740.0,578.0,1400.0,210.0,-1.0,162000.0,40.0,2400.0,-1.0,4.0,-1.0,249.0,500.0,1998.0,18900.0,-1.0,-1.0,38.0,2483.0,9225.0,-1.0,1600.0,162000.0,-1.0,300.0,6100.0,7400.0,1807.0
1974,133.0,1840.0,205.0,1784.0,-1.0,-1.0,924.0,34375.0,50.0,-1.0,144.0,0.0,3020.0,2900.0,-1.0,480.0,5069.0,114.0,640.0,960.0,0.0,-1.0,110.0,256.0,1737.0,278.0,-1.0,36.0,2288.0,8620.0,16000.0,1019.0,-1.0,90.0,150.0,-1.0,2748.0,0.0,-1.0,-1.0,566.0,1332.0,1160.0,-1.0,477000.0,5137.0,-1.0,-1.0,1721.0,72.0,3634.0,5115.0,5285.0,245.0,11.0,166.0,254.0,4330.0,679.0,1200.0,210.0,-1.0,162000.0,3.0,2120.0,-1.0,5.0,-1.0,247.0,500.0,1121.0,21500.0,-1.0,-1.0,36.0,2420.0,11340.0,-1.0,1300.0,162000.0,-1.0,275.0,6200.0,7100.0,1837.0
1975,136.0,1880.0,210.0,1776.0,-1.0,-1.0,1080.0,35255.0,50.0,-1.0,128.0,0.0,3493.0,3100.0,-1.0,350.0,4220.0,116.0,530.0,960.0,0.0,-1.0,100.0,316.0,1335.0,248.0,-1.0,29.0,2224.0,8397.0,14000.0,1021.0,-1.0,90.0,137.0,-1.0,2666.0,0.0,-1.0,-1.0,515.0,1646.0,1560.0,-1.0,459120.0,5072.0,-1.0,-1.0,1706.0,76.0,2819.0,5185.0,5040.0,245.0,11.0,193.0,284.0,2620.0,641.0,1000.0,255.0,-1.0,162000.0,10.0,2200.0,-1.0,5.0,-1.0,284.0,520.0,1105.0,25018.0,-1.0,-1.0,27.0,2397.0,9120.0,-1.0,1200.0,162000.0,-1.0,290.0,6000.0,6900.0,1625.0
1976,151.0,1732.0,210.0,1782.0,-1.0,-1.0,1206.0,33580.0,51.0,-1.0,128.0,0.0,3549.0,3700.0,-1.0,370.0,5070.0,125.0,480.0,960.0,0.0,-1.0,90.0,509.0,1305.0,251.0,-1.0,50.0,2401.0,8169.0,8400.0,948.0,-1.0,100.0,150.0,-1.0,2346.0,0.0,-1.0,-1.0,381.0,2070.0,1200.0,-1.0,457320.0,5412.0,-1.0,-1.0,1664.0,80.0,3044.0,6720.0,4680.0,245.0,11.0,179.0,295.0,2590.0,412.0,900.0,350.0,-1.0,162000.0,3.0,2120.0,-1.0,5.0,-1.0,373.0,560.0,2036.0,22184.0,-1.0,-1.0,169.0,3969.0,10110.0,-1.0,1400.0,162000.0,-1.0,385.0,4200.0,6700.0,1619.0
1977,157.0,1244.0,210.0,2121.0,-1.0,-1.0,1188.0,30380.0,51.0,-1.0,144.0,0.0,3315.0,3600.0,-1.0,430.0,4150.0,130.0,590.0,960.0,0.0,-1.0,90.0,687.0,1434.0,202.0,-1.0,58.0,2153.0,8810.0,13400.0,1089.0,-1.0,100.0,199.0,-1.0,1902.0,0.0,-1.0,-1.0,224.0,4410.0,1368.0,-1.0,459960.0,5229.0,-1.0,-1.0,1560.0,80.0,2864.0,6110.0,5580.0,245.0,9.0,178.0,318.0,2497.0,344.0,900.0,330.0,-1.0,126000.0,10.0,2160.0,-1.0,5.0,-1.0,533.0,540.0,2308.0,20347.0,-1.0,-1.0,241.0,4710.0,11265.0,-1.0,1700.0,126000.0,-1.0,400.0,4100.0,6500.0,1200.0
1978,164.0,1360.0,210.0,2131.0,-1.0,-1.0,1093.0,30875.0,53.0,-1.0,144.0,0.0,3118.0,3600.0,-1.0,490.0,6600.0,135.0,549.0,960.0,0.0,-1.0,90.0,905.0,1358.0,180.0,-1.0,65.0,2152.0,10354.0,13800.0,1401.0,-1.0,100.0,211.0,-1.0,1266.0,0.0,-1.0,-1.0,260.0,1863.0,760.0,-1.0,483840.0,5394.0,-1.0,-1.0,1354.0,80.0,3252.0,6365.0,6840.0,245.0,6.0,203.0,274.0,3159.0,525.0,800.0,285.0,-1.0,135000.0,10.0,2200.0,-1.0,7.0,-1.0,428.0,540.0,2166.0,20183.0,-1.0,-1.0,335.0,6354.0,12795.0,-1.0,2000.0,135000.0,-1.0,400.0,4000.0,6400.0,881.0
1979,168.0,1792.0,210.0,2450.0,-1.0,-1.0,855.0,23885.0,53.0,-1.0,144.0,0.0,3084.0,3300.0,-1.0,660.0,7000.0,135.0,740.0,1020.0,0.0,-1.0,85.0,1073.0,1414.0,107.0,-1.0,65.0,1787.0,11750.0,9400.0,1247.0,-1.0,100.0,236.0,-1.0,936.0,0.0,-1.0,-1.0,260.0,1908.0,680.0,-1.0,457200.0,5299.0,-1.0,-1.0,1214.0,80.0,3486.0,10555.0,7740.0,245.0,6.0,437.0,228.0,4111.0,559.0,800.0,290.0,-1.0,126000.0,10.0,2240.0,-1.0,8.0,-1.0,397.0,540.0,2366.0,22055.0,-1.0,-1.0,239.0,7750.0,15555.0,-1.0,1000.0,126000.0,-1.0,300.0,4000.0,6200.0,754.0
1980,80.0,2264.0,220.0,2720.0,-1.0,-1.0,1068.0,21460.0,54.0,-1.0,128.0,0.0,3187.0,2800.0,-1.0,600.0,8900.0,150.0,488.0,840.0,0.0,-1.0,95.0,1293.0,1556.0,94.0,-1.0,45.0,2072.0,15968.0,9400.0,1770.0,-1.0,100.0,222.0,-1.0,720.0,0.0,-1.0,-1.0,215.0,1408.0,720.0,-1.0,559560.0,5391.0,-1.0,-1.0,1188.0,88.0,3929.0,8451.0,6840.0,250.0,6.0,233.0,265.0,6021.0,560.0,700.0,912.0,-1.0,126000.0,3.0,2240.0,-1.0,10.0,-1.0,363.0,540.0,2279.0,17402.0,-1.0,-1.0,229.0,11968.0,16695.0,-1.0,1400.0,126000.0,-1.0,350.0,4000.0,6000.0,1093.0
1981,88.0,2468.0,220.0,2640.0,-1.0,-1.0,1036.0,21630.0,57.0,-1.0,120.0,0.0,3308.0,2100.0,-1.0,1455.0,11800.0,155.0,419.0,540.0,0.0,-1.0,97.0,1463.0,2142.0,88.0,-1.0,48.0,2396.0,7424.0,9000.0,1357.0,-1.0,100.0,167.0,-1.0,680.0,0.0,-1.0,-1.0,410.0,779.0,800.0,-1.0,505440.0,5574.0,-1.0,-1.0,1161.0,88.0,4961.0,8705.0,3780.0,250.0,4.0,120.0,255.0,6066.0,499.0,700.0,796.0,-1.0,126000.0,40.0,2240.0,-1.0,12.0,-1.0,297.0,640.0,1577.0,22280.0,-1.0,-1.0,180.0,3424.0,23535.0,-1.0,2000.0,126000.0,-1.0,270.0,4000.0,5700.0,1490.0
1982,84.0,2200.0,225.0,2560.0,-1.0,-1.0,1036.0,22500.0,59.0,-1.0,120.0,0.0,3571.0,4700.0,-1.0,4289.0,9700.0,175.0,460.0,360.0,0.0,-1.0,100.0,1744.0,2296.0,82.0,-1.0,53.0,2495.0,16488.0,12200.0,1429.0,-1.0,100.0,421.0,-1.0,952.0,0.0,-1.0,-1.0,443.0,772.0,920.0,-1.0,594480.0,5448.0,-1.0,-1.0,1018.0,88.0,5632.0,7561.0,4140.0,250.0,7.0,173.0,183.0,7347.0,302.0,600.0,806.0,-1.0,126000.0,34.0,2280.0,-1.0,13.0,-1.0,345.0,800.0,1264.0,22220.0,-1.0,-1.0,234.0,12488.0,25320.0,-1.0,2400.0,126000.0,-1.0,220.0,4000.0,5600.0,1367.0
1983,84.0,1400.0,225.0,2427.0,-1.0,-1.0,1232.0,22190.0,57.0,-1.0,120.0,0.0,4087.0,4400.0,-1.0,10700.0,11200.0,160.0,470.0,480.0,0.0,-1.0,97.0,1955.0,2663.0,73.0,-1.0,50.0,2140.0,22840.0,11000.0,1451.0,-1.0,100.0,343.0,-1.0,1140.0,0.0,-1.0,-1.0,347.0,806.0,640.0,-1.0,652080.0,5843.0,-1.0,-1.0,1020.0,88.0,6831.0,6861.0,6120.0,255.0,13.0,180.0,230.0,9500.0,257.0,700.0,350.0,-1.0,123750.0,39.0,2280.0,-1.0,15.0,-1.0,369.0,1400.0,1248.0,20922.0,-1.0,-1.0,108.0,18840.0,26670.0,-1.0,1000.0,123750.0,-1.0,180.0,4000.0,5500.0,1325.0
1984,87.0,2200.0,225.0,2426.0,-1.0,-1.0,1263.0,22175.0,60.0,-1.0,152.0,0.0,3951.0,3300.0,-1.0,24564.0,11200.0,115.0,460.0,480.0,0.0,-1.0,105.0,1983.0,3963.0,73.0,-1.0,54.0,2457.0,33080.0,12500.0,1031.0,-1.0,100.0,422.0,-1.0,1140.0,0.0,-1.0,-1.0,397.0,932.0,680.0,-1.0,640440.0,5785.0,-1.0,-1.0,950.0,88.0,7292.0,6751.0,6840.0,255.0,15.0,101.0,312.0,12540.0,194.0,600.0,350.0,-1.0,114300.0,40.0,2280.0,-1.0,15.0,-1.0,347.0,1600.0,1313.0,24880.0,-1.0,-1.0,108.0,28080.0,34605.0,-1.0,1000.0,114300.0,-1.0,170.0,5000.0,5330.0,1398.0
1985,77.0,2280.0,225.0,3196.0,-1.0,-1.0,1182.0,25100.0,60.0,-1.0,128.0,0.0,3671.0,3300.0,-1.0,26960.0,19700.0,110.0,288.0,840.0,0.0,-1.0,95.0,2045.0,4338.0,60.0,-1.0,63.0,2975.0,47333.0,11400.0,1098.0,-1.0,100.0,424.0,-1.0,996.0,0.0,-1.0,-1.0,227.0,594.0,720.0,-1.0,654840.0,5927.0,-1.0,-1.0,787.0,88.0,7380.0,6537.0,5400.0,260.0,20.0,145.0,365.0,12670.0,340.0,700.0,360.0,-1.0,113850.0,40.0,2280.0,-1.0,16.0,-1.0,387.0,1000.0,1052.0,28386.0,-1.0,-1.0,108.0,42333.0,48495.0,-1.0,1100.0,113850.0,-1.0,244.0,5000.0,3419.0,1483.0
1986,87.0,2360.0,230.0,4377.0,-1.0,-1.0,1036.0,23945.0,60.0,-1.0,96.0,0.0,3779.0,14000.0,-1.0,39815.0,35500.0,98.0,294.0,840.0,0.0,-1.0,91.0,4053.0,6249.0,55.0,-1.0,55.0,3592.0,67684.0,13000.0,974.0,-1.0,100.0,463.0,-1.0,896.0,0.0,-1.0,-1.0,181.0,792.0,880.0,-1.0,628080.0,5707.0,-1.0,-1.0,749.0,88.0,7875.0,5419.0,5040.0,265.0,28.0,132.0,411.0,12810.0,420.0,600.0,370.0,-1.0,112950.0,40.0,2280.0,-1.0,17.0,-1.0,377.0,1500.0,789.0,29272.0,-1.0,-1.0,36.0,59684.0,72555.0,-1.0,400.0,112950.0,-1.0,240.0,8000.0,3155.0,1795.0
1987,87.0,2320.0,235.0,4101.0,-1.0,-1.0,793.0,21565.0,62.0,-1.0,160.0,0.0,4066.0,19000.0,-1.0,28759.0,40650.0,76.0,266.0,1200.0,0.0,-1.0,92.0,4048.0,5295.0,59.0,-1.0,55.0,3978.0,69620.0,11000.0,1121.0,-1.0,100.0,375.0,-1.0,916.0,0.0,-1.0,-1.0,261.0,1440.0,920.0,-1.0,641760.0,5754.0,-1.0,-1.0,720.0,88.0,7997.0,5177.0,6480.0,275.0,30.0,140.0,424.0,11810.0,590.0,500.0,380.0,-1.0,108000.0,83.0,2280.0,-1.0,18.0,-1.0,292.0,1500.0,803.0,36215.0,-1.0,-1.0,108.0,61620.0,82485.0,-1.0,310.0,108000.0,-1.0,200.0,8000.0,3316.0,1570.0
1988,85.0,2080.0,235.0,4105.0,-1.0,-1.0,728.0,22150.0,63.0,-1.0,96.0,0.0,3939.0,22000.0,-1.0,23773.0,22400.0,75.0,250.0,540.0,0.0,-1.0,99.0,4064.0,3525.0,66.0,-1.0,55.0,3446.0,49577.0,11400.0,1036.0,-1.0,100.0,203.0,-1.0,1018.0,0.0,-1.0,-1.0,119.0,1395.0,971.0,-1.0,588780.0,6265.0,-1.0,-1.0,1200.0,88.0,7656.0,4449.0,7380.0,280.0,35.0,95.0,403.0,12190.0,492.0,600.0,400.0,-1.0,110250.0,70.0,2280.0,-1.0,19.0,-1.0,339.0,1800.0,852.0,45127.0,-1.0,-1.0,90.0,44577.0,98880.0,-1.0,310.0,110250.0,-1.0,190.0,5000.0,3000.0,1496.0
1989,72.0,2400.0,246.0,3965.0,-1.0,-1.0,1020.0,25350.0,63.0,-1.0,48.0,0.0,4045.0,20000.0,-1.0,22496.0,18500.0,87.0,261.0,360.0,0.0,-1.0,101.0,4112.0,2955.0,40.0,-1.0,56.0,3814.0,47935.0,11000.0,855.0,-1.0,111.0,186.0,-1.0,1392.0,0.0,-1.0,-1.0,657.0,1800.0,960.0,-1.0,534960.0,7780.0,-1.0,-1.0,1102.0,92.0,7554.0,4378.0,6300.0,285.0,36.0,125.0,441.0,5223.0,540.0,1232.0,200.0,-1.0,99000.0,45.0,2835.0,-1.0,20.0,-1.0,341.0,1460.0,785.0,61375.0,-1.0,-1.0,72.0,42935.0,109155.0,-1.0,310.0,99000.0,-1.0,185.0,5000.0,2800.0,1436.0
1990,67.0,2480.0,250.0,3467.0,-1.0,-1.0,1133.0,27740.0,63.0,-1.0,60.0,0.0,3216.0,16000.0,-1.0,19527.0,29800.0,65.0,210.0,600.0,0.0,-1.0,99.0,4112.0,2250.0,30.0,-1.0,47.0,3352.0,62382.0,11500.0,888.0,-1.0,113.0,223.0,-1.0,1240.0,48.0,-1.0,-1.0,508.0,1620.0,1000.0,-1.0,497640.0,7920.0,-1.0,-1.0,1080.0,77.0,9582.0,6240.0,6660.0,290.0,36.0,136.0,506.0,3340.0,590.0,1000.0,50.0,-1.0,49500.0,50.0,2400.0,-1.0,28.0,-1.0,323.0,1500.0,770.0,44451.0,-1.0,-1.0,68.0,57582.0,103725.0,-1.0,620.0,49500.0,-1.0,170.0,4800.0,3000.0,1728.0
1991,68.0,2815.0,261.0,3804.0,-1.0,-1.0,1116.0,28930.0,64.0,-1.0,40.0,0.0,3133.0,17000.0,-1.0,23466.0,41000.0,50.0,190.0,576.0,0.0,-1.0,16.0,3771.0,1995.0,36.0,-1.0,46.0,1677.0,56816.0,10300.0,888.0,-1.0,122.0,236.0,-1.0,828.0,72.0,-1.0,-1.0,239.0,1728.0,1040.0,-1.0,497640.0,8120.0,-1.0,-1.0,960.0,76.0,13362.0,7201.0,7920.0,312.0,44.0,139.0,606.0,2216.0,591.0,1292.0,150.0,-1.0,36900.0,57.0,2200.0,-1.0,32.0,-1.0,316.0,1040.0,814.0,56048.0,-1.0,-1.0,90.0,51616.0,111015.0,-1.0,2240.0,36900.0,-1.0,160.0,5200.0,2700.0,1597.0
1992,68.0,2923.0,255.0,4644.0,7500.0,120.0,1424.0,30425.0,61.0,130000.0,80.0,0.0,3142.0,18000.0,-1.0,23948.0,70000.0,30.0,230.0,480.0,0.0,82.0,22.0,7282.0,1530.0,45.0,-1.0,55.0,1392.0,58777.0,10000.0,-1.0,450.0,119.0,229.0,17.0,756.0,144.0,70.0,-1.0,89.0,1845.0,1080.0,-1.0,-1.0,8120.0,5800.0,-1.0,48.0,71.0,13362.0,7201.0,6480.0,304.0,51.0,116.0,537.0,3193.0,479.0,3000.0,100.0,91.0,56250.0,56.0,1600.0,300.0,37.0,-1.0,298.0,1300.0,758.0,64289.0,21800.0,0.0,108.0,53977.0,113475.0,1925.0,3260.0,56250.0,205000.0,160.0,4800.0,2500.0,1656.0
