,Israel,Portugal,Tunisia,Cyprus,Turkey,Jordan,Mexico,Morocco,Greece,Algeria,Ukraine,Spain,Croatia,Lebanon,Italy,Malta
1990,1333.0,25876.0,21951.0,23500.0,47468.0,,6714.0,23680.0,10606.0,18796.0,,14942.0,,,16434.0,20000.0
1991,1333.0,21028.0,23133.0,14692.0,48232.0,,8429.0,16588.0,12469.0,30584.0,,14092.0,,,23113.0,
1992,1308.0,21091.0,23913.0,13421.0,47468.0,,16143.0,21810.0,13747.0,15638.0,10000.0,14966.0,,,23321.0,
1993,1309.0,21155.0,23281.0,45946.0,47319.0,,9286.0,20587.0,13338.0,23128.0,10000.0,14585.0,,,23529.0,
1994,1309.0,21219.0,23187.0,10400.0,47022.0,,11143.0,20581.0,13783.0,17760.0,10000.0,12662.0,9091.0,,23738.0,
1995,1309.0,21283.0,22695.0,25200.0,41401.0,,9714.0,20685.0,14196.0,23272.0,10000.0,15617.0,8577.0,,23946.0,
1996,1310.0,21346.0,22371.0,35200.0,46154.0,,7714.0,21466.0,14459.0,25180.0,10000.0,17234.0,8533.0,,24154.0,
1997,1310.0,21410.0,22180.0,20400.0,45860.0,,6143.0,20797.0,15093.0,18898.0,10000.0,15729.0,8490.0,,23209.0,
1998,1333.0,21474.0,21739.0,19400.0,44194.0,,10714.0,20810.0,15987.0,29654.0,10000.0,15430.0,8448.0,100000.0,22529.0,
1999,1333.0,21537.0,21739.0,22500.0,45307.0,,11143.0,20792.0,14632.0,33347.0,10000.0,13855.0,8408.0,105714.0,22753.0,
2000,1333.0,21601.0,21739.0,30417.0,45455.0,,6143.0,20772.0,15266.0,32661.0,10000.0,14013.0,8369.0,70769.0,22645.0,
2001,1333.0,21665.0,21739.0,11875.0,44408.0,,5714.0,20743.0,13720.0,40000.0,10000.0,11464.0,8334.0,76923.0,18494.0,
2002,1314.0,21729.0,21739.0,30638.0,44118.0,,12000.0,20738.0,12513.0,39586.0,10000.0,15523.0,8301.0,98462.0,27324.0,
2003,1319.0,21814.0,21739.0,42782.0,44444.0,,,20833.0,29578.0,34088.0,10000.0,11180.0,8285.0,63889.0,21205.0,
2004,1336.0,21797.0,21739.0,32774.0,44304.0,,,20589.0,31124.0,39315.0,10000.0,14838.0,8287.0,62500.0,21711.0,
2005,1333.0,21793.0,21739.0,35950.0,42553.0,,5000.0,20833.0,30477.0,28655.0,10000.0,9724.0,8293.0,82490.0,36380.0,
2006,1200.0,22000.0,21739.0,28292.0,43774.0,,7143.0,20848.0,31446.0,36099.0,10000.0,14724.0,8303.0,96026.0,29826.0,
2007,1200.0,22222.0,21739.0,30786.0,50883.0,,5000.0,20856.0,30000.0,42138.0,10000.0,14724.0,8319.0,92715.0,37791.0,
2008,1379.0,22105.0,20930.0,53130.0,42446.0,,13036.0,20870.0,31321.0,35302.0,10000.0,13101.0,8340.0,87533.0,28385.0,
2009,1367.0,22165.0,21072.0,16781.0,50572.0,,,20882.0,33864.0,36743.0,10000.0,11392.0,8366.0,90535.0,27747.0,
2010,1331.0,22653.0,21018.0,82115.0,55144.0,,10000.0,20619.0,35911.0,32592.0,9000.0,12172.0,6667.0,87648.0,23410.0,
2011,1349.0,23469.0,20773.0,71050.0,48014.0,,10000.0,21026.0,37544.0,34643.0,10000.0,8746.0,8754.0,87976.0,48730.0,
2012,1357.0,23171.0,20702.0,53382.0,225683.0,,11667.0,20889.0,39176.0,37738.0,15000.0,10405.0,10000.0,89206.0,54374.0,
2013,1365.0,23072.0,20839.0,53862.0,278535.0,,,20910.0,40809.0,37555.0,16000.0,8899.0,10000.0,89508.0,16375.0,
2014,1372.0,23029.0,20923.0,67735.0,221632.0,,,20934.0,42442.0,46383.0,20000.0,9728.0,9056.0,89810.0,54578.0,
