,Uganda,Papua New Guinea,Comoros,Indonesia,Tonga,Réunion,China,Madagascar,Mexico,Cook Islands,"China, mainland",French Polynesia,Guadeloupe,Melanesia,Kenya,Polynesia,Zimbabwe,Malawi
1987,2000.0,,2150.0,4135.0,1075.0,587.0,2500.0,569.0,2385.0,7500.0,2500.0,310.0,2000.0,,2222.0,763.0,,2500.0
1988,2000.0,,2620.0,4906.0,882.0,240.0,3000.0,569.0,2100.0,7500.0,3000.0,400.0,2000.0,,2222.0,724.0,,2500.0
1989,2000.0,,2000.0,3607.0,1000.0,650.0,3000.0,531.0,2420.0,7500.0,3000.0,1167.0,2000.0,,2222.0,1105.0,,2500.0
1990,1296.0,,2336.0,2154.0,2541.0,182.0,4558.0,326.0,2061.0,7500.0,4558.0,833.0,2000.0,,1875.0,1762.0,2000.0,1628.0
1991,2500.0,,2400.0,1897.0,3040.0,383.0,3182.0,376.0,2741.0,7500.0,3182.0,1100.0,1941.0,,2048.0,2017.0,3333.0,2500.0
1992,2000.0,,2075.0,2258.0,1471.0,533.0,3669.0,261.0,3016.0,5727.0,3669.0,944.0,2162.0,,2036.0,1321.0,2222.0,2500.0
1993,2500.0,,2034.0,2183.0,4938.0,1550.0,3478.0,420.0,3218.0,3333.0,3478.0,791.0,2029.0,,2025.0,4144.0,2370.0,2500.0
1994,3077.0,,1638.0,2313.0,4000.0,446.0,4050.0,348.0,3104.0,5000.0,4050.0,650.0,2014.0,,2013.0,2533.0,2324.0,2500.0
1995,3000.0,,2286.0,2458.0,3744.0,261.0,4262.0,346.0,3913.0,6667.0,4262.0,733.0,1979.0,,2133.0,2645.0,2072.0,2444.0
1996,3571.0,,2167.0,2261.0,3703.0,426.0,4167.0,346.0,3465.0,10000.0,4167.0,771.0,2035.0,,2279.0,2020.0,2387.0,2500.0
1997,4000.0,,2143.0,2169.0,3760.0,686.0,4748.0,340.0,805.0,10000.0,4748.0,800.0,2090.0,,2426.0,1869.0,2444.0,2500.0
1998,5000.0,,2122.0,1961.0,3784.0,882.0,5055.0,394.0,2474.0,10000.0,5055.0,750.0,2146.0,,2196.0,2155.0,2505.0,2444.0
1999,5000.0,,2125.0,2308.0,3513.0,765.0,5341.0,431.0,1607.0,,5341.0,800.0,2202.0,,2215.0,2696.0,2561.0,2496.0
2000,4822.0,,2126.0,2128.0,4483.0,735.0,5636.0,343.0,2331.0,,5636.0,778.0,2257.0,,2000.0,2230.0,2222.0,2500.0
2001,5000.0,3571.0,2123.0,2574.0,4483.0,971.0,5885.0,357.0,2859.0,,5885.0,750.0,2313.0,3571.0,2475.0,2319.0,2222.0,2525.0
2002,5000.0,3750.0,2124.0,3068.0,4488.0,912.0,6186.0,340.0,2877.0,,6186.0,822.0,2369.0,3750.0,2644.0,2259.0,2683.0,2536.0
2003,5000.0,4167.0,2000.0,1797.0,4586.0,899.0,6667.0,202.0,3063.0,,6667.0,689.0,2409.0,4167.0,2844.0,2216.0,2818.0,2544.0
2004,5000.0,4545.0,2000.0,2444.0,4721.0,833.0,6737.0,320.0,2838.0,,6737.0,880.0,2435.0,4545.0,3076.0,2335.0,2944.0,2552.0
2005,6250.0,2778.0,2000.0,2629.0,4855.0,758.0,7692.0,410.0,3994.0,,7692.0,808.0,2461.0,2778.0,3324.0,2155.0,3075.0,2542.0
2006,5000.0,3125.0,2000.0,2898.0,4667.0,698.0,8571.0,396.0,4099.0,,8571.0,532.0,2487.0,3125.0,3589.0,2143.0,3207.0,2542.0
2007,7500.0,3235.0,3040.0,2888.0,4688.0,550.0,9000.0,397.0,5775.0,,9000.0,804.0,2513.0,3235.0,3873.0,2397.0,3335.0,2542.0
2008,5455.0,3229.0,2000.0,2655.0,5373.0,600.0,8308.0,385.0,4576.0,,8308.0,895.0,2538.0,3229.0,4178.0,2475.0,3467.0,2541.0
2009,5000.0,2667.0,2165.0,2610.0,5626.0,600.0,8518.0,387.0,4816.0,,8518.0,930.0,2564.0,2667.0,4509.0,2197.0,3597.0,2540.0
2010,5000.0,3036.0,2290.0,2248.0,5935.0,687.0,10000.0,397.0,3962.0,14594.0,10000.0,1023.0,2590.0,3036.0,4867.0,3042.0,3722.0,2539.0
2011,5000.0,2790.0,2325.0,2038.0,6897.0,697.0,1791.0,401.0,3306.0,14975.0,1791.0,1209.0,2616.0,2790.0,5258.0,3500.0,3841.0,2500.0
2012,4857.0,2857.0,2343.0,1558.0,6774.0,669.0,1350.0,406.0,3510.0,15357.0,1350.0,1267.0,2642.0,2857.0,5455.0,3513.0,4400.0,2540.0
2013,5239.0,2797.0,2360.0,1566.0,6333.0,664.0,1288.0,411.0,4778.0,15738.0,1288.0,1120.0,2668.0,2797.0,6818.0,3964.0,4400.0,2569.0
2014,5368.0,2756.0,2378.0,1471.0,6463.0,658.0,2343.0,416.0,4497.0,16119.0,2343.0,1080.0,2694.0,2756.0,6676.0,3958.0,4194.0,2588.0
