,Seychelles,United Republic of Tanzania,Kenya,Morocco,Malaysia,Comoros,Sri Lanka,China,Togo,Mexico,Indonesia,"China, mainland",Madagascar
1981,-1,25000.0,65.0,-1,800.0,-1.0,3000.0,-1.0,-1,-1,172995.0,-1.0,72500.0
1982,-1,13000.0,65.0,-1,850.0,-1.0,3100.0,-1.0,-1,-1,191517.0,-1.0,73945.0
1983,-1,25000.0,65.0,-1,800.0,-1.0,3200.0,-1.0,-1,-1,221000.0,-1.0,75540.0
1984,-1,30000.0,65.0,-1,700.0,-1.0,3500.0,-1.0,-1,-1,267000.0,-1.0,76710.0
1985,-1,7000.0,65.0,-1,800.0,6000.0,3971.0,-1.0,-1,-1,290000.0,-1.0,77160.0
1986,-1,35000.0,65.0,-1,850.0,6000.0,4952.0,1500.0,-1,-1,317187.0,1500.0,77140.0
1987,-1,6600.0,65.0,-1,900.0,6000.0,5775.0,1500.0,-1,-1,316662.0,1500.0,77200.0
1988,-1,31000.0,65.0,-1,910.0,6000.0,5898.0,1500.0,-1,-1,352000.0,1500.0,74900.0
1989,-1,14000.0,65.0,-1,910.0,6000.0,6050.0,1500.0,-1,-1,370000.0,1500.0,80520.0
1990,-1,8400.0,66.0,-1,920.0,5961.0,5997.0,1221.0,-1,-1,415000.0,1221.0,80000.0
1991,-1,30000.0,3311.0,-1,940.0,4293.0,5876.0,1100.0,-1,-1,460000.0,1100.0,80086.0
1992,-1,8000.0,2427.0,-1,980.0,3540.0,6146.0,600.0,-1,-1,405000.0,600.0,80083.0
1993,-1,5579.0,1751.0,-1,1000.0,5999.0,6000.0,667.0,-1,-1,384000.0,667.0,80000.0
1994,-1,12500.0,1296.0,-1,900.0,10000.0,5800.0,673.0,-1,-1,392000.0,673.0,78000.0
1995,-1,7000.0,363.0,-1,890.0,6000.0,5555.0,628.0,-1,-1,385000.0,628.0,75000.0
1996,-1,20000.0,100.0,-1,869.0,8000.0,6871.0,655.0,-1,-1,360877.0,655.0,75000.0
1997,-1,8000.0,130.0,-1,800.0,7731.0,8000.0,627.0,-1,-1,368789.0,627.0,79600.0
1998,-1,11000.0,170.0,-1,845.0,8500.0,7716.0,562.0,-1,-1,379519.0,562.0,79600.0
1999,-1,12000.0,220.0,-1,843.0,10000.0,10000.0,594.0,-1,-1,311000.0,594.0,79600.0
2000,-1,14846.0,1750.0,-1,840.0,10155.0,5000.0,693.0,-1,-1,390000.0,693.0,79930.0
2001,-1,14708.0,1850.0,-1,838.0,11000.0,6600.0,676.0,-1,-1,400000.0,676.0,79570.0
2002,-1,11922.0,2400.0,-1,840.0,11095.0,11000.0,622.0,-1,-1,372710.0,622.0,79225.0
2003,-1,12500.0,2329.0,-1,888.0,11531.0,8180.0,669.0,-1,-1,420000.0,669.0,78910.0
2004,-1,13000.0,2350.0,-1,896.0,12000.0,8060.0,751.0,-1,-1,390000.0,751.0,78900.0
2005,-1,13158.0,1871.0,-1,904.0,5500.0,7970.0,650.0,-1,-1,400000.0,650.0,37231.0
2006,-1,12500.0,1750.0,-1,912.0,9000.0,7740.0,700.0,-1,-1,299224.0,700.0,36670.0
2007,-1,12500.0,1750.0,-1,920.0,13000.0,7250.0,750.0,-1,-1,303470.0,750.0,37415.0
2008,-1,10300.0,1950.0,-1,928.0,11000.0,7420.0,800.0,-1,-1,311760.0,800.0,36865.0
2009,-1,9500.0,2300.0,-1,937.0,9575.0,7340.0,847.0,-1,-1,319000.0,847.0,37900.0
2010,-1,8781.0,2900.0,-1,946.0,9106.0,7300.0,894.0,-1,-1,321000.0,894.0,38179.0
2011,-1,8399.0,1950.0,-1,950.0,8727.0,7470.0,933.0,-1,-1,331000.0,933.0,39118.0
2012,-1,6000.0,2000.0,-1,1000.0,6200.0,7400.0,1000.0,-1,-1,493900.0,1000.0,38115.0
2013,-1,6000.0,2000.0,-1,970.0,8535.0,7330.0,1000.0,-1,-1,501400.0,1000.0,36965.0
2014,-1,7420.0,2058.0,-1,951.0,7683.0,7306.0,990.0,-1,-1,505500.0,990.0,35694.0
