,Portugal,Yugoslav SFR,Germany,Chile,China,Czechoslovakia,Serbia and Montenegro,Bulgaria,USSR,Romania,Italy,France,Poland,"China, mainland",Denmark,Turkey,Spain,Hungary,Russian Federation
1973,32.0,316.0,0.0,270.0,5775.0,2.0,-1.0,810.0,3450.0,0.0,11.0,280.0,765.0,5775.0,53.0,80.0,98.0,200.0,-1.0
1974,30.0,271.0,0.0,288.0,5740.0,2.0,-1.0,860.0,2750.0,0.0,13.0,269.0,694.0,5740.0,38.0,70.0,27.0,180.0,-1.0
1975,42.0,227.0,0.0,270.0,5670.0,2.0,-1.0,836.0,2650.0,0.0,16.0,270.0,654.0,5670.0,60.0,80.0,22.0,240.0,-1.0
1976,57.0,193.0,0.0,180.0,5600.0,1.0,-1.0,646.0,2500.0,0.0,19.0,343.0,604.0,5600.0,52.0,72.0,31.0,268.0,-1.0
1977,42.0,162.0,0.0,180.0,5590.0,2.0,-1.0,680.0,2500.0,0.0,20.0,310.0,499.0,5590.0,51.0,80.0,48.0,303.0,-1.0
1978,25.0,126.0,0.0,180.0,5425.0,2.0,-1.0,740.0,2500.0,0.0,6.0,234.0,133.0,5425.0,45.0,80.0,16.0,431.0,-1.0
1979,70.0,105.0,0.0,180.0,4200.0,1.0,-1.0,426.0,2500.0,0.0,3.0,257.0,245.0,4200.0,62.0,94.0,15.0,421.0,-1.0
1980,74.0,110.0,0.0,180.0,3325.0,1.0,-1.0,282.0,2500.0,0.0,1.0,196.0,258.0,3325.0,64.0,90.0,15.0,358.0,-1.0
1981,91.0,121.0,0.0,180.0,2310.0,0.0,-1.0,291.0,2600.0,0.0,0.0,182.0,230.0,2310.0,72.0,74.0,16.0,196.0,-1.0
1982,123.0,147.0,0.0,180.0,1424.0,0.0,-1.0,569.0,2500.0,0.0,0.0,168.0,160.0,1424.0,73.0,60.0,1.0,66.0,-1.0
1983,50.0,144.0,0.0,180.0,1505.0,0.0,-1.0,367.0,2500.0,0.0,0.0,168.0,106.0,1505.0,85.0,69.0,4.0,140.0,-1.0
1984,51.0,143.0,0.0,180.0,1610.0,0.0,-1.0,383.0,2500.0,0.0,0.0,214.0,109.0,1610.0,105.0,42.0,7.0,96.0,-1.0
1985,33.0,181.0,0.0,180.0,2205.0,0.0,-1.0,226.0,2500.0,0.0,0.0,182.0,136.0,2205.0,85.0,36.0,5.0,673.0,-1.0
1986,74.0,104.0,0.0,180.0,1855.0,0.0,-1.0,218.0,2500.0,0.0,0.0,154.0,182.0,1855.0,115.0,40.0,5.0,573.0,-1.0
1987,39.0,25.0,0.0,180.0,1855.0,0.0,-1.0,179.0,2500.0,0.0,0.0,112.0,166.0,1855.0,113.0,34.0,0.0,670.0,-1.0
1988,80.0,51.0,0.0,180.0,840.0,0.0,-1.0,67.0,2500.0,0.0,0.0,98.0,133.0,840.0,87.0,42.0,0.0,183.0,-1.0
1989,39.0,38.0,0.0,184.0,735.0,0.0,-1.0,91.0,865.0,0.0,0.0,119.0,41.0,735.0,40.0,25.0,1.0,50.0,-1.0
1990,65.0,29.0,0.0,165.0,637.0,0.0,-1.0,39.0,895.0,0.0,0.0,133.0,5.0,637.0,85.0,31.0,1.0,29.0,-1.0
1991,120.0,29.0,0.0,162.0,641.0,0.0,-1.0,2.0,895.0,0.0,0.0,133.0,2.0,641.0,97.0,34.0,0.0,24.0,-1.0
1992,123.0,-1.0,0.0,154.0,665.0,0.0,6.0,0.0,-1.0,0.0,0.0,203.0,10.0,665.0,152.0,30.0,0.0,20.0,2650.0
1993,208.0,-1.0,0.0,168.0,595.0,-1.0,28.0,1.0,-1.0,0.0,0.0,217.0,27.0,595.0,135.0,25.0,0.0,50.0,1600.0
1994,218.0,-1.0,0.0,179.0,560.0,-1.0,25.0,0.0,-1.0,0.0,0.0,210.0,20.0,560.0,158.0,16.0,0.0,50.0,240.0
1995,185.0,-1.0,0.0,173.0,524.0,-1.0,20.0,1.0,-1.0,0.0,0.0,266.0,10.0,524.0,208.0,25.0,0.0,150.0,274.0
1996,147.0,-1.0,0.0,180.0,521.0,-1.0,15.0,0.0,-1.0,0.0,0.0,371.0,15.0,521.0,151.0,16.0,0.0,150.0,230.0
1997,151.0,-1.0,0.0,201.0,426.0,-1.0,10.0,1.0,-1.0,0.0,0.0,326.0,5.0,426.0,312.0,8.0,0.0,150.0,220.0
1998,217.0,-1.0,0.0,211.0,396.0,-1.0,8.0,0.0,-1.0,0.0,0.0,570.0,5.0,396.0,82.0,5.0,0.0,50.0,235.0
1999,134.0,-1.0,0.0,198.0,340.0,-1.0,2.0,0.0,-1.0,0.0,0.0,560.0,5.0,340.0,231.0,9.0,0.0,10.0,313.0
2000,57.0,-1.0,0.0,207.0,431.0,-1.0,2.0,0.0,-1.0,0.0,0.0,462.0,5.0,431.0,66.0,7.0,0.0,10.0,250.0
2001,139.0,-1.0,0.0,216.0,518.0,-1.0,1.0,0.0,-1.0,0.0,0.0,526.0,5.0,518.0,90.0,7.0,0.0,10.0,200.0
2002,229.0,-1.0,0.0,225.0,347.0,-1.0,2.0,0.0,-1.0,0.0,0.0,441.0,5.0,347.0,22.0,7.0,0.0,10.0,150.0
2003,198.0,-1.0,0.0,229.0,350.0,-1.0,2.0,0.0,-1.0,0.0,0.0,630.0,5.0,350.0,275.0,4.0,0.0,10.0,180.0
2004,104.0,-1.0,0.0,234.0,385.0,-1.0,2.0,0.0,-1.0,0.0,0.0,574.0,5.0,385.0,452.0,1.0,0.0,10.0,220.0
2005,98.0,-1.0,0.0,259.0,364.0,-1.0,2.0,0.0,-1.0,0.0,0.0,619.0,5.0,364.0,852.0,1.0,0.0,10.0,200.0
2006,77.0,-1.0,0.0,254.0,623.0,-1.0,-1.0,64.0,-1.0,0.0,0.0,640.0,5.0,623.0,361.0,1.0,1.0,10.0,120.0
2007,163.0,-1.0,0.0,347.0,413.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,609.0,5.0,413.0,315.0,0.0,0.0,10.0,150.0
2008,120.0,-1.0,0.0,350.0,207.0,-1.0,-1.0,14.0,-1.0,0.0,0.0,672.0,5.0,207.0,172.0,1.0,3.0,10.0,331.0
2009,114.0,-1.0,0.0,373.0,179.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,446.0,5.0,179.0,196.0,0.0,0.0,10.0,40.0
2010,117.0,-1.0,0.0,391.0,200.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,411.0,5.0,200.0,182.0,0.0,0.0,10.0,71.0
2011,109.0,-1.0,0.0,396.0,185.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,643.0,5.0,185.0,15.0,0.0,0.0,10.0,259.0
2012,66.0,-1.0,0.0,396.0,193.0,-1.0,-1.0,11.0,-1.0,0.0,0.0,539.0,5.0,193.0,26.0,0.0,1.0,10.0,312.0
2013,69.0,-1.0,0.0,406.0,203.0,-1.0,-1.0,6.0,-1.0,0.0,0.0,509.0,5.0,203.0,40.0,0.0,1.0,10.0,613.0
2014,69.0,-1.0,0.0,406.0,203.0,-1.0,-1.0,6.0,-1.0,0.0,0.0,509.0,5.0,203.0,0.0,0.0,1.0,10.0,543.0
