,USSR,Bulgaria,Poland,Chile,Belarus,United States of America,Estonia,The former Yugoslav Republic of Macedonia,Latvia,Azerbaijan,France,Spain,Tunisia,Romania,Canada,Ukraine,Germany
1990,800.0,-1.0,,0.0,,11250.0,,,,,-1.0,-1.0,8.0,-1.0,997.0,,-1.0
1991,1000.0,-1.0,,1516.0,,11450.0,,,,,-1.0,-1.0,8.0,-1.0,995.0,,-1.0
1992,,-1.0,,1516.0,400.0,11775.0,-1.0,-1.0,1500.0,200.0,-1.0,-1.0,8.0,-1.0,1033.0,-1.0,-1.0
1993,,-1.0,,1516.0,500.0,11940.0,-1.0,-1.0,1500.0,200.0,-1.0,-1.0,8.0,-1.0,1054.0,-1.0,-1.0
1994,,-1.0,,1516.0,400.0,12590.0,-1.0,23.0,1500.0,200.0,,-1.0,8.0,-1.0,1072.0,-1.0,-1.0
1995,,-1.0,-1.0,1516.0,400.0,13270.0,-1.0,50.0,1500.0,200.0,,-1.0,8.0,-1.0,1616.0,-1.0,-1.0
1996,,-1.0,-1.0,1516.0,500.0,13760.0,-1.0,20.0,800.0,200.0,,-1.0,8.0,-1.0,1443.0,-1.0,-1.0
1997,,-1.0,-1.0,1516.0,700.0,14450.0,,30.0,2000.0,200.0,,-1.0,8.0,-1.0,1655.0,-1.0,-1.0
1998,,-1.0,,1516.0,1200.0,14810.0,,50.0,2000.0,300.0,,-1.0,8.0,-1.0,1888.0,-1.0,-1.0
1999,,-1.0,,1516.0,900.0,15176.0,,20.0,2000.0,300.0,,-1.0,8.0,-1.0,1945.0,-1.0,-1.0
2000,,-1.0,,1516.0,900.0,14812.0,,28.0,1600.0,300.0,,,8.0,100.0,1947.0,500.0,-1.0
2001,,-1.0,,1516.0,700.0,14407.0,,28.0,2500.0,400.0,,,8.0,134.0,2382.0,500.0,-1.0
2002,,-1.0,,1516.0,700.0,15945.0,,20.0,1500.0,500.0,,,8.0,130.0,2588.0,500.0,-1.0
2003,,-1.0,,1528.0,500.0,16026.0,,20.0,900.0,300.0,,,8.0,120.0,3185.0,500.0,-1.0
2004,,-1.0,,665.0,900.0,15864.0,,20.0,800.0,250.0,,,8.0,100.0,3389.0,300.0,-1.0
2005,,-1.0,,1361.0,800.0,15783.0,,35.0,700.0,400.0,,,11.0,104.0,2829.0,500.0,0.0
2006,,100.0,,3816.0,900.0,15580.0,,50.0,909.0,500.0,,,13.0,101.0,3780.0,500.0,0.0
2007,,100.0,,5660.0,700.0,15419.0,,42.0,836.0,600.0,,,12.0,98.0,3952.0,500.0,0.0
2008,,100.0,,5949.0,900.0,15459.0,,43.0,400.0,500.0,,,14.0,100.0,4425.0,400.0,0.0
2009,,90.0,,6775.0,1600.0,15580.0,,44.0,400.0,500.0,,,13.0,98.0,4552.0,500.0,0.0
2010,,85.0,,7298.0,1600.0,15580.0,,54.0,449.0,500.0,,,40.0,96.0,4676.0,450.0,0.0
2011,,81.0,,7298.0,1400.0,15580.0,,46.0,361.0,500.0,,,30.0,94.0,5131.0,300.0,0.0
2012,,70.0,,12376.0,1600.0,16309.0,,50.0,303.0,500.0,,,26.0,80.0,5764.0,250.0,0.0
2013,,75.0,,14723.0,1600.0,16997.0,,48.0,272.0,500.0,,,26.0,89.0,5928.0,200.0,0.0
2014,,75.0,,14476.0,18000.0,16430.0,,48.0,267.0,600.0,,,28.0,80.0,6292.0,200.0,0.0
