,Ukraine,Germany,Austria,Belarus,Morocco,Switzerland,USSR,Slovakia,Ecuador,Syrian Arab Republic,Egypt,Greece,Latvia,Lebanon,Peru,Occupied Palestinian Territory,Chile,Hungary,Spain,South Africa,France,Australia & New Zealand,Australia,Portugal,Lithuania,Poland,Russian Federation,Argentina,Italy
2003,11579.0,13150.0,30051.0,18025.0,6708.0,-1.0,-1.0,-1.0,3471.0,14789.0,16345.0,11628.0,10000.0,22222.0,10587.0,-1.0,27684.0,6886.0,6849.0,4000.0,21597.0,13870.0,13870.0,9781.0,14000.0,12595.0,13245.0,14444.0,14586.0
2004,14430.0,12843.0,29951.0,22505.0,6748.0,-1.0,-1.0,-1.0,3826.0,4800.0,14318.0,10140.0,1000.0,21170.0,10269.0,-1.0,27160.0,10588.0,6530.0,5563.0,24570.0,11089.0,11089.0,9809.0,10769.0,16373.0,15679.0,14943.0,15083.0
2005,15517.0,12953.0,30000.0,18165.0,6787.0,-1.0,-1.0,10308.0,3962.0,7869.0,18850.0,9866.0,5714.0,20000.0,10882.0,-1.0,24998.0,18798.0,4110.0,10000.0,24604.0,16975.0,16975.0,9855.0,10000.0,14155.0,16763.0,14943.0,14000.0
2006,12222.0,12805.0,29979.0,11570.0,6827.0,28571.0,-1.0,12699.0,3947.0,8851.0,18667.0,12849.0,-1.0,20455.0,11032.0,-1.0,24738.0,18595.0,7316.0,9000.0,25102.0,6383.0,6383.0,9915.0,4034.0,11008.0,10815.0,15000.0,15714.0
2007,10694.0,12675.0,29977.0,14681.0,-1.0,34091.0,-1.0,5814.0,3947.0,10000.0,18329.0,12831.0,10000.0,20690.0,11281.0,-1.0,24309.0,11436.0,7554.0,9500.0,23362.0,8799.0,8799.0,10000.0,7670.0,13478.0,11080.0,16667.0,13158.0
2008,16471.0,12582.0,30057.0,22781.0,-1.0,29412.0,-1.0,6575.0,3875.0,10667.0,18310.0,23333.0,-1.0,20952.0,10697.0,-1.0,20736.0,14007.0,7653.0,9484.0,25340.0,12349.0,12349.0,-1.0,9733.0,12940.0,17613.0,16667.0,13235.0
2009,16048.0,12913.0,30000.0,18752.0,-1.0,31129.0,-1.0,24490.0,3721.0,10714.0,19440.0,23333.0,9450.0,21429.0,11020.0,-1.0,11972.0,14442.0,6644.0,9258.0,25604.0,12712.0,12712.0,-1.0,10192.0,15963.0,12387.0,15855.0,13889.0
2010,14347.0,12697.0,22680.0,15304.0,-1.0,32034.0,-1.0,24000.0,3693.0,11176.0,20472.0,20000.0,9967.0,20833.0,11309.0,-1.0,24534.0,10000.0,6073.0,9085.0,24817.0,11897.0,11897.0,10273.0,6869.0,16673.0,9937.0,15420.0,14011.0
2011,14624.0,12837.0,23401.0,17622.0,-1.0,33636.0,-1.0,17077.0,3689.0,10000.0,20686.0,28000.0,10384.0,21283.0,11596.0,-1.0,19000.0,8200.0,6678.0,9198.0,20976.0,10686.0,10686.0,10224.0,10833.0,14962.0,15607.0,15174.0,14092.0
2012,14692.0,17598.0,18878.0,20494.0,-1.0,31020.0,-1.0,17143.0,3708.0,10000.0,20301.0,14633.0,10000.0,22000.0,12163.0,-1.0,18144.0,6000.0,4179.0,9311.0,24273.0,14244.0,14244.0,10175.0,10000.0,15806.0,14810.0,14545.0,14069.0
2013,14134.0,17874.0,19168.0,20233.0,-1.0,29697.0,-1.0,17105.0,3727.0,9000.0,24606.0,15556.0,20000.0,22549.0,12512.0,-1.0,20844.0,11429.0,6944.0,9424.0,24868.0,10189.0,10189.0,10126.0,8837.0,15879.0,14208.0,15400.0,14040.0
2014,18310.0,19065.0,21952.0,25384.0,-1.0,31818.0,-1.0,10717.0,3746.0,15000.0,17070.0,14571.0,7391.0,22805.0,12746.0,-1.0,14359.0,9500.0,6297.0,9538.0,28571.0,16149.0,16149.0,10077.0,9394.0,17470.0,15031.0,15269.0,14010.0
