,"China, Taiwan Province of",Indonesia,Australia & New Zealand,Dominica,Madagascar,Egypt,Malaysia,Belize,Japan,Uruguay,Republic of Korea,Democratic Republic of the Congo,Suriname,Bolivia (Plurinational State of),Guyana,Peru,Brazil,United States of America,Mexico,Sudan (former),Democratic People's Republic of Korea,El Salvador,Honduras,South Sudan,China,New Zealand
1997,300.0,166274.0,2001.0,507.0,94000.0,9396.0,2250.0,28.0,40000.0,1485.0,11461.0,0.0,38.0,2900.0,1735.0,0.0,43483.0,41200.0,2000.0,5400.0,6000.0,85.0,138.0,,300.0,2001.0
1998,300.0,174156.0,1320.0,398.0,92000.0,10520.0,2070.0,25.0,36000.0,1620.0,12100.0,0.0,16.0,3100.0,1699.0,8159.0,43394.0,42000.0,2500.0,5400.0,8460.0,83.0,135.0,,300.0,1320.0
1999,300.0,149900.0,1702.0,460.0,91025.0,9130.0,1620.0,33.0,43000.0,1674.0,10580.0,0.0,15.0,3120.0,1758.0,6570.0,44007.0,45200.0,2800.0,5400.0,9800.0,86.0,140.0,,300.0,1702.0
2000,300.0,164492.0,1752.0,477.0,91240.0,11807.0,1260.0,38.0,31830.0,1701.0,12111.0,0.0,13.0,3100.0,1300.0,6689.0,43162.0,47200.0,3000.0,5400.0,5800.0,92.0,150.0,,300.0,1752.0
2001,300.0,157416.0,1605.0,502.0,94490.0,8392.0,1890.0,20.0,30000.0,1715.0,13000.0,0.0,13.0,3010.0,900.0,6863.0,43959.0,47100.0,3100.0,5400.0,6400.0,97.0,130.0,,300.0,1605.0
2002,300.0,159453.0,1610.0,550.0,105735.0,10967.0,2160.0,27.0,26000.0,1755.0,13000.0,0.0,18.0,1521.0,870.0,6176.0,46780.0,46400.0,3200.0,8360.0,6800.0,94.0,145.0,,300.0,1610.0
2003,350.0,179233.0,1779.0,555.0,105735.0,9622.0,2020.0,15.0,26000.0,1782.0,14000.0,0.0,25.0,1538.0,857.0,5708.0,47338.0,46100.0,2908.0,8400.0,7000.0,98.0,260.0,,350.0,1779.0
2004,350.0,171162.0,2051.0,579.0,123913.0,20000.0,1931.0,10.0,25000.0,1890.0,14000.0,0.0,35.0,1557.0,860.0,4857.0,45332.0,43800.0,3208.0,9320.0,7200.0,95.0,530.0,,350.0,2051.0
2005,350.0,167128.0,1795.0,374.0,122400.0,29371.0,1792.0,6.0,17000.0,1998.0,14000.0,0.0,43.0,1578.0,857.0,4690.0,44406.0,46000.0,2886.0,11820.0,7000.0,103.0,840.0,,350.0,1795.0
2006,350.0,166888.0,1692.0,501.0,122855.0,12193.0,1639.0,3.0,16492.0,2025.0,14000.0,0.0,45.0,1589.0,847.0,5661.0,44405.0,45632.0,2914.0,7980.0,7200.0,90.0,1220.0,,350.0,1692.0
2007,350.0,169825.0,1532.0,464.0,126669.0,9369.0,1178.0,7.0,16315.0,1650.0,17000.0,0.0,41.0,1602.0,808.0,4495.0,45597.0,46858.0,2704.0,8820.0,7400.0,100.0,1400.0,,350.0,1532.0
2008,350.0,168925.0,1329.0,613.0,127000.0,12517.0,1178.0,4.0,15339.0,2052.0,16000.0,23996.0,7.0,1616.0,878.0,4600.0,42282.0,49900.0,2343.0,9660.0,7601.0,101.0,1090.0,,350.0,1329.0
2009,350.0,185217.0,1245.0,627.0,129000.0,12118.0,1948.0,4.0,18000.0,2079.0,17000.0,24346.0,24.0,1321.0,868.0,5500.0,41999.0,54395.0,2489.0,10500.0,7800.0,100.0,1096.0,,350.0,1245.0
2010,350.0,184597.0,1346.0,380.0,154000.0,8639.0,2006.0,4.0,12000.0,2106.0,15000.0,24702.0,27.0,1331.0,912.0,6000.0,43879.0,60660.0,2639.0,10500.0,8540.0,110.0,1250.0,,350.0,1346.0
2011,350.0,197645.0,1413.0,400.0,154000.0,9869.0,2336.0,2.0,14809.0,2160.0,15000.0,25062.0,27.0,1333.0,1000.0,6300.0,40120.0,59253.0,2121.0,11340.0,8780.0,120.0,1300.0,,350.0,1413.0
2012,350.0,223514.0,1608.0,400.0,155000.0,37000.0,2738.0,14.0,12040.0,2214.0,20000.0,26500.0,39.0,1349.0,1000.0,6100.0,39393.0,52533.0,2372.0,,7600.0,120.0,1300.0,10500.0,350.0,1608.0
2013,350.0,214808.0,1668.0,398.0,144817.0,57000.0,2712.0,9.0,13981.0,2187.0,20000.0,27502.0,51.0,1375.0,1050.0,6100.0,40383.0,62341.0,2366.0,,9020.0,125.0,1150.0,10500.0,350.0,1668.0
2014,350.0,214441.0,1370.0,398.0,144817.0,57000.0,2712.0,9.0,11636.0,2187.0,20000.0,24651.0,51.0,1375.0,1050.0,6100.0,40383.0,62341.0,2366.0,,9345.0,125.0,1150.0,10500.0,350.0,1370.0
