,Finland,Australia & New Zealand,Australia,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Singapore,United Arab Emirates,Zambia,Lebanon,Papua New Guinea,Tajikistan,Suriname,Albania,Niger,"China, Hong Kong SAR",Serbia,Slovenia,Sri Lanka,Congo,Argentina,South Sudan,Spain,Central African Republic,India,Ecuador,Cabo Verde,Indonesia,Poland,Canada,Jordan,Belgium-Luxembourg,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Slovakia,France,Timor-Leste,Democratic Republic of the Congo,Tunisia,Mali,Hungary,Republic of Moldova,Martinique,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Ghana,"China, mainland",Madagascar,Cyprus,Peru,Rwanda,Lithuania,Portugal,Netherlands,Guatemala,Austria,Puerto Rico,Bermuda,Romania,Norway,Philippines,Iraq,New Zealand,United Republic of Tanzania,Belgium,Nepal,Luxembourg,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Senegal,Germany,Sweden,Uzbekistan,Occupied Palestinian Territory,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Antigua and Barbuda,Chile,Uruguay,Kyrgyzstan,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Denmark,Switzerland,United States of America,Sudan,United Kingdom,Azerbaijan,Mauritius,Yemen,Bosnia and Herzegovina,Turkey,Cameroon,Bolivia (Plurinational State of),American Samoa,Mexico,Ukraine,Kuwait,South Africa,Guadeloupe,Ireland,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Montenegro,China
1971,19.0,8936.0,7972.0,,-1.0,17000.0,-1.0,,-1.0,-1.0,30.0,2.0,,1917.0,11.0,,181.0,-1.0,-1.0,350.0,,,3890.0,-1.0,750.0,,25300.0,,105000.0,2400.0,-1.0,11000.0,-1.0,9260.0,172.0,2936.0,15543.0,11.0,,9800.0,642.0,,11900.0,-1.0,-1.0,220.0,-1.0,11070.0,,280.0,3001.0,5200.0,-1.0,,-1.0,120000.0,620.0,298.0,8680.0,-1.0,,2500.0,5683.0,-1.0,841.0,-1.0,10.0,12900.0,101.0,2700.0,652.0,964.0,-1.0,,-1.0,,,-1.0,4502.0,38308.0,-1.0,-1.0,10272.0,100.0,,-1.0,,,-1.0,4200.0,15.0,12000.0,500.0,,2470.0,-1.0,760.0,560.0,,317.0,500.0,32832.0,,8782.0,,189.0,,,36200.0,-1.0,-1.0,-1.0,8613.0,,-1.0,5000.0,550.0,,-1.0,0.0,,5043.0,,120350.0
1972,18.0,8689.0,7512.0,,-1.0,17400.0,-1.0,,-1.0,-1.0,30.0,2.0,,1854.0,12.0,,133.0,-1.0,-1.0,350.0,,,3783.0,-1.0,840.0,,25100.0,,106000.0,2600.0,-1.0,10000.0,-1.0,9360.0,440.0,2626.0,15123.0,12.0,,9900.0,625.0,,12680.0,-1.0,-1.0,220.0,-1.0,12600.0,,280.0,2937.0,4500.0,-1.0,,-1.0,122000.0,770.0,290.0,9635.0,-1.0,,2500.0,4504.0,-1.0,805.0,-1.0,4.0,13600.0,101.0,2700.0,648.0,1177.0,-1.0,,-1.0,,,-1.0,3923.0,37733.0,-1.0,-1.0,9252.0,80.0,,-1.0,,,-1.0,4300.0,20.0,10500.0,500.0,,2470.0,-1.0,760.0,560.0,,285.0,500.0,34183.0,,8498.0,,176.0,,,44100.0,-1.0,-1.0,-1.0,10251.0,,-1.0,5000.0,500.0,,-1.0,0.0,,5357.0,,122350.0
1973,22.0,9346.0,8311.0,,-1.0,17900.0,-1.0,,-1.0,-1.0,20.0,1.0,,1637.0,2.0,,179.0,-1.0,-1.0,300.0,,,4788.0,-1.0,530.0,,24000.0,,107000.0,2900.0,-1.0,6150.0,-1.0,10315.0,409.0,2832.0,18904.0,2.0,,9320.0,725.0,,13405.0,-1.0,-1.0,230.0,-1.0,12300.0,,200.0,3268.0,6700.0,-1.0,,-1.0,126000.0,505.0,390.0,9565.0,-1.0,,2800.0,7020.0,-1.0,974.0,-1.0,6.0,15800.0,137.0,2800.0,607.0,1035.0,-1.0,,-1.0,,,-1.0,5948.0,36467.0,-1.0,-1.0,9057.0,100.0,,-1.0,,,-1.0,4300.0,7.0,9500.0,500.0,,2360.0,-1.0,630.0,600.0,,356.0,500.0,35422.0,,12141.0,,149.0,,,29400.0,-1.0,-1.0,-1.0,10474.0,,-1.0,5000.0,50.0,,-1.0,0.0,,4974.0,,126300.0
1974,39.0,10117.0,8601.0,,-1.0,18400.0,-1.0,,-1.0,-1.0,20.0,2.0,,1820.0,23.0,,170.0,-1.0,-1.0,350.0,,,4115.0,-1.0,500.0,,24400.0,,110000.0,3213.0,-1.0,6300.0,-1.0,9819.0,269.0,2861.0,20164.0,23.0,,8800.0,776.0,,14676.0,-1.0,-1.0,240.0,-1.0,14600.0,,200.0,4621.0,8000.0,-1.0,,-1.0,126000.0,530.0,319.0,9769.0,-1.0,,3000.0,7509.0,-1.0,971.0,-1.0,6.0,13900.0,92.0,2800.0,222.0,1516.0,-1.0,,-1.0,,,-1.0,5995.0,37136.0,-1.0,-1.0,9704.0,40.0,,-1.0,,,-1.0,4300.0,4.0,8321.0,500.0,,2470.0,-1.0,650.0,650.0,,418.0,1270.0,33872.0,,12800.0,,184.0,,,33800.0,-1.0,-1.0,-1.0,9436.0,,-1.0,5000.0,50.0,,-1.0,0.0,,5584.0,,126350.0
1975,20.0,8992.0,7623.0,,-1.0,18900.0,-1.0,,-1.0,-1.0,15.0,2.0,,1800.0,8.0,,108.0,-1.0,-1.0,393.0,,,4470.0,-1.0,550.0,,24300.0,,112000.0,5000.0,-1.0,7300.0,-1.0,9054.0,445.0,4166.0,20584.0,8.0,,9300.0,1160.0,,15223.0,-1.0,-1.0,250.0,-1.0,13100.0,,200.0,4766.0,6000.0,-1.0,,-1.0,126000.0,535.0,234.0,8325.0,-1.0,,3000.0,7199.0,-1.0,957.0,-1.0,6.0,15000.0,77.0,2800.0,521.0,1369.0,-1.0,,-1.0,,,-1.0,6632.0,37207.0,-1.0,-1.0,9509.0,14.0,,-1.0,,,-1.0,4400.0,6.0,8780.0,500.0,,2860.0,-1.0,570.0,650.0,,325.0,1350.0,35167.0,,12300.0,,244.0,,,36800.0,-1.0,-1.0,-1.0,8617.0,,-1.0,5000.0,60.0,,-1.0,0.0,,5292.0,,126393.0
1976,43.0,8391.0,7338.0,,-1.0,19300.0,-1.0,,-1.0,-1.0,10.0,8.0,,1900.0,5.0,,128.0,-1.0,-1.0,263.0,,,4846.0,-1.0,600.0,,24300.0,,114000.0,7000.0,-1.0,7000.0,-1.0,7576.0,601.0,2945.0,23983.0,5.0,,9300.0,1176.0,,12422.0,-1.0,-1.0,260.0,-1.0,11648.0,,200.0,4318.0,7000.0,-1.0,,-1.0,127000.0,560.0,245.0,7988.0,-1.0,,3000.0,6200.0,-1.0,736.0,-1.0,6.0,14700.0,102.0,2830.0,205.0,1053.0,-1.0,,-1.0,,,-1.0,6989.0,37232.0,-1.0,-1.0,9560.0,14.0,,-1.0,,,-1.0,4500.0,8.0,9200.0,500.0,,2810.0,-1.0,570.0,700.0,,379.0,1350.0,23552.0,,12500.0,,215.0,,,37000.0,-1.0,-1.0,-1.0,9116.0,,-1.0,5000.0,60.0,,-1.0,0.0,,4896.0,,127263.0
1977,89.0,8473.0,6953.0,,-1.0,19800.0,-1.0,,-1.0,-1.0,,15.0,,2000.0,5.0,,129.0,-1.0,-1.0,308.0,,,4117.0,-1.0,510.0,,23800.0,,115000.0,7000.0,-1.0,7000.0,-1.0,9380.0,403.0,3536.0,23804.0,5.0,,9700.0,1157.0,,15000.0,-1.0,-1.0,270.0,-1.0,12588.0,,200.0,3838.0,7000.0,-1.0,,-1.0,128000.0,605.0,344.0,7498.0,-1.0,,3000.0,6600.0,-1.0,740.0,-1.0,6.0,14800.0,92.0,3510.0,595.0,1520.0,-1.0,,-1.0,,,-1.0,6479.0,38929.0,-1.0,-1.0,9517.0,118.0,,-1.0,,,-1.0,4500.0,5.0,10920.0,500.0,,3160.0,-1.0,550.0,700.0,,357.0,1350.0,28328.0,,13400.0,,208.0,,,37000.0,-1.0,-1.0,-1.0,13258.0,,-1.0,5000.0,100.0,,-1.0,0.0,,5852.0,,128308.0
1978,32.0,9340.0,8071.0,,-1.0,20200.0,-1.0,,-1.0,-1.0,,17.0,,2000.0,28.0,,66.0,-1.0,-1.0,336.0,,,4648.0,-1.0,620.0,,25020.0,,118000.0,8000.0,-1.0,13000.0,-1.0,9666.0,554.0,4570.0,10500.0,28.0,,9200.0,1075.0,,16800.0,-1.0,-1.0,290.0,-1.0,13400.0,,100.0,5139.0,6500.0,-1.0,,-1.0,129000.0,650.0,259.0,7621.0,-1.0,,3000.0,7200.0,-1.0,828.0,-1.0,10.0,14200.0,94.0,3090.0,828.0,1269.0,-1.0,,-1.0,,,-1.0,6878.0,39173.0,-1.0,-1.0,9696.0,120.0,,-1.0,,,-1.0,5000.0,5.0,13600.0,550.0,,2510.0,-1.0,720.0,700.0,,314.0,1350.0,27576.0,,11600.0,,228.0,,,40000.0,-1.0,-1.0,-1.0,10435.0,,-1.0,5000.0,130.0,,-1.0,0.0,,5680.0,,129336.0
1979,25.0,8501.0,7059.0,,-1.0,20600.0,-1.0,,-1.0,-1.0,,45.0,,2000.0,32.0,,67.0,-1.0,-1.0,190.0,,,4890.0,-1.0,750.0,,24800.0,,121000.0,9000.0,-1.0,15000.0,-1.0,9359.0,646.0,2840.0,12752.0,32.0,,9100.0,1127.0,,11200.0,-1.0,-1.0,300.0,-1.0,14834.0,,100.0,5106.0,6800.0,-1.0,,-1.0,130000.0,1093.0,285.0,7601.0,-1.0,,3000.0,6400.0,-1.0,847.0,-1.0,12.0,18600.0,115.0,2930.0,600.0,1442.0,-1.0,,-1.0,,,-1.0,6866.0,38512.0,-1.0,-1.0,9153.0,104.0,,-1.0,,,-1.0,5000.0,10.0,13507.0,550.0,,2580.0,-1.0,550.0,450.0,,252.0,1300.0,26455.0,,11200.0,,221.0,1719.0,,40000.0,-1.0,-1.0,-1.0,7350.0,,-1.0,5000.0,160.0,,-1.0,0.0,,4676.0,,130190.0
1980,37.0,7448.0,6323.0,326.0,-1.0,21095.0,-1.0,,-1.0,-1.0,,15.0,,2000.0,27.0,,54.0,-1.0,-1.0,174.0,,,5188.0,-1.0,630.0,,24500.0,,125000.0,10000.0,-1.0,18000.0,-1.0,8994.0,946.0,2220.0,12556.0,27.0,,9700.0,1070.0,,9000.0,-1.0,-1.0,300.0,-1.0,12976.0,,90.0,5694.0,7000.0,-1.0,,-1.0,130000.0,864.0,270.0,6485.0,-1.0,,3000.0,5300.0,-1.0,883.0,-1.0,10.0,21000.0,115.0,3080.0,550.0,1125.0,-1.0,,-1.0,,,-1.0,6904.0,36573.0,-1.0,-1.0,8252.0,100.0,,-1.0,,,-1.0,5200.0,13.0,13400.0,550.0,,2670.0,-1.0,590.0,450.0,,180.0,929.0,20566.0,,8100.0,,325.0,1654.0,,37000.0,-1.0,-1.0,-1.0,8337.0,,-1.0,5000.0,160.0,,-1.0,0.0,,4751.0,,130174.0
1981,46.0,8051.0,7093.0,566.0,-1.0,24765.0,-1.0,,-1.0,-1.0,,13.0,,1900.0,26.0,,88.0,-1.0,-1.0,170.0,,,6260.0,-1.0,580.0,,25600.0,,125000.0,12000.0,-1.0,20000.0,-1.0,8874.0,879.0,3675.0,12076.0,26.0,,9900.0,1064.0,,11000.0,-1.0,-1.0,310.0,-1.0,11487.0,,70.0,5253.0,7000.0,-1.0,,-1.0,150000.0,530.0,240.0,7749.0,-1.0,,3000.0,5700.0,-1.0,867.0,-1.0,10.0,22600.0,152.0,3060.0,650.0,958.0,-1.0,,-1.0,,,-1.0,7017.0,35411.0,-1.0,-1.0,8895.0,104.0,,-1.0,,,-1.0,5300.0,25.0,13000.0,550.0,,2960.0,-1.0,470.0,850.0,,186.0,1685.0,20234.0,,7700.0,,330.0,1588.0,,60000.0,-1.0,-1.0,-1.0,6066.0,,-1.0,6000.0,70.0,,-1.0,0.0,,4170.0,,150170.0
1982,132.0,7928.0,6746.0,651.0,-1.0,22465.0,-1.0,,-1.0,-1.0,,29.0,,1800.0,22.0,,59.0,-1.0,-1.0,230.0,,,5505.0,-1.0,510.0,,25600.0,,130000.0,14000.0,-1.0,20059.0,-1.0,9095.0,700.0,4500.0,13504.0,22.0,,9300.0,1041.0,,13500.0,-1.0,-1.0,310.0,100.0,9415.0,,120.0,5242.0,7000.0,-1.0,,-1.0,160000.0,510.0,213.0,8468.0,-1.0,,3000.0,6700.0,-1.0,777.0,-1.0,9.0,21400.0,169.0,2800.0,550.0,1182.0,-1.0,,-1.0,,,-1.0,8406.0,36013.0,-1.0,-1.0,8947.0,198.0,,-1.0,,,-1.0,5400.0,23.0,13000.0,550.0,,3270.0,-1.0,450.0,500.0,,0.0,1564.0,20300.0,,8623.0,,196.0,1648.0,,52870.0,-1.0,-1.0,-1.0,5852.0,,-1.0,6000.0,70.0,,-1.0,0.0,,5186.0,,160230.0
1983,130.0,7801.0,6701.0,1412.0,-1.0,19927.0,-1.0,,-1.0,-1.0,,51.0,,2000.0,25.0,,57.0,-1.0,-1.0,210.0,,,5970.0,-1.0,474.0,,26200.0,,132000.0,16000.0,-1.0,19236.0,-1.0,7980.0,910.0,4230.0,13000.0,25.0,,9300.0,1068.0,,13100.0,-1.0,-1.0,320.0,200.0,9100.0,,150.0,5900.0,7000.0,-1.0,,-1.0,182000.0,556.0,234.0,6776.0,-1.0,,3000.0,4900.0,-1.0,812.0,-1.0,8.0,20500.0,138.0,2700.0,475.0,1100.0,-1.0,,-1.0,,,-1.0,7870.0,33988.0,-1.0,-1.0,7926.0,117.0,,-1.0,,,-1.0,5200.0,13.0,14500.0,550.0,,3410.0,-1.0,410.0,500.0,,0.0,1159.0,20700.0,,6975.0,,252.0,1812.0,,50000.0,-1.0,-1.0,-1.0,6209.0,,-1.0,6000.0,75.0,,-1.0,0.0,,4341.0,,182210.0
1984,183.0,7322.0,6322.0,1263.0,-1.0,18816.0,-1.0,,-1.0,-1.0,,61.0,,2150.0,25.0,,66.0,-1.0,-1.0,200.0,,,6490.0,-1.0,485.0,,27047.0,,133000.0,18000.0,-1.0,27678.0,-1.0,8196.0,1103.0,4820.0,12600.0,25.0,,9400.0,1158.0,,12700.0,-1.0,-1.0,320.0,240.0,8522.0,,150.0,6100.0,7000.0,-1.0,,-1.0,200000.0,605.0,241.0,7355.0,-1.0,,3000.0,5000.0,-1.0,846.0,-1.0,7.0,20000.0,165.0,2600.0,575.0,1000.0,-1.0,,-1.0,,,-1.0,8037.0,33563.0,-1.0,-1.0,8242.0,148.0,,-1.0,300.0,,-1.0,5200.0,2.0,16600.0,550.0,,3340.0,-1.0,200.0,500.0,,0.0,1119.0,19000.0,,7364.0,,309.0,972.0,,48000.0,60.0,-1.0,-1.0,7412.0,,-1.0,6000.0,80.0,,-1.0,0.0,,4523.0,,200200.0
1985,184.0,6574.0,5624.0,1310.0,-1.0,19950.0,-1.0,,-1.0,-1.0,,52.0,,2300.0,17.0,,73.0,-1.0,-1.0,180.0,,,6470.0,-1.0,525.0,,26479.0,,134000.0,18482.0,-1.0,29733.0,-1.0,8057.0,1895.0,5010.0,12180.0,17.0,,8987.0,1194.0,,13800.0,-1.0,-1.0,330.0,260.0,8663.0,,160.0,7200.0,5600.0,-1.0,,-1.0,206000.0,595.0,234.0,7665.0,-1.0,,3000.0,5000.0,-1.0,830.0,-1.0,6.0,20000.0,198.0,2480.0,1575.0,950.0,-1.0,,-1.0,,,-1.0,8314.0,32195.0,-1.0,-1.0,8276.0,157.0,,-1.0,350.0,,-1.0,4000.0,22.0,8354.0,550.0,,3780.0,-1.0,200.0,500.0,,,1432.0,20000.0,,7252.0,,308.0,1026.0,,48500.0,60.0,-1.0,-1.0,4288.0,,-1.0,6000.0,70.0,,-1.0,0.0,,4686.0,,206180.0
